ClassID	ClassName	EquipHand1	EquipHand2	EquipHand3	EquipHand4	EquipHand5	EquipHand6	EquipHand7	EquipHand8	Model1	Model2	Model3	Model4	Model5	Model6	Model7	Model8	Node1	Node2	Node3	Node4	Node5	Node6	Node7	Node8
72	Monster_Lorraine	None	None	None	None	None	None	None	None	ArmoniaElemBrc	ArmoniaBook	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
73	Monster_lynn_wep	None	None	None	None	None	None	None	None	Experimental_THSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
74	Monster_lynn_nowep	R	None	None	None	None	None	None	None	Experimental_THSword	None	None	None	None	None	None	None	Dummy_BACK_THS	None	None	None	None	None	None	None
75	Monster_leona_wep	R	L	None	None	None	None	None	None	Devil_Sword	Devil_Sabre	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
76	Monster_leona_nowep	R	L	None	None	None	None	None	None	Devil_Sword	Devil_Sabre	None	None	None	None	None	None	Dummy_L_PELVIS	Dummy_R_PELVIS	None	None	None	None	None	None
77	Monster_clair2_wep	None	None	None	None	None	None	None	None	ExperimentalCannon	None	None	None	None	None	None	None	Dummy_CANNON01	None	None	None	None	None	None	None
78	Monster_Sariel_Weapon	R	L	None	None	None	None	None	None	Cube	ArmoniaStaff	None	None	None	None	None	None	Bip01 Prop1	Dummy_L_HAND	None	None	None	None	None	None
79	Monster_arm_OgerWep	R	None	None	None	None	None	None	None	Ogre_Predator	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
80	Monster_arm_WerebearWep	R	None	None	None	None	None	None	None	Wolverine_Sword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
81	Monster_JudithB_Weapon	R	None	None	None	None	None	None	None	Evil_Polearm	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
82	Monster_JudithW_Weapon	R	None	None	None	None	None	None	None	Divine_Polearm	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
83	Monster_Sariel2_Weapon	R	L	None	None	None	None	None	None	Prosper_Cube	Evil_Staff	None	None	None	None	None	None	Bip01 Prop1	Dummy_L_HAND	None	None	None	None	None	None
84	Monster_HalloweenTomb	None	None	None	None	None	None	None	None	Halloween_Tomb_2013	None	None	None	None	None	None	None	Dummy_B	None	None	None	None	None	None	None
85	Monster_Montoro	R	None	None	None	None	None	None	None	Experimental_Rod	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
86	Monster_Rachel	R	L	None	None	None	None	None	None	Experimental_Pistol	Experimental_Book	None	None	None	None	None	None	Dummy_R_HAND_PISTOL	Dummy_L_HAND	None	None	None	None	None	None
87	Monster_illierhunter1	R	None	None	None	None	None	None	None	HuntingCrossBow	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
88	Monster_illierhunter3	R	L	None	None	None	None	None	None	CrecementoRifle	CrecementoPistol	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
89	Monster_Risky_Weapon	None	None	None	None	None	None	None	None	ArmoniaElemBrc	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
90	Monster_illierSoldier_Elite	None	None	None	None	None	None	None	None	Prosper_Swd	Prosper_Pistol	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
91	monster_kess_jpn	None	None	None	None	None	None	None	None	HighBristia_Rifle	HighBristia_Pistol	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
92	Monster_jd_jpn	None	None	None	None	None	None	None	None	HighBristia_Blade	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
93	Monster_VanGuard_Shooting	None	None	None	None	None	None	None	None	WheellockPistol	None	None	None	None	None	None	None	Dummy_R_HAND_PISTOL	None	None	None	None	None	None	None
94	Monster_VanGuard_Melee	None	None	None	None	None	None	None	None	ChagingSabre	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
95	Monster_Monblerant_Bedel	None	None	None	None	None	None	None	None	ArmoniaBayonet	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
96	Monster_Vanessa_Weapon	None	None	None	None	None	None	None	None	Vernier_Sabre	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
97	Monster_Hektor	R	L	None	None	None	None	None	None	BristiaSword_Custom	BristiaPistol	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
98	Quest_selva3	R	L	None	None	None	None	None	None	ShrewdOfAltair	Selvaarm	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_arm	None	None	None	None	None	None
99	Monster_freeday	R	None	None	None	None	None	None	None	Arciliuto_Elite	None	None	None	None	None	None	None	Dummy_L_HAND_MUTE	None	None	None	None	None	None	None
100	Monster_RoyalRoad_Sol1	R	L	None	None	None	None	None	None	SharpsRifle36	TwinRevolver	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
101	Monster_RoyalRoad_Sol2	R	L	None	None	None	None	None	None	TwinRevolver	SharpsRifle36	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
102	Monster_Levin	R	L	None	None	None	None	None	None	Devil_Sword	<$>45369</>	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
103	Monster_Yeganeh2	R	None	None	None	None	None	None	None	Experimental_THSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
104	Monster_Kael	R	L	None	None	None	None	None	None	ValeronSabre	ValeronMainG	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
105	Monster_MUSm	None	None	None	None	None	None	None	None	ArmoniaBayonet	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
106	Monster_MUSf	R	L	None	None	None	None	None	None	ArmoniaPistol	ArmoniaPistol	None	None	None	None	None	None	Dummy_R_HAND_PISTOL	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
107	Monster_FGT	R	L	None	None	None	None	None	None	ArmoniaSword	ArmoniaShield	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_FOREARM	None	None	None	None	None	None
108	Monster_WAR	R	L	None	None	None	None	None	None	ArmoniaElemBrc	ArmoniaElemBrc	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
109	Monster_SCT	R	L	None	None	None	None	None	None	ArmoniaDagger	ArmoniaDagger	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
110	Monster_WIZ	R	None	None	None	None	None	None	None	ArmoniaRod	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
111	Monster_DUNCASILE03_IFG_1	R	None	None	None	None	None	None	None	ValeronPolearm	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
112	Monster_DUNCASILE03_IFG_2	R	None	None	None	None	None	None	None	ValeronSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
113	Monster_DariaRare	R	None	None	None	None	None	None	None	ArmoniaSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
114	Monster_NatalieRare	R	None	None	None	None	None	None	None	Royal_Rifle	None	None	None	None	None	None	None	Dummy_R_HAND_RIFLE	None	None	None	None	None	None	None
115	Monster_ClairBlastguard	R	None	None	None	None	None	None	None	ArmoniaTHSword	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
116	Monster_Rubyana	R	None	None	None	None	None	None	None	ValeronLghtBrc	None	None	None	None	None	None	None	Dummy_R_Brace1	None	None	None	None	None	None	None
117	Monster_Vendetta	R	None	None	None	None	None	None	None	ValeronRapier	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
118	Monster_Rosa	R	None	None	None	None	None	None	None	Experimental_Lute	None	None	None	None	None	None	None	Dummy_L_HAND_MUTE	None	None	None	None	None	None	None
150	Monster_crsAdelina	R	None	None	None	None	None	None	None	ValeronSabre	ValeronPistol	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
151	Monster_carAdriana	R	None	None	None	None	None	None	None	ValeronSabre	ValeronPistol	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND_PISTOL	None	None	None	None	None	None
152	Monster_rada	R	None	None	None	None	None	None	None	ValeronStaff	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
154	Moster_Loo	None	None	None	None	None	None	None	None	Hestia	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
155	Monster_Dunaltsol	R	None	None	None	None	None	None	None	MuerteBalada1	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
156	Monster_Cassandra	R	None	None	None	None	None	None	None	CrecementoPolearm	None	None	None	None	None	None	None	Bip01 Prop1	None	None	None	None	None	None	None
157	Monster_Doomslave	R	L	None	None	None	None	None	None	CH_Tyrfing1	CH_Tyrfing1	None	None	None	None	None	None	Dummy_R_HAND	Dummy_L_HAND	None	None	None	None	None	None
158	Monster_Nike	None	None	None	None	None	None	None	None	CH_NikeBlunt	CH_NikeShield	None	None	None	None	None	None	Bip01 Prop2	Dummy_L_shield	None	None	None	None	None	None
159	Monster_BertheRare	R	None	None	None	None	None	None	None	CH_BertherareRod	None	None	None	None	None	None	None	Dummy_R_HAND	None	None	None	None	None	None	None
