AR	ATK	ClassID	ClassName	DR	DefIP	DefaultItem	FireIP	IMP	IceIP	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	LgtIP	MHP	MSATK	MSP	Name	OptionItem	PCDef	Parent	PsyIP	SetItemGroup	ToolTip
0	0	3002	ArmoniaSet_2	0	4	None	4	0	4	0	0	0	0	0	0	4	2000	0	0	<$>178128</>	None	0	ArmoniaSet	4	4	<$>178134</>
0	0	3003	ArmoniaSet_3	0	6	None	6	0	6	0	0	0	0	0	0	6	3000	0	0	<$>178129</>	None	0	ArmoniaSet	6	4	<$>178134</>
0	0	3004	ArmoniaSet_4	0	8	None	8	0	8	0	0	0	0	0	0	8	4000	0	0	<$>178130</>	None	0	ArmoniaSet	8	4	<$>178134</>
0	0	3005	ArmoniaSet_5	0	10	None	10	0	10	0	0	0	0	0	0	10	5000	0	0	<$>178131</>	None	0	ArmoniaSet	10	4	<$>178134</>
0	0	4000	ZodiacSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>168071</>	Ear Neck Belt Glove Boots	0	None	0	7	None
0	2	4001	ZodiacSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	2	0	<$>178126</>	None	0	ZodiacSet	1	7	<$>187398</>
0	4	4002	ZodiacSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	4	0	<$>178128</>	None	0	ZodiacSet	2	7	<$>187398</>
0	6	4003	ZodiacSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	6	0	<$>178129</>	None	0	ZodiacSet	3	7	<$>187398</>
0	8	4004	ZodiacSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	8	0	<$>178130</>	None	0	ZodiacSet	4	7	<$>187398</>
0	10	4005	ZodiacSet_5	0	5	None	5	5	5	0	0	0	0	0	0	5	5000	10	0	<$>178131</>	None	0	ZodiacSet	5	7	<$>187398</>
0	0	5000	EvilSet	0	0	Armor Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>187399</>	Ear Neck Belt Glove Boots	0	None	0	3	None
0	0	5001	EvilSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	0	0	<$>178126</>	None	0	EvilSet	1	3	<$>178127</>
0	0	5002	EvilSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	0	0	<$>178128</>	None	0	EvilSet	2	3	<$>178127</>
0	0	5003	EvilSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	0	0	<$>178129</>	None	0	EvilSet	3	3	<$>178127</>
0	0	5004	EvilSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	0	0	<$>178130</>	None	0	EvilSet	4	3	<$>178127</>
0	0	5005	EvilSet_5	1	5	None	5	5	5	0	0	0	0	0	0	5	5000	0	0	<$>178131</>	None	0	EvilSet	5	3	<$>199546</>
0	0	6001	ValeronSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>166383</>	Ear Neck Belt Glove Boots Armor	0	None	0	8	None
0	0	6002	ValeronSet_1	0	2	None	2	1	2	0	0	0	0	0	0	2	2500	0	0	<$>178126</>	None	0	ValeronSet	2	8	<$>193844</>
0	0	6003	ValeronSet_2	0	4	None	4	2	4	0	0	0	0	0	0	4	5000	0	0	<$>178128</>	None	0	ValeronSet	4	8	<$>193844</>
0	0	6004	ValeronSet_3	0	6	None	6	3	6	0	0	0	0	0	0	6	7500	0	0	<$>178129</>	None	0	ValeronSet	6	8	<$>193844</>
0	0	6005	ValeronSet_4	0	8	None	8	4	8	0	0	0	0	0	0	8	10000	0	0	<$>178130</>	None	0	ValeronSet	8	8	<$>193844</>
0	0	6006	ValeronSet_5	0	10	None	10	5	10	0	0	0	0	0	0	10	12500	0	0	<$>178131</>	None	0	ValeronSet	10	8	<$>193844</>
1	0	6007	ValeronSet_6	1	10	None	10	5	10	5	5	5	5	5	5	10	15000	0	0	<$>193845</>	None	0	ValeronSet	10	8	<$>195573</>
0	0	7001	DivinecSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>195574</>	Ear Neck Belt Glove Boots	0	None	0	9	None
0	1	7002	DivinecSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	1	0	<$>178126</>	None	0	DivinecSet	1	9	<$>195575</>
0	2	7003	DivinecSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	2	0	<$>178128</>	None	0	DivinecSet	2	9	<$>195575</>
0	3	7004	DivinecSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	3	0	<$>178129</>	None	0	DivinecSet	3	9	<$>195575</>
0	4	7005	DivinecSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	4	0	<$>178130</>	None	0	DivinecSet	4	9	<$>195575</>
0	5	7006	DivinecSet_5	0	5	None	5	5	5	0	0	0	0	0	0	5	5000	5	0	<$>178131</>	None	0	DivinecSet	5	9	<$>195575</>
0	0	8001	RoyalSet	0	0	Armor Weapon Neck Belt Glove Boots	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>218206</>	Ear	0	None	0	10	None
0	0	8006	RoyalSet_1	0	10	None	10	0	10	0	0	0	0	0	0	10	5000	15	0	<$>178126</>	None	0	RoyalSet	10	10	<$>218207</>
0	0	9001	AbyssArmaSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>224831</>	Ear Neck Belt Glove Boots	0	None	0	11	None
0	0	9002	AbyssArmaSet_1	0	2	None	2	1	2	0	0	0	0	0	0	2	1000	0	0	<$>178126</>	None	0	AbyssArmaSet	2	11	<$>224832</>
0	0	9003	AbyssArmaSet_2	0	4	None	4	2	4	0	0	0	0	0	0	4	2000	0	0	<$>178128</>	None	0	AbyssArmaSet	4	11	<$>224832</>
0	0	9004	AbyssArmaSet_3	1	6	None	6	3	6	5	5	5	5	5	5	6	3000	0	0	<$>178129</>	None	0	AbyssArmaSet	6	11	<$>224833</>
0	0	9005	AbyssArmaSet_4	1	6	None	6	3	6	5	5	5	5	5	5	6	3000	0	0	<$>178130</>	None	0	AbyssArmaSet	6	11	<$>224834</>
0	0	9006	AbyssArmaSet_5	1	6	None	6	3	6	5	5	5	5	5	5	6	3000	0	0	<$>178131</>	None	0	AbyssArmaSet	6	11	<$>224834</>
