Bgm1	Bgm10	Bgm11	Bgm12	Bgm13	Bgm14	Bgm15	Bgm16	Bgm17	Bgm18	Bgm19	Bgm2	Bgm20	Bgm21	Bgm22	Bgm23	Bgm24	Bgm25	Bgm26	Bgm27	Bgm28	Bgm29	Bgm3	Bgm30	Bgm4	Bgm5	Bgm6	Bgm7	Bgm8	Bgm9	ClassID	ClassName
Toccata and Fugue in D-	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	409	Torsche_Boss
Voyage to you	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	410	Torsche_Room
Helter-Skelter	None	None	None	None	None	None	None	None	None	None	Populus Alba	None	None	None	None	None	None	None	None	None	None	Static Bullet(Odyssee Remix)	None	Chapter 2	None	None	None	None	None	411	Skeleton
La Vistazo	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	412	Skeleton_Boss
Ice Symphony	None	None	None	None	None	None	None	None	None	None	Dream Machine	None	None	None	None	None	None	None	None	None	None	Noche Fria	None	Mono Dura	Confirmation	None	None	None	None	413	TowerGraciel
Rio Tranquila	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	414	TowerGraciel_Boss
Blonde Passion	None	None	None	None	None	None	None	None	None	None	Genuine Draft	None	None	None	None	None	None	None	None	None	None	El Momento Pasado	None	None	None	None	None	None	None	415	Silence
Impressive	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	416	Silence_Boss
Aventura Etnica	None	None	None	None	None	None	None	None	None	None	In Your Eyes(Blue Mix)	None	None	None	None	None	None	None	None	None	None	Istania	None	Valle Ocultado	None	None	None	None	None	417	Tbk_dun
Sangre Mar	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	418	Tbk_dun_Boss
Touchdown	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	419	Ruins_dun
Discipline	None	None	None	None	None	None	None	None	None	None	Melancholiac	None	None	None	None	None	None	None	None	None	None	Burning Water	None	None	None	None	None	None	None	420	Tor_Basement
Hilaris	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	500	Mission_VS
Close Encounter	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	501	Mission
Hardius	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	502	Rafflesia
Senorita(MR.Sam Vision)	None	None	None	None	None	None	None	None	None	None	7 Clouds	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	503	Mission_Chainrush
Unrealistic dream	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	504	Mission_Jormongand
Mosquetero	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	601	Master
Rachada Fever	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	602	Los Toldos
Temptation	None	None	None	None	None	None	None	None	None	None	Calmi Cuori Appassionati	None	None	None	None	None	None	None	None	None	None	Nangman Trance	None	Unearth	You Are Not Supposed To Be Here	Return of Afterglow	None	None	None	603	Tetra_2
Siren's Scent	None	None	None	None	None	None	None	None	None	None	A Witch on a diet	None	None	None	None	None	None	None	None	None	None	InigMatic	None	Andalusian Rhapsody	Travels	Como Loco	None	None	None	604	Porto_Bello_2
Beyond the Mountains	None	None	None	None	None	None	None	None	None	None	The G appears	None	None	None	None	None	None	None	None	None	None	die Fuge	None	Tempest	Narcissus	Senza...	None	None	None	605	Jaquin_2
Akashic record	None	None	None	None	None	None	None	None	None	None	Rhapsody	None	None	None	None	None	None	None	None	None	None	Touch me not	None	Esa Promesa	Urtica	Cancion Amor	None	None	None	606	Torsche_2
Helter-Skelter	None	None	None	None	None	None	None	None	None	None	Populus Alba	None	None	None	None	None	None	None	None	None	None	Static Bullet(Odyssee Remix)	None	Chapter 2	Matar de Comer	None	None	None	None	607	Skeleton_2
Lost the Way	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	608	Bah_Old
Tears of witch	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	609	Bah_Witchin
Watersky	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	610	Bah_Base
Liesberato	None	None	None	None	None	None	None	None	None	None	Jeremy	None	None	None	None	None	None	None	None	None	None	Para Variar	None	None	None	None	None	None	None	611	Battle_Field_10
Matar Fiesta	None	None	None	None	None	None	None	None	None	None	Succubus	None	None	None	None	None	None	None	None	None	None	Shiver And Shiver	None	None	None	None	None	None	None	612	Bah_Dun
Go! Jeremiad	None	None	None	None	None	None	None	None	None	None	The Plate of Buron	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	613	Buron
Batista	None	None	None	None	None	None	None	None	None	None	Serial Killing	None	None	None	None	None	None	None	None	None	None	Go! Jeremiad	None	The Plate of Buron	None	None	None	None	None	614	LandOfDeath
Just to know	None	None	None	None	None	None	None	None	None	None	Vaho rapidez	None	None	None	None	None	None	None	None	None	None	Eine Kastellan	None	None	None	None	None	None	None	701	Fight
March of Salvation	None	None	None	None	None	None	None	None	None	None	Blanco del ojo	None	None	None	None	None	None	None	None	None	None	Battle Field	None	Piano War	None	None	None	None	None	702	ColonyWar_High
Battle Field	None	None	None	None	None	None	None	None	None	None	Piano War	None	None	None	None	None	None	None	None	None	None	March of Salvation	None	Blanco del ojo	None	None	None	None	None	703	ColonyWar_Middle
Ocean Dream	None	None	None	None	None	None	None	None	None	None	Come on my boy(mr)	None	None	None	None	None	None	None	None	None	None	Sunnyside	None	None	None	None	None	None	None	801	Gig
Ni Miedo	None	None	None	None	None	None	None	None	None	None	Elektrik Tide	None	None	None	None	None	None	None	None	None	None	Come on my boy(mr)	None	Zona Calle	None	None	None	None	None	802	Gig_Field
Hiding Wings	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	803	Gig_Boss
Granado Espada	Calmi Cuori Appassionati	Captain Immortal	DarKno	Fantacy	Forget-me-not	Grassado	Involute	Iris	M.I.S.A	Nangman Trance	Trancephobia	Nexus	Notorious 1380	Only did my duty	Rosa Rosado	Supercooled Girl	None	None	None	None	None	Cite de Reboldoeux	None	Waltz for Family	Endless Battle	Oporto Partita	A Witch on a diet	Al Quelt Moreza	Andalusian Rhapsody	901	Reception_Hall
Unearth	Touch me not	Urtica	Beyond Hope	Cresendo Veritas	Hardius	Hilaris	Laboro nomen	Overdose	Rising Sun	Toko	You Are Not Supposed To Be Here	Toccata and Fugue in D-	InigMatic	mUsk Alliance	Notredame de course	Violin of the Death	None	None	None	None	None	Narcissus	None	Violet	Amaranth	Zinnia	JinD'Ale	El Rosa Alba	Populus Alba	902	Reception_Hall_2
Zebre de La Clave	Noche de la Selva	La Vistazo	Grito Fuera	Helter-Skelter	Purple Snow	Dancing the Moon	Noche Fria	Rio Tranquila	Amanecer	El Momento Pasado	Agujero inmundo	Laguerra del Mundo	Rapal	Vamos Bravo	Aventura Etnica	Fire Hill	None	None	None	None	None	Esa Promesa	None	Me in the battle	Honor winds	Voyage to you	The Veras	Sol de la Centro	Poca Esperanza	903	Reception_Hall_3
Illusion	Matar de Comer	Maze of Agony	Mosquetero	Rachada Fever	Rapid Eye	Return of Afterglow	Senza...	The Last Number	Lost the Way	Tears of witch	Istania	Watersky	Liesberato	Jeremy	Para Variar	Matar Fiesta	None	None	None	None	None	Blonde Passion	None	Espada Nigero	Impressive	Sangre Mar	Westers	Cancion Amor	Como Loco	904	Reception_Hall_4
Shiver And Shiver	Hiding Wings	Just to know	Ni Miedo	Ocean Dream	Sunnyside	Temptation	Aria de Coimbra	Odyssey	Old Speckled Reel	Siren's Scent	Go! Jeremiad	Beyond the Mountains	die Fuge	Vyshegrad - Valse d'Auch	Rhapsody	Maya	None	None	None	None	None	The Plate of Buron	None	Zona Calle	Vaho rapidez	Eine Kastellan	Come on my boy(mr)	Come on my boy(with_H)	Elektrik Tide	905	Reception_Hall_5
Akashic record	Huldran	Trollslottet	Valle Ocultado	Dream Machine	7 Clouds	In Your Eyes(Blue Mix)	Confirmation	Touchdown	Genuine Draft	Mono Dura	Chapter 2	Senorita(MR.Sam Vision)	The G appears	Flamengo Fighters	Succubus	Ice Symphony	None	None	None	None	None	Red Shores	None	Summer Queen	Tales from the South	Travels	Close Encounter	Tempest	Static Bullet(Odyssee Remix)	906	Reception_Hall_6
Whispering	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1001	Sedekrem_Fld
Dark temple	None	None	None	None	None	None	None	None	None	None	Fuzz	None	None	None	None	None	None	None	None	None	None	Roestone	None	None	None	None	None	None	None	1002	Sedekrem_Dun
Forzar	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1003	Sedekrem_Boss
Illegal	None	None	None	None	None	None	None	None	None	None	Pray for Soul	None	None	None	None	None	None	None	None	None	None	Before Running	None	None	None	None	None	None	None	1101	Secrettower
Deatholic	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1102	Secrettower_Boss
Rights Versus Duty	None	None	None	None	None	None	None	None	None	None	TeMPician	None	None	None	None	None	None	None	None	None	None	Arpeggione Sonata	None	None	None	None	None	None	None	1201	Dun_sub
Paradiso	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1301	Basic_Errac
Helios	None	None	None	None	None	None	None	None	None	None	The 3rd Lore	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1302	Fld_Errac
Rave	None	None	None	None	None	None	None	None	None	None	The Rhythm of the Hero touch	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1303	Dun_Errac
Bonus Out	None	None	None	None	None	None	None	None	None	None	Seraphim	None	None	None	None	None	None	None	None	None	None	Resurrection	None	Flag of ghost	Death Book	Soul's Rain	None	None	None	1401	Event_Mission
Mother	None	None	None	None	None	None	None	None	None	None	The 1st Blood	None	None	None	None	None	None	None	None	None	None	Swanlake	None	None	None	None	None	None	None	1501	Mission_Palace
The Beach Shade	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1601	cas_basic
Bring Cadenza	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1602	mission_cas_mine
Umbrio	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1603	btl_cas01
Anchorsia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1604	mission_cas_relic
Fame Or Die	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1605	btl_cas02
Realbout	None	None	None	None	None	None	None	None	None	None	GoreFest	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1606	mission_tower_of_chaos
Blanco del ojo	None	None	None	None	None	None	None	None	None	None	Piano War	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1607	Team_Arena
Khi-Fi	None	None	None	None	None	None	None	None	None	None	Poison Break	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1702	Viron_Field
White_Christmas	None	None	None	None	None	None	None	None	None	None	Rudolph the rein deer	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1703	Xmas_Dungeon
Blanco del ojo	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1704	Fld_lucifer
Battle Field	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1801	Clique_battle
Old Speckled Reel	None	None	None	None	None	None	None	None	None	None	The Plate of Buron	None	None	None	None	None	None	None	None	None	None	Ni Miedo	None	None	None	None	None	None	None	1901	City_Tuto
Piano War	None	None	None	None	None	None	None	None	None	None	Fatal	None	None	None	None	None	None	None	None	None	None	Rhapsody	None	Fuzz	None	None	None	None	None	2001	Btl_Lucifer
Celestia	None	None	None	None	None	None	None	None	None	None	Pathfinder	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2002	dun_casLucifer
Dejame Volver	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2003	bst_basic
It's not over 1	None	None	None	None	None	None	None	None	None	None	Sunrays	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2004	btl_bst
Epic Chamber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2005	bst_pub
Schemer	None	None	None	None	None	None	None	None	None	None	It's not over 1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2006	btl_bst01
Castle of the Lonesome	None	None	None	None	None	None	None	None	None	None	Sunrays	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2007	btl_bst02
Lord of Armonia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2008	arm_basic
Saint Gregorian	None	None	None	None	None	None	None	None	None	None	Lord of Armonia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2009	arm_cathedral
Tempestuous	None	None	None	None	None	None	None	None	None	None	Ghetto Amoretto	None	None	None	None	None	None	None	None	None	None	The Tragedy of War	None	None	None	None	None	None	None	2010	dun_arm
Far Eastern Romantica	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2011	fld_arm
Ghetto Amoretto	None	None	None	None	None	None	None	None	None	None	Far Eastern Romantica	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2012	btl_arm
Ghetto Amoretto	None	None	None	None	None	None	None	None	None	None	Saint Gregorian	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2013	arm_dunbasic
Hell on Fire	None	None	None	None	None	None	None	None	None	None	Celestia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2014	dun_casLucifer2
Time Bomb	None	None	None	None	None	None	None	None	None	None	Tales from the South	None	None	None	None	None	None	None	None	None	None	Akashic record	None	None	None	None	None	None	None	2015	dun_clocktower
Crimson_Army	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2016	btl_bedel01
Vedel_Birno	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2017	bedel_basic
Esperas	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2018	esperas
Garuda	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2019	garuda
Jewel in the Ashes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2020	jewelintheashes
Captain Immortal	None	None	None	None	None	None	None	None	None	None	Temptation	None	None	None	None	None	None	None	None	None	None	Nangman Trance	None	Notorious 1380	None	None	None	None	None	2021	mission_berronifflimit
La Vistazo	None	None	None	None	None	None	None	None	None	None	A Witch on a diet	None	None	None	None	None	None	None	None	None	None	Notredame de course	None	Notorious 1380	None	None	None	None	None	2022	DominionJPN
mUsk Alliance	None	None	None	None	None	None	None	None	None	None	Iris	None	None	None	None	None	None	None	None	None	None	Endless Battle	None	Senza...	The Last of Chaos	Batista	None	None	None	2023	ShapengJPN
Ice Symphony	None	None	None	None	None	None	None	None	None	None	Siren's Scent	None	None	None	None	None	None	None	None	None	None	die Fuge	None	None	None	None	None	None	None	2024	shriekingTower
Al Quelt Moreza	None	None	None	None	None	None	None	None	None	None	Unrealistic dream	None	None	None	None	None	None	None	None	None	None	Deatholic	None	None	None	None	None	None	None	2025	diewnjpn
Blanco del ojo	Dejame Volver	It's not over 1	Rapid Eye	Espada Nigero	Toccata and Fugue in D-	Granado Espada	None	None	None	None	Vedel_Birno	None	None	None	None	None	None	None	None	None	None	Crimson_Army	None	Tempestuous	The Tragedy of War	Saint Gregorian	Far Eastern Romantica	Castle of the Lonesome	Melancholiac	2026	bedeljpn
Far Eastern Romantica	None	None	None	None	None	None	None	None	None	None	Violet	None	None	None	None	None	None	None	None	None	None	Impressive	None	Matar Fiesta	None	None	None	None	None	2027	armsdpjpn
Akashic record	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2028	spreadcursejpn
Notredame de course	None	None	None	None	None	None	None	None	None	None	Nangman Trance	None	None	None	None	None	None	None	None	None	None	Urtica	None	None	None	None	None	None	None	2029	Tetra_Boss2JPN
Segundos_Royal	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2030	royalroad
Neblua	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2031	ile_basic
Drogo_Fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2032	dun_casile01
Avance et Avance	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2033	dun_casile03
Menesiena	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2034	OrdenBoss
Captain Immortal	None	None	None	None	None	None	None	None	None	None	Temptation	None	None	None	None	None	None	None	None	None	None	Nangman Trance	None	Notorious 1380	None	None	None	None	None	2050	coim02dp
Planet of the Castle	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2051	Frourio
Like a Devil Breaking	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2052	Buron_cave
Nino Zorro vio	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2053	fld_alt01
Attackers	None	None	None	None	None	None	None	None	None	None	Classic Revolution	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2054	fld_alt02
The Last of Chaos	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2055	dun_quiritatio
