ClassID	ClassName	Need1	Need10	Need10Count	Need1Count	Need2	Need2Count	Need3	Need3Count	Need4	Need4Count	Need5	Need5Count	Need6	Need6Count	Need7	Need7Count	Need8	Need8Count	Need9	Need9Count
30	Ring_SiegeBurst	Ring_CannonShot_1	None	0	1	None	0	Ring_Wagenlenker_1	1	None	0	Ring_SiegecannonShot_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
31	Ring_Psychokinesis	Ring_StrikesBack_1	None	0	1	None	0	Ring_Web_1	1	Ring_Earthquake_1	1	Ring_Apocalypse_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
32	Ring_ESP	Ring_SpiritualShield_1	None	0	1	Ring_AntimagicShell_1	1	Ring_ProtectionField_1	1	None	0	Ring_DispellMagic_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
33	Ring_PhantomIllusion	Ring_Sandmann_1	None	0	1	Ring_MagicalPiercing_1	1	None	0	Ring_Ritardi_1	1	Ring_InvisibleStalker_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
34	Ring_Levitation	Ring_Reverse_1	None	0	1	None	0	Ring_PhotonSplash_1	1	Ring_Amplify_1	1	Ring_HoleofDarkness_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
35	Ring_PossessionFire	Ring_Fireball_1	None	0	1	Ring_BurningHands_1	1	None	0	None	0	Ring_FlameGround_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
36	Ring_EvocationFire	Ring_HellBreath_1	None	0	1	None	0	Ring_InfernalFlames_1	1	None	0	Ring_MeteoStrikes_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
37	Ring_PossessionIce	Ring_FreezingSphere_1	None	0	1	Ring_ChillingTouch_1	1	Ring_FrostCloud_1	1	None	0	Ring_Deluge_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
38	Ring_EvocationIce	Ring_RefrigerWaves_1	None	0	1	None	0	Ring_AbsoluteZero_1	1	None	0	Ring_Blizzard_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
39	Ring_PossessionLightning	Ring_Lightning_1	None	0	1	Ring_ElectricCharger_1	1	Ring_Shockwaves_1	1	None	0	Ring_Tornado_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
40	Ring_EvocationLightning	Ring_ThunderStorm_1	None	0	1	None	0	Ring_ChainLightning_1	1	None	0	Ring_EnchantedArm_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
41	Ring_LordofElemental	Ring_HellBreath_1	None	0	1	Ring_AbsoluteZero_1	1	Ring_ChainLightning_1	1	None	0	Ring_ElementalStrife_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
42	Ring_FirstAid	None	None	0	1	Ring_Recover_1	1	Ring_Resuscitation_1	1	Ring_CureAll_1	1	Ring_MassCure_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
43	Ring_Fortitudo	Ring_Intensify_1	None	0	1	None	0	Ring_Fortify_1	1	Ring_Acceleration_1	1	Ring_Meditation_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
44	Ring_InstallTrap	Ring_Detection_1	None	0	1	None	0	Ring_CriticalDisease_1	1	Ring_InvisibleString_1	1	Ring_Explosion_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
45	Ring_Construction	Ring_BuildFence_1	None	0	1	Ring_BuildTurret_1	1	Ring_BuildSafetyWard_1	1	Ring_BuildRegenWard_1	1	Ring_BuildSiegeTurret_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
46	Ring_Marionette	Ring_ControlWalter_1	None	0	1	Ring_ControlLloyd_1	1	Ring_ControlHelena_1	1	Ring_ControlSasha_1	1	Ring_ControlVictor_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
47	Ring_TheDefender	DullAttack_1	None	0	1	None	0	CompleteProtection_1	1	Tremendous_1	1	MassiveCharge_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
48	Ring_StabGuard	RapidReach_1	None	0	1	None	0	Allegretto_1	1	PiercingBreeze_1	1	Zenith_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
49	Ring_Cauchemar	None	None	0	0	Ring_VampiricObsession_1	1	Ring_Insanity_1	1	Ring_DeathCrest_1	1	Ring_EternalTempest_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
50	Ring_EncounterShot	Glint_1	None	0	1	Ring_BayonetAssault_1	1	IncisingAttack_1	1	None	0	ShootingStar_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
51	Ring_GiganticMarksmanship	GloomShot_1	None	0	1	None	0	BlazingShot_1	1	RoarShot_1	1	HeavySmashing_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
52	Ring_Incantation	MagicBarrier_1	None	0	1	IgnoreHarm_1	1	None	0	Invulnerable_1	1	HowlingofHeaven_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
53	Ring_Anathema	Confusion_1	None	0	1	Enervation_1	1	Curse_1	1	Ring_Destruction_1	1	StoneDisease_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
54	Ring_DominationFire	Firewall_1	None	0	1	LavaPlasma_1	1	None	0	BlazingPillar_1	1	VolcanicEruption_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
55	Ring_DominationIce	FrozenField_1	None	0	1	ColdPlasma_1	1	None	0	GlacialLance_1	1	FrigidStroke_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
56	Ring_DominationLightning	ChargedVolt_1	None	0	1	ElectricPlasma_1	1	LightningBlast_1	1	None	0	FrenzyThunder_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
57	Ring_TacticalAssistance	Retrench_1	None	0	1	None	0	ScopeExtension_1	1	AdvancedCast_1	1	RefreshMind_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
58	Ring_AvanceGarde	ArmeBullet_1	None	0	1	CroixFente_1	1	None	0	EntrerEnLiches_1	1	MortelEternity_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
59	Ring_Sidewinder	Ring_SweetDreamer_1	None	0	1	None	0	UltimateDash_1	1	None	0	Decision_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
60	Ring_MartialArtsG	None	None	0	0	Ring_BlazingUpper_1	1	None	0	Ring_Lionheart_1	1	Ring_AtomicPhoenixBomber_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
61	Ring_Muathai	Ring_Elbowflash_1	None	0	1	None	0	Ring_Intensesoaring_1	1	Ring_Willofwarrior_1	1	Ring_Atomictigersmash_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
62	Ring_EpeeGlacier	Ring_Fente_1	None	0	1	Ring_ChillingTouch_1	1	Ring_AbsoluteZero_1	1	Ring_BalestraFente_1	1	Ring_CentEnnuyer_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
63	Ring_SabreGlacier	Ring_Tete_1	None	0	1	Ring_ChillingTouch_1	1	Ring_FrostCloud_1	1	None	0	Ring_EsquiveTouch_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
64	Ring_Amicus	Ring_CallTurryDog_1	None	0	1	None	0	Ring_SummonHillGiant_1	1	None	0	Ring_SummonArarat_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
65	Ring_Testis	Ring_CallTurryDog_1	None	0	1	None	0	Ring_SummonTreasureGolem_1	1	Ring_SummonTachyon_1	1	Ring_SummonIronArarat_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
66	Ring_ConstructionYega	Ring_BuildFence_1	None	0	1	Ring_BuildSpikeTrap_1	1	Ring_BuildRotateBlade1_1	1	Ring_BuildSteamWard_1	1	Ring_BuildRotateBlade2_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
67	Ring_MiddleGuard2	Ring_CrescentMoon_1	None	0	1	Ring_SoulOfGim_1	1	Ring_GrindCutter_1	1	None	0	Ring_Assassinate_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
68	Ring_HeavenorHell2	Ring_PistolShot_1	None	0	1	Ring_SoulOfGim_1	1	Ring_DeadlyInfinitum_1	1	Ring_GrindCutter_1	1	Ring_IntoTheHell_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
69	Ring_MaingaucheGarde2	Ring_ContreAttaque_1	None	0	1	Ring_SoulOfGim_1	1	Ring_Eclabousser_1	1	Ring_LArcEnCiel_1	1	Ring_ParadeRiposte_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
70	Ring_AvanceGarde2	ArmeBullet_1	None	0	1	Ring_SoulOfGim_1	1	CroixFente_1	1	EntrerEnLiches_1	1	MortelEternity_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
71	Ring_EpeeGarde2	Ring_Fente_1	None	0	1	Ring_SoulOfGim_1	1	Ring_SeptEtoile_1	1	Ring_BalestraFente_1	1	Ring_CentEnnuyer_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
72	Ring_MartialArtsF	Ring_FrostIgnition_1	None	0	1	None	0	Ring_TempestKick_1	1	Ring_EnhancedFrostbite_1	1	Ring_AtomicGlacialStrikes_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
73	Ring_LowGuard	Ring_Triskelion_1	None	0	1	Ring_SaberCharge_1	1	None	0	Ring_SuspenseViolation_1	1	Ring_TearingAlternate_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
74	Ring_MightyCruz	None	None	0	0	Ring_SharpScythe_1	1	Ring_EnergeticBoom_1	1	Ring_SavageHash_1	1	Ring_DemonicDischarge_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
75	Ring_RaidAssault	Ring_Belladonna_1	None	0	1	None	0	Ring_Girandole_1	1	Ring_SonicSlice_1	1	Ring_FeralTooth_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
76	Ring_SightShot	Ring_AnkleShot_1	None	0	1	None	0	Ring_BarrageShot_1	1	Ring_Clincher_1	1	Ring_ExeedShooting_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
77	Ring_OutrageShot	Ring_SappingShot_1	None	0	1	None	0	Ring_Octetstream_1	1	Ring_DancingRevolver_1	1	Ring_Desperados_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
78	Ring_GiganticBlaster	Ring_Glitter_1	None	0	1	None	0	Ring_BlowBack_1	1	Ring_SlugBullet_1	1	Ring_StealBaton_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
79	Ring_Serenade	Ring_ShiningBallade_1	None	0	1	None	0	Ring_EnduranceMelody_1	1	Ring_RhythmofSpellbreak_1	1	Ring_Orpheus_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
80	Ring_MartialArtsM	Ring_AtomicDragonExplosion_1	None	0	1	None	0	Ring_BreathofHuynmoo_1	1	Ring_HalfmoonKick_1	1	Ring_UltraTigerStrike_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
81	Ring_Arbalester	None	None	0	0	Ring_PoisonVolt_1	1	Ring_ExplosionVolt_1	1	Ring_FanwiseShots_1	1	Ring_DarkJudgement_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
82	Ring_AggressiveShot	Ring_Birdfall_1	None	0	1	Ring_BayonetAssault_1	1	Ring_Headshot_1	1	Ring_Undercovering_1	1	Ring_PrecisionStrike_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
83	Ring_InroadShot	Ring_ChargingShot_1	None	0	1	Ring_CrouchingKick_1	1	Ring_Pierce_1	1	None	0	Ring_ExecutionShooter_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
84	Ring_StandingShotINF	Ring_Birdfall_1	None	0	1	Ring_BlindFlash_1	1	Ring_Headshot_1	1	Ring_Undercovering_1	1	Ring_PrecisionStrike_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
85	Ring_KneelingShotINF	Ring_ChargingShot_1	None	0	1	None	0	Ring_Pierce_1	1	None	0	Ring_ExecutionShooter_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
86	Ring_Minstrel	Ring_CrazyRhapsody_1	None	0	1	None	0	Ring_SilentCradlesong_1	1	Ring_RhythmandBlues_1	1	Ring_Requiem_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
87	Ring_NoviceGuard	Ring_RisingSwing_1	None	0	1	None	0	Ring_TurningBash_1	1	Ring_DeathBlow_1	1	Ring_SergeantBreak_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
88	Ring_NoviceMarksmanship	Ring_MinerShot_1	None	0	1	None	0	Ring_CannonBumper_1	1	None	0	Ring_MajorShot_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
89	Ring_Sagitta	Ring_HawkEye_1	None	0	1	Ring_SubmachineShots_1	1	Ring_HoldShots_1	1	Ring_BurstShots_1	1	Ring_SilentMove_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
90	Ring_RapidaEspada	Ring_Espadadelarocation_1	None	0	1	Ring_EspadadelViento_1	1	Ring_Dragante_1	1	Ring_SaltosdeAtaques_1	1	Ring_Rapida_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
91	Ring_Equites	Ring_Golpe_1	None	0	1	Ring_Valentia_1	1	Ring_Blessedness_1	1	Ring_Agil_1	1	Ring_Centella_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
92	Ring_Rapiere	Ring_Punto_1	None	0	1	Ring_Appel_1	1	Ring_Riposte_1	1	Ring_Ropera_1	1	Ring_CutandThrust_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
93	Ring_HangingGuard	Ring_Harshkick_1	None	0	1	Ring_Carnage_1	1	Ring_Slaughter_1	1	Ring_Volition_1	1	Ring_Ruthless_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
94	Ring_Arnis	Ring_Ladopatada_1	None	0	1	Ring_Asesinato_1	1	Ring_Intoxicacion_1	1	Ring_Asalto_1	1	Ring_Rapidaataque_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
95	Ring_Flintlock	Ring_Shootdown_1	None	0	1	Ring_SwiftShot_1	1	Ring_PenetrationShot_1	1	Ring_CheckTargets_1	1	Ring_AccuracyShot_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
96	Ring_Combatant	Ring_Battlesmash_1	None	0	1	Ring_Rollsofthunder_1	1	Ring_Shouldercharge_1	1	Ring_Throwingaxe_1	1	Ring_Windstorm_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
97	Ring_Gorgeous	Ring_Turningforce_1	None	0	1	Ring_Repulsiveforce_1	1	Ring_Massacre_1	1	Ring_Psychic_1	1	Ring_Reverie_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
98	Ring_Semilunar	Ring_Impulse_1	None	0	1	Ring_Gruesome_1	1	Ring_Militant_1	1	Ring_Merciless_1	1	Ring_Occultsciences_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
99	Ring_BackGuardN	Ring_DeepStraight_1	None	0	1	None	0	Ring_Earthtremor_1	1	Ring_PentaTrain_1	1	Ring_Vortexlash_1	1	Black_Oxide	10	CouponLv_26	10	AncientWarriorSymbol	10	None	0
100	Ring_Rapiere2	Ring_SoulOfGim_1	None	0	1	Ring_Appel_1	1	Ring_Riposte_1	1	Ring_Ropera_1	1	Ring_CutandThrust_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
101	Ring_TestedGuard	Ring_Harshkick_1	None	0	1	Ring_Carnage_1	1	Ring_Slaughter_1	1	Ring_Volition_1	1	Ring_Ruthless_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
102	Ring_ForgottenTheMagic	Ring_FrozenBall_1	None	0	1	Ring_FireStorm_1	1	Ring_LightingSpear_1	1	Ring_Cyclone_1	1	Ring_AquaPierce_1	1	Black_Oxide	20	CouponLv_26	20	AncientWarriorSymbol	20	None	0
103	Ring_MasterMartialArts	Ring_EnhancedElementalKick_1	None	0	1	Ring_EnhancedLionHeart_1	1	Ring_EmentalKick_1	1	Ring_EmentalPunch_1	1	Ring_ElementalPower_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
104	Ring_ThePowerofDarkness	Ring_DeepSleep_1	None	0	1	Ring_ImproveDisease_1	1	Ring_BloodCurse_1	1	Ring_GloomyPresent_1	1	Ring_WholeCancellation_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
105	Ring_MagicofOccultism	Ring_Tenseness_1	None	0	1	Ring_IceVrille_1	1	Ring_BlastFire_1	1	Ring_DynaBreath_1	1	Ring_AbyssFlare_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
106	Ring_OccultismAssitance	Ring_AbsoluteZero_1	None	0	1	Ring_ChainLightning_1	1	Ring_Tenseness_1	1	Ring_Barsel_1	1	Ring_Flare_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
107	Ring_Madness	Ring_EleInvisible_1	None	0	1	Ring_GabiQuake_1	1	Ring_ThirdElement_1	1	Ring_SpellBead_1	1	Ring_SpellHail_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
108	Ring_EnhancedTactics	Ring_Principal_1	None	0	1	Ring_MeleeEnhancement_1	1	Ring_MagicEnhancement_1	1	Ring_ShootingEnhancement_1	1	Ring_EscapeArtist_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
109	Ring_DemolitionBurst	Ring_BlastShot_1	None	0	1	Ring_StarlightFlare_1	1	Ring_FallenAngel_1	1	Ring_BlazingBurster_1	1	Ring_CastleCrusher_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
110	Ring_DemolitionBurst2	Ring_BlastShot_1	None	0	1	Ring_StarlightFlare_1	1	Ring_FallenAngel_1	1	Ring_BlazingBurster_1	1	Ring_CastleCrusher_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
111	Ring_Prelude	Ring_ConFuoco_1	None	0	1	Ring_Virtuoso_1	1	Ring_ConImpeto_1	1	Ring_Pieno_1	1	Ring_Totentanz_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
112	Ring_MoonGuard	Ring_DoubleSlicer_1	None	0	1	Ring_DimentionPierce_1	1	Ring_MoonDecision_1	1	Ring_Acrobaticslicer_1	1	Ring_Asura_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
113	Ring_DeathChopping	Ring_DeathCut_1	None	0	1	Ring_Present_1	1	Ring_Stunt_1	1	Ring_DanceofDeath_1	1	Ring_Chopping_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
114	Ring_SuperiorBlaster	Ring_Hound_1	None	0	1	Ring_PolluteShot_1	1	Ring_EncounterStroke_1	1	Ring_Executer_1	1	Ring_BlowImpact_1	1	Black_Oxide	30	CouponLv_26	30	AncientWarriorSymbol	30	None	0
