ClassID	ClassName	Emitter1	Emitter10	Emitter11	Emitter12	Emitter13	Emitter14	Emitter15	Emitter16	Emitter17	Emitter18	Emitter19	Emitter2	Emitter20	Emitter21	Emitter22	Emitter23	Emitter24	Emitter25	Emitter26	Emitter27	Emitter28	Emitter29	Emitter3	Emitter30	Emitter31	Emitter32	Emitter33	Emitter34	Emitter35	Emitter36	Emitter37	Emitter38	Emitter39	Emitter4	Emitter40	Emitter41	Emitter42	Emitter5	Emitter6	Emitter7	Emitter8	Emitter9	Node1	Node10	Node11	Node12	Node13	Node14	Node15	Node16	Node17	Node18	Node19	Node2	Node20	Node21	Node22	Node23	Node24	Node25	Node26	Node27	Node28	Node29	Node3	Node30	Node31	Node32	Node33	Node34	Node35	Node36	Node37	Node38	Node39	Node4	Node40	Node41	Node42	Node5	Node6	Node7	Node8	Node9	Particle1	Particle10	Particle11	Particle12	Particle13	Particle14	Particle15	Particle16	Particle17	Particle18	Particle19	Particle2	Particle20	Particle21	Particle22	Particle23	Particle24	Particle25	Particle26	Particle27	Particle28	Particle29	Particle3	Particle30	Particle31	Particle32	Particle33	Particle34	Particle35	Particle36	Particle37	Particle38	Particle39	Particle4	Particle40	Particle41	Particle42	Particle5	Particle6	Particle7	Particle8	Particle9
11	Monster_JaquinWildDog_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
12	Monster_WildDog	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
13	Monster_JaquinWildDog_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
14	Mission_Walter	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
15	Monster_Walter	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
16	Monster_Walter_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
17	Monster_BurningWalter	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
18	Monster_FreezingWalter	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
19	Monster_ElectricWalter	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
20	Monster_Walter_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_walter_fire	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
21	Mission_HauntedBook	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_hauntedbook	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
22	Monster_HauntedBook	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_hauntedbook	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
23	Monster_HauntedBook_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_hauntedbook	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
24	Monster_HauntedBook_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_hauntedbook	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
25	Mission_HauntedCandle	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
26	Monster_HauntedCandle	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
27	Monster_HauntedCandle_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
28	Monster_HauntedCandle_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	mon_candlelight_a	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
29	Mission_Ghostbaron	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Bip01 Spine1	None	None	None	None	None	None	None	None	None	None	Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_baron	None	None	None	None	None	None	None	None	None	None	mon_baron02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
30	Monster_Ghostbaron	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Bip01 Spine1	None	None	None	None	None	None	None	None	None	None	Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_baron	None	None	None	None	None	None	None	None	None	None	mon_baron02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
31	Monster_Ghostbaron_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Bip01 Spine1	None	None	None	None	None	None	None	None	None	None	Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_baron	None	None	None	None	None	None	None	None	None	None	mon_baron02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
32	Monster_Ghostbaron_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Bip01 Spine1	None	None	None	None	None	None	None	None	None	None	Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_baron	None	None	None	None	None	None	None	None	None	None	mon_baron02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
33	Mission_Eltetah	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	BGE_Eltetah	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
34	Monster_Eltetah	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	BGE_Eltetah	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
35	Monster_Eltetah_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	BGE_Eltetah	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
36	Monster_Eltetah_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	ROOT_Dummy01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	BGE_Eltetah	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
37	Event_GrimRipperBlack_raid	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	monster_ripper	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
38	Event_GrimRipperWhite_raid	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	monster_yellow_ripper	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
39	Mission_SnowfieldEaglehead	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
40	Monster_SnowfieldEaglehead	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
41	Monster_SnowfieldEaglehead_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
42	Monster_SnowfieldEaglehead_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
