ApplyTag1	ApplyTag2	ApplyTag3	ClassID	ClassName	DefRewardCount	DefRewardItem	Name	PerPix	PerRewardCount	PerRewardItem	Rank	Stat	Tag1	Tag2	Tag3	Time	UseItem	UseItemCount
Time	Time	UseItem	34	Expedition34	2	27513	<$>47618</>	0.3	1	27516	2	DEX	90	89	30	960	21450	400
Percent	Percent	Time	35	Expedition35	2	27513	<$>14444</>	0.075	1	27516	2	INT	15	67	64	480	21450	200
Percent	Percent	Percent	36	Expedition36	10	27513	<$>29489</>	0.0375	5	27516	2	CHA	84	56	28	1200	21450	1000
Percent	Percent	UseItem	37	Expedition37	10	27513	<$>204700</>	0.075	5	27516	2	STR	79	73	88	1200	21450	2000
UseItem	UseItem	Time	38	Expedition38	2	27513	<$>204701</>	0.3	1	27516	2	AGI	13	82	37	480	21450	800
UseItem	UseItem	Percent	39	Expedition39	10	27513	<$>12669</>	0.15	5	27516	2	CON	78	31	91	1200	21450	4000
UseItem	UseItem	UseItem	40	Expedition40	10	27513	<$>204702</>	0.3	5	27516	2	DEX	93	68	31	1200	21450	8000
Time	Percent	UseItem	41	Expedition41	3	27513	<$>12688</>	0.1	1	27516	3	INT	47	7	72	720	21450	800
Time	Time	Time	42	Expedition42	3	27513	<$>216682</>	0.2	2	27516	3	CHA	31	51	32	2880	21450	400
Time	Time	Percent	43	Expedition43	3	27513	<$>50064</>	0.1	2	27516	3	STR	79	90	18	1440	21450	400
Time	Time	UseItem	44	Expedition44	3	27513	<$>204704</>	0.2	2	27516	3	AGI	86	74	89	1440	21450	800
Percent	Percent	Time	45	Expedition45	3	27513	<$>104429</>	0.05	2	27516	3	CON	71	86	50	720	21450	400
Percent	Percent	Percent	46	Expedition46	3	27513	<$>103121</>	0.025	2	27516	3	DEX	83	62	31	360	21450	400
Percent	Percent	UseItem	47	Expedition47	3	27513	<$>29478</>	0.05	2	27516	3	INT	23	82	90	360	21450	800
UseItem	UseItem	Time	48	Expedition48	3	27513	<$>29498</>	0.2	2	27516	3	CHA	80	23	52	720	21450	1600
UseItem	UseItem	Percent	49	Expedition49	3	27513	<$>204705</>	0.1	2	27516	3	STR	46	75	87	360	21450	1600
UseItem	UseItem	UseItem	50	Expedition50	3	27513	<$>12711</>	0.2	2	27516	3	AGI	70	84	54	360	21450	3200
Time	Percent	UseItem	51	Expedition51	3	27513	<$>204706</>	0.1	2	27516	3	CON	85	41	71	840	21450	600
Time	Time	Time	52	Expedition52	3	27513	<$>204707</>	0.2	2	27516	3	DEX	92	81	8	3360	21450	300
Time	Time	Percent	53	Expedition53	3	27513	<$>8021</>	0.1	2	27516	3	INT	24	15	73	1680	21450	300
Time	Time	UseItem	54	Expedition54	3	27513	<$>204708</>	0.2	2	27516	3	CHA	72	93	78	1680	21450	600
Percent	Percent	Time	55	Expedition55	3	27513	<$>204709</>	0.05	1	27516	3	STR	88	89	24	840	21450	300
Percent	Percent	Percent	56	Expedition56	3	27513	<$>204710</>	0.025	1	27516	3	AGI	19	79	68	420	21450	300
Percent	Percent	UseItem	57	Expedition57	3	27513	<$>204711</>	0.05	1	27516	3	CON	91	48	80	420	21450	600
UseItem	UseItem	Time	58	Expedition58	3	27513	<$>64525</>	0.2	2	27516	3	DEX	81	24	45	840	21450	1200
UseItem	UseItem	Percent	59	Expedition59	3	27513	<$>204712</>	0.1	2	27516	3	INT	59	69	61	420	21450	1200
UseItem	UseItem	UseItem	60	Expedition60	3	27513	<$>204713</>	0.2	2	27516	3	CHA	13	87	9	420	21450	2400
Time	Percent	UseItem	61	Expedition61	4	27513	<$>39550</>	0.05	2	27517	4	STR	84	86	14	960	21805	10
Time	Time	Time	62	Expedition62	4	27513	<$>204714</>	0.1	2	27517	4	AGI	50	90	82	3840	21805	5
Time	Time	Percent	63	Expedition63	4	27513	<$>204715</>	0.05	2	27517	4	CON	18	64	77	1920	21805	5
Time	Time	UseItem	64	Expedition64	4	27513	<$>29551</>	0.1	2	27517	4	DEX	32	83	89	1920	21805	10
Percent	Percent	Time	65	Expedition65	4	27513	<$>204716</>	0.025	2	27517	4	INT	82	91	37	960	21805	5
Percent	Percent	Percent	66	Expedition66	4	27513	<$>204717</>	0.0125	2	27517	4	CHA	93	66	80	480	21805	5
Percent	Percent	UseItem	67	Expedition67	4	27513	<$>204718</>	0.025	2	27517	4	STR	78	44	74	480	21805	10
UseItem	UseItem	Time	68	Expedition68	4	27513	<$>29611</>	0.1	2	27517	4	AGI	85	71	17	960	21805	20
UseItem	UseItem	Percent	69	Expedition69	4	27513	<$>36879</>	0.05	2	27517	4	CON	77	88	65	480	21805	20
UseItem	UseItem	UseItem	70	Expedition70	4	27513	<$>14546</>	0.1	2	27517	4	DEX	79	84	65	480	21805	40
Time	Percent	UseItem	71	Expedition71	4	27513	<$>87435</>	0.05	2	27517	4	INT	84	81	33	1080	21805	14
Time	Time	Time	72	Expedition72	4	27513	<$>90178</>	0.1	2	27517	4	CHA	75	80	36	4320	21805	7
Time	Time	Percent	73	Expedition73	4	27513	<$>204719</>	0.05	2	27517	4	STR	41	89	92	2160	21805	7
Time	Time	UseItem	74	Expedition74	4	27513	<$>204720</>	0.1	2	27517	4	AGI	79	33	10	2160	21805	14
Percent	Percent	Time	75	Expedition75	4	27513	<$>94815</>	0.025	2	27517	4	CON	90	76	59	1080	21805	7
Percent	Percent	Percent	76	Expedition76	4	27513	<$>204721</>	0.0125	2	27517	4	DEX	85	38	35	540	21805	7
Percent	Percent	UseItem	77	Expedition77	4	27513	<$>98187</>	0.025	2	27517	4	INT	83	19	69	540	21805	14
UseItem	UseItem	Time	78	Expedition78	4	27513	<$>204722</>	0.1	2	27517	4	CHA	12	80	82	1080	21805	28
UseItem	UseItem	Percent	79	Expedition79	4	27513	<$>106864</>	0.05	2	27517	4	STR	85	73	77	540	21805	28
UseItem	UseItem	UseItem	80	Expedition80	4	27513	<$>98188</>	0.1	2	27517	4	AGI	89	70	71	540	21805	56
Time	Percent	UseItem	81	Expedition81	5	27513	<$>204723</>	0.025	3	27517	5	CON	74	92	87	1200	21805	20
Time	Time	Time	82	Expedition82	5	27513	<$>204724</>	0.05	3	27517	5	DEX	88	72	81	4800	21805	10
Time	Time	Percent	83	Expedition83	5	27513	<$>204725</>	0.025	3	27517	5	INT	17	87	57	2400	21805	10
Time	Time	UseItem	84	Expedition84	5	27513	<$>204726</>	0.05	3	27517	5	CHA	91	69	70	2400	21805	20
Percent	Percent	Time	85	Expedition85	5	27513	<$>204727</>	0.0125	3	27517	5	STR	77	56	60	1200	21805	10
Percent	Percent	Percent	86	Expedition86	5	27513	<$>204728</>	0.00625	3	27517	5	AGI	82	14	83	600	21805	10
Percent	Percent	UseItem	87	Expedition87	5	27513	<$>204729</>	0.0125	3	27517	5	CON	93	52	68	600	21805	20
UseItem	UseItem	Time	88	Expedition88	5	27513	<$>204730</>	0.05	3	27517	5	DEX	81	85	34	1200	21805	40
UseItem	UseItem	Percent	89	Expedition89	5	27513	<$>204731</>	0.025	3	27517	5	INT	92	70	88	600	21805	40
UseItem	UseItem	UseItem	90	Expedition90	5	27513	<$>204732</>	0.05	3	27517	5	CHA	75	92	20	600	21805	80
Time	Percent	UseItem	91	Expedition91	5	27513	<$>204733</>	0.025	3	27517	5	STR	39	71	11	1440	21805	24
Time	Time	Time	92	Expedition92	5	27513	<$>204734</>	0.05	3	27517	5	AGI	76	45	69	5760	21805	12
Time	Time	Percent	93	Expedition93	5	27513	<$>204735</>	0.025	3	27517	5	CON	83	73	91	2880	21805	12
Time	Time	UseItem	94	Expedition94	5	27513	<$>204736</>	0.05	3	27517	5	DEX	40	78	74	2880	21805	24
Percent	Percent	Time	95	Expedition95	5	27513	<$>144526</>	0.0125	3	27517	5	INT	85	20	93	1440	21805	12
Percent	Percent	Percent	96	Expedition96	5	27513	<$>204737</>	0.00625	3	27517	5	CHA	34	91	75	720	21805	12
Percent	Percent	UseItem	97	Expedition97	5	27513	<$>204738</>	0.0125	3	27517	5	STR	77	84	32	720	21805	24
UseItem	UseItem	Time	98	Expedition98	5	27513	<$>204739</>	0.05	3	27517	5	AGI	85	79	40	1440	21805	48
UseItem	UseItem	Percent	99	Expedition99	5	27513	<$>204740</>	0.025	3	27517	5	CON	11	82	81	720	21805	48
UseItem	UseItem	UseItem	100	Expedition100	5	27513	<$>197747</>	0.05	3	27517	5	DEX	93	10	83	720	21805	96
