AGI	AnimType	AttachEffectIndex	AttachEffectIndexBattle	BodyType	BoneType	BuffMidOffset	BuffTopOffset	CHA	CON	Cache	Category	CharacterBuff	CharacterBuffLv	ClassID	ClassName	ClassType	ClothType	CollectCard	CommPoint	CostumeListFemale	CostumeListMale	Create	CreationCard	DEAD	DEX	DamageOffset	DefaultArmor	DefaultArmorName	DefaultInvenItem	DefaultInvenItemCount	DefaultLWeapon	DefaultRWeapon	DefaultStance	Dummy_N_LH	Dummy_N_RH	EdgeColor	EngName	EqpAchieveSet	EqpArmorSet	EqpArtifactSet	EqpAssistSet	EqpBackSet	EqpBeltSet	EqpBootsSet	EqpBreastSet	EqpCostumeSet	EqpEarSet	EqpFaceSet	EqpGloveSet	EqpHeadSet	EqpNeckSet	EqpRingSet	EqpShoulderSet	EqpWeaponSet	EquipTown	EtcType	EventCard	ExpeditionTag	ExpertStance	Gender	HairType	HeadType	HitDummy	HitOffset	Home	IDL	INT	IconClass	JobDesc	JobSkill	JobSklName	KillVoice	LODDist	Mass	Name	OriginalDEADAni	PICK	PINCH	PoseType	RUN	RootNode	Rotation	RuneWordPercentage	STD	STR	STUN	ScaleF	ScaleM	SelfHitEffect	Size	TopDummy	UniqueHit	Value	VeteranStance	WLK	WeaponScale	WeightRatio	initLv
80	FGT	None	None	PC_SET_BOY1_BODY	PC_SET_BOY1	109	159	50	40	TRUE	Cityzen	ChaATK	2	11	Ramiro	BOY1	Normal	29005	0	None	None	Hire	22006	None	50	125	15001	CrecementoLeather	0	0	10000	7201	Bareknuckle,PlowGuard,MiddleGuard,RoofGuard,BackGuard	None	None	FFFFFF00	Ramiro	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosBoys,CosRam,CosBoy1	None,Ear	None,FaceRam,FaceBoy1	None,Glove,LGlove	None,HatBoy1	None,Necklace	None,Ring	None,Shoulder	1100,1101,1102,1103	TRUE	None	22505	26,49,59	None	Male	PC_SET_BOY1_HAIR	PC_SET_BOY1_HEAD	Bip01 Spine1	109	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87025</>	1006	Sprint	None	1200	0.9	<$>83</>	NO	PC_PICK_FGT	PC_PINCH_FGT	VIKI	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	60	PC_STUN_FGT	0	0.725	HIT_Blood_Human	S	Dummy_State	NO	320	LowGuard,Sidewinder	PC_WLK_FGT	None	1	20
80	FGT	None	None	PC_SET_BOY2_BODY	PC_SET_BOY2	111	162	50	40	TRUE	Cityzen	ChaATK	2	12	Tiburon	BOY2	Normal	29006	0	None	None	Hire	22007	None	50	128	15001	CrecementoLeather	0	0	10000	7201	Bareknuckle,PlowGuard,MiddleGuard,TailGuard,BackGuard	None	None	FFFFFF00	Tiburon	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosBoys,CosRam	None,Ear	None,FaceRam	None,Glove,LGlove	None,HatBoy2	None,Necklace	None,Ring	None,Shoulder	1200,1201,1202,1203	TRUE	None	22506	28,49,59	None	Male	PC_SET_BOY2_HAIR	PC_SET_BOY2_HEAD	Bip01 Spine1	111	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87025</>	1006	Sprint	None	1200	0.9	<$>89</>	NO	PC_PICK_FGT	PC_PINCH_FGT	VIKI	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	60	PC_STUN_FGT	0	0.74	HIT_Blood_Human	S	Dummy_State	NO	320	LowGuard,Sidewinder	PC_WLK_FGT	None	1	20
70	FGT	None	None	PC_SET_JACK_BODY	PC_SET_JACK	133	194	40	50	TRUE	Cityzen	ChaIncDEX	1	13	Jack	JACK	Normal	29007	0	None	None	Hire	22008	None	60	153	15001	CrecementoLeather	21113	15	10000	7207	InstallTrap,PenetrarCruz,Construction	None	None	FFFFFF00	Jack	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosJack	None,Ear	None,	None,Glove,LGlove	None,HatJack	None,Necklace	None,Ring	None,Shoulder	1300,1301,1302	TRUE	None	22507	48,74,73	None	Male	PC_SET_JACK_HAIR	PC_SET_JACK_HEAD	Bip01 Spine1	133	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87026</>	1043	DestroyerMode	None	1200	1	<$>85</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	50	PC_STUN_FGT	0	0.983	HIT_Blood_Human	S	Dummy_State	NO	310	None	PC_WLK_FGT	None	1	20
50	FGT	None	None	PC_SET_YEGA_BODY	PC_SET_YEGA	131	192	50	50	TRUE	Cityzen	ChaIncDEX	1	14	Yeganeh	YEGA	Normal	29008	0	None	None	Hire	22009	None	70	151	15001	CrecementoLeather	21113	15	10000	7201	InstallTrap,BackGuard,ConstructionYega,HackandSlash	None	None	FFFFFF00	Yeganeh	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosYega	None,Ear	None,	None,Glove,LGlove	None,HatYega	None,Necklace	None,Ring	None,Shoulder	1400,1401,1402,1403	TRUE	None	22508	26,53,48	None	Male	PC_SET_YEGA_HAIR	PC_SET_YEGA_HEAD	Bip01 Spine1	131	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87027</>	1044	DefendMode	None	1200	1	<$>84</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	60	PC_STUN_FGT	0	0.972	HIT_Blood_Human	S	Dummy_State	NO	320	None	PC_WLK_FGT	None	1	40
50	FGT	None	None	PC_SET_SELD_BODY	PC_SET_SELD	132	193	30	60	TRUE	Cityzen	ChaIncDEX	1	15	Selden	SELD	Normal	0	0	None	None	Hire	22010	None	60	152	14000	NoArmor	21113	15	10000	13065	InstallTrap,Escrima	None	None	FFFFFF00	Worker	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible	None,Ear	None,	None,Glove,LGlove	None,	None,Necklace	None,Ring	None,Shoulder	1500,1501	TRUE	None	0	1,1,1	None	Male	None	PC_SET_SELD_HEAD	Bip01 Spine1	132	GranadoEspada	PC_IDL_FGT	40	fighter	<$>47009</>	1007	CancelStructure	None	1200	1	<$>47008</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	FALSE	0	PC_STD_FGT	60	PC_STUN_FGT	0	0.978	HIT_Blood_Human	S	Dummy_State	NO	300	None	PC_WLK_FGT	None	1	16
60	FGT	None	None	PC_SET_TAY_BODY	PC_SET_TAY	137	201	50	70	TRUE	Designer	ChaBLK	2	16	Andre	TAY	Normal	29009	0	None	None	Hire	22011	None	60	158	15001	CrecementoLeather	0	0	10000	7203	Bareknuckle,EpeeGarde,SabreGarde,MaingaucheGarde	None	None	FFFFFF00	Andre	None,Achieve	None,Leather,Coat,Robe	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosAng	None,Ear	None,	None,Glove,LGlove	None,HatAng,HatRab	None,Necklace	None,Ring	None,Shoulder	1600,1601,1602,1603	TRUE	None	22509	75,42,72	None	Male	PC_SET_TAY_HAIR	PC_SET_TAY_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87028</>	2008	Fantastic	None	1200	1.1	<$>82</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	70	PC_STUN_FGT	0	1.017	HIT_Blood_Human	S	Dummy_State	NO	350	None	PC_WLK_FGT	None	1	60
50	FGT	None	None	PC_SET_COOK_BODY	PC_SET_COOK	134	195	50	60	TRUE	Cityzen	ChaMSATK	1	17	Panfilo	COOK	Normal	29010	0	None	None	Hire	22012	None	40	154	15001	CrecementoLeather	0	0	10000	7201	Bareknuckle,BackGuard,HackandSlash,FlameGuard,MiddleGuard	None	None	FFFFFF00	Panfilo	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosCook,CosCookAll	None,Ear	None,	None,Glove,LGlove	None,HatCook,HatCookAll	None,Necklace	None,Ring	None,Shoulder	1700,1701,1702,1703,1704,1705,1706	TRUE	None	22510	26,74,41	None	Male	PC_SET_COOK_HAIR	PC_SET_COOK_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_FGT	60	fighter	<$>87029</>	2009	BattleCook	None	1200	1	<$>11192</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	70	PC_STUN_FGT	0	0.913	HIT_Blood_Human	S	Dummy_State	NO	330	LowGuard	PC_WLK_FGT	None	1	40
50	MUS	None	None	PC_SET_ART_BODY	PC_SET_ART	134	196	40	50	TRUE	Soldier	ChaIncDEX	1	18	Jose	ART	Normal	29011	0	None	None	Hire	22013	None	70	154	15002	CrecementoMetal	0	0	10000	7214	Bareknuckle,BlandirCruz,SiegeBurst,PenetrarCruz	None	None	FFFFFF00	Cortasar	None,Achieve	None,Leather,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosInvisible,CosJose	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatJose	None,Necklace	None,Ring	None,Shoulder	1800,1801,1802	TRUE	None	22511	27,41,6	None	Male	PC_SET_ART_HAIR	PC_SET_ART_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_ART	50	musketeer	<$>87030</>	2007	SiegeMode	None	1200	1.1	<$>11136</>	NO	PC_PICK_MUS	PC_PINCH_MUS	FISH	PC_RUN_MUS	Bip01	TRUE	0	PC_STD_ART	50	PC_STUN_MUS	0	0.852	HIT_Blood_Human	S	Dummy_State	NO	310	MightyCruz,GiganticMarksmanship	PC_WLK_ART	None	2	60
80	PIR	None	None	PC_SET_PIR_BODY	PC_SET_PIR	128	187	50	60	TRUE	Cityzen	ChaASPD	2	19	Adelina	PIR	Normal	29012	0	None	None	Hire	22014	None	60	147	15001	CrecementoLeather	0	0	10000	7205	Bareknuckle,MiddleGuard,FreestyleShot,BackGuard,TwinBlades,HeavenorHell,DoublegunsShot	None	None	FFFFFF00	Adelina	None,Achieve	None,Leather	None,Artifact	None,LargeCaliberBullet	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosPirate,CosAven	None,Ear,EarAdel	None,	None,Glove,LGlove	None,HatPirate,HatAven	None,Necklace	None,Ring	None,Shoulder	1900,1901,1902,1903,1904,1905	TRUE	None	22512	27,55,68	None	Female	PC_SET_PIR_HAIR	PC_SET_PIR_HEAD	Bip01 Spine1	128	GranadoEspada	PC_IDL_PIR	30	fighter	<$>87031</>	2004	Rage	None	1200	1	<$>11182</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_PIR	Bip01	TRUE	0	PC_STD_PIR	60	PC_STUN_FGT	0.944	0	HIT_Blood_Human	S	Dummy_State	NO	340	LowGuard	PC_WLK_PIR	None	1	40
30	WIZ	None	None	PC_SET_SHAM_BODY	PC_SET_SHAM	142	207	70	60	TRUE	Cityzen	ChaMHP	1	20	MBoma	SHAM	Normal	29013	0	None	None	Hire	22015	None	40	163	15003	CrecementoCoat	21114	10	10000	7221	PhantomIllusion,PossessionFire,EvocationFire,Levitation	None	None	FFFFFF00	M'Boma	None,Achieve	None,Coat,Robe	None,Artifact	None	None,Back	None,Belt	None,Boots	None,Breast	None,CosInvisible,CosMbo	None,Ear	None,FaceMbo	None,Glove	None,HatMbo,HatRab	None,Necklace	None,Ring	None,Shoulder	2000,2001,2003,2004,2005	TRUE	None	22513	22,74,46	None	Male	PC_SET_SHAM_HAIR	PC_SET_SHAM_HEAD	Bip01 Spine1	142	GranadoEspada	PC_IDL_WIZ	70	wizard	<$>87032</>	2005	Powerabsinia	None	1200	1	<$>5153</>	NO	PC_PICK_WIZ	PC_PINCH_WIZ	WIZ	PC_RUN_WIZ	Bip01	TRUE	0	PC_STD_WIZ	30	PC_STUN_WIZ	0	0.984	HIT_Blood_Human	S	Dummy_State	NO	300	Anathema,DominationFire	PC_WLK_WIZ	None	1	60
