ClassID	ItemID
228	65212
229	65213
230	65214
231	65215
232	65216
233	65217
234	65218
235	65219
236	65220
237	65221
238	65222
239	65223
240	65224
241	65225
242	65226
243	65227
244	65228
245	65229
246	65230
247	65231
248	65232
249	65233
250	65234
251	65235
252	65236
253	65237
254	65238
255	65239
256	65240
257	65241
258	65242
259	65243
260	65244
261	65245
262	65246
263	65247
264	65249
265	65250
266	65251
267	65252
268	65253
269	65254
270	65255
271	65256
272	65257
273	65258
274	65259
275	65260
276	65261
277	65262
278	65263
279	65264
280	65265
281	65266
282	65267
283	65268
284	65269
285	65270
286	65271
287	65272
288	65273
289	65274
290	65275
291	65276
292	65277
293	65278
294	65279
295	65280
296	65281
297	65282
298	65283
299	65284
300	65285
301	65286
302	65287
303	65288
304	65289
305	65290
306	65291
307	65292
308	65293
309	65294
310	65295
311	65296
312	65297
313	65298
314	65299
315	65300
316	65301
317	65302
318	65303
319	65304
320	65305
321	65306
322	65307
323	65308
324	65309
325	65310
326	65320
327	65321
328	65322
329	65323
330	65324
331	65325
332	65327
333	65328
334	500001
335	500002
336	500003
337	500004
338	500005
339	500006
340	500007
341	500008
342	500009
343	500010
344	500011
345	500012
346	500013
347	500014
348	500015
349	500016
350	500017
351	500018
352	501001
353	501002
354	501003
355	501004
356	501005
357	501006
358	501007
359	501008
360	501009
361	502001
362	502002
363	502003
364	502004
365	502005
366	502006
367	502007
368	502008
369	502009
370	503001
371	503002
372	503003
373	503004
374	503005
375	503006
376	503007
377	503008
378	503009
379	504001
380	504002
381	504003
382	504004
383	504005
384	504006
385	504007
386	504008
387	504009
388	15276
389	15277
390	15282
391	15283
392	125300
393	125301
394	125302
395	125303
396	125304
397	125305
398	125306
399	125307
400	125308
401	125309
402	125310
403	125311
404	125312
405	125313
406	125314
407	125315
408	125316
409	125317
410	125318
411	125319
412	125320
413	125321
414	125322
415	125323
416	125324
417	125325
418	125326
419	125327
420	125328
421	125329
422	125330
423	125400
424	125331
425	125332
426	125333
427	125334
428	125335
429	125336
430	125337
431	125338
432	125339
433	125340
434	125341
435	125342
436	125343
437	125344
438	125345
439	125346
440	125347
441	125348
442	125349
443	125350
444	125351
445	125352
446	125353
447	125354
448	125355
449	125356
450	125357
451	125358
452	125359
453	125360
456	15101
457	15102
458	15103
459	15104
460	15105
461	15106
462	46043
463	45047
464	19150
465	19542
466	15347
467	125431
468	127001
469	127002
470	127003
471	127004
472	127005
473	127006
474	127007
475	127008
476	127009
477	127010
478	127011
479	127012
480	127013
481	127014
482	127015
483	127016
484	127017
485	127018
486	127019
487	127020
488	127021
489	127022
490	127023
491	127024
492	127025
493	127026
494	127027
495	127028
496	127029
497	127030
498	127031
499	127032
500	127033
501	127034
502	127035
503	127036
504	127037
505	127038
506	127039
507	127040
508	127041
509	127042
510	127043
511	127044
512	127045
513	127046
514	127047
515	127048
516	127049
517	127050
518	127051
519	127052
520	127053
521	127054
522	127055
523	127056
524	127057
525	127058
526	127059
527	127060
528	127061
529	127062
530	127063
531	127064
532	127065
533	127066
534	127067
535	127068
536	127069
537	127070
538	127071
539	127072
540	127073
541	127074
542	127075
543	127076
544	127077
545	127078
546	127079
547	127080
548	127081
549	127082
550	127083
551	127084
552	127085
553	127086
554	127087
555	127088
556	127089
557	127090
558	127091
559	127092
560	127093
561	127094
562	127095
563	127096
564	127097
565	127098
566	127099
567	127100
568	66007
569	127101
570	127102
571	127103
572	127104
573	127105
574	127106
575	127107
576	127108
577	127109
578	127110
579	127111
580	127112
581	127113
582	127114
583	127115
584	127116
585	127117
586	127118
587	127119
588	127120
589	127121
590	127122
591	127123
592	127124
593	127125
594	127126
595	127127
596	127128
597	127129
598	127130
599	127131
600	127132
601	127133
1000	66008
1001	66009
1002	66010
1003	66011
1004	66012
1005	66013
1006	66014
1007	66015
1008	66016
1009	66017
1010	66018
1011	500026
1012	503011
1013	504011
1014	501011
1015	502012
1016	13480
1017	15161
1018	15163
1019	15165
1020	15166
