Blink1	Blink2	Blink3	ClassID	ClassName	Color1	Color2	Color3	Control1	Control2	Control3	Desc	Duration1	Duration2	Duration3	Frame1	Frame2	Frame3	HelpName	HelpUIImg	HelpUIName	HelpUIPicture	Interval1	Interval2	Interval3	Leader1	Leader2	Leader3	Notice	Sound	Title
3	0	0	19	TUTO_DUN1_12	7DCA67CA	None	None	Assault	None	None	<$>63703</>	0.5	0	0	battlecommand	None	None	None	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>63702</>
0	0	0	20	TUTO_DUN1_13	None	None	None	None	None	None	<$>63705</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63704</>
3	0	0	21	TUTO_DUN1_14	7DCA67CA	None	None	Assault	None	None	<$>63706</>	0.5	0	0	battlecommand	None	None	<$>9392</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>9392</>
3	0	0	22	TUTO_DUN2_1	7DCA67CA	None	None	Hold	None	None	<$>63707</>	0.5	0	0	battlecommand	None	None	<$>9415</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>9415</>
3	0	0	23	TUTO_DUN2_2	7DCA67CA	None	None	Keep	None	None	<$>63708</>	0.5	0	0	battlecommand	None	None	<$>10792</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>11278</>
3	0	0	24	TUTO_DUN2_3	7DCA67CA	None	None	Harvest	None	None	<$>119532</>	0.5	0	0	battlecommand	None	None	<$>10793</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>10793</>
0	0	0	25	TUTO_DUN2_4	None	None	None	None	None	None	<$>63711</>	0	0	0	None	None	None	<$>63710</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63710</>
0	0	0	26	TUTO_DUN2_5	None	None	None	None	None	None	<$>63713</>	0	0	0	None	None	None	<$>63712</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63712</>
3	0	0	27	TUTO_DUN2_6	7DCA67CA	None	None	Harvest	None	None	<$>63715</>	0.5	0	0	battlecommand	None	None	None	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>63714</>
0	0	0	28	TUTO_DUN2_7	None	None	None	None	None	None	<$>63717</>	0	0	0	None	None	None	<$>63716</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63716</>
0	0	0	29	TUTO_DUN2_8	None	None	None	None	None	None	<$>63718</>	0	0	0	None	None	None	<$>10794</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10794</>
0	0	0	30	TUTO_DUN2_9	None	None	None	None	None	None	<$>187950</>	0	0	0	None	None	None	<$>63720</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63719</>
3	0	0	31	TUTO_DUN2_10	7DCA67CA	None	None	OPEN_SKILLINFO	None	None	<$>63724</>	0.5	0	0	charbaseinfo	None	None	<$>63723</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63722</>
0	0	0	32	TUTO_DUN3_1	None	None	None	None	None	None	<$>63726</>	0	0	0	None	None	None	<$>63725</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63725</>
0	0	0	33	TUTO_DUN3_2	None	None	None	None	None	None	<$>63728</>	0	0	0	None	None	None	<$>63727</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63727</>
0	0	0	34	TUTO_DUN3_3	None	None	None	None	None	None	<$>63730</>	0	0	0	None	None	None	<$>63729</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63729</>
0	0	0	35	TUTO_DUN3_4	None	None	None	None	None	None	<$>63732</>	0	0	0	None	None	None	<$>63731</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63731</>
0	0	0	36	TUTO_DUN3_5	None	None	None	None	None	None	<$>63734</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	sys_tuto_start.ogg	<$>63733</>
0	0	0	37	TUTO_DUN3_6	None	None	None	None	None	None	<$>63736</>	0	0	0	None	None	None	<$>63735</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	MCC
0	0	0	38	TUTO_DUN3_7	None	None	None	None	None	None	<$>63738</>	0	0	0	None	None	None	<$>27174</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63737</>
0	0	0	39	TUTO_DUN3_8	None	None	None	None	None	None	<$>63740</>	0	0	0	None	None	None	<$>27175</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63739</>
0	0	0	40	TUTO_DUN3_9	None	None	None	None	None	None	<$>63743</>	0	0	0	None	None	None	<$>63742</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63741</>
3	0	0	41	TUTO_DUN3_10	7DCA67CA	None	None	TeamSelectMode	None	None	<$>63745</>	0.5	0	0	battlecommand	None	None	<$>63744</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63744</>
0	0	0	42	TUTO_DUN3_11	None	None	None	None	None	None	<$>73050</>	0	0	0	None	None	None	<$>63747</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63746</>
0	0	0	43	TUTO_DUN3_12	None	None	None	None	None	None	<$>63750</>	0	0	0	None	None	None	<$>63749</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63749</>
0	0	0	44	TUTO_DUN4_1	None	None	None	None	None	None	<$>63752</>	0	0	0	None	None	None	<$>63751</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63751</>
0	0	0	45	TUTO_DUN4_2	None	None	None	None	None	None	<$>63754</>	0	0	0	None	None	None	<$>63753</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63753</>
0	0	0	46	TUTO_DUN4_3	None	None	None	None	None	None	<$>63756</>	0	0	0	None	None	None	<$>63755</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63755</>
0	0	0	47	TUTO_DUN4_4	None	None	None	None	None	None	<$>63759</>	0	0	0	None	None	None	<$>63758</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63757</>
0	0	0	48	TUTO_DUN4_5	None	None	None	None	None	None	<$>63761</>	0	0	0	None	None	None	<$>63760</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63760</>
0	0	0	49	TUTO_DUN4_6	None	None	None	None	None	None	<$>63762</>	0	0	0	None	None	None	<$>27321</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>27321</>
0	0	0	50	TUTO_DUN4_7	None	None	None	None	None	None	<$>63764</>	0	0	0	None	None	None	<$>63763</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63763</>
0	0	0	51	TUTO_DUN4_8	None	None	None	None	None	None	<$>63766</>	0	0	0	None	None	None	<$>63765</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63765</>
0	0	0	52	TUTO_DUN4_9	None	None	None	None	None	None	<$>63768</>	0	0	0	None	None	None	<$>63767</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63767</>
0	0	0	53	TUTO_DUN4_10	None	None	None	None	None	None	<$>63770</>	0	0	0	None	None	None	<$>63769</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63769</>
0	0	0	54	TUTO_DUN4_11	None	None	None	None	None	None	<$>93336</>	0	0	0	None	None	None	<$>9076</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>9076</>
0	0	0	55	TUTO_DUN4_12	None	None	None	None	None	None	<$>187951</>	0	0	0	None	None	None	<$>63772</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63772</>
0	0	0	56	TUTO_DUN4_13	None	None	None	None	None	None	<$>63774</>	0	0	0	None	None	None	<$>10801</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10801</>
0	0	0	57	TUTO_DUN4_14	None	None	None	None	None	None	<$>133626</>	0	0	0	None	None	None	<$>10796</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10796</>
0	0	0	58	TUTO_DUN4_15	None	None	None	None	None	None	<$>187952</>	0	0	0	None	None	None	<$>63776</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63776</>
0	0	0	59	TUTO_DUN4_18	None	None	None	None	None	None	<$>187954</>	0	0	0	None	None	None	<$>187953</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>187953</>
0	0	0	60	TUTO_DUN5_3	None	None	None	None	None	None	<$>63783</>	0	0	0	None	None	None	<$>10790</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10790</>
0	0	0	61	TUTO_DUN5_4	None	None	None	None	None	None	<$>63785</>	0	0	0	None	None	None	<$>63784</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63784</>
0	0	0	62	TUTO_DUN5_5	None	None	None	None	None	None	<$>63786</>	0	0	0	None	None	None	<$>10813</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10813</>
0	0	0	63	TUTO_DUN6_1	None	None	None	None	None	None	<$>63787</>	0	0	0	None	None	None	<$>10814</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10814</>
0	0	0	64	TUTO_DUN6_2	None	None	None	None	None	None	<$>63788</>	0	0	0	None	None	None	<$>10815</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10815</>
0	0	0	65	TUTO_DUN6_3	None	None	None	None	None	None	<$>63789</>	0	0	0	None	None	None	<$>10816</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10816</>
0	0	0	66	TUTO_DUN6_4	None	None	None	None	None	None	<$>63790</>	0	0	0	None	None	None	<$>82</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>82</>
0	0	0	67	TUTO_DUN6_5	None	None	None	None	None	None	<$>63791</>	0	0	0	None	None	None	<$>10800</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10800</>
0	0	0	68	TUTO_DUN6_6	None	None	None	None	None	None	<$>63792</>	0	0	0	None	None	None	<$>10810</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10810</>
0	0	0	69	TUTO_DUN6_7	None	None	None	None	None	None	<$>63793</>	0	0	0	None	None	None	<$>3366</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>3366</>
0	0	0	70	TUTO_DUN6_8	None	None	None	None	None	None	<$>63794</>	0	0	0	None	None	None	<$>10799</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10799</>
0	0	0	71	TUTO_DUN6_9	None	None	None	None	None	None	<$>187956</>	0	0	0	None	None	None	<$>187955</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>187955</>
0	0	0	72	TUTO_DUN6_10	None	None	None	None	None	None	<$>187958</>	0	0	0	None	None	None	<$>187957</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>187957</>
0	0	0	73	TUTO_DUN6_11	None	None	None	None	None	None	<$>63797</>	0	0	0	None	None	None	<$>10795</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10795</>
0	0	0	74	TUTO_DUN6_12	None	None	None	None	None	None	<$>63798</>	0	0	0	None	None	None	<$>51707</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>51707</>
0	0	0	75	TUTO_DUN6_13	None	None	None	None	None	None	<$>187960</>	0	0	0	None	None	None	<$>187959</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>187959</>
0	0	0	76	TUTO_DUN6_14	None	None	None	None	None	None	<$>63800</>	0	0	0	None	None	None	<$>10805</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10805</>
0	0	0	77	TUTO_DUN6_15	None	None	None	None	None	None	<$>187962</>	0	0	0	None	None	None	<$>187961</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>187961</>
0	0	0	78	TUTO_DUN6_16	None	None	None	None	None	None	<$>187963</>	0	0	0	None	None	None	<$>142225</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>142225</>
0	0	0	79	TUTO_DUN6_17	None	None	None	None	None	None	<$>133627</>	0	0	0	None	None	None	<$>10808</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10808</>
0	0	0	80	TUTO_DUN6_18	None	None	None	None	None	None	<$>63804</>	0	0	0	None	None	None	<$>10797</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10797</>
0	0	0	81	TUTO_DUN6_19	None	None	None	None	None	None	<$>63805</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	None
0	0	0	82	TUTO_DUN6_20	None	None	None	None	None	None	<$>128029</>	0	0	0	None	None	None	<$>10806</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>10806</>
0	0	0	83	TUTO_DUN6_21	None	None	None	None	None	None	<$>63808</>	0	0	0	None	None	None	<$>63807</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63807</>
0	0	0	84	TUTO_DUN6_22	None	None	None	None	None	None	<$>124070</>	0	0	0	None	None	None	<$>108996</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>108996</>
0	0	0	85	BOSS_ALQA_1	None	None	None	None	None	None	None	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	86	TUTO_REB_1	None	None	None	None	None	None	None	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	87	TUTO_REB_2	None	None	None	None	None	None	None	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	88	TUTO_REB_3	None	None	None	None	None	None	None	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	89	TUTO_REB_4	None	None	None	None	None	None	None	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	90	TUTO_REB_5	None	None	None	None	None	None	None	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	1001	transfer_enchant	None	None	None	None	None	None	<$>133629</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>133628</>
0	0	0	1002	gambleitem	None	None	None	None	None	None	<$>133630</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>80357</>
0	0	0	1003	reinforce	None	None	None	None	None	None	<$>133631</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>81112</>
0	0	0	1004	itemsocket	None	None	None	None	None	None	<$>133632</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>9275</>
0	0	0	1005	itemlumin	None	None	None	None	None	None	<$>133634</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>133633</>
0	0	0	1006	auctionsell	None	None	None	None	None	None	<$>136750</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>136749</>
0	0	0	1007	attendance_item	None	None	None	None	None	None	<$>180548</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>180547</>
