BlessItemID	BlessScp	ClassID	ClassName	Desc	DescFont	EquipBless	Value
160091	SCR_ITEM_BLESS_IncATK	34	Bless_AbyssWep_ATK	<$>193187</>	water_blue_14_ol	RH	15
160092	SCR_ITEM_BLESS_IncIP	35	Bless_AbyssWep_IP	<$>193188</>	water_blue_14_ol	RH	5
160161	SCR_ITEM_BLESS_SoftBane	36	Valeron_Bless_Soft	<$>193189</>	water_blue_14_ol	RH	15
160162	SCR_ITEM_BLESS_MediumBane	37	Valeron_Bless_Medium	<$>193190</>	water_blue_14_ol	RH	15
160163	SCR_ITEM_BLESS_MetalBane	38	Valeron_Bless_Hard	<$>193191</>	water_blue_14_ol	RH	15
160241	SCR_ITEM_DevilBless	39	DevilBless	<$>193192</>	water_blue_14_ol	RH	1
40206	SCR_ITEM_BLESS_IncAR	40	Bless_ValWep_AR	<$>193193</>	water_blue_14_ol	RH	1
40207	SCR_ITEM_BLESS_IncATK	41	Bless_ValWep_ATK	<$>193194</>	water_blue_14_ol	RH	15
40208	SCR_ITEM_BLESS_IncFireATK	42	Bless_ValWep_FireATK	<$>193195</>	water_blue_14_ol	RH	60
40209	SCR_ITEM_BLESS_IncIceATK	43	Bless_ValWep_IceATK	<$>193196</>	water_blue_14_ol	RH	60
40210	SCR_ITEM_BLESS_IncLghtATK	44	Bless_ValWep_LghtATK	<$>193197</>	water_blue_14_ol	RH	60
40211	SCR_ITEM_BLESS_IncPsyATK	45	Bless_ValWep_PsyATK	<$>193198</>	water_blue_14_ol	RH	60
40212	SCR_ITEM_BLESS_IncIP	46	Bless_ValWep_IP	<$>193199</>	water_blue_14_ol	RH	8
40213	SCR_ITEM_BLESS_IncDefIP	47	Bless_ValWep_DefIP	<$>193200</>	water_blue_14_ol	RH	8
40214	SCR_ITEM_BLESS_IncFireIP	48	Bless_ValWep_FireIP	<$>193201</>	water_blue_14_ol	RH	8
40215	SCR_ITEM_BLESS_IncIceIP	49	Bless_ValWep_IceIP	<$>193202</>	water_blue_14_ol	RH	8
40216	SCR_ITEM_BLESS_IncLgtIP	50	Bless_ValWep_LgtIP	<$>193203</>	water_blue_14_ol	RH	8
40217	SCR_ITEM_BLESS_IncPsyIP	51	Bless_ValWep_PsyIP	<$>193204</>	water_blue_14_ol	RH	8
40218	SCR_ITEM_BLESS_IncCRT	52	Bless_ValWep_CRT	<$>193205</>	water_blue_14_ol	RH	15
40219	SCR_ITEM_BLESS_IncASPD	53	Bless_ValWep_ASPD	<$>193206</>	water_blue_14_ol	RH	20
40220	SCR_ITEM_BLESS_IncHR	54	Bless_ValWep_HR	<$>193207</>	water_blue_14_ol	RH	20
40221	SCR_ITEM_BLESS_IncSTR	55	Bless_ValWep_STR	<$>193208</>	water_blue_14_ol	RH	8
40222	SCR_ITEM_BLESS_IncAGI	56	Bless_ValWep_AGI	<$>193209</>	water_blue_14_ol	RH	8
40223	SCR_ITEM_BLESS_IncCON	57	Bless_ValWep_CON	<$>193210</>	water_blue_14_ol	RH	8
40224	SCR_ITEM_BLESS_IncDEX	58	Bless_ValWep_DEX	<$>193211</>	water_blue_14_ol	RH	8
40225	SCR_ITEM_BLESS_IncINT	59	Bless_ValWep_INT	<$>193212</>	water_blue_14_ol	RH	8
40226	SCR_ITEM_BLESS_IncCHA	60	Bless_ValWep_CHA	<$>193213</>	water_blue_14_ol	RH	8
40227	SCR_ITEM_BLESS_IncDR	61	Bless_ValWep_DR	<$>140553</>	water_blue_14_ol	BODY	1
40228	SCR_ITEM_BLESS_IncDEF	62	Bless_ValWep_DEF	<$>193214</>	water_blue_14_ol	BODY	10
40229	SCR_ITEM_BLESS_IncRMEELE	63	Bless_ValWep_RMEELE	<$>193215</>	water_blue_14_ol	BODY	12
40230	SCR_ITEM_BLESS_IncRSHOOT	64	Bless_ValWep_RSHOOT	<$>193216</>	water_blue_14_ol	BODY	12
40231	SCR_ITEM_BLESS_IncRMAGIC	65	Bless_ValWep_RMAGIC	<$>193217</>	water_blue_14_ol	BODY	12
40232	SCR_ITEM_BLESS_IncRALL	66	Bless_ValWep_RALL	<$>193218</>	water_blue_14_ol	BODY	8
40233	SCR_ITEM_BLESS_IncIMP	67	Bless_ValWep_IMP	<$>193219</>	water_blue_14_ol	BODY	8
40234	SCR_ITEM_BLESS_IncPR	68	Bless_ValWep_PR	<$>193220</>	water_blue_14_ol	BODY	10
40235	SCR_ITEM_BLESS_IncBLK	69	Bless_ValWep_BLK	<$>193221</>	water_blue_14_ol	BODY	10
40236	SCR_ITEM_BLESS_IncMSPD	70	Bless_ValWep_MSPD	<$>193222</>	water_blue_14_ol	BODY	15
40237	SCR_ITEM_BLESS_IncMHP	71	Bless_ValWep_MHP	<$>193223</>	water_blue_14_ol	BODY	20
