ClassID	Desc	RallyPoint1x	RallyPoint1y	RallyPoint1z	RallyPoint21z	RallyPoint2x	RallyPoint2y	RallyPoint2z	RallyPoint3x	RallyPoint3y	RallyPoint3z	RallyPoint4x	RallyPoint4y	RallyPoint4z
10404	<$>57915</>	2986	5559	1285	0	1954	1365	702	383	-4420	0	0	0	0
10405	<$>57916</>	-3106	5610	1285	0	0	3000	1164	0	0	0	0	0	0
10406	<$>57917</>	2986	5559	1285	0	0	3000	1164	0	0	0	0	0	0
10407	<$>57918</>	0	3000	1164	0	0	0	0	0	0	0	0	0	0
10408	<$>57919</>	0	3000	1164	0	0	0	0	0	0	0	0	0	0
10705	<$>57920</>	-7269	5688	322	0	-6656	3742	326	-8605	3983	322	0	0	0
10706	<$>57921</>	-6656	3742	326	0	-7269	5688	322	-8605	3983	322	0	0	0
10801	<$>57922</>	2633	3914	-1974	0	5851	-823	-2012	612	-4858	-1895	0	0	0
10802	<$>57923</>	612	-4858	-1895	0	5851	-823	-2012	2633	3914	-1974	0	0	0
10803	<$>57924</>	2633	3914	-1974	0	-673	3016	-1471	-2943	133	-746	0	0	0
10804	<$>57925</>	612	-4858	-1895	0	-51	-4067	-1618	-2943	133	-746	0	0	0
10805	<$>57926</>	5851	-823	-2012	0	2633	3914	-1974	-2943	133	-746	0	0	0
10806	<$>57927</>	5851	-823	-2012	0	2042	-4939	-1984	-2943	133	-746	0	0	0
10807	<$>57928</>	2934	4482	-1844	0	4109	3677	-2033	4152	4938	-1818	0	0	0
10808	<$>57929</>	2913	-6585	2065	0	4224	-6584	-2101	3562	-7531	-2058	0	0	0
10809	<$>57930</>	5552	-3090	-2001	0	6331	-2291	-2037	6876	-3356	-2043	0	0	0
11001	<$>57931</>	-1726	-9886	0	0	-4103	-9893	0	-7863	-9886	0	0	0	0
11002	<$>57932</>	104	-3652	0	0	4277	-4944	0	-6300	-9859	0	0	0	0
11003	<$>57933</>	2	4596	0	0	4277	-4944	0	-6300	-9859	0	0	0	0
11004	<$>57934</>	-691	-9872	0	0	-41	4450	0	65	18640	0	0	0	0
11501	<$>57935</>	0	9506	2478	0	0	0	0	0	0	0	0	0	0
11601	<$>57935</>	-17306	13558	1373	0	0	0	0	0	0	0	0	0	0
11701	<$>57936</>	242	7830	149	0	0	0	0	0	0	0	0	0	0
11901	<$>57937</>	3197	-6182	-2346	0	0	0	0	0	0	0	0	0	0
11911	<$>57938</>	23914	-6852	-188	0	0	0	0	0	0	0	0	0	0
11912	<$>57939</>	27641	-8353	-212	0	0	0	0	0	0	0	0	0	0
11913	<$>57940</>	26283	-12371	-611	0	0	0	0	0	0	0	0	0	0
11914	<$>57941</>	23695	-16138	-619	0	0	0	0	0	0	0	0	0	0
12001	<$>57942</>	0	0	-98	0	0	0	0	0	0	0	0	0	0
12101	<$>57943</>	-677	-1867	-50	0	0	0	0	0	0	0	0	0	0
12111	<$>57944</>	2000	400	0	0	-2000	400	0	0	400	0	0	0	0
12112	<$>57945</>	2000	-400	0	0	-2000	-400	0	0	-400	0	0	0	0
12113	<$>57946</>	-2000	400	0	0	2000	400	0	0	400	0	0	0	0
12114	<$>57947</>	-2000	-400	0	0	2000	-400	0	0	-400	0	0	0	0
12121	<$>47595</>	0	0	0	0	0	0	0	0	0	0	0	0	0
12122	<$>50390</>	-4554	-18246	-83	0	0	0	0	0	0	0	0	0	0
12131	<$>57948</>	7020	15029	-5787	0	0	0	0	0	0	0	0	0	0
12132	<$>57949</>	20192	-5699	-763	0	0	0	0	0	0	0	0	0	0
12133	<$>57950</>	20137	16989	-5646	0	0	0	0	0	0	0	0	0	0
12134	<$>57951</>	-954	833	92	0	0	0	0	0	0	0	0	0	0
12135	<$>57951</>	-384	-833	34	0	0	0	0	0	0	0	0	0	0
12136	<$>57951</>	613	-827	86	0	0	0	0	0	0	0	0	0	0
12137	<$>57951</>	701	790	27	0	0	0	0	0	0	0	0	0	0
12141	<$>10004</>	10269	12041	-2592	-2446	11908	10266	0	12953	13634	-2322	0	0	0
12201	<$>57952</>	-7649	13483	100	0	0	0	0	0	0	0	0	0	0
12202	<$>57953</>	7801	13649	69	0	0	0	0	0	0	0	0	0	0
13001	<$>57952</>	6692	-30911	0	0	6649	-28009	0	0	0	0	0	0	0
13002	<$>57953</>	6056	-27990	0	0	6092	-30755	0	0	0	0	0	0	0
13003	<$>57953</>	-3889	4658	0	0	-2093	4662	0	0	0	0	0	0	0
13101	<$>57898</>	-4325	8387	9	0	4552	8704	9	-23	-1317	9	-22	4031	1167
13102	<$>57954</>	3827	8489	9	0	-3390	8423	9	-3204	-159	9	3931	-327	9
13103	<$>57954</>	-3390	8423	9	0	3827	8489	9	3931	-327	9	-3204	-159	9
13104	<$>57954</>	-3204	-159	9	0	-3390	8423	9	3827	8489	9	3931	-327	9
13105	<$>50448</>	4	2507	707	0	0	0	0	0	0	0	0	0	0
12301	<$>57955</>	0	0	64	0	0	0	0	0	0	0	0	0	0
12302	<$>57956</>	0	11000	341	0	0	0	0	0	0	0	0	0	0
12303	<$>57956</>	0	-11000	341	0	0	0	0	0	0	0	0	0	0
12311	<$>57955</>	1	-8038	-100	0	0	0	0	0	0	0	0	0	0
15001	<$>57957</>	-17412	-3443	847	0	-17250	4529	783	0	0	0	0	0	0
15002	<$>57957</>	-26884	1876	-870	0	-17412	-3443	847	-17250	4529	783	0	0	0
15101	<$>57957</>	-57	805	400	0	0	0	0	0	0	0	0	0	0
16001	<$>57958</>	-7605	-2695	-650	0	-4840	8836	-381	-3161	16421	-1433	10314	14555	-1241
16002	<$>57959</>	-3038	-8799	-1831	0	-2347	-2455	-268	-678	10070	-884	10314	14555	-1241
16003	<$>57960</>	4778	-14674	-1465	0	5599	811	-259	11963	5803	-912	10314	14555	-1241
16004	<$>57961</>	-4665	16270	-1468	0	-5494	411	-259	-11280	-3147	-879	-10055	-13029	-1237
16005	<$>57962</>	-678	10070	-884	0	2704	3609	-264	-3038	-8799	-1831	-10137	-12940	-1220
16006	<$>57963</>	8220	4238	-650	0	4778	-14674	-1465	-8502	-14597	-1369	-10137	-12940	-1220
16007	<$>57964</>	-11691	-11276	-1116	0	-9422	-11718	-1233	-9216	-14505	-1360	-10711	-13716	-1147
16008	<$>57965</>	11480	13360	-1168	0	9462	13181	-1241	9610	15137	-1304	10597	14800	-1234
17001	<$>25062</>	-4998	21393	920	0	0	0	0	0	0	0	0	0	0
18001	<$>57957</>	-5	7968	2058	0	0	0	0	0	0	0	0	0	0
19001	<$>57966</>	16803	8519	77	0	0	0	0	0	0	0	0	0	0
19002	<$>57967</>	8236	-9234	509	0	0	0	0	0	0	0	0	0	0
19003	<$>57968</>	-2871	13440	2466	0	0	0	0	0	0	0	0	0	0
19004	<$>57969</>	-5	7968	2058	0	0	0	0	0	0	0	0	0	0
20001	<$>57970</>	2	-8039	100	0	0	0	0	0	0	0	0	0	0
21001	<$>57971</>	7005	-26	0	0	0	0	0	0	0	0	0	0	0
22001	<$>57972</>	-1132	-9782	0	0	-1104	-12149	0	0	0	0	0	0	0
22002	<$>57973</>	0	-12020	0	0	0	-9823	0	0	0	0	0	0	0
22003	<$>57974</>	1140	-9994	0	0	1067	-11967	0	0	0	0	0	0	0
22004	<$>57975</>	-1079	-4920	0	0	1093	-4889	0	0	0	0	0	0	0
22005	<$>57976</>	1066	-3970	0	0	-1075	-4141	0	0	0	0	0	0	0
22006	<$>57977</>	-1081	-3342	0	0	1127	-3264	0	0	0	0	0	0	0
22007	<$>57978</>	-1315	3002	0	0	-43	1979	0	0	0	0	0	0	0
22008	<$>57979</>	1036	2984	0	0	-329	4160	0	0	0	0	0	0	0
