ClassID	ClassName	FlagName	MaxFlagNum
4001	dun_ktv01	MonGenFlag_dun_ktv01_2	1
4002	dun_ktv02	MonGenFlag_dun_ktv02_2	1
4003	dun_ktv03	MonGenFlag_dun_ktv03_2	1
4004	dun_ktv04	MonGenFlag_dun_ktv04_2	1
4005	dun_ktv05	MonGenFlag_dun_ktv05_2	1
4091	dun_ktv_boss	MonGenFlag_dun_ktv_boss_2	1
5004	dun_tbk01	MonGenFlag_dun_tbk01	148
5005	dun_tbk02	MonGenFlag_dun_tbk02	163
5006	dun_tbk_boss	MonGenFlag_dun_tbk_boss_2	1
3707	dun_ttr06	MonGenFlag_dun_ttr06	132
3708	dun_ttr06_tw	MonGenFlag_dun_ttr06_tw	132
3805	dun_ptv04	MonGenFlag_dun_ptv04	167
3806	dun_ptv04_tw	MonGenFlag_dun_ptv04_tw	167
3513	dun_tor04	MonGenFlag_dun_tor04	270
3514	dun_tor04_tw	MonGenFlag_dun_tor04_tw	270
3326	dun_jaq06	MonGenFlag_dun_jaq06	464
3327	dun_jaq06_tw	MonGenFlag_dun_jaq06_tw	464
8005	btl_bah01	MonGenFlag_btl_bah01	270
8006	btl_bah02	MonGenFlag_btl_bah02	290
8007	btl_bah03	MonGenFlag_btl_bah03	380
8008	btl_bah04	MonGenFlag_btl_bah04	390
8009	dun_bah01	MonGenFlag_dun_bah01	246
8010	dun_bah02	MonGenFlag_dun_bah02	246
8013	dun_bah04	MonGenFlag_dun_bah04	698
8014	dun_bah04_nonpk	MonGenFlag_dun_bah04_nonpk	699
8015	dun_bah04_tw	MonGenFlag_dun_bah04_tw	699
8016	dun_bah05	MonGenFlag_dun_bah05	698
9801	btl_poisonyard	MonGenFlag_btl_poisonyard	230
9802	btl_shadowtemple	MonGenFlag_btl_shadowtemple	60
9803	btl_liberty	MonGenFlag_btl_liberty	95
9807	btl_liberty2	MonGenFlag_btl_liberty2	95
9701	btl_los01	MonGenFlag_btl_los01	1300
9002	btl_gig01	MonGenFlag_btl_gig01	1
9001	fld_gig	MonGenFlag_fld_gig	24
9003	dun_gig_boss	MonGenFlag_dun_gig_boss	1
9006	btl_gig01_2	MonGenFlag_btl_gig01_2	1
9703	btl_los01_2	MonGenFlag_btl_los01_2	1300
9804	btl_clover	MonGenFlag_btl_clover	1
9805	btl_clover2	MonGenFlag_btl_clover2	1
9008	btl_royalrumble	MonGenFlag_btl_royalrumble	18
9011	btl_sed01	MonGenFlag_btl_sed01	171
9012	dun_sed01	MonGenFlag_dun_sed01	1
9013	dun_sed02	MonGenFlag_dun_sed02	1
9014	dun_sed03	MonGenFlag_dun_sed03	1
9016	dun_sed04	MonGenFlag_dun_sed04	285
9017	dun_sed04_nonpk	MonGenFlag_dun_sed04_nonpk	285
9806	btl_factious01	MonGenFlag_btl_factious01	65
9901	dun_sctw01	MonGenFlag_dun_sctw01	1
9902	dun_sctw03	MonGenFlag_dun_sctw03	1
20100	dun_sub	MonGenFlag_dun_sub	45
20201	btl_erc01	MonGenFlag_btl_erc01	148
20211	btl_erc02	MonGenFlag_btl_erc02	148
20221	dun_erc01	MonGenFlag_dun_sub	250
30002	btl_auch02_col	MonGenFlag_btl_auch02_col	59
30003	btl_auch03_col	MonGenFlag_btl_auch03_col	59
30004	btl_bah04_col	MonGenFlag_btl_bah04_col	69
30005	btl_coim01_col	MonGenFlag_btl_coim01_col	59
30007	btl_jaq02_col	MonGenFlag_btl_jaq02_col	59
30008	btl_jaq03_col	MonGenFlag_btl_jaq03_col	59
30009	btl_ktv01_col	MonGenFlag_btl_ktv01_col	69
30010	btl_ktv03_col	MonGenFlag_btl_ktv03_col	69
30012	btl_ptv02_col	MonGenFlag_btl_ptv02_col	59
30013	btl_reb02_col	MonGenFlag_btl_reb02_col	59
30016	btl_reb05_col	MonGenFlag_btl_reb05_col	68
30017	btl_tbk01_col	MonGenFlag_btl_tbk01_col	69
30018	btl_tbk02_col	MonGenFlag_btl_tbk02_col	69
30019	btl_ttr01_col	MonGenFlag_btl_ttr01_col	59
30020	btl_ttr02_col	MonGenFlag_btl_ttr02_col	69
30021	btl_ttr03_col	MonGenFlag_btl_ttr03_col	59
30023	btl_ust02_col	MonGenFlag_btl_ust02_col	59
20405	dun_lucifer01	MonGenFlag_dun_lucifer01	175
20406	dun_lucifer02	MonGenFlag_dun_lucifer02	102
20501	fld_lucifer	NPCGen_fld_lucifer	6
20511	btl_lucifer01	MonGenFlag_btl_lucifer01	98
20512	btl_lucifer02	MonGenFlag_btl_lucifer02	34
20539	dun_caslucifer01	MonGenFlag_dun_caslucifer01	4
20540	dun_caslucifer02	MonGenFlag_dun_caslucifer02	22
20600	bst_basic	NPCGen_bst_basic	140
20602	fld_bst01	MonGenFlag_fld_bst01	16
20603	bst_night	MonGenFlag_bst_night	546
20604	bst_lab	NPCGen_bst_lab	30
20605	fld_bst02	MonGenFlag_fld_bst02	24
20607	btl_bst01	MonGenFlag_btl_bst01	278
20608	btl_bst02	MonGenFlag_btl_bst02	152
20304	btl_cas03	MonGenFlag_btl_cas03	780
8001	bah_basic	NPCGen_bah_basic	10
20401	viron_basic	NPCGen_viron_basic	65
20402	btl_viron01	MonGenFlag_btl_viron01	900
20403	btl_viron02	MonGenFlag_btl_viron02	900
20404	btl_viron03	MonGenFlag_btl_viron03	1100
54	fld_arm	MonGenFlag_btl_arm01	144
55	btl_arm01	MonGenFlag_dun_arm01	164
