AI	ARUN	ASPD	ASTD	ATK	ATKDN	ATKS	AniType	AtkLayer	AtkType	BLK	BaseOffset	BlkHand	ClassID	ClassName	ClassType	DebuffDef	DefLayer	DefType	Desc	EngName	EnterScp	Far	FileName	Heal25	Heal50	Heal75	HeightOffset1	HeightOffset2	HoldMove	IncASPD	IncBLK	IncCRT	IncHR	IncIMP	IncIP	IncPR	IncRSP	Initial	LHits	LeaveScp	MagicDef	Manual	MaxR	MeleeDef	MinR	Name	Near	RHits	RSPD	RSPType	ReqLv	ReqPromotionLv	ReqStn2ID	ReqStn2Lv	ReqStn3ID	ReqStn3Lv	ReqStnID	ReqStnLv	ShootDef	Skill1Req	Skill2Req	Skill3Req	Skill4Req	Skill5Req	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5	SkillName1	SkillName2	SkillName3	SkillName4	SkillName5	SklPts	SpendItemCount	SpendItemID	SplDam	SplLimit	SplRange	SplType	StnATK	StnBLK	StnEXP	StnHR	StnIMP	StnIP	StnIgnoreDEFPer	StnLv	StnMSPD	StnPR	StnRFIRE	StnRICE	StnRLGHT	StnRSTAT	Strong	ToolTip	UseWeaponAnim	WSPD	Weak	XPType
ATTACKER	PC_ARUN_SWMI	3250	PC_ASTD_SWMI	PC_ATK_SWMI	PC_ATKDN_SWMI	1	Uni	1	Splash	PC_BLK_EQT	0	RH	10860	MoonGuard	MELEE	70	1	Block	<$>73737</>	Sect of MoonLight	None	YES	stn_moonguard	NO	NO	NO	0	200	NO	0.6	0.6	0.6	0.8	0.6	0.8	0	0	_MGD	0	None	110	YES	150	100	1	<$>63462</>	YES	2	400	regenerate	100	2	0	0	0	0	0	0	100	1	5	10	15	25	10861	10862	10863	10864	10865	<$>60097</>	<$>60111</>	<$>60116</>	<$>60119</>	<$>60133</>	0	0	0	0.75	2	100	Circle	1.65	15	0	35	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_WTD	2533	PC_ASTD_WTD	PC_ATK_WTD	PC_ATKDN_WTD	1	Uni	2	Single	PC_BLK_AIM	0	None	11090	Wanted	SHOOT	100	1	Parry	<$>73739</>	Wanted	None	YES	stn_wanted	NO	NO	NO	0	200	NO	0.45	0	0	0.8	0	0.8	0.4	0	_WTD	0	None	100	YES	1050	100	50	<$>63480</>	YES	3	469	regenerate	100	2	0	0	0	0	0	0	100	1	5	10	15	25	11091	11092	11093	11094	11095	<$>63482</>	<$>60401</>	<$>60419</>	<$>60423</>	<$>60427</>	0	3	21458	0	0	0	None	1.35	0	0	0	0	0	8	1	1	0	10	10	10	10	YES	<$>63467</>	No	115	YES	10012
ATTACKER	PC_ARUN_SST	2200	PC_ASTD_SST	PC_ATK_SST	PC_ATKDN_SST	1	Uni	2	Single	None	0	None	11730	ShadowSting	SHOOT	100	1	None	<$>73745</>	Shadow Sting	None	YES	stn_shadowsting	NO	NO	NO	0	200	NO	0.6	0	0.8	1.4	0	0.8	0	0	_SST	0	None	100	YES	1350	100	75	<$>63525</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	80	1	10	15	20	25	11731	11732	11733	11734	11735	<$>60896</>	<$>60914</>	<$>60919</>	<$>60922</>	<$>60927</>	0	2	21456	0	0	0	None	1.7	0	0	30	0	0	10	1	1	0	0	0	0	0	YES	<$>63467</>	NO	115	YES	10012
ATTACKER	PC_ARUN_SAB	1600	PC_ASTD_SAB	PC_ATK_SAB	PC_ATKDN_SAB	2	Uni	1	Splash	None	0	None	10750	FleurGlacier	MELEE	100	1	Parry	<$>70438</>	Fleuret Glacier	None	YES	stn_fleurglacier	NO	NO	NO	0	200	NO	0.4	0	0.15	0.5	0.8	0.4	0.8	0	_FGR	0	None	100	YES	175	100	0	<$>63454</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	5	10	15	20	25	21221	21222	21223	21224	21225	<$>62079</>	<$>62096</>	<$>62100</>	<$>62105</>	<$>62109</>	0	0	0	0.8	1	100	Circle	2.1	0	0	20	0	15	0	1	1	20	0	75	0	0	YES	<$>63332</>	NO	115	YES	10024
ATTACKER	PC_ARUN_SST2	2200	PC_ASTD_SST2	PC_ATK_SST2	PC_ATKDN_SST2	1	Uni	2	Single	None	0	None	11820	ShinySting	SHOOT	100	1	None	<$>101372</>	Shining Sting	None	YES	stn_shadowsting2	NO	NO	NO	0	200	NO	0.6	0	0.35	1.4	0	1	0	0	_SST2	0	None	100	YES	1300	100	75	<$>63530</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	80	1	10	15	20	25	11751	11752	11753	11754	11755	<$>60963</>	<$>60966</>	<$>60969</>	<$>60973</>	<$>60976</>	0	2	21456	0	0	0	None	1.5	0	0	25	0	0	10	1	1.15	0	0	0	0	0	YES	<$>63467</>	NO	115	YES	10012
ATTACKER	PC_ARUN_BF	2633	PC_ASTD_BF	PC_ATK_BF	PC_ATKDN_BF	1	Uni	1	Double	PC_BLK_BF	0	RH	12010	BloodyFeast	MELEE	110	1	Block	<$>73747</>	Bloody Feast	None	YES	stn_bloodyfeast	NO	NO	NO	0	200	NO	0.8	0.8	1.2	1.4	0.4	0.6	0	1.2	_BF	1	None	100	YES	125	100	0	<$>63532</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	90	1	5	10	15	20	12011	12012	12013	12014	12015	<$>60147</>	<$>60151</>	<$>60155</>	<$>60172</>	<$>60176</>	0	0	0	0	0	0	None	2.2	5	0	50	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_RAC	2000	PC_ASTD_RAC	PC_ATK_RAC	PC_ATKDN_RAC	2	Uni	1	Double	PC_BLK_RAC	0	None	12020	Cutlass	HYBRID	130	1	Parry	<$>73748</>	Cutlass	None	YES	stn_cutlass	NO	NO	NO	0	200	NO	0.8	0	0.48	1	0.6	0.8	0.8	0	_RAC	1	None	100	YES	125	100	1	<$>63534</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	1	5	10	15	20	12021	12022	12023	12024	12025	<$>60181</>	<$>60199</>	<$>60203</>	<$>60206</>	<$>60210</>	0	1	21458	0	0	0	None	1.6	0	0	50	0	0	0	1	1	20	0	0	0	0	YES	<$>63371</>	No	115	YES	10012
ATTACKER	PC_ARUN_EQT2	1467	PC_ASTD_EQT2	PC_ATK_EQT2	PC_ATKDN_EQT2	1	Each	1	Single	PC_BLK_EQT2	0	RH	14000	Equites2	MELEE	85	1	Block	<$>73726</>	Equites	None	YES	stn_equites	NO	NO	NO	0	200	NO	0.9	1.2	1.2	0.4	0.6	0.8	0	0	_EQT2	0	None	80	YES	125	100	0	<$>63389</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	1	8	12	16	20	14001	14002	14003	14004	14005	<$>59289</>	<$>59292</>	<$>59297</>	<$>59315</>	<$>59319</>	0	0	0	0	0	0	None	1.9	20	0	40	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10012
ATTACKER	PC_ARUN_ABS	1433	PC_ASTD_ABS	PC_ATK_ABS	None	1	Uni	2	Splash	None	0	None	20200	Abyss	MAGIC	100	1	None	<$>67524</>	Abyss	None	YES	stn_abyss	NO	NO	NO	0	0	NO	0.1	0	0	0	0.6	0.7	0	0.1	_ABS	0	None	100	YES	1200	100	150	<$>51987</>	YES	1	420	regenerate	100	2	0	0	0	0	0	0	100	5	10	15	20	25	20201	20202	20203	20204	20205	<$>61484</>	<$>61502</>	<$>61506</>	<$>61511</>	<$>61516</>	0	1	21429	0.5	3	150	Circle	1.2	0	0	100	0	0	0	1	1	0	10	10	10	100	YES	<$>63538</>	YES	115	YES	10012
ATTACKER	PC_ARUN_WAR	2667	PC_ASTD_WAR	PC_ATK_LOE	None	1	Each	2	Splash	None	0	None	20520	MagicofOccultism	MAGIC	90	1	None	<$>101373</>	The Magic of Occultism	None	YES	stn_occultism	NO	NO	NO	0	200	NO	0.4	0	0	0	0	0.6	0	0.6	_OCC	1	None	80	YES	900	100	50	<$>63571</>	YES	1	300	regenerate	100	2	0	0	0	0	0	0	120	5	10	15	20	25	20521	20522	20523	20524	20525	<$>61755</>	<$>61761</>	<$>61766</>	<$>61771</>	<$>61776</>	0	2	21427	0.8	2	200	Circle	1.4	0	0	100	0	10	0	1	1	0	20	20	20	0	YES	<$>63538</>	NO	115	YES	10024
ATTACKER	PC_ARUN_BEP	1466	PC_ASTD_BEP	PC_ATK_BEP	None	1	Uni	2	Single	PC_BLK_BEP	0	RH	20640	Storytelling	MAGIC	100	1	Block	<$>91015</>	Storytelling	None	YES	stn_encyclopedia	NO	NO	NO	0	200	NO	0	1	0	0	0.4	0.4	0	1.4	_BEP	0	None	100	YES	1100	100	1	<$>91014</>	YES	1	456	regenerate	100	2	0	0	0	0	0	0	100	5	10	15	20	25	20641	20642	20643	20644	20645	<$>90980</>	<$>90984</>	<$>91016</>	<$>90994</>	<$>90999</>	0	1	21429	0	0	0	None	2.15	10	0	100	5	10	0	1	1.1	0	0	0	0	15	YES	<$>63538</>	YES	115	YES	10024
ATTACKER	PC_ARUN_RCK	1600	PC_ASTD_RCK	PC_ATK_RCK	None	1	Uni	2	Splash	None	0	None	20660	Rocking 	MAGIC	100	1	None	<$>91941</>	Rocking 	None	YES	stn_rocking	NO	NO	NO	0	200	NO	0	0	0	0	0.4	0.5	0	0.25	_RCK	0	None	100	YES	1000	100	50	<$>91940</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	5	10	15	20	25	20671	20672	20673	20674	20675	<$>91842</>	<$>91860</>	<$>91865</>	<$>91873</>	<$>91889</>	0	0	0	1	3	300	Circle	2.2	0	0	100	0	0	0	1	1	0	10	10	10	75	YES	<$>63538</>	NO	115	YES	10024
ATTACKER	PC_ARUN_IGU	1533	PC_ASTD_IGU	PC_ATK_IGU	PC_ATKDN_IGU	1	Uni	2	Double	None	0	None	20691	Illusiongunner	MAGIC	90	1	None	<$>100593</>	Illusion Gunner	None	YES	stn_illusiongunner	NO	NO	NO	0	200	NO	0.4	0	0	0	0	0.4	15	1.4	_IGU	0	None	90	YES	900	100	50	<$>100592</>	YES	1	480	regenerate	100	2	0	0	0	0	0	0	110	5	10	15	20	25	20716	20717	20718	20719	20720	<$>100460</>	<$>100464</>	<$>100482</>	<$>100486</>	<$>100490</>	0	0	0	0	0	0	None	2.3	0	0	100	0	10	0	1	1	10	20	20	20	0	YES	<$>63538</>	YES	80	YES	10024
ATTACKER	PC_ARUN_BGMI	1000	PC_ASTD_BGMI	PC_ATK_BGMI	PC_ATKDN_BGMI	2	Uni	1	Single	PC_BLK_BGMI	0	LH	110110	BackGuardMI	MELEE	100	1	Block	<$>67424</>	Back-guard	None	YES	stn_backguard	NO	NO	NO	0	200	NO	0.12	0.54	0	0	0	0	0	0	_BGMI	0	None	100	YES	150	100	0	<$>63644</>	YES	1	469	regenerate	1	0	0	0	0	0	0	0	100	1	0	8	12	16	50000	0	50001	50002	50003	<$>58862</>	none	<$>58865</>	<$>58868</>	<$>58872</>	0	0	0	0	0	0	None	1	14	0	100	0	0	0	1	1	0	0	0	0	0	YES	<$>63332</>	NO	115	YES	10001
ATTACKER	PC_ARUN_UTS	2133	PC_ASTD_UTS	PC_ATK_UTS	PC_ATKDN_UTS	1	Uni	2	Double	PC_BLK_DGS	0	None	11080	UnlimitedShot	SHOOT	100	1	Parry	<$>73738</>	Unlimited Shot	None	YES	stn_unlimitedshot	NO	NO	NO	0	200	NO	0.5	0	0	0.5	0	1	1.2	0.8	_UTS	2	None	100	YES	900	100	50	<$>63478</>	YES	2	469	regenerate	100	2	0	0	0	0	0	0	100	1	5	10	15	25	11081	11082	11083	11084	11085	<$>60364</>	<$>60367</>	<$>60385</>	<$>60389</>	<$>60393</>	0	4	21458	0	0	0	None	2	0	0	0	0	0	8	1	1	0	0	0	0	0	YES	<$>63467</>	NO	115	YES	10012
ATTACKER	PC_ARUN_TWS	3033	PC_ASTD_TWS	PC_ATK_TWS	PC_ATKDN_TWS	1	Uni	2	Double	None	0	None	11900	TwinSting	SHOOT	100	1	None	<$>99182</>	Twin Sting	None	YES	stn_twinsting	NO	NO	NO	0	200	NO	0	0	0	0	0	1	0	1	_TWS	3	None	100	YES	1300	100	75	<$>99181</>	YES	3	469	regenerate	100	2	0	0	0	0	0	0	100	1	10	15	20	25	11761	11762	11763	11764	11765	<$>98818</>	<$>98823</>	<$>98828</>	<$>98832</>	<$>98836</>	0	6	21456	0	0	0	None	1.7	0	0	0	0	0	9	1	1	0	0	0	0	0	YES	<$>63467</>	NO	115	YES	10024
