CashItemGroup	ClassID	CoolDown	RicoExchange	SetPeriod	WorldMsg	ability	arg1	arg2	cost	hour	itemID	itemname	min	period
Period	12045	0	0	0	0	none	0	0	300	0	42622	<$>30082</>	0	30
Period	12046	0	0	0	0	none	0	0	300	0	42623	<$>30083</>	0	30
Period	12047	0	0	0	0	none	0	0	300	0	42624	<$>30084</>	0	30
Period	12048	0	0	0	0	none	0	0	300	0	42625	<$>30085</>	0	30
Period	12049	0	0	0	0	none	0	0	300	0	42626	<$>30086</>	0	30
Period	12050	0	0	0	0	none	0	0	300	0	42627	<$>30087</>	0	30
Period	12051	0	0	0	0	none	0	0	300	0	42628	<$>30088</>	0	30
Period	12052	0	0	0	0	none	0	0	300	0	42629	<$>30089</>	0	30
Period	12053	0	0	0	0	none	0	0	300	0	42630	<$>30090</>	0	30
Period	12054	0	0	0	0	none	0	0	300	0	42631	<$>30091</>	0	30
Period	12055	0	0	0	0	none	0	0	300	0	42632	<$>30092</>	0	30
Period	12056	0	0	0	0	none	0	0	300	0	42633	<$>30093</>	0	30
Period	12057	0	0	0	0	none	0	0	300	0	42634	<$>30094</>	0	30
Period	12058	0	0	0	0	none	0	0	300	0	42635	<$>30095</>	0	30
Period	12059	0	0	0	0	none	0	0	300	0	42636	<$>30096</>	0	30
Period	12060	0	0	0	0	none	0	0	300	0	42637	<$>30097</>	0	30
Period	12061	0	0	0	0	none	0	0	300	0	42638	<$>30098</>	0	30
Period	12062	0	0	0	0	none	0	0	300	0	42639	<$>30099</>	0	30
Period	12063	0	0	0	0	none	0	0	300	0	42640	<$>30100</>	0	30
Period	12064	0	0	0	0	none	0	0	300	0	42641	<$>30101</>	0	30
Period	12065	0	0	0	0	none	0	0	300	0	42642	<$>30102</>	0	30
Period	12066	0	0	0	0	none	0	0	500	0	42643	<$>30103</>	0	30
Period	12067	0	0	0	0	none	0	0	500	0	42644	<$>30104</>	0	30
Period	12068	0	0	0	0	WARP	10	0	400	0	88251	<$>30105</>	0	30
Period	12069	0	0	0	0	none	0	0	500	0	42645	<$>30106</>	0	30
Period	12070	0	0	0	0	none	0	0	500	0	42646	<$>30107</>	0	30
Period	12071	0	0	0	0	none	0	0	500	0	42647	<$>30108</>	0	30
Period	12072	0	0	0	0	none	0	0	500	0	42648	<$>30109</>	0	30
Period	12073	0	0	0	0	none	0	0	500	0	42649	<$>30110</>	0	30
Period	12074	0	0	0	0	none	0	0	500	0	42650	<$>30111</>	0	30
Period	12075	0	0	0	0	none	0	0	500	0	42651	<$>30112</>	0	30
Period	12076	0	0	0	0	none	0	0	500	0	42652	<$>30113</>	0	30
Period	12077	0	0	0	0	none	0	0	500	0	42653	<$>30114</>	0	30
Period	12078	0	0	0	0	none	0	0	500	0	42654	<$>30115</>	0	30
Period	12079	0	0	0	0	none	0	0	500	0	42655	<$>30116</>	0	30
Period	12080	0	0	0	0	none	0	0	500	0	42656	<$>30117</>	0	30
Period	12081	0	0	0	0	none	0	0	500	0	42657	<$>30118</>	0	30
Period	12082	0	0	0	0	none	0	0	500	0	42658	<$>30119</>	0	30
Period	12083	0	0	0	0	none	0	0	500	0	42659	<$>30120</>	0	30
Period	12084	0	0	0	0	none	0	0	500	0	42660	<$>30121</>	0	30
Period	12086	0	0	0	0	none	0	0	1000	0	41102	<$>30123</>	0	30
Period	12087	0	0	0	0	none	0	0	300	0	42207	<$>30124</>	0	30
Period	12088	0	0	0	0	none	0	0	300	0	42208	<$>30125</>	0	30
Period	12089	0	0	0	0	none	0	0	300	0	42209	<$>30126</>	0	30
Period	12090	0	0	0	0	none	0	0	300	0	42210	<$>30127</>	0	30
Period	12091	0	0	0	0	none	0	0	300	0	42211	<$>30128</>	0	30
Period	12093	0	0	0	0	none	0	0	1000	0	41111	<$>30130</>	0	30
Period	12094	0	0	0	0	none	0	0	500	0	42233	<$>30131</>	0	30
Period	12095	0	0	0	0	none	0	0	500	0	42234	<$>30132</>	0	30
Period	12096	0	0	0	0	none	0	0	500	0	42235	<$>30133</>	0	30
Period	12097	0	0	0	0	none	0	0	500	0	42236	<$>30134</>	0	30
Period	12098	0	0	0	0	none	0	0	500	0	42237	<$>30135</>	0	30
Period	12114	0	0	0	0	WARESLOT	0	0	50	0	88275	<$>30151</>	0	30
Period	12115	0	0	0	0	WARESLOT	0	0	100	0	88285	<$>30152</>	0	30
Period	12117	0	0	0	0	WARP	20	0	250	0	88300	<$>30154</>	0	30
Period	12123	0	0	0	0	WARESLOT	0	0	250	0	89065	<$>67884</>	0	30
Period	13045	0	0	0	0	none	0	0	300	0	15306	<$>30201</>	0	30
Period	105000	0	0	0	0	WARESLOT	0	0	50	0	88044	<$>37016</>	0	30
Period	105001	0	0	0	0	WARESLOT	0	0	100	0	88046	<$>37020</>	0	30
Period	105002	0	0	0	0	EXPUP	0	0	99999	0	88516	<$>37304</>	0	30
Period	105003	0	0	0	0	STNUP	0	0	99999	0	88517	<$>37306</>	0	30
Period	105004	0	0	0	0	none	0	0	99999	0	180021	<$>34762</>	0	30
Period	105005	0	0	0	0	none	0	0	99999	0	180022	<$>34764</>	0	30
Period	105006	0	0	0	0	none	0	0	99999	0	180023	<$>34766</>	0	30
Period	105007	0	0	0	0	none	0	0	99999	0	180024	<$>34768</>	0	30
Period	105008	0	0	0	0	none	0	0	99999	0	180025	<$>34770</>	0	30
Period	105009	0	0	0	0	none	0	0	99999	0	175006	<$>32270</>	0	30
Period	105010	0	0	0	0	none	0	0	99999	0	141040	<$>32257</>	0	30
Period	105011	0	0	0	0	none	0	0	99999	0	841048	<$>32291</>	0	30
Period	105012	0	0	0	0	none	0	0	99999	0	841053	<$>32302</>	0	30
Period	105013	0	0	0	0	none	0	0	99999	0	175010	<$>67751</>	0	30
Period	105014	0	0	0	0	none	0	0	99999	0	41750	<$>67751</>	0	30
Period	13001	0	0	0	0	EXPUP	0	0	30000	0	88002	<$>30159</>	0	15
Period	13002	0	0	0	0	EXPUP	0	0	300	0	88003	<$>30160</>	0	15
Period	13003	0	0	0	0	EXPUP	0	0	30000	0	88004	<$>30161</>	0	15
Period	13004	0	0	0	0	EXPUP	0	0	500	0	88005	<$>30162</>	0	15
Period	13005	0	0	0	0	STNUP	0	0	30000	0	88006	<$>30163</>	0	15
Period	13006	0	0	0	0	STNUP	0	0	300	0	88007	<$>30164</>	0	15
Period	13007	0	0	0	0	STNUP	0	0	30000	0	88008	<$>30165</>	0	15
Period	13008	0	0	0	0	STNUP	0	0	300	0	88009	<$>30166</>	0	15
Period	13009	0	0	0	0	WARP	5	0	200	0	88013	<$>30167</>	0	15
Period	13016	0	0	0	0	INVSLOT	0	0	99999	0	88047	<$>30172</>	0	15
Period	13017	0	0	0	0	INVSLOT	0	0	99999	0	88049	<$>30173</>	0	15
Period	13018	0	0	0	0	WARP	10	0	200	0	88250	<$>30174</>	0	15
Period	13059	0	0	0	0	WARP	20	0	150	0	88299	<$>30215</>	0	15
Period	13067	0	0	0	0	EXPUP	0	0	500	0	157019	<$>75920</>	0	15
Period	13068	0	0	0	0	STNUP	0	0	500	0	157020	<$>75921</>	0	15
Period	110000	0	0	0	0	WARESLOT	0	0	99999	0	88043	<$>32300</>	0	15
Period	110001	0	0	0	0	WARESLOT	0	0	99999	0	88045	<$>37018</>	0	15
Period	110002	0	0	0	0	EXPUP	0	0	99999	0	88514	<$>37300</>	0	15
Period	110003	0	0	0	0	STNUP	0	0	99999	0	88515	<$>37302</>	0	15
Period	110004	0	0	0	0	none	0	0	0	0	41191	<$>32228</>	0	15
Period	110005	0	0	0	0	none	0	0	0	0	841047	<$>32289</>	0	15
Period	110006	0	0	0	0	none	0	0	0	0	841052	<$>32300</>	0	15
Period	110007	0	0	0	0	none	0	0	0	0	175009	<$>67752</>	0	15
Period	14016	0	0	0	0	none	0	0	400	0	41084	<$>30232</>	0	7
Period	14017	0	0	0	0	none	0	0	400	0	41085	<$>30233</>	0	7
Period	14018	0	0	0	0	none	0	0	400	0	41086	<$>30234</>	0	7
Period	14019	0	0	0	0	none	0	0	400	0	41087	<$>30235</>	0	7
Period	14020	0	0	0	0	none	0	0	100	0	41088	<$>30236</>	0	7
Period	14021	0	0	0	0	none	0	0	400	0	41089	<$>30237</>	0	7
Period	14022	0	0	0	0	none	0	0	100	0	41090	<$>30238</>	0	7
Period	14023	0	0	0	0	none	0	0	100	0	41091	<$>30239</>	0	7
Period	14024	0	0	0	0	none	0	0	400	0	41092	<$>30240</>	0	7
Period	14025	0	0	0	0	none	0	0	400	0	41093	<$>30241</>	0	7
Period	14026	0	0	0	0	none	0	0	400	0	41094	<$>30242</>	0	7
Period	14027	0	0	0	0	none	0	0	300	0	41095	<$>30243</>	0	7
Period	14028	0	0	0	0	none	0	0	400	0	41096	<$>30244</>	0	7
Period	14029	0	0	0	0	none	0	0	400	0	41097	<$>30245</>	0	7
Period	14030	0	0	0	0	none	0	0	400	0	41098	<$>30246</>	0	7
Period	14031	0	0	0	0	none	0	0	100	0	41099	<$>30247</>	0	7
Period	14032	0	0	0	0	none	0	0	300	0	41100	<$>30248</>	0	7
Period	14033	0	0	0	0	none	0	0	100	0	41101	<$>30249</>	0	7
Period	115000	0	0	0	0	none	0	0	0	0	41197	<$>32255</>	0	7
Period	115001	0	0	0	0	none	0	0	99999	0	175003	<$>32264</>	0	7
Period	115002	0	0	0	0	none	0	0	99999	0	175004	<$>32266</>	0	7
Period	115003	0	0	0	0	none	0	0	99999	0	175005	<$>32268</>	0	7
Period	115004	0	0	0	0	none	0	0	99999	0	841046	<$>32287</>	0	7
Period	115005	0	0	0	0	none	0	0	99999	0	841051	<$>32298</>	0	7
Period	115006	0	0	0	0	none	0	0	99999	0	175008	<$>67753</>	0	7
Period	115007	0	0	0	0	none	0	0	99999	0	41650	<$>67753</>	0	7
Period	15001	0	0	0	0	OTITEBUFF	0	0	50	0	88024	<$>30289</>	0	1
Period	15002	0	0	0	0	none	0	0	50	0	41106	<$>30290</>	0	1
Period	15022	0	0	0	0	DUNBUFF	0	0	100	0	88210	<$>30305</>	0	1
Period	15023	0	0	0	0	DUNBUFF2	0	0	50	0	88221	<$>30027</>	0	1
Period	15024	0	0	0	0	DUNBUFF3	0	0	3300	0	88336	<$>30306</>	0	1
Etc	15033	0	0	0	0	HEAVENBUFF	0	0	120	0	88369	<$>30312</>	0	1
Period	120000	0	0	0	0	PACKAGE	0	0	1800	0	88919	<$>37494</>	0	10
Period	120001	0	0	0	0	PACKAGE	0	0	2700	0	88962	<$>37545</>	0	0
Period	120002	0	0	0	0	none	0	0	800	0	88970	<$>37554</>	0	0
Period	120003	0	0	0	0	none	0	0	720	0	88971	<$>37556</>	0	0
Period	120004	0	0	0	0	EXPUP	0	0	99999	0	88097	<$>37072</>	0	1
Period	120005	0	0	0	0	STNUP	0	0	99999	0	88098	<$>37074</>	0	1
Period	120006	0	0	0	0	none	0	0	99999	0	841044	<$>32282</>	0	1
Period	120007	0	0	0	0	none	0	0	99999	0	841049	<$>32293</>	0	1
Period	120008	0	0	0	0	HOMEPREMIUM	0	0	500	0	155062	<$>37995</>	0	1
Period	120009	0	0	0	0	none	0	0	99999	0	175007	<$>67754</>	0	1
Period	120010	0	0	0	0	none	0	0	99999	0	41550	<$>67754</>	0	1
Package	14075	0	0	0	0	EXPUP	0	0	100	0	157021	<$>75961</>	0	7
Package	14076	0	0	0	0	STNUP	0	0	100	0	157022	<$>75962</>	0	7
Period	18142	0	0	0	0	none	0	0	50	0	189181	<$>30548</>	0	0
Period	18144	0	0	0	0	none	0	0	500	0	189183	<$>30550</>	0	0
Period	125000	0	0	0	0	none	0	0	0	0	41142	<$>32251</>	0	5
Period	125001	0	0	0	0	EXPUP	0	0	0	2	89010	<$>37872</>	0	0
Period	125002	0	0	0	0	STNUP	0	0	0	2	89011	<$>37872</>	0	0
Period	125003	0	0	0	0	none	0	0	0	0	169901	<$>43363</>	0	5
Period	125004	0	0	0	0	none	0	0	0	0	140005	<$>38958</>	0	5
Period	125005	0	0	0	0	none	0	0	0	0	15275	<$>38946</>	0	5
Period	125006	0	0	0	0	none	0	0	0	0	841030	<$>32272</>	0	2
Period	125007	0	0	0	0	none	0	0	0	0	841038	<$>32274</>	0	2
Period	125008	0	0	0	0	none	0	0	0	0	841039	<$>32276</>	0	2
Etc	125009	0	0	0	0	HOMEPREMIUM	0	0	99999	0	155008	<$>37897</>	0	1
Etc	125010	0	0	0	0	HOMEPREMIUM	0	0	99999	0	155009	<$>37900</>	0	3
Period	125011	0	0	0	0	none	0	0	99999	0	841045	<$>32285</>	0	3
Period	125012	0	0	0	0	none	0	0	99999	0	841050	<$>32296</>	0	3
Period	125013	0	0	0	0	EXPUP	0	0	99999	0	155049	<$>37976</>	0	30
Period	125014	0	0	0	0	EXPUP	0	0	99999	0	155050	<$>37978</>	0	15
Period	125015	0	0	0	0	EXPUP	0	0	99999	0	155051	<$>37979</>	0	7
Period	125016	0	0	0	0	STNUP	0	0	99999	0	155052	<$>37980</>	0	30
Period	125017	0	0	0	0	STNUP	0	0	99999	0	155053	<$>37982</>	0	15
Period	125018	0	0	0	0	STNUP	0	0	99999	0	155054	<$>37983</>	0	7
Period	125019	0	0	0	0	none	0	0	99999	0	190006	<$>100612</>	0	60
Period	125020	0	0	0	0	none	0	0	99999	0	190007	<$>100613</>	0	60
Period	125021	0	0	0	0	none	0	0	99999	0	190008	<$>100614</>	0	60
Period	125022	0	0	0	0	none	0	0	99999	0	190009	<$>100615</>	0	60
Period	125023	0	0	0	0	none	0	0	99999	0	190010	<$>100616</>	0	60
Period	125024	0	0	0	0	none	0	0	99999	0	190011	<$>100617</>	0	60
Period	125025	0	0	0	0	none	0	0	99999	0	190012	<$>100618</>	0	60
Period	125026	0	0	0	0	none	0	0	99999	0	190013	<$>100619</>	0	60
Period	125027	0	0	0	0	none	0	0	99999	0	190014	<$>100620</>	0	60
Period	125028	0	0	0	0	none	0	0	99999	0	190015	<$>100621</>	0	60
Period	125029	0	0	0	0	none	0	0	99999	0	190016	<$>100622</>	0	60
Period	125030	0	0	0	0	none	0	0	99999	0	190017	<$>100623</>	0	60
Period	125031	0	0	0	0	EXPUP_GCD	0	0	99999	0	155063	<$>37997</>	0	60
Period	125032	0	0	0	0	EXPUP_GCD	0	0	99999	0	155064	<$>37999</>	0	60
Period	125033	0	0	0	0	EXPUP_GCD	0	0	99999	0	155065	<$>38001</>	0	60
Period	125034	0	0	0	0	EXPUP_GCD	0	0	99999	0	155066	<$>38003</>	0	60
Period	125035	0	0	0	0	EXPUP_GCD	0	0	99999	0	155067	<$>38005</>	0	60
Period	125036	0	0	0	0	WARESLOT	0	0	99999	0	155080	<$>38028</>	0	365
Period	125037	0	0	0	0	none	0	0	99999	0	175011	<$>67755</>	0	60
Period	125038	0	0	0	0	none	0	0	99999	0	41850	<$>100624</>	0	90
Consume	17001	0	0	0	0	none	0	0	30000	0	20074	<$>30390</>	0	0
Consume	17002	0	0	0	0	none	0	0	30000	0	20075	<$>30391</>	0	0
Consume	17003	0	0	0	0	none	0	0	30000	0	20541	<$>30392</>	0	0
Consume	17004	0	0	0	0	RESURRECTION	0	0	20	0	20084	<$>30393</>	0	0
Consume	17005	0	0	0	0	none	0	0	30000	0	20062	<$>30394</>	0	0
Consume	17011	0	0	0	0	RESURRECTION	0	0	400	0	20534	<$>30397</>	0	0
Consume	17019	0	0	0	0	RESURRECTION	0	0	800	0	20535	<$>30402</>	0	0
Consume	17027	0	0	0	0	none	0	0	30000	0	20519	<$>30407</>	0	0
Consume	17028	0	0	0	0	none	0	0	30000	0	20542	<$>30408</>	0	0
Consume	17029	0	0	0	0	none	0	0	50	0	20543	<$>30409</>	0	0
Consume	17031	0	0	0	0	none	0	0	30000	0	20545	<$>30411</>	0	0
Consume	17032	0	0	0	0	none	0	0	200	0	20546	<$>8755</>	0	0
Consume	17038	0	0	0	0	none	0	0	300	0	20551	<$>30416</>	0	0
Consume	17039	0	0	0	0	none	0	0	30000	0	20714	<$>30417</>	0	0
Consume	17040	0	0	0	0	none	0	0	30000	0	20715	<$>30418</>	0	0
Consume	17041	0	0	0	0	none	0	0	10	0	20716	<$>30419</>	0	0
Consume	17044	0	0	0	0	none	0	0	1350	0	20719	<$>30422</>	0	0
Consume	17052	0	0	0	0	none	0	0	99999	0	20742	<$>30429</>	0	0
Consume	17055	0	0	0	0	None	0	0	150	0	20586	<$>30432</>	0	0
Consume	17056	0	0	0	0	none	0	0	99999	0	20601	<$>176922</>	0	0
Consume	17057	0	0	0	0	none	0	0	99999	0	20602	<$>176923</>	0	0
Consume	17058	0	0	0	0	none	0	0	99999	0	20603	<$>176924</>	0	0
Consume	17059	0	0	0	0	none	0	0	99999	0	20604	<$>176925</>	0	0
Consume	17085	0	0	0	0	none	0	0	40	0	23163	<$>100625</>	0	0
Consume	17087	0	0	0	0	none	0	0	20	0	20047	<$>30460</>	0	0
Consume	130003	0	0	0	0	none	0	0	110	0	20526	<$>33275</>	0	0
Consume	130004	0	0	0	0	none	0	0	110	0	20527	<$>33276</>	0	0
Consume	130005	0	0	0	0	none	0	0	110	0	20528	<$>33277</>	0	0
Consume	130006	0	0	0	0	none	0	0	990	0	20530	<$>33278</>	0	0
Consume	130007	0	0	0	0	none	0	0	990	0	20531	<$>33279</>	0	0
Consume	130008	0	0	0	0	none	0	0	990	0	20532	<$>33280</>	0	0
Consume	130009	0	0	0	0	none	0	0	99999	0	23101	<$>33676</>	0	0
Consume	130010	0	0	0	0	none	0	0	99999	0	23102	<$>33678</>	0	0
Consume	130011	0	0	0	0	none	0	0	250	0	20561	<$>30400</>	0	0
Consume	130012	0	0	0	0	none	0	0	250	0	20562	<$>30401</>	0	0
Consume	130013	0	0	0	0	none	0	0	250	0	20563	<$>30403</>	0	0
Consume	130014	0	0	0	0	none	0	0	50	0	20564	<$>33294</>	0	0
Consume	130015	0	0	0	0	none	0	0	50	0	20565	<$>33295</>	0	0
Consume	130016	0	0	0	0	none	0	0	50	0	20566	<$>33296</>	0	0
Consume	130017	0	0	0	0	none	0	0	50	0	20567	<$>33297</>	0	0
Consume	130018	0	0	0	0	none	0	0	50	0	20568	<$>33298</>	0	0
Consume	130019	0	0	0	0	none	0	0	50	0	20569	<$>33299</>	0	0
Consume	130020	0	0	0	0	none	0	0	50	0	20570	<$>33300</>	0	0
Consume	130021	0	0	0	0	none	0	0	50	0	20571	<$>30404</>	0	0
Consume	130022	0	0	0	0	none	0	0	50	0	20558	<$>33285</>	0	0
Consume	130023	0	0	0	0	none	0	0	50	0	20559	<$>33286</>	0	0
Consume	130024	0	0	0	0	none	0	0	50	0	20560	<$>33287</>	0	0
Consume	130025	0	0	0	0	none	0	0	50	0	20553	<$>33289</>	0	0
Consume	130026	0	0	0	0	none	0	0	800	0	20554	<$>33290</>	0	0
Consume	130027	0	0	0	0	none	0	0	500	0	20725	<$>33453</>	0	0
Consume	130028	0	0	0	0	none	0	0	50	0	20735	<$>33457</>	0	0
Consume	130029	0	0	0	0	none	0	0	50	0	20736	<$>33458</>	0	0
Consume	130030	0	0	0	0	none	0	0	250	0	20737	<$>30429</>	0	0
Consume	130031	0	0	0	0	none	0	0	100	0	20572	<$>33301</>	0	0
Consume	130032	0	0	0	0	none	0	0	270	0	20573	<$>33302</>	0	0
Consume	130033	0	0	0	0	none	0	0	270	0	20574	<$>33303</>	0	0
Consume	130034	0	0	0	0	none	0	0	270	0	20575	<$>33304</>	0	0
Etc	130035	0	0	0	0	none	0	0	10	0	21375	<$>35486</>	0	0
Consume	130036	0	0	0	0	none	0	0	300	0	88327	<$>37235</>	0	0
Consume	130037	0	0	0	0	none	0	0	99999	0	160008	<$>30452</>	0	0
Consume	130038	0	0	0	0	none	0	0	99999	0	160009	<$>30453</>	0	0
Consume	130039	0	0	0	0	none	0	0	40	0	20595	<$>33335</>	0	0
Consume	130040	0	0	0	0	none	0	0	99999	0	160005	<$>28460</>	0	0
Consume	130041	0	0	0	0	none	0	0	99999	0	121375	<$>37875</>	0	0
Consume	130042	0	0	0	0	none	0	0	99999	0	120886	<$>34018</>	0	0
Consume	130043	0	0	0	0	none	0	0	99999	0	160006	<$>28482</>	0	0
Consume	130044	0	0	0	0	none	0	0	99999	0	160007	<$>34036</>	0	0
Consume	130045	0	0	0	0	none	0	0	99999	0	160010	<$>34041</>	0	0
Consume	130046	0	0	0	0	none	0	0	40	0	160011	<$>34043</>	0	0
Consume	130047	0	0	0	0	none	0	0	99999	0	160013	<$>34046</>	0	0
