AGI	AnimType	BodyType	BoneType	BuffMidOffset	BuffTopOffset	CHA	CON	Cache	Category	CharacterBuff	CharacterBuffLv	ClassID	ClassName	ClassType	ClothType	CommPoint	CostumeListFemale	CostumeListMale	Create	CreationCard	DEAD	DEX	DamageOffset	DefaultArmor	DefaultArmorName	DefaultInvenItem	DefaultInvenItemCount	DefaultLWeapon	DefaultRWeapon	DefaultStance	EdgeColor	EngName	EqpAchieveSet	EqpArmorSet	EqpArtifactSet	EqpAssistSet	EqpBackSet	EqpBeltSet	EqpBootsSet	EqpBreastSet	EqpCostumeSet	EqpEarSet	EqpFaceSet	EqpGloveSet	EqpHeadSet	EqpNeckSet	EqpRingSet	EqpShoulderSet	EqpWeaponSet	EquipTown	Gender	HairType	HeadType	HitDummy	HitOffset	Home	IDL	INT	IconClass	JobDesc	JobSkill	JobSklName	LODDist	Mass	Name	OriginalDEADAni	PICK	PINCH	PoseType	RUN	RootNode	STD	STR	STUN	ScaleF	ScaleM	SelfHitEffect	Size	TopDummy	UniqueHit	Value	WLK	WeightRatio	initLv
50	FGT	PC_SET_PANFILO_BODY	PC_SET_PANFILO	134	195	50	85	TRUE	Cityzen	ChaMSP	2	38	PanfiloBattle	PANFILO	Normal	0	None	None	Hire	22035 22573	None	40	154	4103	SettlerLeather_Normal	10011	1	10000	108	Bareknuckle,BackGuard,HackandSlash	FFCC00FF	Panfilo the Battlecook	None,Achieve	None,Leather,Metal,LeatherFGT	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosPanfilo,CosCookAll	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatPanfilo,HatCookAll	None,Necklace	None,Ring	None,Shoulder	1700,1701,1702,1703,1704,1705,1706	TRUE	Male	PC_SET_PANFILO_HAIR	PC_SET_PANFILO_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_FGT	60	fighter	<$>101072</>	1038	BattleCook2	1200	1	<$>47037</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	PC_STD_FGT	75	PC_STUN_FGT	0	0.913	HIT_Blood_Human	S	Dummy_State	NO	320	PC_WLK_FGT	1	40
90	ADEL	PC_SET_ADEL_BODY	PC_SET_ADEL	128	187	60	65	TRUE	Cityzen	ChaATK	2	39	AdelinaPirate	ADEL	Normal	0	None	None	Hire	22036 22571	None	60	147	4104	SettlerLeather_High	0	0	10000	309	Bareknuckle,MiddleGuard,FreestyleShot	FFCC00FF	Adelina the Pirate	None,Achieve	None,Leather,LeatherFGT	None,Artifact	None,Pistol	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosAdel,CosAdel2,CosAven	None,Ear,EarAdel	None,	None,Glove,LGlove	None,HatAdel,HatAdel2,HatAven	None,Necklace	None,Ring	None,Shoulder	1900,1901,1902,1903,1904,1905	TRUE	Female	PC_SET_ADEL_HAIR	PC_SET_ADEL_HEAD	Bip01 Spine1	128	GranadoEspada	PC_IDL_ADEL	30	fighter	<$>101073</>	1031	Leviathanroar	1200	1	<$>47039</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_ADEL	Bip01	PC_STD_ADEL	70	PC_STUN_FGT	0.944	0	HIT_Blood_Human	S	Dummy_State	NO	330	PC_WLK_ADEL	1	60
75	SCT	PC_SET_SOHO2_BODY	PC_SET_SOHO2	136	199	50	60	TRUE	Cityzen	ChaPR	1	40	SohoFighter	SOHO2	Normal	0	None	None	Hire	22037 22574	None	60	156	4103	SettlerLeather_Normal	0	0	10000	1607	Bareknuckle,Fortitudo,Escrima,MartialArtsS,MartialArtsG	FFCC00FF	Soho the Wind	None,Achieve	None,Leather,LeatherFGT,LeatherSCT	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosSoho2,CosSohoAll	None,Ear	None,	None,Glove,LGlove	None,HatSohoAll	None,Necklace	None,Ring	None,Shoulder	2100,2101,2102,2701,3002,4000	TRUE	Male	PC_SET_SOHO2_HAIR	PC_SET_SOHO2_HEAD	Bip01 Spine1	136	GranadoEspada	PC_IDL_SCT	30	scout	<$>101074</>	1003	HealingAuto	1200	1	<$>47041</>	NO	PC_PICK_SCT	PC_PINCH_SCT	SCT	PC_RUN_SCT	Bip01	PC_STD_SCT	70	PC_STUN_SCT	0	0.928	HIT_Blood_Human	S	Dummy_State	NO	315	PC_WLK_SCT	1	40
50	EMILIA	PC_SET_EMILIA_BODY	PC_SET_EMILIA	125	182	60	55	TRUE	Cityzen	ChaIncINT	1	41	EmiliaSage	EMILIA	Normal	0	None	None	Hire	22038 22575	None	50	144	4303	SettlerCoat_Normal	21100	3	10000	2105	FirstAid,ESP,Psychokinesis	FFCC00FF	Emilia the Sage	None,Achieve	None,Leather,Coat,CoatWIZ	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosEmilia,CosSage	None,Ear	None,	None,Glove,LGlove	None,HatEmilia	None,Necklace	None,Ring	None,Shoulder	2400,201,2402,2405	TRUE	Female	PC_SET_EMILIA_HAIR	PC_SET_EMILIA_HEAD	Bip01 Spine1	125	GranadoEspada	PC_IDL_SCT	80	scout	<$>101075</>	1003	HealingAuto	1200	1	<$>47043</>	NO	PC_PICK_SCT	PC_PINCH_SCT	WIZ	PC_RUN_EMILIA	Bip01	PC_STD_EMILIA	40	PC_STUN_SCT	0.949	0	HIT_Blood_Human	S	Dummy_State	NO	320	PC_WLK_EMILIA	1	40
80	FGT	PC_SET_SMITH02_BODY	PC_SET_SMITH02	124	181	50	65	TRUE	Cityzen	ChaASPD	2	42	IdgeBattle	SMITH02	Normal	0	None	None	Hire	22043 22576	None	60	143	4103	SettlerLeather_Normal	0	0	10000	408	Bareknuckle,PlowGuard,BlandirCruz,BackGuard	FFCC00FF	Idge the Battlesmith	None,Achieve	None,Leather,Metal,LeatherFGT	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosIdge,CosCraft	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatIdge,HatCraft	None,Necklace	None,Ring	None,Shoulder	700,701,702,4200,4201,4202	TRUE	Female	PC_SET_SMITH02_HAIR	PC_SET_SMITH02_HEAD	Bip01 Spine1	124	GranadoEspada	PC_IDL_FGT	30	fighter	<$>101076</>	1037	BattleSmith	1200	1	<$>47044</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	PC_STD_FGT	75	PC_STUN_FGT	0.917	0	HIT_Blood_Human	S	Dummy_State	NO	320	PC_WLK_FGT	1	40
70	FGT	PC_SET_SELVABONES_BODY	PC_SET_SELVABONES	128	187	50	50	TRUE	Cityzen	ChaBLK	1	43	Selva	SELVABONES	Normal	0	None	None	Hire	22532 22039	None	50	147	4104	SettlerLeather_High	0	0	10000	206	Bareknuckle,EpeeGarde,BackGuard	FFFFFF00	Selva	None,Achieve	None,Leather,LeatherFGT	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosSelva	None,Ear	None,	None,Glove,LGlove	None,HatSelva	None,Necklace	None,Ring	None,Shoulder	4300,4301,4302,4303,4304	TRUE	Female	PC_SET_SELVABONES_HAIR	PC_SET_SELVABONES_HEAD	Bip01 Spine1	128	GranadoEspada	PC_IDL_FGT	50	fighter	<$>101077</>	1016	Destino	1200	1	<$>1938</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	PC_STD_FGT	70	PC_STUN_FGT	0.944	0	HIT_Blood_Human	S	Dummy_State	NO	320	PC_WLK_FGT	1	60
75	FGT	PC_SET_BACKHO_BODY	PC_SET_BACKHO	137	201	50	50	TRUE	Cityzen	ChaPCATK	1	56	Backho	BACKHO	Normal	0	None	None	Hire	22541 22059	None	50	158	4103	SettlerLeather_Normal	0	0	10000	1507	Bareknuckle,MartialArtsG,MartialArtsS,MartialArtsM	FFFF7700	Back Ho	None,Achieve	None,Leather,LeatherFGT,LeatherSCT	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosBackho	None,Ear	None,	None,Glove,LGlove	None,HatBackho	None,Necklace	None,Ring	None,Shoulder	5600,5601,5602,5603	TRUE	Male	PC_SET_BACKHO_HAIR	PC_SET_BACKHO_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_FGT	30	fighter	<$>101078</>	1013	HwoarangsSpirits	1200	1	<$>86</>	NO	PC_PICK_FGT	PC_PINCH_FGT	SCT	PC_RUN_FGT	Bip01	PC_STD_FGT	75	PC_STUN_FGT	0	0.915	HIT_Blood_Human	S	Dummy_State	NO	310	PC_WLK_FGT	1	40
70	MIFUYU	PC_SET_MIFUYU_BODY	PC_SET_MIFUYU	122	178	50	70	TRUE	Cityzen	ChaMHP	2	62	Mifuyu	MIFUYU	Skirt	0	None	None	Hire	22075	None	60	140	4201	SettlerMetal_Normal	0	0	10000	408	Bareknuckle,BackGuardMI,RoofGuard,PlowGuard,MiddleGuardMI,TwinBladesMI	FFFFFF00	Mifuyu	None,Achieve	None,Leather,LeatherFGT,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosMifuyu_JPN,CosAsuka_JPN	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatMifuyu_JPN,HatMifuyu,HatAsuka_JPN	None,Necklace	None,Ring	None,Shoulder	100,100101,107,11901,11902	TRUE	Female	PC_SET_MIFUYU_HAIR	PC_SET_MIFUYU_HEAD	Bip01 Spine1	122	GranadoEspada	PC_IDL_MIFUYU	30	fighter	<$>101079</>	30113	Resuscitation	1200	0.9	<$>47065</>	NO	PC_PICK_MIFUYU	PC_PINCH_MIFUYU	MIFUYU	PC_RUN_MIFUYU	Bip01	PC_STD_MIFUYU	70	PC_STUN_MIFUYU	0.9	0	HIT_Blood_Human	S	Dummy_State	NO	330	PC_WLK_MIFUYU	1	40
75	MIFUYU	PC_SET_ASUKA_BODY	PC_SET_ASUKA	122	178	50	70	TRUE	Cityzen	ChaHoldTime	2	64	Asoka	ASOKA	Skirt	0	None	None	Hire	22077 22570	None	50	140	4201	SettlerMetal_Normal	0	0	10000	408	Bareknuckle,BackGuardAS,MiddleGuardAS,TwinBladesAS,PlowGuardAS,RoofGuardAS	FFCC00FF	Asoka	None,Achieve	None,Leather,LeatherFGT,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosMifuyu,CosAsuka_JPN	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatAsuka_JPN,HatMifuyu2	None,Necklace	None,Ring	None,Shoulder	100,6401,6402,6403,6404	TRUE	Female	PC_SET_ASUKA_HAIR	PC_SET_ASUKA_HEAD	Bip01 Spine1	122	GranadoEspada	PC_IDL_MIFUYU	30	fighter	<$>47069</>	1020	Sprint2	1200	0.9	<$>47068</>	NO	PC_PICK_MIFUYU	PC_PINCH_MIFUYU	MIFUYU	PC_RUN_MIFUYU	Bip01	PC_STD_MIFUYU	75	PC_STUN_MIFUYU	0.9	0	HIT_Blood_Human	S	Dummy_State	NO	330	PC_WLK_MIFUYU	1	40
70	ADRIANA	PC_SET_ADRIANA2_BODY	PC_SET_ADRIANA2	137	200	50	70	TRUE	Cityzen	ChaCRT	1	84	CadetAdriana	ADRIANA2	Normal	0	None	None	Hire	22098 22577	None	60	158	4104	SettlerLeather_High	0	0	10000	309	Bareknuckle,MiddleGuard,HeavenorHell	FFCC00FF	Cadet Adriana	None,Achieve	None,Leather,LeatherSCT,LeatherFGT,Coat,CoatMUS	None,Artifact	None,LargeCaliberBullet	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosAdrianaAll	None,Ear	None,FaceAdriana	None,Glove,LGlove	None,HatAdrianaAll	None,Necklace	None,Ring	None,Shoulder	7500,7501,7502,7503	TRUE	Female	PC_SET_ADRIANA2_HAIR	PC_SET_ADRIANA2_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_MUS	40	fighter	<$>47089</>	1004	Concentrate	1200	1	<$>47088</>	NO	PC_PICK_ADRIANA	PC_PINCH_MUS	ADRIANA	PC_RUN_ADRIANA	Bip01	PC_STD_ADRIANA	70	PC_STUN_MUS	1	1.011	HIT_Blood_Human	S	Dummy_State	NO	340	PC_WLK_ADRIANA	1	60
30	ELISA	PC_SET_ELISA_BODY	PC_SET_ELISA	137	200	50	70	TRUE	Cityzen	ChaMSP	1	85	Elisa	ELISA	Normal	0	None	None	Hire	22114 22099 22578	None	50	158	4304	SettlerCoat_High	0	0	10000	10000	FirstAid,Fortitudo	FFCC00FF	Cadet Elisa	None,Achieve	None,Coat,CoatMUS	None,Artifact	None,	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosElisaAll	None,Ear	None	None,Glove,LGlove	None,HatElisaAll	None,Necklace	None,Ring	None,Shoulder	8000,8001	TRUE	Female	PC_SET_ELISA_HAIR	PC_SET_ELISA_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_MUS	80	scout	<$>47091</>	1021	Cure	1200	1	<$>47090</>	NO	PC_PICK_ADRIANA	PC_PINCH_MUS	ELISA	PC_RUN_ADRIANA	Bip01	PC_STD_ELISA	50	PC_STUN_MUS	0.918	1.011	HIT_Blood_Human	S	Dummy_State	NO	310	PC_WLK_ADRIANA	1	60
20	FREEDAY	PC_SET_FREEDAY_BODY	PC_SET_FREEDAY	137	200	70	70	TRUE	Cityzen	ChaREle	1	91	Freeday	FREEDAY	Normal	0	None	None	Hire	22105 22588	None	50	158	4306	SettlerCoat_Mystic	0	0	10000	1706	Bareknuckle,Serenade,Rocking	FFCC00FF	Freeday	None,Achieve	None,Coat,CoatMUS	None,Artifact	None,	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None	None,Ear	None	None,Glove,LGlove	None	None,Necklace	None,Ring	None,Shoulder	8900,8901	TRUE	Male	PC_SET_FREEDAY_HAIR	PC_SET_FREEDAY_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_FREEDAY	90	warlock	<$>87084</>	1035	Encor	1200	1	<$>87083</>	NO	PC_PICK_FREEDAY	PC_PINCH_MUS	FREEDAY	PC_RUN_FREEDAY	Bip01	PC_STD_FREEDAY	50	PC_STUN_MUS	0.918	1	HIT_Blood_Human	S	Dummy_State	NO	350	PC_WLK_FREEDAY	1	100
