ClassID	ClassName	Condition1	Condition2	Condition3	Condition4	Condition5	Condition6	Condition7	Condition8	Location1	Location2	Location3	Location4	Location5	Location6	Location7	Location8	Map1	Map2	Map3	Map4	Map5	Map6	Map7	Map8	Npc1	Npc2	Npc3	Npc4	Npc5	Npc6	Npc7	Npc8	QuestLv1	QuestLv2	QuestLv3	QuestLv4	QuestLv5	QuestLv6	QuestLv7	QuestLv8	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Scenario	StartMap	StartNpc	Title	TotalStage	Type	WarLocation1	WarLocation2	WarLocation3	WarLocation4	WarLocation5	WarLocation6	WarLocation7	WarLocation8
14	Quest_00014	None	None	None	None	None	None	None	None	<$>111691</>	<$>111691</>	<$>111691</>	None	None	None	None	None	auch_basic	auch_basic	auch_basic	None	None	None	None	None	SCTW_GUARD	SCTW_GUARD	SCTW_GUARD	None	None	None	None	None	110	110	110	1	1	1	1	1	<$>111692</>	<$>111692</>	<$>111692</>	None	None	None	None	None	<$>139695</>	coim_basic	COIM_ITEM1	<$>111689</>	3	Choice	None	None	None	None	None	None	None	None
19	Quest_00019	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>99766</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
20	Quest_00020	<$>94638</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>94637</>	None	None	None	None	None	None	None	<$>181867</>	None	None	<$>94635</>	2	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
21	Quest_00021	None	None	None	None	None	<$>99768</>	None	None	<$>125351</>	<$>56027</>	<$>125352</>	<$>47833</>	<$>125353</>	<$>148182</>	None	None	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	None	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	None	60	80	80	100	110	110	1	1	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	None	None	<$>151419</>	None	None	<$>94639</>	6	Choice	mission_masung_pot - -	mission_masung_tor - -	mission_masung_jaq - -	mission_masung_ust - -	mission_masung_ktv - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None
22	Quest_00022	None	None	None	None	<$>99768</>	None	None	None	<$>94644</>	<$>47976</>	<$>47975</>	<$>94645</>	<$>148182</>	None	None	None	fld_coim	fld_coim	fld_coim	fld_coim	reb_basic	None	None	None	MISSION_JAQ	MISSION_SINGLERAID	MISSION_SINGLERAID	MISSION_TEAMRAID	SHOP_PROMOTION	None	None	None	100	100	100	110	120	1	1	1	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	None	None	None	<$>181868</>	None	None	<$>94642</>	5	Choice	mission_thefortress_o - - mission_thefortress_d - - mission_deadman - -	mission_rafflesia - -	mission_sharffen - -	mission_argus2 - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None
23	Quest_00023	None	None	None	None	None	None	<$>99768</>	None	<$>94648</>	<$>94649</>	<$>94650</>	<$>94651</>	<$>94652</>	<$>94653</>	<$>148182</>	None	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	120	120	120	120	120	120	120	1	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	None	<$>181869</>	None	None	<$>94646</>	7	Choice	mission_fallingrock_party - -	mission_cow_party - -	mission_rafflesia_party - -	mission_sharffen_party - -	mission_uraeus_party - -	mission_griffon_party - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None
24	Quest_00024	None	None	None	None	<$>99768</>	None	None	None	<$>29411</>	<$>29414</>	<$>29446</>	<$>48363</>	<$>148182</>	None	None	None	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	None	None	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	None	None	120	120	120	120	120	1	1	1	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	None	None	None	<$>99773</>	None	None	<$>94654</>	5	Choice	mission_cas_mine - -	mission_cas_relic - -	mission_abyss - -	mission_weekly_sekhmet - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None
25	Quest_00025	None	<$>99768</>	None	None	None	None	None	None	<$>47953</>	<$>148182</>	None	None	None	None	None	None	reb_basic	reb_basic	None	None	None	None	None	None	SHOP_PROMOTION	SHOP_PROMOTION	None	None	None	None	None	None	130	130	1	1	1	1	1	1	<$>94637</>	<$>94637</>	None	None	None	None	None	None	<$>181870</>	None	None	<$>94656</>	2	Choice	dun_caslucifer02 - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None
26	Quest_00026	None	<$>99768</>	None	None	None	None	None	None	<$>29425</>	<$>148182</>	None	None	None	None	None	None	reb_basic	reb_basic	None	None	None	None	None	None	SHOP_PROMOTION	SHOP_PROMOTION	None	None	None	None	None	None	80	100	1	1	1	1	1	1	<$>94637</>	<$>94637</>	None	None	None	None	None	None	<$>181871</>	None	None	<$>94658</>	2	Choice	mission_griffon_party - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None
27	Quest_00027	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>99776</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
28	Quest_00028	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>99777</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
29	Quest_00029	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>99778</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
30	Quest_00030	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>99779</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
31	Quest_00031	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>210538</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
32	Quest_00032	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>210539</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
33	Quest_00033	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>210540</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
34	Quest_00034	<$>99768</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>13438</>	None	None	None	None	None	None	None	<$>99767</>	None	None	<$>210541</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
36	Quest_00035	None	None	None	None	None	None	<$>99768</>	None	<$>214810</>	<$>214811</>	<$>214812</>	<$>214813</>	<$>214814</>	<$>151480</>	<$>148182</>	None	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	130	130	130	130	130	130	120	1	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	<$>94637</>	None	<$>214809</>	None	None	<$>210542</>	7	Choice	H_mission_lucifer01 - - dun_lucifer01 - -	H_mission_lucifer02 - - dun_lucifer02 - -	H_mission_lucifer03 - - mission_lucifer03 - -	H_mission_lucifer04 - - mission_lucifer04 - -	H_mission_lucifer05 - - mission_lucifer05 - -	H_mission_lucifer06 - - mission_lucifer06 - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None
37	Quest_00036	None	None	None	None	<$>99768</>	<$>99768</>	None	None	<$>139799</>	<$>210553</>	<$>139787</>	<$>130537</>	<$>140942</>	<$>148182</>	None	None	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	reb_basic	None	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	None	130	130	130	130	130	120	1	1	<$>210552</>	<$>210552</>	<$>210552</>	<$>210552</>	<$>210552</>	<$>94637</>	None	None	<$>210551</>	None	None	<$>210550</>	6	Choice	mission_darkpriest - -	mission_arm_chaos - -	mission_arm_madness - -	mission_arm_hate - -	mission_arm_fury - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None
38	Quest_00037	None	None	None	<$>99768</>	None	None	None	None	<$>210556</>	<$>210557</>	<$>210558</>	<$>148182</>	None	None	None	None	reb_basic	reb_basic	reb_basic	reb_basic	None	None	None	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	None	None	None	120	120	120	140	1	1	1	1	<$>210552</>	<$>210552</>	<$>210552</>	<$>210552</>	None	None	None	None	<$>210555</>	None	None	<$>210554</>	4	Choice	mission_cas_mine_KOR_H - -	mission_cas_relic_KOR_H - -	mission_tower_of_chaos_KOR_H - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None
39	Quest_00038	None	None	None	<$>99768</>	None	None	None	None	<$>203304</>	<$>203309</>	<$>209679</>	<$>148182</>	None	None	None	None	reb_basic	reb_basic	reb_basic	reb_basic	None	None	None	None	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	SHOP_PROMOTION	None	None	None	None	140	140	140	140	1	1	1	1	<$>210561</>	<$>210561</>	<$>210561</>	<$>210561</>	None	None	None	None	<$>210560</>	None	None	<$>210559</>	4	Choice	mission_royalroad_hell - -	Mission_dun_casile01_hell - -	Mission_dun_casile02_hell - -	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None
41	Quest_00041	<$>99780</>	None	None	None	None	None	None	None	<$>148182</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	SHOP_PROMOTION	None	None	None	None	None	None	None	110	0	1	0	0	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	<$>13438</>	None	None	None	None	<$>111694</>	reb_basic	SHOP_PROMOTION	<$>111693</>	1	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None	None	None	None
42	Quest_00042	None	None	None	None	<$>111702</>	None	None	None	<$>227071</>	<$>227072</>	<$>117540</>	<$>8320</>	<$>148182</>	None	None	None	fld_coim	fld_coim	fld_coim	fld_coim	reb_basic	None	None	None	MISSION_JAQ	MISSION_JAQ	MISSION_JAQ	MISSION_JAQ	SHOP_PROMOTION	None	None	None	110	110	110	110	110	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	<$>13438</>	<$>111701</>	None	None	None	<$>172938</>	reb_basic	SHOP_PROMOTION	<$>111695</>	5	Choice	None	None	None	None	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None
43	Quest_00043	<$>99780</>	None	None	None	<$>111702</>	None	None	None	<$>148182</>	<$>47985</>	<$>227073</>	<$>227074</>	<$>148182</>	None	None	None	reb_basic	fld_coim	fld_coim	fld_coim	reb_basic	None	None	None	SHOP_PROMOTION	MISSION_JAQ	MISSION_JAQ	MISSION_SINGLERAID	SHOP_PROMOTION	None	None	None	110	110	110	110	110	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	<$>13438</>	<$>111701</>	None	None	None	<$>172938</>	reb_basic	SHOP_PROMOTION	<$>111703</>	5	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None
44	Quest_00044	<$>99780</>	None	None	<$>111702</>	None	None	None	None	<$>148182</>	<$>111707</>	<$>111708</>	<$>148182</>	None	None	None	None	reb_basic	auch_basic	auch_basic	reb_basic	None	None	None	None	SHOP_PROMOTION	SCTW_GUARD	SCTW_GUARD	SHOP_PROMOTION	None	None	None	None	115	120	120	110	0	1	1	1	<$>13438</>	<$>13438</>	<$>13438</>	<$>111701</>	None	None	None	None	<$>172939</>	reb_basic	SHOP_PROMOTION	<$>111705</>	4	Choice	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	coim_basic 971 16917 -1088 auch_basic -6217 1510 1306 ust_basic 841 14945 -5746 bah_basic -3423 7190 214 erc_basic -882 244 -3 viron_basic 764 625 527 bst_basic -1904 7495 1797 arm_basic 368 1935 271 cas_basic -1440 -4471 147	None	None	None	None
50	Quest_00050	<$>94666</>	<$>103742</>	None	None	None	None	None	None	<$>94593</>	<$>94593</>	None	None	None	None	None	None	mission_room_kano	mission_room_kano	None	None	None	None	None	None	C1_BST_KANO	C1_BST_JD	None	None	None	None	None	None	120	120	1	1	1	1	1	1	<$>27187</>	<$>27187</>	None	None	None	None	None	None	<$>103741</>	None	None	<$>94664</>	2	Scout	bst_basic 3834 -9055 597	None	None	None	None	None	None	None
51	Quest_00051	<$>89301</>	<$>94666</>	<$>89301</>	None	None	None	None	None	<$>88733</>	<$>94593</>	<$>88733</>	None	None	None	None	None	bst_lab	mission_room_kano	bst_lab	None	None	None	None	None	C1_BST_MARCHETTI	C1_BST_KANO	C1_BST_MARCHETTI	None	None	None	None	None	120	120	120	1	1	1	1	1	<$>27187</>	<$>27187</>	<$>27187</>	None	None	None	None	None	<$>103743</>	None	None	<$>94668</>	3	Scout	None	bst_basic 3834 -9055 597	None	None	None	None	None	None
52	Quest_00052	None	None	None	None	None	None	None	None	<$>88733</>	<$>88733</>	<$>88733</>	<$>88733</>	None	None	None	None	bst_lab	bst_lab	bst_lab	bst_lab	None	None	None	None	C1_BST_MARCHETTI	C1_BST_MARCHETTI	C1_BST_MARCHETTI	C1_BST_MARCHETTI	None	None	None	None	120	120	120	120	1	1	1	1	<$>27187</>	<$>27187</>	<$>27187</>	<$>27187</>	None	None	None	None	<$>94671</>	None	None	<$>94670</>	4	Scout	mission_hellbreaker - -	btl_jaq04 - -	dun_tbk02 - - btl_tbk01 - -	None	None	None	None	None
53	Quest_00053	<$>94674</>	None	None	None	None	None	None	None	<$>94593</>	None	None	None	None	None	None	None	mission_room_kano	None	None	None	None	None	None	None	C1_BST_KANO	None	None	None	None	None	None	None	120	1	1	1	1	1	1	1	<$>27187</>	None	None	None	None	None	None	None	<$>94673</>	None	None	<$>94672</>	1	Scout	bst_basic 3834 -9055 597	None	None	None	None	None	None	None
54	Quest_00054	<$>94674</>	None	None	None	None	None	None	None	<$>94593</>	None	None	None	None	None	None	None	mission_room_kano	None	None	None	None	None	None	None	C1_BST_KANO	None	None	None	None	None	None	None	120	1	1	1	1	1	1	1	<$>27187</>	None	None	None	None	None	None	None	<$>94673</>	None	None	<$>94675</>	1	Scout	bst_basic 3834 -9055 597	None	None	None	None	None	None	None
55	Quest_00055	<$>94674</>	None	None	None	None	None	None	None	<$>94593</>	None	None	None	None	None	None	None	mission_room_kano	None	None	None	None	None	None	None	C1_BST_KANO	None	None	None	None	None	None	None	120	1	1	1	1	1	1	1	<$>27187</>	None	None	None	None	None	None	None	<$>94673</>	None	None	<$>94676</>	1	Scout	bst_basic 3834 -9055 597	None	None	None	None	None	None	None
