ClassID	ClassName	ItemOption	ItemSocket	ItemType	Reinforce
503	CustomWarlock_Weapon1	None	None	7222	0
504	CustomWarlock_Weapon2	None	None	7222	0
505	CustomWarlock_Armor	None	None	15004	0
506	CustomFighter_Weapon1	None	None	7201	0
507	CustomFighter_Armor	None	None	15001	0
508	CustomFighter_Weapon2	None	None	7215	0
509	CustomFighter_Costume_1	None	None	42071	0
1001	ELN_Fighter	| 18003 20 18009 10	None	64711	0
1002	ELN_Scout	| 18003 20 18009 10	None	64712	0
1003	GP_Fighter	| 18003 20 18009 10	None	64703	0
1004	ELN_Muskeet	| 18003 20 18009 10	None	64714	0
1005	ELN_Wizard	| 18003 20 18009 10	None	64715	0
1006	ELN_Warlock	| 18003 20 18009 10	None	64716	0
1101	Rapier_33_1	None	None	13441	0
1102	Rapier_33_2	None	None	13441	0
1111	Dagger_33_1	None	None	13442	0
1112	Dagger_33_2	None	None	13442	0
1121	THSword_33_1	None	None	13443	0
1131	Sword_33_1	None	None	13444	0
1132	Sword_33_2	None	None	13444	0
1141	Rifle_33_1	None	None	13445	0
1151	Lute_33_1	None	None	13446	0
1161	Sabre_33_1	None	None	13447	0
1162	Sabre_33_2	None	None	13447	0
1171	Polearm_33_1	None	None	13448	0
1181	Javelin_33_1	None	None	13449	0
1191	Pistol_33_1	None	None	13450	0
1192	Pistol_33_2	None	None	13450	0
1201	Shield_33_1	None	None	13451	0
1211	Cannon_33_1	None	None	13452	0
1221	Staff_33_1	None	None	13453	0
1231	MainG_33_1	None	None	13454	0
1232	MainG_33_2	None	None	13454	0
1241	CrossBow_33_1	None	None	13455	0
1242	CrossBow_33_2	None	None	13455	0
1251	Shotgun_33_1	None	None	13456	0
1261	Blunt_33_1	None	None	13457	0
1262	Blunt_33_2	None	None	13457	0
1271	Knuckle_33_1	None	None	13458	0
1281	Leguard_33_1	None	None	13459	0
1291	ElemBrc_33_1	None	None	13460	0
1292	ElemBrc_33_2	None	None	13460	0
1301	FireBrc_33_1	None	None	13461	0
1302	FireBrc_33_2	None	None	13461	0
1311	LghtBrc_33_1	None	None	13462	0
1312	LghtBrc_33_2	None	None	13462	0
1321	IceBrc_33_1	None	None	13463	0
1322	IceBrc_33_2	None	None	13463	0
1331	Book_33_1	None	None	13464	0
1341	Rod_33_1	None	None	13465	0
1351	Tool_33_1	None	None	13466	0
1361	Controller_33_1	None	None	13467	0
1371	Pendant_33_1	None	None	13468	0
1381	Cube_33_1	None	None	13469	0
1391	Encyclopedia_33_1	None	None	13470	0
1401	Rosario_1	None	None	13471	0
1411	Crescent_33_1	None	None	13472	0
1421	Tonfa_33_1	None	None	13473	0
1431	HeavyRifle_33_1	None	None	13474	0
1441	ArmShield_1	None	None	13475	0
1451	BStick_1	None	None	13477	0
