ArmorWLv	BoosterLv	BoosterOption	ClassID	ClassName	IsDefault	IsPeriod	ItemID	WeaponWLv
None	1	1010 2011 3004 12011 13012 14007 15007 16007 17007 20006 20018 25012 48014 90098	504	Karin_Redmercury_Human_33	0	FALSE	89317	R 33
None	1	1013 2014 3007 12014 13015 14010 15010 16010 17010 20009 20021 25015 48017 90101	505	Karin_Redmercury_Undead_33	0	FALSE	89318	R 33
None	1	1011 2012 3005 12012 13013 14008 15008 16008 17008 20007 20019 25013 48015 90099 100010 100023 100060 100071 100082 100093 100191 114029	506	Karin_Redmercury_Beast_34	0	FALSE	89319	R 34
None	1	1012 2013 3006 12013 13014 14009 15009 16009 17009 20008 20020 25014 48016 90100 100011 100024 100061 100072 100083 100094 100192 114030	507	Karin_Redmercury_Demon_34	0	FALSE	89320	R 34
None	1	1014 2015 3008 12015 13016 14011 15011 16011 17011 20010 20022 25016 48018 90102 100013 100026 100063 100074 100085 100096 100194 114032	508	Karin_Redmercury_Golem_34	0	FALSE	89321	R 34
None	1	1010 2011 3004 12011 13012 14007 15007 16007 17007 20006 20018 25012 48014 90098 100009 100022 100059 100070 100081 100092 100190 114028	509	Karin_Redmercury_Human_34	0	FALSE	89322	R 34
None	1	1013 2014 3007 12014 13015 14010 15010 16010 17010 20009 20021 25015 48017 90101 100012 100025 100062 100073 100084 100095 100193 114031	510	Karin_Redmercury_Undead_34	0	FALSE	89323	R 34
None	1	100010 100023 100060 100071 100082 100093 100191 114009 114029 114045 114061 114077 114093	511	Karin_Redmercury_Beast_35	0	FALSE	89324	R 35
None	1	100011 100024 100061 100072 100083 100094 100192 114010 114030 114046 114062 114078 114094	512	Karin_Redmercury_Demon_35	0	FALSE	89325	R 35
None	1	100013 100026 100063 100074 100085 100096 100194 114012 114032 114048 114064 114080 114096	513	Karin_Redmercury_Golem_35	0	FALSE	89326	R 35
None	1	100009 100022 100059 100070 100081 100092 100190 114008 114028 114044 114060 114076 114092	514	Karin_Redmercury_Human_35	0	FALSE	89327	R 35
None	1	100012 100025 100062 100073 100084 100095 100193 114011 114031 114047 114063 114079 114095	515	Karin_Redmercury_Undead_35	0	FALSE	89328	R 35
None	1	113009 113029 113045 113061 113077 113093	516	Karin_Redmercury_Beast_36	0	FALSE	89329	R 36
None	1	113010 113030 113046 113062 113078 113094	517	Karin_Redmercury_Demon_36	0	FALSE	89330	R 36
None	1	113012 113032 113048 113064 113080 113096	518	Karin_Redmercury_Golem_36	0	FALSE	89331	R 36
None	1	113008 113028 113044 113060 113076 113092	519	Karin_Redmercury_Human_36	0	FALSE	89332	R 36
None	1	113011 113031 113047 113063 113079 113095	520	Karin_Redmercury_Undead_36	0	FALSE	89333	R 36
None	1	115009 115029 115045 115061 115077 115093	521	Karin_Redmercury_Beast_37	0	FALSE	89334	R 37
None	1	115010 115030 115046 115062 115078 115094	522	Karin_Redmercury_Demon_37	0	FALSE	89335	R 37
None	1	115012 115032 115048 115064 115080 115096	523	Karin_Redmercury_Golem_37	0	FALSE	89336	R 37
None	1	115008 115028 115044 115060 115076 115092	524	Karin_Redmercury_Human_37	0	FALSE	89337	R 37
None	1	115011 115031 115047 115063 115079 115095	525	Karin_Redmercury_Undead_37	0	FALSE	89338	R 37
None	1	1011 2012 3005 12012 13013 14008 15008 16008 17008 20007 20019 25013 48015 90099	526	Karin_Redmercury_Beast_33_event	0	FALSE	89339	R 33
None	1	1012 2013 3006 12013 13014 14009 15009 16009 17009 20008 20020 25014 48016 90100	527	Karin_Redmercury_Demon_33_event	0	FALSE	89340	R 33
None	1	1014 2015 3008 12015 13016 14011 15011 16011 17011 20010 20022 25016 48018 90102	528	Karin_Redmercury_Golem_33_event	0	FALSE	89341	R 33
None	1	1010 2011 3004 12011 13012 14007 15007 16007 17007 20006 20018 25012 48014 90098	529	Karin_Redmercury_Human_33_event	0	FALSE	89342	R 33
None	1	1013 2014 3007 12014 13015 14010 15010 16010 17010 20009 20021 25015 48017 90101	530	Karin_Redmercury_Undead_33_event	0	FALSE	89343	R 33
None	1	1011 2012 3005 12012 13013 14008 15008 16008 17008 20007 20019 25013 48015 90099 100010 100023 100060 100071 100082 100093 100191 114029	531	Karin_Redmercury_Beast_34_event	0	FALSE	89344	R 34
None	1	1012 2013 3006 12013 13014 14009 15009 16009 17009 20008 20020 25014 48016 90100 100011 100024 100061 100072 100083 100094 100192 114030	532	Karin_Redmercury_Demon_34_event	0	FALSE	89345	R 34
None	1	1014 2015 3008 12015 13016 14011 15011 16011 17011 20010 20022 25016 48018 90102 100013 100026 100063 100074 100085 100096 100194 114032	533	Karin_Redmercury_Golem_34_event	0	FALSE	89346	R 34
None	1	1010 2011 3004 12011 13012 14007 15007 16007 17007 20006 20018 25012 48014 90098 100009 100022 100059 100070 100081 100092 100190 114028	534	Karin_Redmercury_Human_34_event	0	FALSE	89347	R 34
None	1	1013 2014 3007 12014 13015 14010 15010 16010 17010 20009 20021 25015 48017 90101 100012 100025 100062 100073 100084 100095 100193 114031	535	Karin_Redmercury_Undead_34_event	0	FALSE	89348	R 34
None	1	100010 100023 100060 100071 100082 100093 100191 114009 114029 114045 114061 114077 114093	536	Karin_Redmercury_Beast_35_event	0	FALSE	89349	R 35
None	1	100011 100024 100061 100072 100083 100094 100192 114010 114030 114046 114062 114078 114094	537	Karin_Redmercury_Demon_35_event	0	FALSE	89350	R 35
None	1	100013 100026 100063 100074 100085 100096 100194 114012 114032 114048 114064 114080 114096	538	Karin_Redmercury_Golem_35_event	0	FALSE	89351	R 35
None	1	100009 100022 100059 100070 100081 100092 100190 114008 114028 114044 114060 114076 114092	539	Karin_Redmercury_Human_35_event	0	FALSE	89352	R 35
None	1	100012 100025 100062 100073 100084 100095 100193 114011 114031 114047 114063 114079 114095	540	Karin_Redmercury_Undead_35_event	0	FALSE	89353	R 35
None	1	113009 113029 113045 113061 113077 113093	541	Karin_Redmercury_Beast_36_event	0	FALSE	89354	R 36
None	1	113010 113030 113046 113062 113078 113094	542	Karin_Redmercury_Demon_36_event	0	FALSE	89355	R 36
None	1	113012 113032 113048 113064 113080 113096	543	Karin_Redmercury_Golem_36_event	0	FALSE	89356	R 36
None	1	113008 113028 113044 113060 113076 113092	544	Karin_Redmercury_Human_36_event	0	FALSE	89357	R 36
None	1	113011 113031 113047 113063 113079 113095	545	Karin_Redmercury_Undead_36_event	0	FALSE	89358	R 36
None	1	115009 115029 115045 115061 115077 115093	546	Karin_Redmercury_Beast_37_event	0	FALSE	89359	R 37
None	1	115010 115030 115046 115062 115078 115094	547	Karin_Redmercury_Demon_37_event	0	FALSE	89360	R 37
None	1	115012 115032 115048 115064 115080 115096	548	Karin_Redmercury_Golem_37_event	0	FALSE	89361	R 37
None	1	115008 115028 115044 115060 115076 115092	549	Karin_Redmercury_Human_37_event	0	FALSE	89362	R 37
None	1	115011 115031 115047 115063 115079 115095	550	Karin_Redmercury_Undead_37_event	0	FALSE	89363	R 37
None	1	121008 121028 121044 121060 121076 121092	551	Karin_Redmercury_Beast_38	0	FALSE	89373	R 38
None	1	121009 121029 121045 121061 121077 121093	552	Karin_Redmercury_Demon_38	0	FALSE	89374	R 38
None	1	121011 121031 121047 121063 121079 121095	553	Karin_Redmercury_Golem_38	0	FALSE	89375	R 38
None	1	121007 121027 121043 121059 121075 121091	554	Karin_Redmercury_Human_38	0	FALSE	89376	R 38
None	1	121010 121030 121046 121062 121078 121094	555	Karin_Redmercury_Undead_38	0	FALSE	89377	R 38
None	1	121008 121028 121044 121060 121076 121092	556	Karin_Redmercury_Beast_38_event	0	FALSE	89378	R 38
None	1	121009 121029 121045 121061 121077 121093	557	Karin_Redmercury_Demon_38_event	0	FALSE	89379	R 38
None	1	121011 121031 121047 121063 121079 121095	558	Karin_Redmercury_Golem_38_event	0	FALSE	89380	R 38
None	1	121007 121027 121043 121059 121075 121091	559	Karin_Redmercury_Human_38_event	0	FALSE	89381	R 38
None	1	121010 121030 121046 121062 121078 121094	560	Karin_Redmercury_Undead_38_event	0	FALSE	89382	R 38
