ClassID	ClassName	Composer	Copyrights	FileName	Staff
21	Notorious 1380	SoundTeMP/Kim Junsung	NO	SoundTeMP_Notorious_1380.wma	Composed : Kim JunsungArranged / Mixed : SoundTeMP
22	Only did my duty	SoundTeMP	NO	SoundTeMP_Only_did_my_duty.wma	NO
23	Rosa Rosado	SoundTeMP	NO	SoundTeMP_Rosa_Rosado.wma	NO
24	Supercooled Girl	SoundTeMP	NO	SoundTeMP_Supercooled_Girl.wma	NO
25	Trancephobia	SoundTeMP	NO	SoundTeMP_Trancephobia.wma	NO
26	Unearth	SoundTeMP	NO	SoundTeMP_Unearth.wma	NO
27	You Are Not Supposed To Be Here	SoundTeMP	NO	SoundTeMP_You_are_not_supposed_to_be_here.wma	NO
28	Narcissus	SoundTeMP	NO	SoundTeMP_Narcissus.wma	NO
29	Violet	SoundTeMP	NO	SoundTeMP_Violet.wma	NO
30	Amaranth	SoundTeMP	NO	SoundTeMP_Amaranth.wma	NO
31	Zinnia	SoundTeMP	NO	SoundTeMP_Zinnia.wma	NO
32	JinD'Ale	SoundTeMP	NO	SoundTeMP_JinD'Ale.wma	NO
33	El Rosa Alba	SoundTeMP	NO	SoundTeMP_El_Rosa_Alba.wma	NO
34	Populus Alba	SoundTeMP	NO	SoundTeMP_Populus_Alba.wma	NO
35	Touch me not	SoundTeMP	NO	SoundTeMP_Touch_me_not.wma	NO
36	Urtica	SoundTeMP	NO	SoundTeMP_Urtica.wma	NO
1036	TeMPician	SoundTeMP	NO	SoundTeMP_TeMPician.wma	NO
1037	Helios	SoundTeMP	NO	SoundTeMP_Helios.wma	NO
1038	Paradiso	SoundTeMP	NO	SoundTeMP_Paradiso.wma	NO
1039	Rave	SoundTeMP	NO	SoundTeMP_Rave.wma	NO
1040	Mother	SoundTeMP	NO	SoundTeMP_Mother.wma	NO
1042	Khi-Fi	SoundTeMP	NO	SoundTemp_Khi-Fi.wma	NO
1043	Poison Break	SoundTeMP	NO	SoundTemp_Poison_Break.wma	NO
37	Beyond Hope	S.F.A	NO	SFA_Beyond_Hope.wma	NO
38	Cresendo Veritas	S.F.A	NO	SFA_Cresendo_Veritas.wma	NO
39	Hardius	S.F.A	NO	SFA_Hardius.wma	NO
40	Hilaris	S.F.A	NO	SFA_Hilaris.wma	NO
41	Laboro nomen	S.F.A	NO	SFA_Laboro_nomen.wma	NO
42	Overdose	S.F.A	NO	SFA_Overdose.wma	NO
43	Rising Sun	S.F.A	NO	SFA_Rising_Sun.wma	NO
44	Toko	S.F.A	NO	SFA_Toko.wma	NO
45	Toccata and Fugue in D-	S.F.A	NO	SFA_Toccata_and_Fugue_in_D-.wma	NO
46	InigMatic	S.F.A	NO	SFA_InigMatic.wma	NO
47	mUsk Alliance	S.F.A	NO	SFA_mUsk_Alliance.wma	NO
48	Notredame de course	S.F.A	NO	SFA_Notredame_de_course.wma	NO
49	Violin of the Death	S.F.A	NO	SFA_Violin_of_the_Death.wma	NO
50	The G appears	S.F.A	NO	SFA_The_G_appears.wma	NO
51	Zebre de La Clave	S.F.A	NO	SFA_Zebre_de_La_Clave.wma	NO
52	Agujero inmundo	S.F.A	NO	SFA_Agujero_inmundo.wma	NO
53	Esa Promesa	S.F.A	NO	SFA_Esa_Promesa.wma	NO
54	Me in the battle	S.F.A	NO	SFA_Me_in_the_battle.wma	NO
55	Honor winds	S.F.A	NO	SFA_Honor_winds.wma	NO
56	Voyage to you	S.F.A	NO	SFA_Voyage_to_you.wma	NO
57	The Veras	S.F.A	NO	SFA_The_Veras.wma	NO
58	Sol de la Centro	S.F.A	NO	SFA_Sol_de_la_Centro.wma	NO
59	Poca Esperanza	S.F.A	NO	SFA_Poca_Esperanza.wma	NO
60	Noche de la Selva	S.F.A	NO	SFA_Noche_de_la_selva.wma	NO
61	La Vistazo	S.F.A	NO	SFA_La_Vistazo.wma	NO
62	Grito Fuera	S.F.A	NO	SFA_Grito_Fuera.wma	NO
63	Helter-Skelter	S.F.A	NO	SFA_Helter-Skelter.wma	NO
64	Purple Snow	S.F.A	NO	SFA_Purple_Snow.wma	NO
65	Dancing the Moon	S.F.A	NO	SFA_Dancing_the_Moon.wma	NO
66	Noche Fria	S.F.A	NO	SFA_Noche_Fria.wma	NO
67	Rio Tranquila	S.F.A	NO	SFA_Rio_Tranquila.wma	NO
68	Amanecer	S.F.A	NO	SFA_Amanecer.wma	NO
69	El Momento Pasado	S.F.A	NO	SFA_El_Momento_Pasado.wma	NO
70	Laguerra del Mundo	S.F.A	NO	SFA_Laguerra_del_Mundo.wma	NO
71	Rapal	S.F.A	NO	SFA_Rapal.wma	NO
72	Vamos Bravo	S.F.A	NO	SFA_Vamos_Bravo.wma	NO
73	Aventura Etnica	S.F.A	NO	SFA_Aventura_Etnica.wma	NO
74	Fire Hill	S.F.A	NO	SFA_Fire_Hill.wma	NO
75	Flamengo Fighters	S.F.A	NO	SFA_Flamengo_Fighters.wma	NO
76	Illusion	S.F.A	NO	SFA_Illusion.wma	NO
77	Istania	S.F.A	NO	SFA_Istania.wma	NO
78	Blonde Passion	S.F.A	NO	SFA_Blonde_Passion.wma	NO
79	Espada Nigero	S.F.A	NO	SFA_Espada_Nigero.wma	NO
80	Impressive	S.F.A	NO	SFA_Impressive.wma	NO
81	Sangre Mar	S.F.A	NO	SFA_Sangre_Mar.wma	NO
82	Westers	S.F.A	NO	SFA_Westers.wma	NO
83	Cancion Amor	S.F.A	NO	SFA_Cancion_Amor.wma	unused
84	Como Loco	S.F.A	NO	SFA_Como_Loco.wma	unused
85	Matar de Comer	S.F.A	NO	SFA_Matar_de_Comer.wma	unused
86	Maze of Agony	S.F.A	NO	SFA_Maze_of_agony.wma	unused
87	Mosquetero	S.F.A	NO	SFA_Mosquetero.wma	unused
88	Rachada Fever	S.F.A	NO	SFA_Rachada_Fever.wma	unused
89	Rapid Eye	S.F.A	NO	SFA_Rapid_Eye.wma	unused
90	Return of Afterglow	S.F.A	NO	SFA_Return_of_Afterglow.wma	unused
91	Senza...	S.F.A	NO	SFA_Senza....wma	unused
92	The Last Number	S.F.A	NO	SFA_The_Last_Number.wma	unused
124	Lost the Way	S.F.A	NO	SFA_Lost_the_Way.wma	NO
125	Tears of witch	S.F.A	NO	SFA_Tears of witch.wma	NO
126	Watersky	S.F.A	NO	SFA_Watersky.wma	NO
127	Liesberato	S.F.A	NO	SFA_Liesberato.wma	NO
128	Jeremy	S.F.A	NO	SFA_Jeremy.wma	NO
129	Para Variar	S.F.A	NO	SFA_Para_Variar.wma	NO
130	Matar Fiesta	S.F.A	NO	SFA_Matar_Fiesta.wma	NO
131	Succubus	S.F.A	NO	SFA_Succubus.wma	NO
132	Shiver And Shiver	S.F.A	NO	SFA_Shiver_And_Shiver.wma	NO
133	Go! Jeremiad	S.F.A	NO	SFA_Go!_Jeremiad.wma	NO
134	The Plate of Buron	S.F.A	NO	SFA_The_Plate_of_Buron.wma	NO
135	Zona Calle	S.F.A	NO	SFA_Zona_Calle.wma	NO
136	Vaho rapidez	S.F.A	NO	SFA_Vaho_rapidez.wma	NO
137	Eine Kastellan	S.F.A	NO	SFA_Eine_Kastellan.wma	NO
138	Come on my boy(mr)	S.F.A	NO	SFA_Come_on_my_boy(mr).wma	NO
139	Come on my boy(with_H)	S.F.A	NO	SFA_Come_on_my_boy(with_H).wma	NO
140	Elektrik Tide	S.F.A	NO	SFA_Elektrik_Tide.wma	NO
141	Hiding Wings	S.F.A	NO	SFA_Hiding_Wings.wma	NO
142	Just to know	S.F.A	NO	SFA_Just_to_know.wma	NO
143	Ni Miedo	S.F.A	NO	SFA_Ni_Miedo.wma	NO
144	Ocean Dream	S.F.A	NO	SFA_Ocean_Dream.wma	NO
145	Sunnyside	S.F.A	NO	SFA_Sunnyside.wma	NO
146	Rudolph the rein deer	S.F.A	NO	SFA_Rudolph_the_rein_deer.wma	NO
147	Whispering	S.F.A	NO	SFA_Whispering.wma	NO
148	Dark temple	S.F.A	NO	SFA_Dark_temple.wma	NO
149	Forzar	S.F.A	NO	SFA_Forzar.wma	NO
150	Fuzz	S.F.A	NO	SFA_Fuzz.wma	NO
151	Roestone	S.F.A	NO	SFA_Roestone.wma	NO
152	Unrealistic dream	S.F.A	NO	SFA_Unrealistic_dream.wma	NO
153	Deatholic	S.F.A	NO	SFA_Deatholic.wma	NO
154	Illegal	S.F.A	NO	SFA_Illegal.wma	NO
155	Pray for Soul	S.F.A	NO	SFA_Pray_for_Soul.wma	NO
156	Before Running	S.F.A	NO	SFA_Before_Running.wma	NO
157	Rights Versus Duty	S.F.A	NO	SFA_Rights_Versus_Duty.wma	NO
158	Arpeggione Sonata	S.F.A	NO	SFA_Arpeggione_Sonata.wma	NO
159	The 3rd Lore	S.F.A	NO	S.F.A_The_3rd_Lore.wma	NO
160	The Rhythm of the Hero touch	S.F.A	NO	S.F.A_The_Rhythm_of_the_Hero_touch.wma	NO
161	Bonus Out	S.F.A	NO	SFA_Bonus_Out.wma	NO
162	Seraphim	S.F.A	NO	SFA_Seraphim.wma	NO
163	Resurrection	S.F.A	NO	SFA_Resurrection.wma	NO
164	Flag of ghost	S.F.A	NO	SFA_Flag_of_ghost.wma	NO
165	Death Book	S.F.A	NO	SFA_Death_Book.wma	NO
166	Soul's Rain	S.F.A	NO	SFA_Soul's_Rain.wma	NO
167	The 1st Blood	S.F.A	NO	SFA_The_1st_Blood.wma	NO
168	Swanlake	S.F.A	NO	SFA_Halem_Swanlake.wma	NO
169	Batista	S.F.A	NO	SFA_Batista.wma	NO
170	Serial Killing	S.F.A	NO	SFA_Serial_Killing.wma	NO
171	Burning Water	S.F.A	NO	SFA_Burning_Water.wma	NO
172	Melancholiac	S.F.A	NO	SFA_Melancholiac.wma	NO
173	Discipline	Kubota Osamu	NO	KubotaOsamu_Discipline.wma	NO
93	Temptation	Kubota Osamu	NO	KubotaOsamu_Temptation.wma	NO
94	Aria de Coimbra	Kubota Osamu	NO	KubotaOsamu_Aria_de_Coimbra.wma	NO
95	Odyssey	Kubota Osamu	NO	KubotaOsamu_Odyssey.wma	NO
96	Old Speckled Reel	Kubota Osamu	NO	KubotaOsamu_Old_Speckled_Reel.wma	NO
97	Siren's Scent	Kubota Osamu	NO	KubotaOsamu_Siren's_Scent.wma	NO
98	Beyond the Mountains	Kubota Osamu	NO	KubotaOsamu_Beyond_the_Mountains.wma	NO
99	die Fuge	Kubota Osamu	NO	KubotaOsamu_die_Fuge.wma	NO
100	Vyshegrad - Valse d'Auch	Kubota Osamu	NO	KubotaOsamu_Vyshegrad_-_Valse_d'Auch.wma	NO
101	Rhapsody	Kubota Osamu	NO	KubotaOsamu_Rhapsody.wma	NO
102	Maya	Kubota Osamu	NO	KubotaOsamu_Maya.wma	NO
103	Ice Symphony	Kubota Osamu(with You Hong-Fei, soprano)	NO	KubotaOsamu_Ice_Symphony.wma	NO
104	Akashic record	TaQ	NO	TaQ_Akashic_record.wma	NO
105	Chapter 2	Estuera(Blackhole Recordings)	Blackhole Recordings	DJ.Tiesto_Chapter_2.wma	NO
106	Red Shores	Estuera(Blackhole Recordings)	Blackhole Recordings	DJ.Tiesto_Red_Shores.wma	NO
107	Summer Queen	Starr(Blackhole Recordings)	Blackhole Recordings	DJ.Tiesto_Summer_Queen.wma	NO
108	Tales from the South	Estuera(Blackhole Recordings)	Blackhole Recordings	DJ.Tiesto_Tales_from_the_South.wma	NO
109	Travels	Estuera(Blackhole Recordings)	Blackhole Recordings	DJ.Tiesto_Travels.wma	NO
110	Close Encounter	Phynn(In Trance We Trust)	Blackhole Recordings	Phynn_Close_Encounter.wma	NO
111	Tempest	Phynn(In Trance We Trust)	Blackhole Recordings	Phynn_Tempest.wma	NO
112	Static Bullet(Odyssee Remix)	DJ.Ton T.B.(Blackhole Recordings)	Blackhole Recordings	DJTonTB_Static_Bullet(Odyssee_remix).wma	NO
113	Huldran	Otyg("Alvefard"/Napalm Records)	Napalm Records	Otyg_Huldran.wma	NO
114	Trollslottet	Otyg("Sagovidars Boning"/Napalm Records)	Napalm Records	Otyg_Trollslottet.wma	NO
115	Valle Ocultado	DJ.Cor Fijneman("Monologue Act 3"/MAGIK MUZIK)	Blackhole Recordings	DJ.CorFijneman_Valle_Ocultado.wma	NO
116	Dream Machine	DJ.Ton T.B.(Blackhole Recordings)	Blackhole Recordings	DJTonTB_Dream_Machine.wma	NO
117	7 Clouds	Estuera(Blackhole Recordings)	Blackhole Recordings	Estuera_7_Clouds.wma	NO
118	In Your Eyes(Blue Mix)	FILTERHEADZ PRESENT ORANGE 3	Blackhole Recordings	FilterheadzPresent_Orange3_In_Your_Eyes(BlueMix).wma	NO
119	Confirmation	Fred Baker VS. Nyram	Blackhole Recordings	FredBakerVSNyram_Confirmation.wma	NO
120	Touchdown	Mark Norman	Blackhole Recordings	MarkNorman_Touchdown.wma	NO
121	Genuine Draft	Miller and Fijneman	Blackhole Recordings	MillerAndFijneman_Genuine_Draft.wma	NO
122	Mono Dura	Miller and Fijneman	Blackhole Recordings	MillerAndFijneman_Mono_Dura.wma	NO
123	Senorita(MR.Sam Vision)	MOJADO	Blackhole Recordings	Mojado_Senorita(MR.Sam_Vision).wma	NO
174	Battle Field	Cinenote	NO	Cinenote_Battle_Field.wma	NO
175	March of Salvation	Cinenote	NO	Cinenote_March_of_Salvation.wma	NO
176	Blanco del ojo	S.F.A	NO	SFA_Blanco_del_ojo.wma	NO
177	Piano War	S.F.A	NO	SFA_Piano_War.wma	NO
178	The Beach Shade	S.F.A	NO	SFA_The_Beach_Shade.wma	NO
179	Bring Cadenza	S.F.A	NO	SFA_Bring_Cadenza.wma	NO
180	Umbrio	S.F.A	NO	SFA_Umbrio.wma	NO
181	Anchorsia	S.F.A	NO	SFA_Anchorsia.wma	NO
182	Realbout	S.F.A	NO	SFA_Realbout.wma	NO
183	GoreFest	S.F.A	NO	SFA_GoreFest.wma	NO
184	The Last of Chaos	S.F.A	NO	SFA_The_Last_of_Chaos.wma	NO
185	Fame Or Die	Kubota Osamu	NO	KubotaOsamu_Fame_Or_Die.wma	NO
186	Fatal	Kubota Osamu	NO	KubotaOsamu_Fatal.wma	NO
187	Celestia	S.F.A	NO	SFA_Celestia.wma	NO
188	Pathfinder	S.F.A	NO	SFA_Pathfinder.wma	NO
189	Dejame Volver	S.F.A	NO	SFA_Dejame_Volver.wma	NO
190	It's not over 1	S.F.A	NO	SFA_It's_not_over1.wma	NO
191	Sunrays	SoundTeMP	NO	SoundTeMP - Sunrays.wma	NO
192	Epic Chamber	SoundTeMP	NO	SoundTeMP_Epic_Chamber.wma	NO
193	Schemer	S.F.A	NO	SFA_Schemer.wma	NO
194	Castle of the Lonesome	SoundTeMP	NO	SoundTeMP_Castle_of_the_Lonesome.wma	NO
195	il Segreto	Kubota Osamu	NO	KubotaOsamu_il Segreto.wma	NO
196	Lord of Armonia	Clubzion	NO	Clubzion_Lord_of_Armonia.mp3	NO
197	Saint Gregorian	JN	NO	JN_Saint_Gregorian.mp3	NO
198	Tempestuous	JN	NO	JN_Tempestuous.mp3	NO
199	Far Eastern Romantica	SoundTeMP	NO	SoundTeMP_Far_Eastern_Romantica.mp3	NO
200	Ghetto Amoretto	SoundTeMP	NO	SoundTeMP_Ghetto_Amoretto.mp3	NO
201	The Tragedy of War	Kevin	NO	Kevin_The tragedy_of_war.mp3	NO
202	Hell on Fire	Kevin	NO	Kevin_Hell_on_Fire.mp3	NO
203	Time Bomb	Kevin	NO	Kevin_Time_Bomb.mp3	NO
204	Esperas	Kubota Osamu	NO	KubotaOsamu_Esperas.wma	NO
205	Crimson_Army	Kevin	NO	Kevin_Crimson_Army.mp3	NO
206	Vedel_Birno	Kevin	NO	Kevin_Vedel_Birno.mp3	NO
207	Garuda	Kubota Osamu	NO	KubotaOsamu_Garuda.wma	NO
208	Jewel in the Ashes	Kubota Osamu	NO	KubotaOsamu_Jewel_in_the_Ashes.wma	NO
209	Segundos_Royal	Kevin	NO	Kevin_Segundos_Royal.mp3	NO
210	Drogo_Fire	None	NO	Drogo_Fire_match.mp3	NO
211	Neblua	Kevin	NO	Kevin_Neblua.mp3	NO
212	Avance et Avance	Kevin	NO	Kevin_Avance_et_Avance.mp3	NO
213	Menesiena	S.F.A	NO	SFA_Menesiena.mp3	NO
214	White_Christmas	S.F.A	NO	SFA_white_christmas.ogg	NO
215	Planet of the Castle	Kevin	NO	Kevin_Planet_of_the_Castle.mp3	NO
216	Like a Devil Breaking	Drogo	NO	Drogo_Like_a_Devil_Breaking.mp3	NO
217	Nino Zorro vio	Kevin	NO	Kevin_Nino_Zorro_vio.mp3	NO
218	Attackers	Cinenote	NO	Cinenote_Attackers.mp3	NO
219	Classic Revolution	Stannis	NO	Stannis_Classic_Revolution.mp3	NO
