Child	ClassID	ClassName	CompletedType	Context	GaugeText	Title	ToolTip	Type
None	47	mission_clocktower_b01_6	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
52 53 54 55 56	51	mission_clocktower_b02	Mission	None	None	None	None	Mission
None	52	mission_clocktower_b02_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191709</>	<$>191710</>	Mission_Combat
None	53	mission_clocktower_b02_2	Mission_Combat_Complete	<$>191712</>	None	<$>191711</>	<$>191713</>	Mission_Combat
None	54	mission_clocktower_b02_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153032</>	<$>191714</>	Mission_MSkill
None	55	mission_clocktower_b02_4	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	56	mission_clocktower_b02_5	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
62 63 64 65 66 67 68 69	61	mission_clocktower_b03	Mission	None	None	None	None	Mission
None	62	mission_clocktower_b03_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191715</>	<$>191716</>	Mission_Combat
None	63	mission_clocktower_b03_2	Mission_NPC_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191717</>	<$>191718</>	Mission_NPC
None	64	mission_clocktower_b03_3	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191719</>	<$>191720</>	Mission_Combat
None	65	mission_clocktower_b03_4	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191721</>	<$>191722</>	Mission_Combat
None	66	mission_clocktower_b03_5	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191723</>	<$>191724</>	Mission_Combat
None	67	mission_clocktower_b03_6	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191725</>	<$>191726</>	Mission_MSkill
None	68	mission_clocktower_b03_7	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	69	mission_clocktower_b03_8	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
72 73 74 75 76 77	71	mission_clocktower_b04	Mission	None	None	None	None	Mission
None	72	mission_clocktower_b04_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191727</>	<$>191728</>	Mission_Combat
None	73	mission_clocktower_b04_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153045</>	<$>191729</>	Mission_MSkill
None	74	mission_clocktower_b04_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153046</>	<$>197345</>	Mission_MSkill
None	75	mission_clocktower_b04_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153047</>	<$>191731</>	Mission_MSkill
None	76	mission_clocktower_b04_6	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	77	mission_clocktower_b04_7	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
82 83 84 85 86 87 88	81	mission_clocktower_b05	Mission	None	None	None	None	Mission
None	82	mission_clocktower_b05_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191732</>	<$>191733</>	Mission_Combat
None	83	mission_clocktower_b05_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153059</>	<$>191734</>	Mission_MSkill
None	84	mission_clocktower_b05_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153060</>	<$>191735</>	Mission_MSkill
None	85	mission_clocktower_b05_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153063</>	<$>191736</>	Mission_MSkill
None	86	mission_clocktower_b05_5	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191737</>	<$>153067</>	Mission_MSkill
None	87	mission_clocktower_b05_6	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	88	mission_clocktower_b05_7	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
92 93 94 95 96 97	91	mission_clocktower_b06	Mission	None	None	None	None	Mission
None	92	mission_clocktower_b06_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191738</>	<$>191739</>	Mission_Combat
None	93	mission_clocktower_b06_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153071</>	<$>191740</>	Mission_MSkill
None	94	mission_clocktower_b06_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191741</>	<$>191742</>	Mission_MSkill
None	95	mission_clocktower_b06_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153073</>	<$>197346</>	Mission_MSkill
None	96	mission_clocktower_b06_5	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	97	mission_clocktower_b06_6	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
102 103 104	101	mission_clocktower_b07	Mission	None	None	None	None	Mission
None	102	mission_clocktower_b07_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191744</>	<$>191745</>	Mission_Combat
None	103	mission_clocktower_b07_2	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	104	mission_clocktower_b07_3	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
112 113 114 115	111	mission_clocktower_b08	Mission	None	None	None	None	Mission
None	112	mission_clocktower_b08_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191746</>	<$>191747</>	Mission_Combat
None	113	mission_clocktower_b08_2	Mission_Percentage_Complete	None	FORMULA_GAUGETEXT_PERCENTAGE	<$>191748</>	<$>191749</>	Mission_Percentage
None	114	mission_clocktower_b08_3	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	115	mission_clocktower_b08_4	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
122 123 124 125 126 127 128 129 130 131	121	mission_clocktower_b09	Mission	None	None	None	None	Mission
None	122	mission_clocktower_b09_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191750</>	<$>191751</>	Mission_Combat
None	123	mission_clocktower_b09_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191752</>	<$>191753</>	Mission_MSkill
None	124	mission_clocktower_b09_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191754</>	<$>197347</>	Mission_MSkill
None	125	mission_clocktower_b09_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191756</>	<$>191757</>	Mission_MSkill
None	126	mission_clocktower_b09_5	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191758</>	<$>191759</>	Mission_Combat
None	127	mission_clocktower_b09_6	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191760</>	<$>191761</>	Mission_MSkill
None	128	mission_clocktower_b09_7	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191762</>	<$>197348</>	Mission_MSkill
None	129	mission_clocktower_b09_8	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191764</>	<$>191757</>	Mission_MSkill
None	130	mission_clocktower_b09_9	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	131	mission_clocktower_b09_10	Mission_ETC_Complete	None	None	<$>191707</>	<$>191708</>	Mission_ETC
142 143 144 145 146 147 148 149	141	mission_clocktower_b10	Mission	None	None	None	None	Mission
None	142	mission_clocktower_b10_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191765</>	<$>191766</>	Mission_Combat
None	143	mission_clocktower_b10_2	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191767</>	<$>191768</>	Mission_MSkill
None	144	mission_clocktower_b10_3	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191769</>	<$>191770</>	Mission_Combat
None	145	mission_clocktower_b10_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153071</>	<$>191740</>	Mission_MSkill
None	146	mission_clocktower_b10_5	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191771</>	<$>191772</>	Mission_MSkill
None	147	mission_clocktower_b10_6	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>153073</>	<$>197349</>	Mission_MSkill
None	148	mission_clocktower_b10_7	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
None	149	mission_clocktower_b10_8	Mission_ETC_Complete	<$>191775</>	None	<$>191774</>	<$>191776</>	Mission_ETC
1002 1003	1001	mission_msg_burlon03	Mission	None	None	None	None	Mission
None	1002	mission_msg_burlon03_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>197350</>	<$>197351</>	Mission_Combat
None	1003	mission_msg_burlon03_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>197352</>	<$>197353</>	Mission_Combat
1012 1013	1011	mission_alt_fld01_1	Mission	None	None	None	None	Mission
None	1012	mission_alt_fld01_1_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>225076</>	<$>225077</>	Mission_Combat
None	1013	mission_alt_fld01_1_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>223688</>	<$>225078</>	Mission_Combat
1022 1023 1024 1025 1026 1027	1021	mission_alt_fld03	Mission	None	None	None	None	Mission
None	1022	mission_alt_fld03_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>229382</>	<$>229383</>	Mission_Combat
None	1023	mission_alt_fld03_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>229384</>	<$>229385</>	Mission_Combat
None	1024	mission_alt_fld03_3	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>229386</>	<$>229385</>	Mission_Combat
None	1025	mission_alt_fld03_4	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>229387</>	<$>229385</>	Mission_Combat
None	1026	mission_alt_fld03_5	Mission_Clock_Complete	None	FORMULA_GAUGETEXT_STOPWATCH_REVERSE	<$>229388</>	<$>229389</>	Mission_Clock
None	1027	mission_alt_fld03_6	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>228432</>	<$>229390</>	Mission_Combat
