ClassID	ClassName	Name	ReqEtc	ReqLv	ReqQuest	SMAP	SNPC	Type
29	Q2_13	<$>47671</>	<$>13438</>	20	<$>13438</>	<$>1293</>	<$>51813</>	2
30	Q2_14	<$>13039</>	<$>13438</>	20	<$>47671</>	<$>1293</>	<$>51813</>	2
31	Q2_15	<$>53929</>	<$>13438</>	20	<$>13039</>	<$>1293</>	<$>51813</>	2
32	Q2_16	<$>13164</>	<$>13438</>	20	<$>13438</>	<$>1293</>	<$>11086</>	2
33	Q2_17	<$>13309</>	<$>13438</>	20	<$>13438</>	<$>1293</>	<$>5153</>	2
34	Q2_18	<$>13347</>	<$>13438</>	20	<$>13438</>	<$>1293</>	<$>51616</>	2
35	Q3_1	<$>13905</>	<$>13438</>	24	<$>56043</>	<$>3976</>	<$>3365</>	3
36	Q3_2	<$>14148</>	<$>13438</>	24	<$>57845</>	<$>3976</>	<$>3367</>	3
37	Q3_3	<$>13166</>	<$>13438</>	24	<$>57846</>	<$>1293</>	<$>11086</>	3
38	Q4_1	<$>47171</>	<$>13438</>	32	<$>57847</>	<$>1293</>	<$>11090</>	4
39	Q4_2	<$>57848</>	<$>13438</>	32	<$>13386</>	<$>1293</>	<$>11144</>	4
40	Q4_3	<$>13388</>	<$>13438</>	36	<$>57848</>	<$>1293</>	<$>11144</>	4
41	Q4_4	<$>13389</>	<$>13438</>	36	<$>13388</>	<$>1293</>	<$>11144</>	4
42	Q4_5	<$>12911</>	<$>13438</>	36	<$>13438</>	<$>1293</>	<$>11182</>	4
43	Q4_6	<$>13005</>	<$>13438</>	36	<$>57849</>	<$>1293</>	<$>11090</>	4
44	Q4_7	<$>13053</>	<$>13438</>	36	<$>13438</>	<$>1293</>	<$>11136</>	4
45	Q4_8	<$>13054</>	<$>13438</>	36	<$>13053</>	<$>1293</>	<$>11136</>	4
46	Q4_9	<$>57850</>	<$>57852</>	1	<$>53791</>	<$>55901</>	<$>57851</>	4
47	Q4_10	<$>57853</>	<$>13438</>	40	<$>14148</>	<$>3976</>	<$>3367</>	4
48	Q4_11	<$>13344</>	<$>13438</>	40	<$>57853</>	<$>3976</>	<$>3367</>	4
49	Q4_12	<$>57854</>	<$>13438</>	40	<$>57850</>	<$>3976</>	<$>3366</>	4
50	Q4_13	<$>14112</>	<$>13438</>	40	<$>57855</>	<$>3976</>	<$>11192</>	4
51	Q4_14	<$>13055</>	<$>13438</>	40	<$>13054</>	<$>1293</>	<$>11136</>	4
52	Q5_1	<$>12433</>	<$>13438</>	50	<$>13438</>	<$>3977</>	<$>90</>	5
53	Q5_2	<$>35147</>	<$>57857</>	50	<$>12433</>	<$>57856</>	<$>90</>	5
54	Q5_3	<$>47613</>	<$>57859</>	50	<$>35147</>	<$>3977</>	<$>57858</>	5
55	Q5_4	<$>54518</>	<$>13438</>	50	<$>47613</>	<$>3977</>	<$>57860</>	5
56	Q5_5	<$>12435</>	<$>57861</>	50	<$>54518</>	<$>3977</>	<$>57858</>	5
57	Q5_6	<$>54507</>	<$>57859</>	50	<$>57862</>	<$>3977</>	<$>57858</>	5
58	Q5_7	Mors sola	<$>57859</>	50	<$>54507</>	<$>3977</>	<$>57858</>	5
59	Q5_8	<$>12216</>	<$>57863</>	50	<$>13438</>	<$>3977</>	<$>11140</>	5
60	Q5_9	<$>99793</>	<$>13438</>	1	<$>13438</>	<$>47529</>	<$>99794</>	5
61	Q6_1	<$>57865</>	<$>13438</>	57	<$>13438</>	<$>47427</>	<$>57866</>	6
62	Q6_2	<$>14269</>	<$>13438</>	57	<$>57865</>	<$>47427</>	<$>50391</>	6
63	Q6_3	<$>13689</>	<$>13438</>	56	<$>57867</>	<$>3976</>	<$>82</>	6
64	Q6_4	<$>14150</>	<$>13438</>	56	<$>13344</>	<$>3976</>	<$>3367</>	6
65	Q6_5	<$>14151</>	<$>13438</>	56	<$>14150</>	<$>3976</>	<$>3367</>	6
66	Q6_6	<$>12273</>	<$>13438</>	57	<$>57869</>	<$>52615</>	<$>57868</>	6
67	Q8_1	<$>57870</>	<$>57872</>	75	<$>13438</>	<$>1293</>	<$>57871</>	8
68	Q8_2	<$>57873</>	<$>13438</>	78	<$>29482</>	<$>57874</>	<$>11125</>	8
69	Q8_3	<$>57875</>	<$>57878</>	72	<$>13438</>	<$>57877</>	<$>57876</>	8
70	Q8_4	<$>54378</>	<$>13438</>	72	<$>57875</>	<$>57877</>	<$>4066</>	8
71	Q9_1	<$>12516</>	<$>57879</>	84	<$>13438</>	<$>3977</>	<$>88</>	9
72	Q9_2	<$>12517</>	<$>57880</>	84	<$>12516</>	<$>3977</>	<$>88</>	9
73	Q10_1	<$>56079</>	<$>13438</>	95	<$>13438</>	<$>28799</>	<$>57881</>	10
74	Q10_2	<$>14216</>	<$>13438</>	95	<$>13438</>	<$>28799</>	<$>57882</>	10
75	Q10_3	<$>13487</>	<$>13438</>	100	<$>13438</>	<$>28792</>	<$>51679</>	10
