ClassID	ClassName	Create	Mode	Note	PVP	SavePosition	SaveVisible	SubMode	UseESC	UseIndex	Visible	Visible1	Visible2	Visible3	XmlName
78	showimgcc	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ShowImgCC
79	showstrct2	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ShowStrCT2
80	stanceskill	YES	Normal	None	YES	YES	NO	Game	YES	YES	NO	NO	NO	NO	StanceSkill
81	status	YES	Normal	None	YES	YES	NO	Game	YES	YES	NO	NO	NO	NO	Status
82	teleportation	YES	Normal	None	YES	YES	NO	Game	YES	YES	NO	NO	NO	NO	Teleport
83	trade	YES	None	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	Trade
84	trashcan	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	TrashCan
85	tutoinfo	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	TutoInfo
86	tutomessage	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	TutoMessage
87	cashshopsub	YES	Normal	parent:uicommand	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	CashshopSub
88	uicommand	YES	Normal	has children!	YES	NO	YES	Game	NO	NO	YES	NO	NO	NO	UICommand
89	warehouse	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	Warehouse
90	waypointlist	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	WayPointList
91	worldmap	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	WorldMap
92	inputchncrtname	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	InputChnCrtName
93	inputchnjoinname	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	InputChnJoinName
94	squadinvite	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	SquadInvite
95	squadban	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	SquadBan
96	squadinfo	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	SquadInfo
97	usershopregister	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	UserShopRegister
98	usershop	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	UserShop
99	partychat	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	PartyChat
100	alliancechat	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	AllianceChat
101	squadchat	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	SquadChat
102	enchantitem	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	EnchantItem
103	enchantring	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	EnchantRing
104	helplist	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	HelpList
105	monprofile	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MonProfile
106	gambleitem	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	GambleItem
107	gambleitemcoupon	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	GambleItemCoupon
108	replaylist	YES	Login	None	YES	YES	NO	Login	YES	NO	NO	NO	NO	NO	ReplayList
109	replayrecording	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	ReplayRecording
110	itemsorting	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ItemSorting
111	inputdeclarewar	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	InputDeclareWar
112	shownpcdlg	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ShowNPCDlg
113	reinforce	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	Reinforce
114	targetinfo	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	TargetInfo
115	versioninfo	YES	Login	None	YES	NO	NO	Login	YES	NO	YES	NO	NO	NO	VersionInfo
116	manufactureitem	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	manufactureitem
117	consumecommand	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	ConsumeCommand
118	colonywarplist	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	ColonyWarpList
119	itemlvup	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	ItemLVUP
120	loginui2	YES	Login	None	YES	NO	NO	Login	YES	NO	YES	NO	NO	NO	loginui2
121	interception	YES	Normal	None	YES	YES	YES	Game	YES	NO	NO	NO	NO	NO	Interception
122	squadoption	YES	Normal	None	YES	YES	YES	Game	YES	NO	NO	NO	NO	NO	squadoption
123	loginui3	YES	Login	None	YES	NO	NO	Login	YES	NO	YES	NO	NO	NO	loginui3
124	gameinfo	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	gameinfo
125	auctionsell	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	auctionsell
126	auctionbuy	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	auctionbuy
127	auctioncabinet	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	auctioncabinet
128	msgdialog	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	MsgDialog
129	showimgcc2	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	ShowImgCC2
130	mwr1a102	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MWR1a102
131	battlecommandcover	YES	Normal	None	YES	NO	NO	Game	YES	NO	YES	NO	NO	NO	battlecommandcover
132	cashinventory	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	cashinventory
133	cashitemshop	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	cashitemshop
135	warplist	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	warplist
136	premium	YES	Normal	None	YES	NO	NO	Game	NO	NO	NO	NO	NO	NO	premiumInfo
137	employment	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	employment
138	electclique	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	electclique
139	employmentinfo	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	employmentinfo
140	saymodalessdialog	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	SayModalessDialog
141	createcharhelp	YES	Barrack	None	YES	NO	NO	CreateCharacter	YES	NO	YES	NO	NO	NO	createcharhelp
142	costumelist	YES	Barrack	None	YES	NO	NO	CreateCharacter	YES	NO	YES	NO	NO	NO	costumelist
143	gamegrade	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	gamegrade
144	fatigue	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	fatigue
145	chathelper	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	chathelper
146	autoinspect	YES	Normal	None	YES	NO	NO	Game	None	NO	NO	NO	NO	NO	autoinspect
147	matrixcard	YES	Login	None	YES	NO	NO	Login	None	NO	NO	NO	NO	NO	matrixcard
148	groupinvite	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	GroupInvite
149	groupban	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	GroupBan
150	groupinfo	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	GroupInfo
151	groupcreate	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	GroupCreate
152	serverbbs	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	serverbbs
153	itemsocket	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	itemsocket
154	premiumitem	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	premiumitem
155	itemlumin	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	itemlumin
156	premiumsublist	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	premiumsublist
157	premiumminigame	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	premiumminigame
159	reb_sol	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_sol
160	reb_ramiro	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_ramiro
161	reb_jack	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_jack
162	reb_yeganeh	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_yeganeh
163	reb_andre	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_andre
164	reb_panfilo	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_panfilo
165	reb_sharif	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_sharif
166	reb_angie	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_angie
167	reb_idge	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_idge
168	reb_claude	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_claude
169	reb_brunie	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	reb_brunie
170	petinfo	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	petinfo
171	pethatch	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	pethatch
173	contextpet	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	contextpet
175	chathelpergm	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	chathelpergm
177	chathelperoper	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	chathelperoper
178	contextmon	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	contextmon
179	mi1a30	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MI1a30
180	keyhelp	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	keyhelp
181	eventalarm	YES	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	eventalarm
182	refinelumin	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	refinelumin
183	refineluminresult	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	refineluminresult
185	tuto	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	tuto
186	groupselect	YES	Barrack	None	YES	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	groupselect
187	areamap	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	areamap
188	barrackshowequip	YES	Barrack	None	YES	YES	NO	MakeTeam	YES	NO	NO	NO	NO	NO	barrackshowequip
189	postoffice	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	postoffice
190	postofficesend	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	postofficesend
191	friendchecklist	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	friendchecklist
192	letter	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	letter
195	changehead	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	changehead
197	itemshortcut	YES	Normal	None	YES	YES	YES	Game	NO	NO	YES	NO	NO	NO	itemshortcut
198	missionaward	NO	Normal	None	NO	YES	YES	Game	NO	NO	YES	NO	NO	NO	missionaward
199	otpinput	YES	All	None	YES	YES	NO	All	YES	NO	NO	NO	NO	NO	otpinput
200	changeitem	YES	Normal	None	NO	YES	NO	Game	NO	NO	NO	NO	NO	NO	changeitem
201	achievement	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	achievement
202	otherpartymemberlist	NO	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	oehterpartymemberlist
204	customshop	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	customshop
205	achieve_need	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	achieve_need
206	questguide	YES	Normal	None	NO	NO	NO	Game	NO	NO	NO	NO	NO	NO	questguide
207	questinfo	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	QuestInfo
208	questinfo2	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	QuestInfo2
210	worldpvp	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	worldpvp
211	worldparty	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	worldparty
212	colwarp	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	colwarp
213	mitbt	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	mitbt
214	worldpvp_other	NO	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	worldpvp_other
215	mi2a15s	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	MI2a15s
216	worldpvpreward	NO	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	worldpvpreward
217	npclist	YES	Normal	None	NO	NO	NO	Game	NO	NO	NO	NO	NO	NO	npclist
218	minimizepvp	NO	Normal	None	NO	YES	NO	Game	NO	NO	NO	NO	NO	NO	minimizepvp
219	minimizebattlefield	NO	Normal	None	NO	YES	NO	Game	NO	NO	NO	NO	NO	NO	minimizebattlefield
220	npcdetail	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	npcdetail
225	listsub	YES	Normal	parent:uicommand	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	listsub
226	questlist	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	questlist
227	stancelist	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	stancelist
228	squadmemberinfo	NO	Normal	None	YES	NO	NO	Game	YES	NO	NO	NO	NO	NO	squadmemberinfo
229	areamap_world	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	areamap_world
231	fittingroom	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	fittingroom
232	mapsub	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	mapsub
233	battlesub	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	battlesub
234	inventorysub	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	inventorysub
235	colonymenu	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	colonymenu
236	bonusmenu	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	bonusmenu
237	bonusbox	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	bonusbox
238	cheatmap	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmap
239	schedule	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	schedule
240	gambletable	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	gambletable
241	chatbaloon	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	chatbaloon
242	cheatmaplist_bah	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_bah
243	cheatmaplist_gig	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_gig
244	cheatmaplist_ttr	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_ttr
245	cheatmaplist_alq	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_alq
246	cheatmaplist_tbk	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_tbk
247	cheatmaplist_ptv	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_ptv
248	cheatmaplist_tor	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_tor
249	cheatmaplist_ktv	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_ktv
250	cheatmaplist_jaq	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_jaq
251	cheatmaplist_erc	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_erc
252	cheatmaplist_sed	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_sed
253	cheatmaplist_cas	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_cas
254	cheatmaplist_rion	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_rion
255	cheatmaplist_etc	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_etc
256	cheatmaplist_ust	NO	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	cheatmaplist_ust
257	go_loby	YES	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	go_loby
258	continuezone	YES	Barrack	None	NO	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	continuezone
259	startzone	YES	Barrack	None	NO	NO	NO	MakeTeam	YES	NO	NO	NO	NO	NO	startzone
260	town	NO	Normal	None	YES	YES	NO	Game	YES	NO	NO	NO	NO	NO	town
261	squadmatch	NO	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	squadmatch
262	shopselloption	NO	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	shopselloption
263	minimizesquad	NO	Normal	None	NO	NO	NO	Game	NO	NO	NO	NO	NO	NO	minimizesquad
264	radelist	YES	Normal	None	NO	NO	NO	Game	NO	NO	NO	NO	NO	NO	radelist
268	questcheck	YES	Normal	None	NO	YES	NO	Game	NO	NO	NO	NO	NO	NO	questcheck
269	FarmUI	YES	Normal	None	NO	YES	NO	Game	YES	NO	NO	NO	NO	NO	farm
271	rewarditeminfo	YES	Normal	None	NO	NO	NO	Game	YES	NO	NO	NO	NO	NO	rewarditeminfo
272	pioneer_info	YES	Normal	None	None	NO	NO	Game	YES	NO	NO	NO	NO	NO	pioneer_info
273	barrack_group_equip	YES	Barrack	None	None	NO	NO	ViewEquip	YES	NO	YES	NO	NO	NO	barrack_group_equip
274	barrackteamcheck	YES	Barrack	None	None	NO	NO	MakeTeam	NO	NO	YES	NO	NO	NO	barrackteamcheck
275	costume_compose	YES	Normal	None	None	NO	NO	Game	NO	NO	NO	NO	NO	NO	costume_compose
