AttendanceItemName	ClassID	Day	RewardCount	RewardItem
XmasPioneerLog	1215	15	1	23652
NewbiePioneerLog1	1301	1	1	40995
NewbiePioneerLog1	1302	2	1200	21927
NewbiePioneerLog1	1303	3	6	40908
NewbiePioneerLog1	1304	4	4	40686
NewbiePioneerLog1	1305	5	1	40920
NewbiePioneerLog1	1306	6	150	89069
NewbiePioneerLog1	1307	7	1200	21927
NewbiePioneerLog1	1308	8	1500	21931
NewbiePioneerLog1	1309	9	1	40909
NewbiePioneerLog1	1310	10	1	40921
NewbiePioneerLog1	1311	11	50	88321
NewbiePioneerLog1	1312	12	1200	21927
NewbiePioneerLog1	1313	13	1500	21931
NewbiePioneerLog1	1314	14	1	40909
NewbiePioneerLog1	1315	15	1	40860
NewbiePioneerLog1	1316	16	150	89069
NewbiePioneerLog1	1317	17	1200	21927
NewbiePioneerLog1	1318	18	6	40908
NewbiePioneerLog1	1319	19	4	40686
NewbiePioneerLog1	1320	20	2	40920
NewbiePioneerLog1	1321	21	150	89069
NewbiePioneerLog1	1322	22	1200	21927
NewbiePioneerLog1	1323	23	1500	21931
NewbiePioneerLog1	1324	24	1	40909
NewbiePioneerLog1	1325	25	1	40921
NewbiePioneerLog1	1326	26	50	88321
NewbiePioneerLog1	1327	27	1200	21927
NewbiePioneerLog1	1328	28	1500	21931
NewbiePioneerLog1	1329	29	150	89069
NewbiePioneerLog1	1330	30	1	40860
NewbiePioneerLog1	1331	31	1	40995
NewbiePioneerLog1	1332	32	1200	21927
NewbiePioneerLog1	1333	33	50	88321
NewbiePioneerLog1	1334	34	1	40909
NewbiePioneerLog1	1335	35	1	40921
NewbiePioneerLog1	1336	36	1500	21931
NewbiePioneerLog1	1337	37	1200	21927
NewbiePioneerLog1	1338	38	6	40908
NewbiePioneerLog1	1339	39	4	40686
NewbiePioneerLog1	1340	40	2	40920
NewbiePioneerLog1	1341	41	150	89069
NewbiePioneerLog1	1342	42	2400	21927
NewbiePioneerLog1	1343	43	2	40909
NewbiePioneerLog1	1344	44	1500	21931
NewbiePioneerLog1	1345	45	1	40860
NewbiePioneerLog2	1401	1	1	189294
NewbiePioneerLog2	1402	2	250	21375
NewbiePioneerLog2	1403	3	15	23233
NewbiePioneerLog2	1404	4	125	20728
NewbiePioneerLog2	1405	5	3	189505
NewbiePioneerLog2	1406	6	200	20046
NewbiePioneerLog2	1407	7	25	20587
NewbiePioneerLog2	1408	8	50	23164
NewbiePioneerLog2	1409	9	15	157034
NewbiePioneerLog2	1410	10	90	23149
NewbiePioneerLog2	1411	11	1	21532
NewbiePioneerLog2	1412	12	90	23149
NewbiePioneerLog2	1413	13	6	21471
NewbiePioneerLog2	1414	14	250	21375
NewbiePioneerLog2	1415	15	125	20728
NewbiePioneerLog2	1416	16	200	20046
NewbiePioneerLog2	1417	17	25	20587
NewbiePioneerLog2	1418	18	50	23164
NewbiePioneerLog2	1419	19	3	20670
NewbiePioneerLog2	1420	20	1	23652
NewbiePioneerLog2	1421	21	15	157034
NewbiePioneerLog2	1422	22	90	23149
NewbiePioneerLog2	1423	23	6	21471
NewbiePioneerLog2	1424	24	90	23149
NewbiePioneerLog2	1425	25	1	21532
NewbiePioneerLog2	1426	26	250	21375
NewbiePioneerLog2	1427	27	15	23233
NewbiePioneerLog2	1428	28	125	20728
NewbiePioneerLog2	1429	29	200	20046
NewbiePioneerLog2	1430	30	25	20587
NewbiePioneerLog2	1431	31	50	23164
NewbiePioneerLog2	1432	32	15	157034
NewbiePioneerLog2	1433	33	90	23149
NewbiePioneerLog2	1434	34	3	189505
NewbiePioneerLog2	1435	35	1	27508
NewbiePioneerLog2	1436	36	3	20670
NewbiePioneerLog2	1437	37	1	23652
NewbiePioneerLog2	1438	38	250	21375
NewbiePioneerLog2	1439	39	15	23233
NewbiePioneerLog2	1440	40	125	20728
NewbiePioneerLog2	1441	41	200	20046
NewbiePioneerLog2	1442	42	25	20587
NewbiePioneerLog2	1443	43	50	23164
NewbiePioneerLog2	1444	44	15	157034
NewbiePioneerLog2	1445	45	1	21532
11thPioneerLog	1501	1	1	89194
11thPioneerLog	1502	2	1	26136
11thPioneerLog	1503	3	150	89195
11thPioneerLog	1504	4	3	40807
11thPioneerLog	1505	5	150	89195
11thPioneerLog	1506	6	2	40859
11thPioneerLog	1507	7	150	89195
11thPioneerLog	1508	8	2	40808
11thPioneerLog	1509	9	150	89195
11thPioneerLog	1510	10	1	40860
11thPioneerLog	1511	11	150	89195
11thPioneerLog	1512	12	1	40844
11thPioneerLog	1513	13	150	89195
11thPioneerLog	1514	14	1	40862
11thPioneerLog	1515	15	150	89195
DomingoPioneerLog	1601	1	1	189008
DomingoPioneerLog	1602	2	50	21375
DomingoPioneerLog	1603	3	1	41870
DomingoPioneerLog	1604	4	1	40686
DomingoPioneerLog	1605	5	50	20728
DomingoPioneerLog	1606	6	30	88018
DomingoPioneerLog	1607	7	15	75330
DomingoPioneerLog	1608	8	1	40909
DomingoPioneerLog	1609	9	1	41870
DomingoPioneerLog	1610	10	50	21375
DomingoPioneerLog	1611	11	1	23652
DomingoPioneerLog	1612	12	25	89069
DomingoPioneerLog	1613	13	1	189008
DomingoPioneerLog	1614	14	3	20670
DomingoPioneerLog	1615	15	1	88354
DomingoPioneerLog	1616	16	20	75330
DomingoPioneerLog	1617	17	50	20728
DomingoPioneerLog	1618	18	2	40686
DomingoPioneerLog	1619	19	1	41870
DomingoPioneerLog	1620	20	30	88018
DomingoPioneerLog	1621	21	1	40909
DomingoPioneerLog	1622	22	20	88321
DomingoPioneerLog	1623	23	1	41869
DomingoPioneerLog	1624	24	25	89069
DomingoPioneerLog	1625	25	1	23554
SteamPioneerLog	1650	1	1	1000025
SteamPioneerLog	1651	2	10	20351
SteamPioneerLog	1652	3	10	23149
SteamPioneerLog	1653	4	2	21471
SteamPioneerLog	1654	5	3	40908
SteamPioneerLog	1655	6	5	157034
SteamPioneerLog	1656	7	10	20351
SteamPioneerLog	1657	8	10	23149
SteamPioneerLog	1658	9	5	88321
SteamPioneerLog	1659	10	1	40995
SteamPioneerLog	1660	11	10	20587
SteamPioneerLog	1661	12	10	20351
SteamPioneerLog	1662	13	10	23149
SteamPioneerLog	1663	14	5	88321
SteamPioneerLog	1664	15	5	157034
SteamPioneerLog	1665	16	10	20728
SteamPioneerLog	1666	17	5	23164
SteamPioneerLog	1667	18	25	20046
SteamPioneerLog	1668	19	50	21375
SteamPioneerLog	1669	20	2	189505
SteamPioneerLog	1670	21	5	157034
SteamPioneerLog	1671	22	10	20728
SteamPioneerLog	1672	23	10	20351
SteamPioneerLog	1673	24	10	23149
SteamPioneerLog	1674	25	25	20046
SteamPioneerLog	1675	26	5	88321
SteamPioneerLog	1676	27	1	20670
SteamPioneerLog	1677	28	1	21532
SteamPioneerLog	1678	29	5	157034
SteamPioneerLog	1679	30	100	21375
FerruccioPioneerLog2	1700	1	1	189003
FerruccioPioneerLog2	1701	2	10	75330
FerruccioPioneerLog2	1702	3	20	88018
FerruccioPioneerLog2	1703	4	20	89069
FerruccioPioneerLog2	1704	5	1	41870
FerruccioPioneerLog2	1705	6	1	40686
FerruccioPioneerLog2	1706	7	10	75330
FerruccioPioneerLog2	1707	8	20	88018
FerruccioPioneerLog2	1708	9	20	89069
FerruccioPioneerLog2	1709	10	1	211001
FerruccioPioneerLog2	1710	11	1	210023
FerruccioPioneerLog2	1711	12	10	75330
FerruccioPioneerLog2	1712	13	20	88018
FerruccioPioneerLog2	1713	14	20	89069
FerruccioPioneerLog2	1714	15	1	41870
FerruccioPioneerLog2	1715	16	1	40909
FerruccioPioneerLog2	1716	17	10	75330
FerruccioPioneerLog2	1717	18	20	88018
FerruccioPioneerLog2	1718	19	8	88321
FerruccioPioneerLog2	1719	20	100	20728
FerruccioPioneerLog2	1720	21	3	20670
FerruccioPioneerLog2	1721	22	10	75330
FerruccioPioneerLog2	1722	23	20	88018
FerruccioPioneerLog2	1723	24	8	88321
FerruccioPioneerLog2	1724	25	1	41870
FerruccioPioneerLog2	1725	26	1	23554
FerruccioPioneerLog2	1726	27	10	75330
FerruccioPioneerLog2	1727	28	20	88018
FerruccioPioneerLog2	1728	29	8	88321
FerruccioPioneerLog2	1729	30	100	21931
FerruccioPioneerLog3	1750	1	1	189003
FerruccioPioneerLog3	1751	2	20	88018
FerruccioPioneerLog3	1752	3	1	74429
FerruccioPioneerLog3	1753	4	20	89069
FerruccioPioneerLog3	1754	5	1	41863
FerruccioPioneerLog3	1755	6	1	40686
FerruccioPioneerLog3	1756	7	10	75330
FerruccioPioneerLog3	1757	8	20	88018
FerruccioPioneerLog3	1758	9	20	89069
FerruccioPioneerLog3	1759	10	2	75115
FerruccioPioneerLog3	1760	11	1	210023
FerruccioPioneerLog3	1761	12	20	88018
FerruccioPioneerLog3	1762	13	1	74429
FerruccioPioneerLog3	1763	14	20	89069
FerruccioPioneerLog3	1764	15	1	211001
FerruccioPioneerLog3	1765	16	1	40909
FerruccioPioneerLog3	1766	17	10	75330
FerruccioPioneerLog3	1767	18	20	88018
FerruccioPioneerLog3	1768	19	8	88321
FerruccioPioneerLog3	1769	20	2	75123
FerruccioPioneerLog3	1770	21	3	20670
FerruccioPioneerLog3	1771	22	20	88018
FerruccioPioneerLog3	1772	23	1	74429
FerruccioPioneerLog3	1773	24	8	88321
FerruccioPioneerLog3	1774	25	100	20728
FerruccioPioneerLog3	1775	26	1	23554
FerruccioPioneerLog3	1776	27	10	75330
FerruccioPioneerLog3	1777	28	20	88018
FerruccioPioneerLog3	1778	29	8	88321
FerruccioPioneerLog3	1779	30	100	21931
LeonaLog	1801	1	50	21375
LeonaLog	1802	2	1	189290
LeonaLog	1803	3	2	40807
LeonaLog	1804	4	20	20587
LeonaLog	1805	5	2	20670
LeonaLog	1806	6	2	40859
LeonaLog	1807	7	50	20728
LeonaLog	1808	8	10	40881
LeonaLog	1809	9	1	40808
LeonaLog	1810	10	15	88321
LeonaLog	1811	11	30	23457
LeonaLog	1812	12	1	40860
LeonaLog	1813	13	1	211005
LeonaLog	1814	14	1	23652
Anniversary12Log	1901	1	1	89272
Anniversary12Log	1902	2	5	157034
Anniversary12Log	1903	3	2	40807
Anniversary12Log	1904	4	1	26154
Anniversary12Log	1905	5	15	88321
Anniversary12Log	1906	6	2	40859
Anniversary12Log	1907	7	25	89069
Anniversary12Log	1908	8	2	189370
Anniversary12Log	1909	9	1	40808
Anniversary12Log	1910	10	2	24105
Anniversary12Log	1911	11	1	40862
Anniversary12Log	1912	12	2	20670
Anniversary12Log	1913	13	1	40777
Anniversary12Log	1914	14	3	157122
Anniversary12Log	1915	15	1	40860
FerruccioPioneerLog4	1950	1	1	23554
FerruccioPioneerLog4	1951	2	30	88018
FerruccioPioneerLog4	1952	3	1	189003
FerruccioPioneerLog4	1953	4	30	89069
FerruccioPioneerLog4	1954	5	1	41863
FerruccioPioneerLog4	1955	6	1	40686
FerruccioPioneerLog4	1956	7	10	75330
FerruccioPioneerLog4	1957	8	1	74429
FerruccioPioneerLog4	1958	9	2	75123
FerruccioPioneerLog4	1959	10	2	75115
FerruccioPioneerLog4	1960	11	1	210023
FerruccioPioneerLog4	1961	12	30	88018
FerruccioPioneerLog4	1962	13	1	74429
FerruccioPioneerLog4	1963	14	30	89069
FerruccioPioneerLog4	1964	15	1	40921
FerruccioPioneerLog4	1965	16	1	40909
FerruccioPioneerLog4	1966	17	10	75330
FerruccioPioneerLog4	1967	18	1	74429
FerruccioPioneerLog4	1968	19	1	211001
FerruccioPioneerLog4	1969	20	1	40860
FerruccioPioneerLog4	1970	21	3	20670
FerruccioPioneerLog4	1971	22	30	88018
FerruccioPioneerLog4	1972	23	100	20728
FerruccioPioneerLog4	1973	24	16	88321
FerruccioPioneerLog4	1974	25	1	40922
NunezPioneerLog	2001	1	50	20728
NunezPioneerLog	2002	2	50	21375
NunezPioneerLog	2003	3	1	189006
NunezPioneerLog	2004	4	1	41955
NunezPioneerLog	2005	5	3	40686
NunezPioneerLog	2006	6	20	88321
NunezPioneerLog	2007	7	1	189006
NunezPioneerLog	2008	8	1	41955
NunezPioneerLog	2009	9	50	20728
NunezPioneerLog	2010	10	1	189343
NunezPioneerLog	2011	11	2	40909
NunezPioneerLog	2012	12	3	20670
NunezPioneerLog	2013	13	1	400011
NunezPioneerLog	2014	14	25	89069
NunezPioneerLog	2015	15	1	23554
19yearLog	2200	1	1	15353
19yearLog	2201	2	1	46047
19yearLog	2202	3	2	40807
19yearLog	2203	4	20	20587
19yearLog	2204	5	2	20670
19yearLog	2205	6	2	40859
19yearLog	2206	7	50	20728
19yearLog	2207	8	10	40881
19yearLog	2208	9	1	40808
19yearLog	2209	10	15	88321
19yearLog	2210	11	30	23457
19yearLog	2211	12	1	40860
19yearLog	2212	13	1	211005
19yearLog	2213	14	1	23652
NewbiePioneerLog3	2300	1	100	24185
NewbiePioneerLog3	2301	2	4	40808
NewbiePioneerLog3	2302	3	6	40909
NewbiePioneerLog3	2303	4	1	23852
NewbiePioneerLog3	2304	5	200	89069
NewbiePioneerLog3	2305	6	100	40861
NewbiePioneerLog3	2306	7	3	40920
NewbiePioneerLog3	2307	8	5	43020
NewbiePioneerLog3	2308	9	1	23852
NewbiePioneerLog3	2309	10	10	40862
NewbiePioneerLog3	2310	11	2	40921
NewbiePioneerLog3	2311	12	2	40860
NewbiePioneerLog3	2312	13	2	27462
NewbiePioneerLog3	2313	14	10	43020
NewbiePioneerLog3	2314	15	1	23852
LuciaLog	2400	1	300	21375
LuciaLog	2401	2	100	23162
LuciaLog	2402	3	50	20728
LuciaLog	2403	4	5	40908
LuciaLog	2404	5	350	21927
LuciaLog	2405	6	5	43004
LuciaLog	2406	7	3	41944
LuciaLog	2407	8	2	40909
LuciaLog	2408	9	1	89155
LuciaLog	2409	10	3	21532
LuciaLog	2410	11	50	23149
LuciaLog	2411	12	3	40686
LuciaLog	2412	13	20	40880
LuciaLog	2413	14	15	157034
LuciaLog	2414	15	250	21931
LuciaLog	2415	16	1	27462
LuciaLog	2416	17	3	20670
LuciaLog	2417	18	1	89156
LuciaLog	2418	19	25	24185
LuciaLog	2419	20	1	23852
Event_NOA_Log	2500	1	2	16968
Event_NOA_Log	2501	2	1	502013
Event_NOA_Log	2502	3	1	503012
Event_NOA_Log	2503	4	1	501012
Event_NOA_Log	2504	5	1	475003
Event_NOA_Log	2505	6	1	16969
Event_NOA_Log	2506	7	1	16970
Event_NOA_Log	2507	8	1	502014
Event_NOA_Log	2508	9	1	503013
Event_NOA_Log	2509	10	1	501013
Event_NOA_Log	2510	11	1	475004
Event_NOA_Log	2511	12	1	42750
Event_NOA_Log	2512	13	2	16968
Event_NOA_Log	2513	14	1	16971
Event_NOA_Log	2514	15	1	500027
Event_NOA_Log	2515	16	1	502015
Event_NOA_Log	2516	17	1	503014
Event_NOA_Log	2517	18	1	501014
Event_NOA_Log	2518	19	1	475005
Event_NOA_Log	2519	20	1	16972
Event_Ornella_Log	2600	1	1	23554
Event_Ornella_Log	2601	2	5	160226
Event_Ornella_Log	2602	3	10	189617
Event_Ornella_Log	2603	4	3	160241
Event_Ornella_Log	2604	5	10	88321
Event_Ornella_Log	2605	6	1	157393
Event_Ornella_Log	2606	7	10	189617
Event_Ornella_Log	2607	8	3	160241
Event_Ornella_Log	2608	9	10	189617
Event_Ornella_Log	2609	10	1	23554
Event_Ornella_Log	2610	11	3	160241
Event_Ornella_Log	2611	12	10	88321
Event_Ornella_Log	2612	13	1	192652
Event_Ornella_Log	2613	14	1	26175
SakurasPioneerLog	100001	1	1	160226
SakurasPioneerLog	100002	2	1	88355
SakurasPioneerLog	100003	3	3	192010
SakurasPioneerLog	100004	4	10	192097
SakurasPioneerLog	100005	5	3	88321
SakurasPioneerLog	100006	6	1	160241
SakurasPioneerLog	100007	7	5	23142
SakurasPioneerLog	100008	8	3	160226
SakurasPioneerLog	100009	9	5	160028
SakurasPioneerLog	100010	10	10	192261
SakurasPioneerLog	100011	11	1	23452
SakurasPioneerLog	100012	12	1	160129
SakurasPioneerLog	100013	13	1	160241
SakurasPioneerLog	100014	14	5	160226
SakurasPioneerLog	100015	15	1	22356
kissPioneerLog	100016	1	1	157438
kissPioneerLog	100017	2	1	157438
kissPioneerLog	100018	3	1	157438
kissPioneerLog	100019	4	1	157438
kissPioneerLog	100020	5	1	157438
kissPioneerLog	100021	6	1	157438
kissPioneerLog	100022	7	1	157438
JPN_13EVENT_LOG	100025	1	13	189617
JPN_13EVENT_LOG	100026	2	13	192010
JPN_13EVENT_LOG	100027	3	13	192005
JPN_13EVENT_LOG	100028	4	13	160226
JPN_13EVENT_LOG	100029	5	1	589161
JPN_13EVENT_LOG	100030	6	13	88321
JPN_13EVENT_LOG	100031	7	13	192005
JPN_13EVENT_LOG	100032	8	13	189617
JPN_13EVENT_LOG	100033	9	13	192010
JPN_13EVENT_LOG	100034	10	13	192097
JPN_13EVENT_LOG	100035	11	13	160226
JPN_13EVENT_LOG	100036	12	1	117554
JPN_13EVENT_LOG	100037	13	13	88321
JPN_13EVENT_LOG	100038	14	13	192097
JPN_13EVENT_LOG	100039	15	13	189617
JPN_13EVENT_LOG	100040	16	13	192010
JPN_13EVENT_LOG	100041	17	13	192261
JPN_13EVENT_LOG	100042	18	13	160226
JPN_13EVENT_LOG	100043	19	1	157393
JPN_13EVENT_LOG	100044	20	13	88321
JPN_13EVENT_LOG	100045	21	13	192261
JPN_13EVENT_LOG	100046	22	13	189617
JPN_13EVENT_LOG	100047	23	13	192010
JPN_13EVENT_LOG	100048	24	13	192481
JPN_13EVENT_LOG	100049	25	13	160226
JPN_13EVENT_LOG	100050	26	1	192652
JPN_13EVENT_LOG	100051	27	13	88321
JPN_13EVENT_LOG	100052	28	13	192481
JPN_13EVENT_LOG	100053	29	13	189617
JPN_CHARLOT_LOG	100100	1	20	189617
JPN_CHARLOT_LOG	100101	2	20	192010
JPN_CHARLOT_LOG	100102	3	20	192005
JPN_CHARLOT_LOG	100103	4	20	160226
JPN_CHARLOT_LOG	100104	5	1	23554
JPN_CHARLOT_LOG	100105	6	20	88321
JPN_CHARLOT_LOG	100106	7	20	192005
JPN_CHARLOT_LOG	100107	8	20	189617
JPN_CHARLOT_LOG	100108	9	20	192010
JPN_CHARLOT_LOG	100109	10	1	23554
JPN_CHARLOT_LOG	100110	11	20	192097
JPN_CHARLOT_LOG	100111	12	20	160226
JPN_CHARLOT_LOG	100112	13	20	88321
JPN_CHARLOT_LOG	100113	14	20	192097
JPN_CHARLOT_LOG	100114	15	1	192696
JPN_NEWYEAR_LOG	100120	1	1	53080
JPN_NEWYEAR_LOG	100121	2	1	53082
JPN_NEWYEAR_LOG	100122	3	1	53107
JPN_NEWYEAR_LOG	100123	4	1	53111
JPN_NEWYEAR_LOG	100124	5	1	53113
JPN_NEWYEAR_LOG	100125	6	1	53117
JPN_NEWYEAR_LOG	100126	7	1	53119
JPN_NEWYEAR_LOG	100127	8	1	53130
JPN_NEWYEAR_LOG	100128	9	1	53132
JPN_NEWYEAR_LOG	100129	10	1	646586
