ClassID	ClassName	GiveItem1	GiveItem2	GiveItem3	GiveItemValue1	GiveItemValue2	GiveItemValue3	MissionScript	MissionScriptImage	SGiveVisValue	STakeVisValue	SetProperty1	SetProperty2	SetProperty3	SetProperty4	SetProperty5	SetValue1	SetValue2	SetValue3	SetValue4	SetValue5	StartImage1	StartImage2	StartImage3	StartScript1	StartScript2	StartScript3	TakeItem1	TakeItem2	TakeItem3	TakeItemValue1	TakeItemValue2	TakeItemValue3
34	Nquest_00034_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
35	Nquest_00035_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
36	Nquest_00036_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
37	Nquest_00037_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
38	Nquest_00038_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
39	Nquest_00039_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
40	Nquest_00040_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
41	Nquest_00041_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
42	Nquest_00042_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
43	Nquest_00043_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
44	Nquest_00044_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
45	Nquest_00045_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
46	Nquest_00046_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
47	Nquest_00047_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
48	Nquest_00048_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
49	Nquest_00049_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
50	Nquest_00050_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
51	Nquest_00051_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
52	Nquest_00052_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
53	Nquest_00053_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
54	Nquest_00054_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
55	Nquest_00055_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
56	Nquest_00056_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
57	Nquest_00057_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
58	Nquest_00058_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
59	Nquest_00059_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
60	Nquest_00060_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
61	Nquest_00061_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
62	Nquest_00062_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
63	Nquest_00063_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
64	Nquest_00064_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
65	Nquest_00065_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
66	Nquest_00066_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
67	Nquest_00067_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
68	Nquest_00068_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
69	Nquest_00069_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
70	Nquest_00070_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
71	Nquest_00071_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
72	Nquest_00072_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
73	Nquest_00073_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
74	Nquest_00074_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
75	Nquest_00075_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
76	Nquest_00076_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
77	Nquest_00077_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
78	Nquest_00078_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
79	Nquest_00079_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
80	Nquest_00080_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
81	Nquest_00081_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
82	Nquest_00082_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
83	Nquest_00083_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
84	Nquest_00084_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
85	Nquest_00085_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
86	Nquest_00086_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
87	Nquest_00087_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
88	Nquest_00088_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
89	Nquest_00089_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
90	Nquest_00090_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
91	Nquest_00091_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
92	Nquest_00092_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
93	Nquest_00093_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
94	Nquest_00094_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
95	Nquest_00095_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
96	Nquest_00096_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
97	Nquest_00097_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
98	Nquest_00098_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
99	Nquest_00099_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
100	Nquest_00100_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
101	Nquest_00101_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
102	Nquest_00102_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
104	Nquest_00104_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
105	Nquest_00105_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
106	Nquest_00106_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
107	Nquest_00107_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
108	Nquest_00108_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
109	Nquest_00109_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
110	Nquest_00110_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
111	Nquest_00111_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
112	Nquest_00112_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
113	Nquest_00113_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
114	Nquest_00114_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
115	Nquest_00115_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
116	Nquest_00116_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
117	Nquest_00117_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
118	Nquest_00118_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
119	Nquest_00119_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
120	Nquest_00120_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
121	Nquest_00301_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
122	Nquest_00302_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
123	Nquest_00303_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
124	Nquest_00304_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
125	Nquest_00305_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
126	Nquest_00306_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
127	Nquest_00307_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
128	Nquest_00308_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
129	Nquest_00309_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
130	Nquest_00310_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
131	Nquest_00311_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
132	Nquest_00312_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
133	Nquest_00313_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
134	Nquest_00314_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
135	Nquest_00315_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
136	Nquest_00316_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
137	Nquest_00317_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
138	Nquest_00318_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
139	Nquest_00319_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
140	Nquest_00320_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
141	Nquest_00321_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
142	Nquest_00322_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
143	Nquest_00323_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
144	Nquest_00324_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
145	Nquest_00325_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
146	Nquest_00326_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
147	Nquest_00327_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
148	Nquest_00328_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
149	Nquest_00329_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
150	Nquest_00330_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
151	Nquest_00331_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
152	Nquest_00332_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
153	Nquest_00333_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
154	Nquest_00334_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
155	Nquest_00335_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
156	Nquest_00336_start	None	None	None	0	0	0	<$>52558</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52555</>	<$>52556</>	<$>52557</>	None	None	None	0	0	0
157	Nquest_00337_start	None	None	None	0	0	0	None	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	None	None	None	None	None	None	0	0	0
160	Nquest_00160_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
161	Nquest_00161_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
162	Nquest_00162_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
163	Nquest_00163_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
164	Nquest_00164_start	None	None	None	0	0	0	<$>52554</>	None	0	0	None	None	None	None	None	0	0	0	0	0	None	None	None	<$>52553</>	None	None	None	None	None	0	0	0
