ClassID	Desc	Image	ItemID	MonsterID
51	None	PetRabbit.bmp	189406	4000
52	None	PetJackolantern.bmp	189407	4100
53	None	PetWatermelon.bmp	189408	4200
54	None	PetMoonknight.bmp	189409	4300
55	None	PetMinotaur.bmp	189603	4400
56	None	PetShadowphantom.bmp	189604	4500
57	None	PetTeslacoil.bmp	189381	4600
58	None	PetNecroBible.bmp	189391	4700
60	<$>135181</>	PetDivino.bmp	189369	5000
61	<$>203420</>	PetGJormongand.bmp	189372	5100
62	<$>171810</>	PetSavertiger.bmp	1000014	5200
63	None	PetSheol.bmp	189608	5300
64	None	PetTurryDog.bmp	189609	5400
65	None	PetTreasureGolem.bmp	189610	5500
66	None	PetOscuras.bmp	189612	5600
67	None	PetAbyss.bmp	189613	5700
68	None	PetNercobus.bmp	189614	5800
69	None	PetAbyssAfkeer.bmp	189615	5900
70	None	PetAbyssDeses.bmp	189616	6000
71	None	PetNewNercobus.bmp	189631	6100
72	None	PetFahrel.bmp	189632	6200
73	None	PetTalos.bmp	189633	6300
74	None	PetAutoT.bmp	189634	6400
75	None	PetAutoTG.bmp	189635	6500
76	None	PetNovia.bmp	189636	6600
77	None	PetLavaleaf.bmp	189637	6700
78	None	PetEinschwer.bmp	189638	6800
79	None	PetMontorofinal.bmp	189639	6900
80	None	PetLavid.bmp	189640	7000
81	None	PetTreasurePhobitan.bmp	189641	7100
82	None	PetRayphantom.bmp	189642	7200
83	None	PetFlyingfrog.bmp	189643	7300
84	None	PetDorol.bmp	189644	7400
85	None	PetNovia.bmp	189645	7500
86	None	PetLavaleaf.bmp	189646	7600
87	None	PetEinschwer.bmp	189647	7700
88	None	Petkranus.bmp	189648	7900
89	None	PetDevilFordoi.bmp	189649	8000
90	<$>209712</>	PetBabyTalos.bmp	189650	8100
91	None	PetOscuras.bmp	189651	8200
92	None	PetNewNercobus.bmp	189652	8300
93	None	PetStoneCortess.bmp	189665	8400
94	None	PetMontorofinal.bmp	189666	8500
95	None	Pet_teusmachina.bmp	189667	8600
96	None	Pet_cerberus.bmp	189668	8700
97	None	PetLavid.bmp	189669	8900
98	None	PetDorol.bmp	189670	9000
99	None	Petkranus.bmp	189671	9100
500	<$>203415</>	PetTiger_Y.bmp	800002	1100
501	<$>203420</>	PetJormongand.bmp	800003	2400
502	<$>203410</>	PetReydeavaricia.bmp	800004	1500
503	<$>203417</>	PetAcorchado.bmp	800005	2500
504	<$>203426</>	PetBlueHorse.bmp	800006	3300
505	<$>203427</>	PetRedHorse.bmp	800007	3400
506	<$>135181</>	PetDivino.bmp	800011	5000
507	<$>209712</>	PetBabyTalos.bmp	24134	7800
508	<$>209712</>	PetBabyTalos.bmp	24144	7800
509	<$>217202</>	PetBabyAutobaron.bmp	24145	8800
510	<$>217202</>	PetBabyAutobaron.bmp	24147	8800
520	<$>203416</>	PetPhobitan.bmp	1000027	2200
521	<$>225097</>	Pet_BlueBall.bmp	24151	9200
522	<$>225097</>	Pet_BlueBall.bmp	24154	9200
523	<$>223760</>	Pet_BlueBall.bmp	24153	3600
525	<$>225098</>	PetBearBaby.bmp	24156	9400
526	<$>225098</>	PetBearBaby.bmp	24157	9400
527	<$>229591</>	Petfoxbaby.bmp	24166	9500
528	<$>229591</>	Petfoxbaby.bmp	24167	9500
529	<$>203416</>	PetTcapyleader.bmp	24197	1600
530	<$>203416</>	PetCockatries.bmp	24198	1700
531	<$>171810</>	PetSavertiger.bmp	24199	5200
532	<$>203413</>	PetRudolph.bmp	24200	700
533	<$>203415</>	PetTiger_B.bmp	24201	1200
534	<$>203415</>	PetTiger_W.bmp	24202	1300
535	<$>203415</>	PetTiger_R.bmp	24203	1400
536	<$>203419</>	PetSnowGolem.bmp	24204	3100
537	<$>235051</>	PetNecroBible.bmp	24234	9600
538	<$>235051</>	PetNecroBible.bmp	24235	9600
539	<$>237965</>	PetToyLloyd.bmp	24240	9700
540	<$>237965</>	PetToyLloyd.bmp	24241	9700
300000	None	PetArgus.bmp	189672	300000
300001	None	PetAoutBaronV.bmp	189673	300001
300002	None	PetSharffenbergerADV.bmp	189674	300002
300003	None	PetChrysalis.bmp	189675	300003
300004	None	PetGraychief.bmp	189676	300004
300005	None	PetDilosLatemn.bmp	189677	300005
300006	None	PetWatermelon.bmp	189678	300006
300007	None	Petjuggernaut.bmp	189679	300007
400000	<$>203432</>	PetDeer.bmp	300000	400000
400001	<$>203432</>	PetTiger_Y.bmp	421426	400001
400002	<$>203432</>	PetTiger_B.bmp	421427	400002
400003	<$>203432</>	PetTiger_W.bmp	421428	400003
500000	<$>203432</>	PetElephant.bmp	521400	500000
