ClassID	ClassName	CountCheck	DayCheck	DropMaxRatio	EnterItem	ItemCount	ItemUseCheck	Layer	Limits	MissionLobby	MissionName	Rank	ResetDay
305	mission_Reydeavaricia	private_Reydeavaricia	today_private_Reydeavaricia	0	Live_Missionenterpoint	25	None	1	TRUE	mcprivatereydeavaricia	<$>225875</>	4	1
401	mission_private_masu	private_btl_lucifer_count	private_btl_lucifer_day	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatemasu	<$>225898</>	5	1
402	mission_dun_ktv_boss	Mission_Novia_Try	Mission_Novia_Day	0	Live_Missionenterpoint	30	None	1	TRUE	mcdunktvnovia	<$>225892</>	5	1
403	mission_private_diablo	private_fldraid_count1	private_fldraid_day1	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatearmtest	<$>225899</>	5	1
404	mission_private_cortes	private_dun_lucifer_count	private_dun_lucifer_day	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatecortes	<$>225900</>	5	1
405	mission_private_dw	private_dun_lucifer_count	private_dun_lucifer_day	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatecortes	<$>225901</>	5	1
501	mission_Jormongand	private_Jormongand	today_private_Jormongand	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivatejormongand	<$>225877</>	6	1
502	mission_private_royalroad	private_ileraid_day_count1	private_ileraid_day1	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivateroyal	<$>225902</>	6	1
503	mission_private_arm1	private_arm_count	private_arm_day	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivatearm	<$>225903</>	6	1
504	mission_sekhmet_rank6	Mission_Sekhmet_Try	Mission_Sekhmet_Day	0	Live_Missionenterpoint	35	None	1	TRUE	mcmissionsekhmet	<$>225878</>	6	1
505	mission_private_decarabia	private_fldraid_count2	private_fldraid_day2	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivatedecarabia	<$>225904</>	6	1
601	Mission_private_dun_casile01	private_ileraid_day_count2	private_ileraid_day2	0	Live_Missionenterpoint	40	None	1	TRUE	mcprivateduncasile01	<$>225905</>	7	1
602	Mission_private_dun_casile03	private_ileraid_day_count4	private_ileraid_day4	0	Live_Missionenterpoint	40	None	1	TRUE	mcprivateduncasile03	<$>225906</>	7	1
603	mission_private_arm6	private_arm_count3	private_arm_day3	0	Live_Missionenterpoint	40	None	1	TRUE	mcprivatearm6	<$>125329</>	7	1
604	Mission_private_dun_casile02	private_ileraid_day_count3	private_ileraid_day3	0	Live_Missionenterpoint	40	None	1	TRUE	mcprivateduncasile02	<$>225907</>	7	1
605	mission_private_arm2	private_arm_count3	private_arm_day3	0	Live_Missionenterpoint	40	None	1	TRUE	mcprivatearm6	<$>225871</>	7	1
606	mission_alt_fld01_1	private_altraid_day_count1	alt_fld01_1_Day	0	Live_Missionenterpoint	40	None	1	TRUE	mcaltfld01	<$>225072</>	7	1
