ClassID	ItemID	OptionGroup
269	65270	WepCosOH
270	65271	WepCosOH
271	65272	WepCosTH
272	65273	WepCosOH
273	65274	WepCosOH
274	65275	WepCosOH
275	65276	WepCosOH
276	65277	WepCosOH
277	65278	WepCosOH
278	65279	WepCosOH
279	65280	WepCosOH
280	65281	WepCosOH
281	65282	WepCosTH
282	65283	WepCosTH
283	65284	WepCosETC
284	65285	WepCosTH
285	65286	WepCosOH
286	65287	WepCosOH
287	65288	WepCosTH
288	65289	WepCosTH
289	65290	WepCosOH
290	65291	WepCosOH
291	65292	WepCosOH
292	65293	WepCosTH
293	65294	WepCosOH
294	65295	WepCosOH
295	65296	WepCosOH
296	65297	WepCosOH
297	65298	WepCosTH
298	65299	WepCosOH
299	65300	WepCosTH
300	65301	WepCosOH
301	65302	WepCosTH
302	65303	WepCosTH
303	65304	WepCosOH
304	65305	WepCosTH
305	65306	WepCosOH
306	65307	WepCosTH
307	65308	WepCosTH
308	65309	WepCosTH
309	65310	WepCosOH
310	65311	WepCosETC
311	65312	WepCosETC
312	65313	WepCosETC
313	65314	WepCosETC
314	65315	WepCosETC
315	65316	WepCosETC
316	65317	WepCosETC
317	65318	WepCosETC
318	65319	WepCosETC
319	65320	WepCosOH
320	65321	WepCosOH
321	65322	WepCosOH
322	65323	WepCosOH
323	65324	WepCosOH
324	65325	WepCosOH
325	65327	WepCosETC
326	65328	WepCosTH
327	65329	WepCosTH
328	65330	WepCosTH
329	65331	WepCosOH
330	65332	WepCosTH
331	65333	WepCosTH
332	65334	WepCosTH
333	65335	WepCosTH
334	67140	WepCosOH
