ClassID	ClassName	Name	Property1	Scp	Tab	Value1
29	helper5	<$>28682</>	Cwar_Helper	SCR_CAN_GET_ACHIEVE	Assist	5000
30	helper6	<$>28683</>	Cwar_Helper	SCR_CAN_GET_ACHIEVE	Assist	20000
31	killer1	<$>28684</>	Cwar_Killer	SCR_CAN_GET_ACHIEVE	Assist	50
32	killer2	<$>28685</>	Cwar_Killer	SCR_CAN_GET_ACHIEVE	Assist	200
33	killer3	<$>28686</>	Cwar_Killer	SCR_CAN_GET_ACHIEVE	Assist	500
34	killer4	<$>28687</>	Cwar_Killer	SCR_CAN_GET_ACHIEVE	Assist	1000
35	killer5	<$>28688</>	Cwar_Killer	SCR_CAN_GET_ACHIEVE	Assist	2000
36	killer6	<$>17459</>	Cwar_Killer	SCR_CAN_GET_ACHIEVE	Assist	10000
37	phoenix1	<$>28689</>	Cwar_NeverdieMax	SCR_CAN_GET_ACHIEVE	Assist	2
38	phoenix2	<$>28690</>	Cwar_NeverdieMax	SCR_CAN_GET_ACHIEVE	Assist	3
39	phoenix3	<$>28691</>	Cwar_NeverdieMax	SCR_CAN_GET_ACHIEVE	Assist	5
40	phoenix4	<$>28692</>	Cwar_NeverdieMax	SCR_CAN_GET_ACHIEVE	Assist	7
41	phoenix5	<$>28693</>	Cwar_NeverdieMax	SCR_CAN_GET_ACHIEVE	Assist	10
42	phoenix6	<$>28694</>	Cwar_NeverdieMax	SCR_CAN_GET_ACHIEVE	Assist	25
43	fight1	<$>28695</>	Cwar_WarCount	SCR_CAN_GET_ACHIEVE	Assist	1
44	fight2	<$>28696</>	Cwar_WarCount	SCR_CAN_GET_ACHIEVE	Assist	5
45	fight3	<$>28697</>	Cwar_WarCount	SCR_CAN_GET_ACHIEVE	Assist	10
46	fight4	<$>28698</>	Cwar_WarCount	SCR_CAN_GET_ACHIEVE	Assist	25
47	fight5	<$>28699</>	Cwar_WarCount	SCR_CAN_GET_ACHIEVE	Assist	50
48	triumph1	<$>28700</>	Cwar_WinTotal	SCR_CAN_GET_ACHIEVE	Assist	1
49	triumph2	<$>28701</>	Cwar_WinTotal	SCR_CAN_GET_ACHIEVE	Assist	5
50	triumph3	<$>28702</>	Cwar_WinTotal	SCR_CAN_GET_ACHIEVE	Assist	10
51	triumph4	<$>28703</>	Cwar_WinTotal	SCR_CAN_GET_ACHIEVE	Assist	25
52	triumph5	<$>28704</>	Cwar_WinTotal	SCR_CAN_GET_ACHIEVE	Assist	50
53	ghost1	<$>28705</>	Cwar_DeadInOneMax	SCR_CAN_GET_ACHIEVE	Etc	10
54	ghost2	<$>28706</>	Cwar_DeadInOneMax	SCR_CAN_GET_ACHIEVE	Etc	25
55	ghost3	<$>28707</>	Cwar_DeadInOneMax	SCR_CAN_GET_ACHIEVE	Etc	50
56	ghost4	<$>28708</>	Cwar_DeadInOneMax	SCR_CAN_GET_ACHIEVE	Etc	80
57	ghost5	<$>28709</>	Cwar_DeadInOneMax	SCR_CAN_GET_ACHIEVE	Etc	100
58	ghost6	<$>28710</>	Cwar_DeadInOneMax	SCR_CAN_GET_ACHIEVE	Etc	500
59	looser1	<$>28711</>	Cwar_LoseContinueM	SCR_CAN_GET_ACHIEVE	Etc	2
60	looser2	<$>28712</>	Cwar_LoseContinueM	SCR_CAN_GET_ACHIEVE	Etc	3
61	looser3	<$>28713</>	Cwar_LoseContinueM	SCR_CAN_GET_ACHIEVE	Etc	5
62	looser4	<$>28714</>	Cwar_LoseContinueM	SCR_CAN_GET_ACHIEVE	Etc	7
63	looser5	<$>28715</>	Cwar_LoseContinueM	SCR_CAN_GET_ACHIEVE	Etc	10
64	looser6	<$>28716</>	Cwar_LoseContinueM	SCR_CAN_GET_ACHIEVE	Etc	30
70	mining1	<$>28722</>	Cwar_Mining	SCR_CAN_GET_ACHIEVE	Etc	500
71	mining2	<$>28723</>	Cwar_Mining	SCR_CAN_GET_ACHIEVE	Etc	2000
72	mining3	<$>28724</>	Cwar_Mining	SCR_CAN_GET_ACHIEVE	Etc	5000
73	mining4	<$>28725</>	Cwar_Mining	SCR_CAN_GET_ACHIEVE	Etc	10000
74	mining5	<$>28726</>	Cwar_Mining	SCR_CAN_GET_ACHIEVE	Etc	20000
75	ressurect1	<$>28727</>	Cwar_Ressurect	SCR_CAN_GET_ACHIEVE	Assist	500
76	ressurect2	<$>28728</>	Cwar_Ressurect	SCR_CAN_GET_ACHIEVE	Assist	2000
77	ressurect3	<$>28729</>	Cwar_Ressurect	SCR_CAN_GET_ACHIEVE	Assist	5000
78	ressurect4	<$>28730</>	Cwar_Ressurect	SCR_CAN_GET_ACHIEVE	Assist	10000
79	ressurect5	<$>28731</>	Cwar_Ressurect	SCR_CAN_GET_ACHIEVE	Assist	20000
