BlessItemID	BlessScp	ClassID	ClassName	Desc	DescFont	EquipBless	Value
40234	SCR_ITEM_BLESS_IncPR	29	Bless_ArmWep_PR	<$>202535</>	water_blue_14_ol	BODY	5
40235	SCR_ITEM_BLESS_IncBLK	30	Bless_ArmWep_BLK	<$>202536</>	water_blue_14_ol	BODY	5
40236	SCR_ITEM_BLESS_IncMSPD	31	Bless_ArmWep_MSPD	<$>202537</>	water_blue_14_ol	BODY	10
40237	SCR_ITEM_BLESS_IncMHP	32	Bless_ArmWep_MHP	<$>202538</>	water_blue_14_ol	BODY	15
160090	SCR_ITEM_BLESS_IncAR	33	Bless_AbyssWep_AR	<$>146468</>	water_blue_14_ol	RH	1
160091	SCR_ITEM_BLESS_IncATK	34	Bless_AbyssWep_ATK	<$>146469</>	water_blue_14_ol	RH	15
160092	SCR_ITEM_BLESS_IncIP	35	Bless_AbyssWep_IP	<$>146470</>	water_blue_14_ol	RH	5
160161	SCR_ITEM_BLESS_SoftBane	36	Valeron_Bless_Soft	<$>177827</>	water_blue_14_ol	RH	15
160162	SCR_ITEM_BLESS_MediumBane	37	Valeron_Bless_Medium	<$>177828</>	water_blue_14_ol	RH	15
160163	SCR_ITEM_BLESS_MetalBane	38	Valeron_Bless_Hard	<$>177829</>	water_blue_14_ol	RH	15
160241	SCR_ITEM_DevilBless	39	DevilBless	<$>202539</>	water_blue_14_ol	RH	1
40206	SCR_ITEM_BLESS_IncAR	40	Bless_ValWep_AR	<$>202540</>	water_blue_14_ol	RH	1
40207	SCR_ITEM_BLESS_IncATK	41	Bless_ValWep_ATK	<$>202541</>	water_blue_14_ol	RH	15
40208	SCR_ITEM_BLESS_IncFireATK	42	Bless_ValWep_FireATK	<$>202542</>	water_blue_14_ol	RH	60
40209	SCR_ITEM_BLESS_IncIceATK	43	Bless_ValWep_IceATK	<$>202543</>	water_blue_14_ol	RH	60
40210	SCR_ITEM_BLESS_IncLghtATK	44	Bless_ValWep_LghtATK	<$>202544</>	water_blue_14_ol	RH	60
40211	SCR_ITEM_BLESS_IncPsyATK	45	Bless_ValWep_PsyATK	<$>202545</>	water_blue_14_ol	RH	60
40212	SCR_ITEM_BLESS_IncIP	46	Bless_ValWep_IP	<$>202546</>	water_blue_14_ol	RH	8
40213	SCR_ITEM_BLESS_IncDefIP	47	Bless_ValWep_DefIP	<$>202547</>	water_blue_14_ol	RH	8
40214	SCR_ITEM_BLESS_IncFireIP	48	Bless_ValWep_FireIP	<$>202548</>	water_blue_14_ol	RH	8
40215	SCR_ITEM_BLESS_IncIceIP	49	Bless_ValWep_IceIP	<$>202549</>	water_blue_14_ol	RH	8
40216	SCR_ITEM_BLESS_IncLgtIP	50	Bless_ValWep_LgtIP	<$>202550</>	water_blue_14_ol	RH	8
40217	SCR_ITEM_BLESS_IncPsyIP	51	Bless_ValWep_PsyIP	<$>202551</>	water_blue_14_ol	RH	8
40218	SCR_ITEM_BLESS_IncCRT	52	Bless_ValWep_CRT	<$>202552</>	water_blue_14_ol	RH	15
40219	SCR_ITEM_BLESS_IncASPD	53	Bless_ValWep_ASPD	<$>202553</>	water_blue_14_ol	RH	20
40220	SCR_ITEM_BLESS_IncHR	54	Bless_ValWep_HR	<$>202554</>	water_blue_14_ol	RH	20
40221	SCR_ITEM_BLESS_IncSTR	55	Bless_ValWep_STR	<$>202555</>	water_blue_14_ol	RH	8
40222	SCR_ITEM_BLESS_IncAGI	56	Bless_ValWep_AGI	<$>202556</>	water_blue_14_ol	RH	8
40223	SCR_ITEM_BLESS_IncCON	57	Bless_ValWep_CON	<$>202557</>	water_blue_14_ol	RH	8
40224	SCR_ITEM_BLESS_IncDEX	58	Bless_ValWep_DEX	<$>202558</>	water_blue_14_ol	RH	8
40225	SCR_ITEM_BLESS_IncINT	59	Bless_ValWep_INT	<$>202559</>	water_blue_14_ol	RH	8
40226	SCR_ITEM_BLESS_IncCHA	60	Bless_ValWep_CHA	<$>202560</>	water_blue_14_ol	RH	8
40227	SCR_ITEM_BLESS_IncDR	61	Bless_ValWep_DR	<$>154430</>	water_blue_14_ol	BODY	1
40228	SCR_ITEM_BLESS_IncDEF	62	Bless_ValWep_DEF	<$>202561</>	water_blue_14_ol	BODY	10
40229	SCR_ITEM_BLESS_IncRMEELE	63	Bless_ValWep_RMEELE	<$>202562</>	water_blue_14_ol	BODY	12
40230	SCR_ITEM_BLESS_IncRSHOOT	64	Bless_ValWep_RSHOOT	<$>202563</>	water_blue_14_ol	BODY	12
40231	SCR_ITEM_BLESS_IncRMAGIC	65	Bless_ValWep_RMAGIC	<$>202564</>	water_blue_14_ol	BODY	12
40232	SCR_ITEM_BLESS_IncRALL	66	Bless_ValWep_RALL	<$>202565</>	water_blue_14_ol	BODY	8
40233	SCR_ITEM_BLESS_IncIMP	67	Bless_ValWep_IMP	<$>202566</>	water_blue_14_ol	BODY	8
40234	SCR_ITEM_BLESS_IncPR	68	Bless_ValWep_PR	<$>202567</>	water_blue_14_ol	BODY	10
40235	SCR_ITEM_BLESS_IncBLK	69	Bless_ValWep_BLK	<$>202568</>	water_blue_14_ol	BODY	10
40236	SCR_ITEM_BLESS_IncMSPD	70	Bless_ValWep_MSPD	<$>202569</>	water_blue_14_ol	BODY	15
40237	SCR_ITEM_BLESS_IncMHP	71	Bless_ValWep_MHP	<$>202570</>	water_blue_14_ol	BODY	20
