AutoInspect	BossAR	BossClassID	BossDR	BossLv	ClassID	ClassName	GenType	Item_Request	Location	MapClassName	MapName	Name	RewardItem	Time01	Time02	TimeDesc	ZoneLog
YES	85	19626	82	150	22	MON_ILE_CASILE01_A_2	Random	None	dun_casile01_raid 5679 -6326 -1704	dun_casile01_raid	<$>203289</>	<$>203362</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
YES	85	19627	82	150	23	MON_ILE_CASILE01_A_3	Random	None	dun_casile01_raid 12769 -1951 -812	dun_casile01_raid	<$>203289</>	<$>203351</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
YES	85	19631	82	150	24	MON_CASILE01_B_1_BOSS	Etc	None	dun_casile01_raid -859 981 -1295	dun_casile01_raid	<$>203289</>	<$>204302</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>188587</>	YES
YES	85	19632	82	150	25	MON_CASILE01_B_2_BOSS	Etc	None	dun_casile01_raid 863 1027 -1274	dun_casile01_raid	<$>203289</>	<$>204303</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>188587</>	YES
YES	85	19647	82	150	26	MON_CASILE01_C_1_BOSS	Etc	None	dun_casile01_raid -10410 9779 -879	dun_casile01_raid	<$>203289</>	<$>205434</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205553</>	YES
YES	85	19648	82	150	27	MON_CASILE01_C_2_BOSS	Etc	None	dun_casile01_raid -14565 15024 -870	dun_casile01_raid	<$>203289</>	<$>205435</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205554</>	YES
YES	85	19649	82	150	28	MON_CASILE01_C_3_BOSS	Etc	None	dun_casile01_raid -5463 14978 -878	dun_casile01_raid	<$>203289</>	<$>205436</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205555</>	YES
YES	85	19650	82	150	29	MON_CASILE01_C_4_BOSS	Etc	None	dun_casile01_raid -840 15105 -883	dun_casile01_raid	<$>203289</>	<$>205437</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205556</>	YES
YES	85	19651	82	150	30	MON_CASILE01_D_1_BOSS	Etc	None	dun_casile01_raid 10398 9770 -879	dun_casile01_raid	<$>203289</>	<$>205438</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205553</>	YES
YES	85	19652	82	150	31	MON_CASILE01_D_2_BOSS	Etc	None	dun_casile01_raid 14256 14975 -880	dun_casile01_raid	<$>203289</>	<$>205557</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205558</>	YES
YES	85	19653	82	150	32	MON_CASILE01_D_3_BOSS	Etc	None	dun_casile01_raid 5493 14985 -878	dun_casile01_raid	<$>203289</>	<$>204319</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205559</>	YES
YES	85	19654	82	150	33	MON_CASILE01_D_4_BOSS	Etc	None	dun_casile01_raid 719 14950 -883	dun_casile01_raid	<$>203289</>	<$>205440</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205561</>	YES
YES	86	19655	82	150	34	MON_CASILE01_E_1_BOSS	Etc	None	dun_casile01_raid 16 18905 -927	dun_casile01_raid	<$>203289</>	<$>205441</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205562</>	YES
YES	86	19656	81	150	35	MON_CASILE01_E_2_BOSS	Etc	None	dun_casile01_raid -1 22831 -982	dun_casile01_raid	<$>203289</>	<$>203356</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>205563</>	YES
YES	84	19673	82	150	36	MON_CASILE01_LASTBOSS	Etc	None	dun_casile01_raid 0 33076 -893	dun_casile01_raid	<$>203289</>	<$>203319</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220,87099,87100,87101,87102	0	0	<$>205564</>	YES
YES	87	19732	84	150	37	MON_ILE_CASILE02_A_1	Random	None	dun_casile02_raid 0 5439 51	dun_casile02_raid	<$>208340</>	<$>208360</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
YES	87	19733	84	150	38	MON_ILE_CASILE02_B_1	Random	None	dun_casile02_raid 0 13553 62	dun_casile02_raid	<$>208340</>	<$>208361</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
YES	87	19734	84	150	39	MON_ILE_CASILE02_B_2	Random	None	dun_casile02_raid -2332 13913 -12	dun_casile02_raid	<$>208340</>	<$>208362</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
YES	87	19735	84	150	40	MON_ILE_CASILE02_B_3	Random	None	dun_casile02_raid 2358 13896 -12	dun_casile02_raid	<$>208340</>	<$>208363</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	324000	345600	None	YES
YES	85	19740	83	150	41	MON_CASILE02_B_1_BOSS	Etc	None	dun_casile02_raid 37 20443 35	dun_casile02_raid	<$>208340</>	<$>215981</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>216045</>	YES
YES	85	19743	82	150	42	MON_CASILE02_C_1_BOSS	Etc	None	dun_casile02_raid -3458 089 175	dun_casile02_raid	<$>208340</>	<$>208376</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>188587</>	YES
YES	84	19744	83	150	43	MON_CASILE02_C_2_BOSS	Etc	None	dun_casile02_raid 3386 9049 175	dun_casile02_raid	<$>208340</>	<$>208377</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>188587</>	YES
YES	85	19745	82	150	44	MON_CASILE02_C_3_BOSS	Etc	None	dun_casile02_raid 5623 16996 179	dun_casile02_raid	<$>208340</>	<$>208378</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>188587</>	YES
YES	86	19746	81	150	45	MON_CASILE02_C_4_BOSS	Etc	None	dun_casile02_raid -5638 17008 179	dun_casile02_raid	<$>208340</>	<$>215982</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>188587</>	YES
YES	85	19747	83	150	46	MON_CASILE02_D_1_BOSS	Etc	None	dun_casile02_raid -2320 24096 50	dun_casile02_raid	<$>208340</>	<$>209685</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>216046</>	YES
YES	85	19748	83	150	47	MON_CASILE02_D_2_BOSS	Etc	None	dun_casile02_raid 2304 24114 50	dun_casile02_raid	<$>208340</>	<$>209686</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220	0	0	<$>216046</>	YES
YES	85	19749	85	150	48	MON_CASILE02_D_3_BOSS	Etc	None	dun_casile02_raid 15 28825 -79	dun_casile02_raid	<$>208340</>	<$>188375</>	64723,64725,64727,64728,64711,64703,64714,64716,45013,45014,45015,19521,19522,19523,19122,19123,19124,15300,15333,15301,46016,21810,21815,21820,89218,89219,89220,87099,87100,87101,87102	0	0	<$>216047</>	YES
YES	85	19759	82	150	49	MON_ALT01_BOSS	Etc	None	fld_alt01	fld_alt01	<$>223663</>	<$>231632</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87178	0	0	<$>237465</>	YES
YES	85	19770	82	150	50	MON_ALT02_BOSS	Etc	None	fld_alt02	fld_alt02	<$>223664</>	<$>237282</>	189329,189330,189331,89218,89219,89220,86519,86521,86523,86524,86525,86526,86527,86528,86529,87057,87058,87059,87060,87061,86907,86909,86911,86912,86940,86941,86942,86943,86944,87099,87100,87101,87102,87103,87104,87105, 87106,87107,64711,64703,64714,64716,64723,64725,64727,64728,64729,64731,64733,64734,15307,19524,19125,46017,45016,15309,19526,19127,46027,45019,15337,19537,19145,46032,45037,64735,64737,64739,64740,15308,19525,19126,46026,45018,64831,64832,64833,64834,15349, 19553,19161,46044,45048,87180	0	0	<$>237466</>	YES
YES	74	54259	74	145	51	MON_TESTORMENTO_RAID	Random	None	dyn_jaq05	fld_alt02	<$>47402</>	<$>50091</>	23301,64711,64714,64716,64703	43200	64800	None	YES
YES	79	14803	74	135	101	MON_RAID_ARBREMON1	Lucifer	None	btl_lucifer01 -11153,-28360,-1272	btl_lucifer01	<$>29591</>	<$>188582</>	86479,86480,86491,64512,64542,64552,86378,86376,86374	237600	259200	<$>188583</>	YES
YES	79	14791	74	135	102	MON_RAID_ARBREMON2	Lucifer	None	btl_lucifer01 -7293,-35047,-1272	btl_lucifer01	<$>29591</>	<$>188584</>	86479,86480,86491,64512,64542,64552,86378,86376,86374	237600	259200	<$>188583</>	YES
YES	79	14801	75	137	103	MON_RAID_SAUTERELLE	Lucifer	None	btl_lucifer01 13,11161,-790	btl_lucifer01	<$>29591</>	<$>10769</>	86464,86468,86492,64512,64542,64552,86378,86376,86374	237600	259200	<$>188583</>	YES
YES	77	10366	77	130	104	MON_RECALL_GREAT_MONKEY	Lucifer	None	btl_lucifer01 -24389,3130,17	btl_lucifer01	<$>29591</>	<$>10772</>	45007,45008,45009,21829,21364,46014,15282,15283,15330,21366	324000	345600	<$>188585</>	YES
YES	77	14794	74	130	105	MON_RECALL_BEAR	Lucifer	None	btl_lucifer01 24356,3110,17	btl_lucifer01	<$>29591</>	<$>10771</>	45007,45008,45009,21829,21364,46014,15282,15283,15330,21366	324000	345600	<$>188585</>	YES
YES	78	14821	74	135	106	MON_RAID_RESPAWN	Lucifer	None	btl_lucifer01 8905,8280,219 -8936,8229,219	btl_lucifer01	<$>29591</>	<$>10768</>	45010,45011,45012,86343,86344,86345,86346,86347,86348,19119,19120,19121,19518,19519,19520,64512,64542,64552,86376,86378,64701,64704,64706	583200	604800	<$>188586</>	YES
YES	77	14781	74	134	201	MON_RAID_MANTARA	Lucifer	None	btl_lucifer02 -21,-12360,137	btl_lucifer02	<$>47932</>	<$>10762</>	86470,86473,86474,64512,64542,64552,86374,86378,86376	280800	302400	<$>188583</>	YES
YES	75	14671	70	135	202	MON_RAID_CRUELUZ	Lucifer	None	btl_lucifer02 14925,-20991,-788	btl_lucifer02	<$>47932</>	<$>10767</>	64512,64542,64552,86305,86307,86303,21829	410400	432000	<$>188583</>	YES
YES	79	14824	75	136	203	MON_RAID_ROSE_SPIRIT	Lucifer	None	btl_lucifer02 10698,6139,138	btl_lucifer02	<$>47932</>	<$>51320</>	15294,15295,15332,19119,19120,19121,19518,19519,19520,86332,86333,86611,64701,64704,64706	496800	518400	<$>188583</>	YES
YES	78	14823	74	135	204	MON_RAID_ROSE_HEART	Lucifer	None	btl_lucifer02 -10687,6194,145	btl_lucifer02	<$>47932</>	<$>51318</>	19119,19120,19121,19518,19519,19520,64512,64542,64552,86376,86378,46015,86360,86361,64701,64704,64706	496800	518400	<$>188583</>	YES
YES	80	14825	76	138	205	MON_RAID_YURUEGEN	Lucifer	None	btl_lucifer02 -3,23083,-207	btl_lucifer02	<$>47932</>	<$>49622</>	86463,86469,86477,86493,86519,86521,86523,86524,64512,64542,64552,86376,86374,86378	280800	302400	<$>188583</>	YES
YES	74	14827	64	125	206	MON_RAID_SIAIN	Etc	None	btl_lucifer02 -13588,-20162,-788	btl_lucifer02	<$>47932</>	<$>10766</>	64601,64602,64603,64604,64605,64606,23235	14400	14400	None	YES
YES	82	15011	77	150	301	MON_GOLDGARAS	Lucifer	None	dun_caslucifer01 19614,-1,910	dun_caslucifer01	<$>47952</>	<$>112318</>	64512,64542,64552,86374,86376,86378,86379,86528,86519	583200	604800	<$>188583</>	YES
YES	79	14960	74	150	302	MON_MEDEIA	Lucifer	None	dun_caslucifer01 27893,12030,-201	dun_caslucifer01	<$>47952</>	<$>49638</>	64512,64542,64552,86374,86376,86378,86379,86303,86305,86307,86528	583200	604800	<$>188583</>	YES
YES	78	15001	74	150	303	MON_PLUTON	Lucifer	None	dun_caslucifer01 27888,-12058,-201	dun_caslucifer01	<$>47952</>	<$>49645</>	64512,64542,64552,86374,86376,86378,86379,86303,86305,86307,86526	583200	604800	<$>188583</>	YES
YES	80	14970	75	150	304	MON_LICHBAT	Lucifer	None	dun_caslucifer01 35634,3,836	dun_caslucifer01	<$>47952</>	<$>49640</>	64512,64542,64552,86303,86305,86307,86332,86333,86611,86521,86523	583200	604800	<$>188583</>	YES
YES	87	11105	70	150	305	MON_BROTHERFT	Etc	None	dun_caslucifer01 3379,499,-8	dun_caslucifer01	<$>47952</>	<$>48890</>	64512,64542,64552,86527,86525	0	0	<$>188587</>	YES
YES	87	11106	70	150	306	MON_BROTHERFT2	Etc	None	dun_caslucifer01 3372,-513,-8	dun_caslucifer01	<$>47952</>	<$>48891</>	64512,64542,64552,86527,86525	0	0	<$>188587</>	YES
YES	80	14923	74	150	307	MON_GORGONBOSS	Etc	None	dun_caslucifer01 1891,-11,-5	dun_caslucifer01	<$>47952</>	<$>190570</>	86529,86332,86333,86611	0	0	<$>190725</>	YES
YES	79	14950	75	150	401	MON_RHINOCERU	Lucifer	None	dun_caslucifer02 -18003,-6841,-529	dun_caslucifer02	<$>47953</>	<$>49636</>	86519,86303,86305,86307,86374,86376,86378,86379	583200	604800	<$>188583</>	YES
YES	79	14930	75	150	402	MON_MOONKNIGHT	Lucifer	None	dun_caslucifer02 16967,4952,763	dun_caslucifer02	<$>47953</>	<$>139904</>	86524,86303,86305,86307,86374,86376,86378,86379	583200	604800	<$>188583</>	YES
NO	77	15031	72	140	403	MON_KEYHOLDER	Random	None	dun_caslucifer02 3321,-4104,0	dun_caslucifer02	<$>47953</>	<$>98832</>	75406	1800	1800	None	YES
YES	81	14991	76	150	404	MON_PORTERO	Etc	None	dun_caslucifer02 -69,14055,19	dun_caslucifer02	<$>47953</>	<$>49644</>	86519,86521,86523,86524,86374,86376,86378,86379	0	0	<$>112323</>	YES
YES	73	30383	69	135	405	MON_ELMINOR3	Etc	None	dun_caslucifer02 822,-2420,-47	dun_caslucifer02	<$>47953</>	<$>50039</>	20623,75355,21829,21256,21653	86400	86400	<$>188587</>	YES
YES	79	65501	74	145	406	MON_VIRON_HARDMELEE	Lucifer	None	dun_caslucifer02	dun_caslucifer02	<$>47953</>	<$>112320</>	189092,75355	64800	86400	<$>188583</>	YES
YES	82	30184	70	135	501	MON_LUCIFER01_STAGE1BOSS	Lucifer	None	dun_lucifer01 -32935,17255,-66	dun_lucifer01	<$>47864</>	<$>188589</>	21366,64601,64602,64604,64605,64606,64701,64704,64706	324000	345600	<$>188583</>	YES
YES	82	30184	70	135	502	MON_LUCIFER01_STAGE1BOSS_B	Lucifer	None	dun_lucifer01 -32956,-16564,-66	dun_lucifer01	<$>47864</>	<$>188590</>	21366,64601,64602,64604,64605,64606,64701,64704,64706	324000	345600	<$>188583</>	YES
YES	82	30184	70	135	503	MON_LUCIFER01_STAGE1BOSS_C	Lucifer	None	dun_lucifer01 -28697,-22966,-66	dun_lucifer01	<$>47864</>	<$>188591</>	21366,64601,64602,64604,64605,64606,64701,64704,64706	324000	345600	<$>188583</>	YES
