ClassID	Color1	Color2	Color3	Color4	Color5	GainXp1	GainXp2	GainXp3	GainXp4	GainXp5	Lv	Lv1	Lv10	Lv11	Lv12	Lv13	Lv14	Lv15	Lv16	Lv17	Lv18	Lv19	Lv2	Lv20	Lv21	Lv22	Lv23	Lv24	Lv25	Lv3	Lv4	Lv5	Lv6	Lv7	Lv8	Lv9	MaxLv1	MaxLv2	MaxLv3	MaxLv4	MaxLv5	MinLv1	MinLv2	MinLv3	MinLv4	MinLv5	MonXp	NextXp	TotalXp
11	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	65	6464	18418
12	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	71	8320	24882
13	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	77	10561	33202
14	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	83	13235	43763
15	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	89	16388	56998
16	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	95	18700	73386
17	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	101	22751	92086
18	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	107	27405	114837
19	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12	-6	4	20	199	-199	-11	-5	5	21	113	32713	142242
20	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1	1.3	1.2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	119	40772	174955
21	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	125	47912	215727
22	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	132	55915	263639
23	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	139	64844	319554
24	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	146	74759	384398
25	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	153	85725	459157
26	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	160	97806	544882
27	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	167	111069	642688
28	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	174	125581	753757
29	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	-7	4	20	199	-199	-12	-6	5	21	181	141410	879338
30	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	189	158629	1020748
31	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	197	177305	1179377
32	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	205	197514	1356682
33	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	213	219328	1554196
34	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	221	242822	1773524
35	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	230	268073	2016346
36	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	239	295156	2284419
37	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	248	324150	2579575
38	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	257	355137	2903725
39	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14	-7	4	20	199	-199	-13	-6	5	21	266	388192	3258862
40	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.1	1.4	1.2	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	275	423402	3647054
41	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	284	460845	4070456
42	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	293	500607	4531301
43	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	303	542772	5031908
44	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	313	587425	5574680
45	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	323	634654	6162105
46	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	333	684544	6796759
47	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	343	737187	7481303
48	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	353	792670	8218490
49	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.7	1.2	1.4	1.2	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-8	4	20	199	-199	-14	-7	5	21	363	851083	9011160
50	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	374	912519	9862243
51	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	385	972953	10774762
52	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	396	1039439	11747715
53	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	407	1108368	12787154
54	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	418	1179770	13895522
55	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	429	1253673	15075292
56	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	440	1330104	16328965
57	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	451	1409089	17659069
58	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	462	1490659	19068158
59	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	-8	4	20	199	-199	-15	-7	5	21	473	1574838	20558817
60	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.2	1.4	1.2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	485	1661653	22133655
61	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.4	1.2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	497	1751131	23795308
62	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.4	1.2	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	509	1843297	25546439
63	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.4	1.2	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	521	1938179	27389736
64	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.4	1.2	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	533	2035800	29327915
65	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.4	1.2	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	545	2136187	31363715
66	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.4	1.2	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	4	20	199	-199	-16	-8	5	21	557	2239365	33499902
67	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	5	20	199	-199	-16	-8	6	21	569	2345358	35739267
68	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	5	20	199	-199	-16	-8	6	21	581	2454192	38084625
69	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	-9	5	20	199	-199	-16	-8	6	21	593	2565891	40538817
70	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	606	2680479	43104708
71	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	619	2797981	45785187
72	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	632	2918419	48583168
73	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	645	3041819	51501587
74	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	658	3168203	54543406
75	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	671	3297595	57711609
76	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	684	3430019	61009204
77	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	697	3565496	64439223
78	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	710	3704050	68004719
79	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18	-9	5	20	199	-199	-17	-8	6	21	723	3845703	71708769
80	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.3	1.3	1.2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	737	3990480	75554472
81	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	751	4138400	79544952
82	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	765	4289487	83683352
83	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	779	4443763	87972839
84	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	793	4601249	92416602
85	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	807	4761967	97017851
86	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	821	4925941	101779818
87	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	835	5093188	106705759
88	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	849	5263733	111798947
89	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19	-10	5	20	199	-199	-18	-9	6	21	863	5437596	117062680
90	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	-10	5	20	199	-199	-19	-9	6	21	877	5614797	122500276
91	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	-10	5	20	199	-199	-19	-9	6	21	891	5795359	128115073
92	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	-10	5	20	199	-199	-19	-9	6	21	905	5979301	133910432
93	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	-10	5	20	199	-199	-19	-9	6	21	919	6166645	139889733
94	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	-10	5	20	199	-199	-19	-9	6	21	933	6357410	146056378
95	monname_gray	monname_grayyellow	monname_yellow	monname_orange	monname_red	0.25	0.6	1.4	1.3	1.2	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	-10	5	20	199	-199	-19	-9	6	21	947	6551618	152413788
