ClassID	ClassName	CreateH	CreateX	CreateY	CreateZone	Direction	InitZoom	Latitude	Longitude	Name	Range	TargetDir	TargetH	TargetX	TargetY	TargetZone	ZoneMapOffsetX	ZoneMapOffsetY	ZoneMapType	ZoomMax	ZoomMin
10017	COIM_BASIC-FLD_COIM	387	-9454	3738	coim_basic	77	1000	28	180	<$>54039</>	400	180	1299	-17316	12711	fld_coim	0	0	OUTSIDE	2200	200
10018	FLD_COIM-BTL_COIM01	2359	-24190	1470	fld_coim	10	1000	21	1	<$>125698</>	250	40	-5663	-863	-18784	btl_coim01	0	0	OUTSIDE	2200	200
10019	BTL_COIM01-FLD_COIM	-5708	-304	-20277	btl_coim01	310	1000	18	-126	<$>47350</>	300	285	2383	-22805	1614	fld_coim	0	0	OUTSIDE	2200	200
10020	BTL_COIM01-FLD_PTV	-6400	-2327	18331	btl_coim01	200	1000	23	10	<$>125699</>	300	0	1550	-6732	-9911	fld_ptv	0	0	OUTSIDE	2200	200
10021	FLD_PTV-BTL_COIM01	1565	-6911	-10896	fld_ptv	15	1000	28	161	<$>125698</>	300	26	-6452	-2755	17600	btl_coim01	0	0	OUTSIDE	2200	200
10022	FLD_PTV-BTL_PTV01	1069	-9679	-1498	fld_ptv	109	1000	32	-436	<$>125700</>	200	246	6129	-25684	3323	btl_ptv01	0	0	OUTSIDE	2200	200
10023	BTL_PTV01-FLD_PTV	6274	-27213	2931	btl_ptv01	83	1000	44	-103	<$>125699</>	230	289	956	-8474	-2006	fld_ptv	-20	0	OUTSIDE	2200	200
10024	BTL_PTV01-FLD_AUCH	4022	1742	-136995	btl_ptv01	46	1000	48	-697	<$>10118</>	400	153	574	19530	-15314	fld_auch	0	0	OUTSIDE	2200	400
10025	FLD_AUCH-BTL_PTV01	641	20094	-16440	fld_auch	340	1000	30	-766	<$>125700</>	220	220	4022	2841	-136503	btl_ptv01	-37	0	OUTSIDE	2200	200
10026	FLD_AUCH-BTL_AUCH01	2900	-15764	-2391	fld_auch	67	1000	40	-151	<$>125701</>	250	347	-5494	7831	28159	btl_auch01	40	0	OUTSIDE	2200	200
10027	BTL_AUCH01-FLD_AUCH	-5319	7543	29306	btl_auch01	162	1000	35	-423	<$>10118</>	350	258	2861	-14626	-1978	fld_auch	42	-15	OUTSIDE	2200	200
10028	BTL_AUCH01-BTL_JAQ02	-6196	-2515	-30344	btl_auch01	322	1000	22	-293	<$>125702</>	200	113	3551	36325	-9543	btl_jaq02	0	0	OUTSIDE	2200	200
10029	BTL_JAQ02-BTL_AUCH01	3576	37405	-10294	btl_jaq02	286	1000	26	50	<$>125701</>	600	149	-6117	-3194	-29381	btl_auch01	-70	0	OUTSIDE	2200	200
10030	BTL_JAQ02-FLD_JAQ	2894	-32086	22745	btl_jaq02	116	1000	20	-217	<$>125703</>	600	38	1329	13581	-1951	fld_jaq	0	0	OUTSIDE	2200	200
10031	FLD_JAQ-BTL_JAQ02	1332	14197	-1615	fld_jaq	219	1000	25	-481	<$>125702</>	400	319	2902	-30544	22091	btl_jaq02	-15	0	OUTSIDE	2200	200
10032	FLD_JAQ-BTL_JAQ01	307	-2177	-21618	fld_jaq	12	1000	24	-227	<$>125704</>	400	65	262	3613	21851	btl_jaq01	0	0	OUTSIDE	2200	200
10033	BTL_JAQ01-FLD_JAQ	258	5129	23177	btl_jaq01	233	1000	24	-724	<$>125703</>	550	200	353	-1731	-20270	fld_jaq	0	0	OUTSIDE	2200	200
10034	BTL_JAQ01-BTL_REB02	297	-20823	-15063	btl_jaq01	120	750	28	-499	<$>63840</>	400	340	-5882	-3883	31572	btl_reb02	0	0	OUTSIDE	2200	200
10035	BTL_REB02-BTL_JAQ01	-5887	-4351	32612	btl_reb02	160	940	12	2389	<$>125704</>	200	324	307	-19667	-16144	btl_jaq01	0	0	OUTSIDE	2200	200
10036	BTL_REB02-BTL_REB03	-8308	-12899	-25389	btl_reb02	323	1000	13	611	<$>63841</>	200	25	-1964	-6948	15101	btl_reb03	0	0	OUTSIDE	2200	200
10037	BTL_REB03-BTL_REB02	-2069	-7743	15460	btl_reb03	126	487	42	-341	<$>63840</>	200	141	-8299	-13697	-24475	btl_reb02	45	0	OUTSIDE	2200	200
10038	BTL_REB03-FLD_REB	-2405	18110	-14909	btl_reb03	261	1000	30	-488	<$>47338</>	200	305	1564	2342	-7206	fld_reb	0	0	OUTSIDE	2200	200
10039	FLD_REB-BTL_REB03	1601	3291	-7699	fld_reb	300	1000	9	-266	<$>63841</>	200	187	-2134	16060	-15199	btl_reb03	25	0	OUTSIDE	2200	200
10040	FLD_COIM-BTL_TTR01	-2109	-32002	-7007	fld_coim	60	1000	25	93	<$>125705</>	200	180	-4422	13971	-13732	btl_ttr01	0	0	OUTSIDE	2200	200
10041	BTL_TTR01-FLD_COIM	-4416	14756	-13674	btl_ttr01	270	1000	28	-400	<$>47350</>	200	68	-2167	-314	-6338	fld_coim	0	0	OUTSIDE	2200	200
10042	BTL_TTR01-FLD_TTR	-3842	34080	30269	btl_ttr01	220	1000	42	171	<$>125706</>	300	0	2093	-8019	19496	fld_ttr	-20	-30	OUTSIDE	2200	200
10043	FLD_TTR-BTL_TTR01	2483	-7424	20735	fld_ttr	220	1000	33	131	<$>125705</>	300	74	-3916	33443	29603	btl_ttr01	0	0	OUTSIDE	2200	200
10044	FLD_AUCH-AUCH_BASIC	30	1704	1924	fld_auch	270	1000	30	-3	<$>3977</>	200	175	1477	2826	-11911	auch_basic	0	-30	INSIDE	2200	200
10045	AUCH_BASIC-FLD_AUCH	1650	2821	-13874	auch_basic	355	1000	40	92	<$>10118</>	200	83	22	734	1841	fld_auch	0	0	OUTSIDE	2200	200
10046	FLD_AUCH-BTL_AUCH02	790	-2820	-17524	fld_auch	14	1000	26	-195	<$>125707</>	220	26	-4502	2671	8311	btl_auch02	-25	0	OUTSIDE	2200	200
10047	BTL_AUCH02-FLD_AUCH	-4495	3263	9573	btl_auch02	206	1000	21	-370	<$>10118</>	500	189	790	-2729	-16651	fld_auch	0	0	OUTSIDE	2200	200
10048	BTL_AUCH02-FLD_TOR	-1868	-34822	-33737	btl_auch02	36	1000	42	11	<$>125708</>	200	95	-5876	5564	-57305	fld_tor	50	0	OUTSIDE	2200	200
10049	FLD_TOR-BTL_AUCH02	-5758	5781	-58532	fld_tor	330	1000	33	-44	<$>63846</>	900	219	-2064	-34233	-32602	btl_auch02	0	0	OUTSIDE	2200	200
10050	FLD_ALQ-DUN_ALQ01	389	256	10484	fld_alq	182	1000	35	6	<$>125709</>	300	0	-900	-27596	17712	dun_alq01	0	0	INSIDE	2200	200
10051	FLD_TTR-DUN_TTR01	1191	3263	320	fld_ttr	275	1000	52	11	<$>125710</>	300	184	382	-32916	-8	dun_ttr01	70	7	INSIDE	2200	200
10052	FLD_PTV-DUN_PTV01	932	-12491	5810	fld_ptv	96	1000	27	267	<$>125711</>	300	287	-400	-39218	-2008	dun_ptv01	0	0	INSIDE	2200	200
10053	FLD_JAQ-DUN_JAQ01	3603	-1548	9932	fld_jaq	142	1000	47	-93	<$>125712</>	200	272	0	15912	-36864	dun_jaq01	85	-15	INSIDE	2200	200
10054	FLD_TOR-DUN_TOR01	-8134	5245	-26585	fld_tor	180	1000	25	-92	<$>125713</>	250	267	-960	-21838	-18	dun_tor01	0	-28	INSIDE	2200	200
10055	BTL_REB04-BTL_REB05	5190	2150	23396	btl_reb04	190	750	33	-27	<$>63852</>	200	330	2723	-4613	-15346	btl_reb05	0	0	OUTSIDE	2200	200
10056	BTL_REB05-BTL_REB04	2688	-5146	-16334	btl_reb05	30	940	27	177	<$>125694</>	200	167	5163	1960	22181	btl_reb04	0	0	OUTSIDE	2200	200
10057	BTL_REB03-BTL_REB06	-2249	23066	6610	btl_reb03	300	487	24	-288	<$>63853</>	400	62	-236	-11150	-14146	btl_reb06	0	0	OUTSIDE	2200	200
10058	BTL_REB06-BTL_REB03	-90	-10133	-14857	btl_reb06	300	1000	27	-283	<$>63841</>	350	67	-2356	21958	7022	btl_reb03	10	0	OUTSIDE	2200	200
10059	BTL_ALQ01-BTL_ALQ02	1265	15739	8110	btl_alq01	335	1000	28	-280	<$>125714</>	200	85	-3535	27814	-19031	btl_alq02	0	0	OUTSIDE	2200	200
10060	BTL_ALQ02-BTL_ALQ01	-3530	29080	-18999	btl_alq02	268	1000	26	-334	<$>125696</>	200	14	1249	15385	9275	btl_alq01	-20	0	OUTSIDE	2200	200
10061	BTL_REB05-BTL_ALQ02	2561	265	32618	btl_reb05	90	940	36	-426	<$>125714</>	500	277	-373	-37232	16316	btl_alq02	0	0	OUTSIDE	2200	200
10062	BTL_ALQ02-BTL_REB05	-299	-38097	16160	btl_alq02	95	940	23	267	<$>63852</>	300	264	2561	1375	32716	btl_reb05	18	0	OUTSIDE	2200	200
10063	BTL_PTV01-BTL_PTV02	5523	-7508	9029	btl_ptv01	150	1000	23	9	<$>125715</>	400	4	-5186	-6592	-24910	btl_ptv02	110	-16	OUTSIDE	2200	200
10064	BTL_PTV02-BTL_PTV01	-5170	-6442	-27403	btl_ptv02	0	750	22	-532	<$>125700</>	900	206	5445	-6947	7964	btl_ptv01	0	0	OUTSIDE	2200	200
10065	FLD_AUCH-BTL_AUCH03	534	6639	-18410	fld_auch	46	1000	19	-38	<$>125716</>	200	318	961	-13619	-13715	btl_auch03	25	4	OUTSIDE	2200	200
10066	BTL_AUCH03-FLD_AUCH	1057	-14125	-14283	btl_auch03	39	487	34	-41	<$>10118</>	300	318	550	7236	-17688	fld_auch	0	0	OUTSIDE	2200	200
10067	BTL_JAQ02-BTL_JAQ04	795	-11342	-46395	btl_jaq02	35	750	52	168	<$>125717</>	1000	168	1461	-10740	20968	btl_jaq04	0	0	OUTSIDE	2200	200
10068	BTL_JAQ04-BTL_JAQ02	1804	-10420	22535	btl_jaq04	190	940	12	-28	<$>125702</>	350	326	795	-10570	-45578	btl_jaq02	0	-30	OUTSIDE	2200	200
10069	BTL_JAQ04-BTL_JAQ03	-1001	-11955	-17327	btl_jaq04	97	487	28	-84	<$>125718</>	250	254	-1127	-22482	54055	btl_jaq03	0	0	OUTSIDE	2200	200
10070	BTL_JAQ03-BTL_JAQ04	-1125	-23958	54231	btl_jaq03	85	750	36	-86	<$>125717</>	400	255	-983	-11000	-17667	btl_jaq04	-55	0	OUTSIDE	2200	200
10071	BTL_JAQ01-BTL_JAQ03	1337	14143	-4446	btl_jaq01	256	1000	25	-347	<$>125718</>	600	358	-4809	633	-13507	btl_jaq03	0	0	OUTSIDE	2200	200
10072	BTL_JAQ03-BTL_JAQ01	-4848	232	-14776	btl_jaq03	7	487	17	-247	<$>125704</>	700	101	1234	12829	-4757	btl_jaq01	0	0	OUTSIDE	2200	200
10073	BTL_AUCH03-BTL_JAQ04	475	6962	-13209	btl_auch03	330	1000	38	-301	<$>125717</>	500	50	-952	1938	-17287	btl_jaq04	0	0	OUTSIDE	2200	200
10074	BTL_JAQ04-BTL_AUCH03	-951	3395	-18089	btl_jaq04	278	1000	26	-324	<$>125716</>	400	31	475	6494	-12359	btl_auch03	25	1	OUTSIDE	2200	200
10075	BTL_TTR01-BTL_TTR03	-3036	25804	-7789	btl_ttr01	270	1000	26	-324	<$>125719</>	400	31	321	-7793	-6159	btl_ttr03	25	1	OUTSIDE	2200	200
10076	BTL_TTR03-BTL_TTR01	310	-8489	-7009	btl_ttr03	44	1000	26	-324	<$>125705</>	400	31	-3035	24487	-7218	btl_ttr01	25	1	OUTSIDE	2200	200
10077	FLD_TTR-BTL_TTR03	-1999	7272	-22330	fld_ttr	335	1000	26	-324	<$>125719</>	400	31	3917	-34739	5150	btl_ttr03	25	1	OUTSIDE	2200	200
10078	BTL_TTR03-FLD_TTR	3913	-34751	4154	btl_ttr03	6	1000	26	-324	<$>125706</>	400	184	-1985	5855	-20986	fld_ttr	25	1	OUTSIDE	2200	200
10079	btl_reb05-btl_tbk01	2536	19770	-9412	btl_reb05	266	1000	34	467	<$>63860</>	500	97	-668	-15815	-17798	btl_tbk01	25	0	OUTSIDE	2200	200
10080	btl_tbk01-btl_reb05	-1024	-16619	-18835	btl_tbk01	48	1000	18	1	<$>63852</>	300	92	2596	18439	-9590	btl_reb05	0	0	OUTSIDE	2200	200
10081	btl_tbk02-btl_tbk01	-173	63	17352	btl_tbk02	206	1000	18	1	<$>63860</>	400	92	-112	-12067	14905	btl_tbk01	10	-32	OUTSIDE	2200	200
10082	btl_tbk01-btl_tbk02	-337	-13063	15920	btl_tbk01	135	1000	18	1	<$>63861</>	400	92	-120	-734	16526	btl_tbk02	-20	-30	OUTSIDE	2200	200
10083	btl_tbk03-btl_tbk01	-1412	-9220	-23774	btl_tbk03	53	1000	18	1	<$>63860</>	500	92	-1317	10621	20533	btl_tbk01	0	0	OUTSIDE	2200	200
10084	btl_tbk01-btl_tbk03	-1976	11860	21735	btl_tbk01	-131	1000	18	1	<$>63862</>	300	92	-1550	-8584	-22570	btl_tbk03	0	-30	OUTSIDE	2200	200
10085	btl_tbk02-btl_jaq04	-20	14233	-14335	btl_tbk02	360	1000	18	1	<$>125717</>	500	92	7044	-5266	27265	btl_jaq04	0	0	OUTSIDE	2200	200
10086	btl_jaq04-btl_tbk02	7046	-5288	28126	btl_jaq04	181	1000	18	1	<$>63861</>	200	92	-221	13457	-13448	btl_tbk02	0	-30	OUTSIDE	2200	200
10087	btl_tbk02-btl_reb06	-56	15906	6138	btl_tbk02	170	1000	18	1	<$>63853</>	600	97	1357	-13021	-32017	btl_reb06	0	-30	OUTSIDE	2200	200
10088	btl_reb06-btl_tbk02	1471	-12596	-32615	btl_reb06	-26	1000	18	1	<$>63861</>	400	92	-99	16477	5099	btl_tbk02	40	0	OUTSIDE	2200	200
10089	btl_tbk02-btl_tbk03	-2	-16520	10632	btl_tbk02	86	1000	34	467	<$>63862</>	400	97	187	-30442	9750	btl_tbk03	-25	0	OUTSIDE	2200	200
10090	btl_tbk03-btl_tbk02	0	-32040	9344	btl_tbk03	33	1000	18	1	<$>63861</>	500	92	60	-15413	10824	btl_tbk02	50	-30	OUTSIDE	2200	200
10091	btl_ttr03-btl_tbk03	316	33404	9630	btl_ttr03	271	1000	18	1	<$>63862</>	500	92	-2109	12043	-20891	btl_tbk03	-30	-32	OUTSIDE	2200	200
10092	btl_tbk03-btl_ttr03	-2253	13593	-21411	btl_tbk03	-60	1000	18	1	<$>125719</>	400	92	188	32301	9729	btl_ttr03	0	0	OUTSIDE	2200	200
10093	btl_ptv02-btl_tbk03	-706	23417	-2348	btl_ptv02	-2	1000	18	1	<$>63862</>	400	92	43	20017	-8358	btl_tbk03	0	0	OUTSIDE	2200	200
10094	btl_tbk03-btl_ptv02	-382	21472	-9401	btl_tbk03	304	1000	18	1	<$>125715</>	400	92	-706	23222	-264	btl_ptv02	-70	0	OUTSIDE	2200	200
10095	btl_auch03-btl_tbk03	2112	6232	22066	btl_auch03	175	1000	18	1	<$>63862</>	500	92	1930	17156	15151	btl_tbk03	0	-32	OUTSIDE	2200	200
10096	btl_tbk03-btl_auch03	1700	18658	15281	btl_tbk03	-90	1000	18	1	<$>125716</>	500	92	2100	6254	21002	btl_auch03	-30	-30	OUTSIDE	2200	200
10097	btl_ptv02-btl_coim02	5190	8789	-15825	btl_ptv02	310	1000	18	1	<$>125720</>	400	92	1207	-25449	13740	btl_coim02	0	0	OUTSIDE	2200	200
10098	btl_coim02-btl_ptv02	1207	-26162	14764	btl_coim02	146	1000	18	1	<$>125715</>	200	92	4995	8360	-15171	btl_ptv02	0	0	OUTSIDE	2200	200
10099	btl_coim01-btl_coim02	-1860	-11454	-13102	btl_coim01	145	1000	18	1	<$>125720</>	300	92	3157	13147	-24941	btl_coim02	0	-32	OUTSIDE	2200	200
10100	btl_coim02-btl_coim01	3128	14185	-25300	btl_coim02	296	1000	18	1	<$>125698</>	200	92	-1796	-10975	-13607	btl_coim01	-50	0	OUTSIDE	2200	200
10101	btl_bah04-btl_bah03	-85	-3020	-1106	btl_bah04	52	1000	45	363	<$>152121</>	400	181	337	1255	23684	btl_bah03	40	0	OUTSIDE	2200	200
10102	btl_bah03-btl_bah02	485	17909	-14239	btl_bah03	10	200	43	538	<$>152122</>	400	133	241	-23551	4306	btl_bah02	0	0	OUTSIDE	2200	200
10103	btl_bah03-btl_bah01	1085	-4990	-24325	btl_bah03	20	1000	13	354	<$>152123</>	400	0	-85	-27854	19796	btl_bah01	0	0	OUTSIDE	2200	200
10104	btl_bah03-btl_bah04	337	1224	25466	btl_bah03	190	575	33	270	<$>152124</>	200	95	-85	-1893	-268	btl_bah04	-25	0	OUTSIDE	2200	200
10105	btl_bah01-btl_bah02	-85	-6281	-371	btl_bah01	320	1000	34	7	<$>152122</>	300	299	126	-16661	-17044	btl_bah02	-50	-32	OUTSIDE	2200	200
10106	btl_bah01-bah_basic	-85	-33779	-6270	btl_bah01	45	1000	38	426	<$>54294</>	300	112	133	3633	13310	bah_basic	0	-30	OUTSIDE	2200	200
10107	btl_bah01-btl_bah03	-85	-30905	23024	btl_bah01	115	1000	47	-5	<$>152121</>	400	0	953	-4511	-22646	btl_bah03	0	0	OUTSIDE	2200	200
10108	btl_bah02-btl_bah03	205	-24266	5004	btl_bah02	135	1000	23	360	<$>152121</>	800	0	435	18011	-12198	btl_bah03	60	-30	OUTSIDE	2200	200
10109	btl_bah02-btl_bah01	125	-17824	-17898	btl_bah02	53	1000	25	-142	<$>152123</>	800	347	-85	-6888	405	btl_bah01	0	0	OUTSIDE	2200	200
10110	bah_basic-btl_bah01	136	3626	13550	bah_basic	237	1000	35	-51	<$>152123</>	200	92	-85	-32771	-5827	btl_bah01	0	0	OUTSIDE	2200	200
10111	bah_old-btl_bah03	0	668	-530	bah_old	275	1000	43	154	<$>152121</>	200	0	1933	1876	2493	btl_bah03	0	0	OUTSIDE	2200	200
10112	bah_witchin-bah_witch	1	-274	2	bah_witchin	85	1000	52	11	<$>47519</>	100	94	3636	-3434	860	bah_witch	0	0	OUTSIDE	2200	200
10113	bah_basic-btl_ust04	262	-2458	1601	bah_basic	50	1000	52	11	<$>125721</>	600	92	-3840	-20860	24923	btl_ust04	0	0	OUTSIDE	2200	200
10114	btl_ust04-bah_basic	-3828	-23102	25087	btl_ust04	50	1000	52	11	<$>54294</>	600	92	147	-1328	2851	bah_basic	0	0	INSIDE	2200	200
10115	bah_witch-btl_bah03	862	2351	-2843	bah_witch	310	1000	52	11	<$>152121</>	600	329	1013	4580	3590	btl_bah03	0	0	OUTSIDE	2200	200
10116	reb_basic-start_palace_02	0	0	0	None	0	1000	52	11	<$>47849</>	600	460	0	-1	-1	start_palace_02	0	0	OUTSIDE	2200	200
10117	start_palace_02-reb_basic	0	-2	-1197	start_palace_02	360	1000	52	11	<$>3976</>	200	480	12	-5050	17752	reb_basic	0	0	OUTSIDE	2200	200
10118	BTL_REB01-FLD_REB	-1948	-6811	-15556	btl_reb01	83	1000	34	7	<$>47338</>	300	270	1215	-1902	-7341	fld_reb	0	0	OUTSIDE	2200	200
10119	btl_bah05-btl_bah06	-636	-12513	22962	btl_bah05	90	1000	34	7	<$>110841</>	600	0	789	1096	-14960	btl_bah06	0	-30	OUTSIDE	2200	200
10120	btl_bah06-btl_bah05	689	1765	-16649	btl_bah06	0	1000	34	7	<$>106356</>	600	0	-649	-11317	23092	btl_bah05	0	0	OUTSIDE	2200	200
10121	Rank-FLD_COIM	-1040	32369	23276	btl_ttr02	265	778	28	720	<$>47350</>	650	197	783	-17356	4902	fld_coim	-30	-30	OUTSIDE	2200	200
11000	fld_arm-arm_basic	127	3978	325	fld_arm	270	1000	5	0	<$>106355</>	400	0	11	0	-12286	arm_basic	0	0	OUTSIDE	2200	200
11001	arm_basic-fld_arm	11	0	-13725	arm_basic	0	1000	10	-630	<$>114034</>	400	0	9	2731	366	fld_arm	0	0	OUTSIDE	2200	200
11002	fld_arm-btl_arm01	9	-8498	-1239	fld_arm	90	1000	15	-88	<$>114035</>	200	0	2202	-22423	-3547	btl_arm01	0	0	OUTSIDE	2200	200
11003	btl_arm01-fld_arm	2152	-23523	-3362	btl_arm01	90	1000	15	270	<$>114034</>	300	0	9	-7561	-1261	fld_arm	0	0	OUTSIDE	2200	200
11004	arm_basic-arm_cath1	282	0	3430	arm_basic	180	1000	15	0	<$>114033</>	600	0	435	0	-14896	arm_cathedral	0	-30	INSIDE	2200	200
11006	arm_cath-arm_basic1	887	0	-16738	arm_cathedral	0	1000	15	180	<$>106355</>	400	0	271	0	1718	arm_basic	0	0	OUTSIDE	2200	200
11008	bst_lab_fld_arm	0	0	0	None	0	1000	25	90	None	200	0	9	-4986	-1230	fld_arm	0	0	None	1100	200
11009	arm_basic_arm_dunbasic	0	0	0	None	0	1000	15	250	None	200	0	36	-14913	2680	arm_dunbasic	0	0	None	2200	200
11010	arm_dunbasic_arm_basic	32	-17403	3066	arm_dunbasic	100	1000	15	180	<$>106355</>	600	0	-14	8690	8451	arm_basic	0	0	OUTSIDE	2200	200
11011	arm_dunbasic_dun_arm01	39	-12335	-3684	arm_dunbasic	-20	1000	15	230	<$>114036</>	700	0	29	-8414	-10222	dun_arm01	58	1	OUTSIDE	2200	200
11012	dun_arm01_arm_dunbasic	50	-9465	-8972	dun_arm01	140	1000	15	15	<$>114037</>	500	0	39	-12652	-2745	arm_dunbasic	-65	-30	INSIDE	2200	200
11013	dun_arm01_cash-arm_basic	0	0	0	None	87	1000	25	-297	<$>106355</>	100	0	-14	8690	9183	arm_basic	0	0	NPC	2200	200
11014	arm_basic-dun_arm01_cash(1)	0	0	0	None	311	1000	15	15	<$>118585</>	500	0	29	-8498	-10138	dun_arm01_cash	0	0	NPC	2200	200
11015	arm_basic-dun_arm01_cash(2)	0	0	0	None	270	1000	15	15	<$>118586</>	500	0	500	0	-2740	dun_arm01_cash	0	0	NPC	2200	200
11016	arm_basic-dun_arm01_cash(3)	0	0	0	None	88	1000	15	15	<$>118587</>	500	0	-181	4736	-12904	dun_arm01_cash	0	0	NPC	2200	200
11017	arm_basic-dun_arm01_cash(4)	0	0	0	None	105	1000	15	15	<$>118588</>	500	0	39	13068	1708	dun_arm01_cash	0	0	NPC	2200	200
11018	dun_arm01-dun_arm02	0	0	0	None	267	1000	15	15	None	500	0	263	-10	18126	dun_arm02	0	0	INSIDE	2200	200
11019	dun_arm02-dun_arm01	271	2	19148	dun_arm02	180	1000	15	15	<$>114036</>	500	0	90	-4	-31487	dun_arm01	0	-32	INSIDE	2200	200
11020	dun_arm03-dun_arm02	-593	16075	119	dun_arm02	270	1000	15	15	<$>129026</>	300	0	1987	20	-10668	dun_arm03	0	0	INSIDE	2200	200
11021	dun_arm02-dun_arm03	2006	6	-11382	dun_arm03	0	1000	15	15	<$>125265</>	300	0	-578	15706	1029	dun_arm02	0	0	INSIDE	2200	200
11022	dun_arm02-dun_arm04	2013	17	-23404	dun_arm04	0	1000	15	15	<$>125265</>	500	0	-578	-15775	-808	dun_arm02	0	0	INSIDE	2200	200
11023	dun_arm04-dun_arm02	-593	-16100	107	dun_arm02	90	1000	15	15	<$>132032</>	400	0	1995	12	-21561	dun_arm04	0	0	INSIDE	2200	200
11024	dun_arm05_blue-dun_arm02	-1435	-4	-15945	dun_arm02	0	1000	15	15	<$>136967</>	300	180	0	-2	11825	dun_arm05_blue	0	0	INSIDE	2200	200
11025	dun_arm02-dun_arm05_blue	0	13	12728	dun_arm05_blue	180	1000	15	15	<$>125265</>	400	0	-1431	3	-15371	dun_arm02	0	-30	INSIDE	2200	200
11026	dun_arm05_blue-dun_arm05_red	8	0	-4549	dun_arm05_blue	0	1000	15	15	<$>139634</>	400	180	284	-4	7909	dun_arm05_red	0	0	INSIDE	2200	200
11027	dun_arm05_red-dun_arm05_blue	284	6	8665	dun_arm05_red	180	1000	15	15	<$>136967</>	400	0	8	3	-3845	dun_arm05_blue	0	-30	INSIDE	2200	200
11028	btl_arm01-btl_bedel	4226	22926	-90	btl_arm01	329	1000	15	15	<$>171711</>	400	0	177	14075	9834	btl_bedel01	0	-30	INSIDE	2200	200
12000	btl_bedel01-btl_arm01	334	15609	9910	btl_bedel01	270	1000	5	0	<$>114035</>	400	0	4218	22403	408	btl_arm01	0	0	OUTSIDE	2200	200
12001	btl_bedel01-bedel_basic	-35	-15210	11346	btl_bedel01	90	1000	10	0	<$>171710</>	400	0	238	-81	-9014	bedel_basic	0	0	INSIDE	2200	200
12002	bedel_basic-btl_bedel01	238	15	-9704	bedel_basic	360	1000	10	0	<$>171711</>	400	0	-35	-14320	11323	btl_bedel01	0	0	OUTSIDE	2200	200
