CancelOpt	CancelOptScript	ClassID	ClassName	DirectMissionSet	MailCheck	MailProperty	QuestCondition	QuestName	QuestType	QuitOpt	QuitOptScript	RandomItem1	RandomItem2	RandomItem3	RandomItem4	RandomItemRate1	RandomItemRate2	RandomItemRate3	RandomItemRate4	RandomItemValue1	RandomItemValue2	RandomItemValue3	RandomItemValue4	RewardType	SelectItem1	SelectItem2	SelectItem3	SelectItem4	SelectItem5	SelectItemValue1	SelectItemValue2	SelectItemValue3	SelectItemValue4	SelectItemValue5	StartItem	StartItemValue	StartJobType	StartLv	StartLvType	StartOpt	StartOptScript	StartProperty	StartPropertyValue
YES	None	16	Nquest_00016_set	None	YES	Nquest_00016	<$>52124</>	<$>52125</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	35	MaxLv	YES	None	None	0
YES	None	17	Nquest_00017_set	None	YES	Nquest_00017	<$>52127</>	<$>52126</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	36	MaxLv	YES	None	None	0
YES	None	18	Nquest_00018_set	None	YES	Nquest_00018	<$>52129</>	<$>52128</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	41	MaxLv	YES	None	None	0
YES	None	19	Nquest_00019_set	None	YES	Nquest_00019	<$>52131</>	<$>52130</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	37	MaxLv	YES	None	None	0
YES	None	20	Nquest_00020_set	None	YES	Nquest_00020	<$>52131</>	<$>52132</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	37	MaxLv	YES	None	None	0
YES	None	21	Nquest_00021_set	None	YES	Nquest_00021	<$>52134</>	<$>52133</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	22	Nquest_00022_set	None	YES	Nquest_00022	<$>52134</>	<$>52135</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	23	Nquest_00023_set	None	YES	Nquest_00023	<$>52134</>	<$>52136</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	24	Nquest_00024_set	None	YES	Nquest_00024	<$>52134</>	<$>52137</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	25	Nquest_00025_set	None	YES	Nquest_00025	<$>52134</>	<$>52138</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	26	Nquest_00026_set	None	YES	Nquest_00026	<$>52140</>	<$>52139</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	40	MaxLv	YES	None	None	0
YES	None	27	Nquest_00027_set	None	YES	Nquest_00027	<$>52140</>	<$>52141</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	40	MaxLv	YES	None	None	0
YES	None	28	Nquest_00028_set	None	YES	Nquest_00028	<$>52134</>	<$>52142</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	29	Nquest_00029_set	None	YES	Nquest_00029	<$>52134</>	<$>47183</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	38	MaxLv	YES	None	None	0
YES	None	30	Nquest_00030_set	None	YES	Nquest_00030	<$>52144</>	<$>52143</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	39	MaxLv	YES	None	None	0
YES	None	31	Nquest_00031_set	None	YES	Nquest_00031	<$>52129</>	<$>52145</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	41	MaxLv	YES	None	None	0
YES	None	32	Nquest_00032_set	None	YES	Nquest_00032	<$>52146</>	<$>47179</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	43	MaxLv	YES	None	None	0
YES	None	33	Nquest_00033_set	None	YES	Nquest_00033	<$>52148</>	<$>52147</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	45	MaxLv	YES	None	None	0
YES	None	34	Nquest_00034_set	None	YES	Nquest_00034	<$>52150</>	<$>52149</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	46	MaxLv	YES	None	None	0
YES	None	35	Nquest_00035_set	None	YES	Nquest_00035	<$>52152</>	<$>52151</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	47	MaxLv	YES	None	None	0
YES	None	36	Nquest_00036_set	None	YES	Nquest_00036	<$>52154</>	<$>52153</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	48	MaxLv	YES	None	None	0
YES	None	37	Nquest_00037_set	None	YES	Nquest_00037	<$>52154</>	<$>52155</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	48	MaxLv	YES	None	None	0
YES	None	38	Nquest_00038_set	None	YES	Nquest_00038	<$>52157</>	<$>52156</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	49	MaxLv	YES	None	None	0
YES	None	39	Nquest_00039_set	None	YES	Nquest_00039	<$>52159</>	<$>52158</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	50	MaxLv	YES	None	None	0
YES	None	40	Nquest_00040_set	None	YES	Nquest_00040	<$>52159</>	<$>52160</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	50	MaxLv	YES	None	None	0
YES	None	41	Nquest_00041_set	None	YES	Nquest_00041	<$>52159</>	<$>52161</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	50	MaxLv	YES	None	None	0
YES	None	42	Nquest_00042_set	None	YES	Nquest_00042	<$>52163</>	<$>52162</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	52	MaxLv	YES	None	None	0
YES	None	43	Nquest_00043_set	None	YES	Nquest_00043	<$>52165</>	<$>52164</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	53	MaxLv	YES	None	None	0
YES	None	44	Nquest_00044_set	None	YES	Nquest_00044	<$>52163</>	<$>47148</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	52	MaxLv	YES	None	None	0
YES	None	45	Nquest_00045_set	None	YES	Nquest_00045	<$>52163</>	<$>52166</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	52	MaxLv	YES	None	None	0
YES	None	46	Nquest_00046_set	None	YES	Nquest_00046	<$>52165</>	<$>52167</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	53	MaxLv	YES	None	None	0
YES	None	47	Nquest_00047_set	None	YES	Nquest_00047	<$>52165</>	<$>47149</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	53	MaxLv	YES	None	None	0
YES	None	48	Nquest_00048_set	None	YES	Nquest_00048	<$>52168</>	<$>47150</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	55	MaxLv	YES	None	None	0
YES	None	49	Nquest_00049_set	None	YES	Nquest_00049	<$>52170</>	<$>52169</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	56	MaxLv	YES	None	None	0
YES	None	50	Nquest_00050_set	None	YES	Nquest_00050	<$>52165</>	<$>52171</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	53	MaxLv	YES	None	None	0
YES	None	51	Nquest_00051_set	None	YES	Nquest_00051	<$>52170</>	<$>52172</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	56	MaxLv	YES	None	None	0
YES	None	52	Nquest_00052_set	None	YES	Nquest_00052	<$>52174</>	<$>52173</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	58	MaxLv	YES	None	None	0
YES	None	53	Nquest_00053_set	None	YES	Nquest_00053	<$>52174</>	<$>52175</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	58	MaxLv	YES	None	None	0
YES	None	54	Nquest_00054_set	None	YES	Nquest_00054	<$>52177</>	<$>52176</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	59	MaxLv	YES	None	None	0
YES	None	55	Nquest_00055_set	None	YES	Nquest_00055	<$>52177</>	<$>52178</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	59	MaxLv	YES	None	None	0
YES	None	56	Nquest_00056_set	None	YES	Nquest_00056	<$>52180</>	<$>52179</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	57	Nquest_00057_set	None	YES	Nquest_00057	<$>52180</>	<$>52181</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	58	Nquest_00058_set	None	YES	Nquest_00058	<$>52180</>	<$>47112</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	59	Nquest_00059_set	None	YES	Nquest_00059	<$>52180</>	<$>47113</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	60	Nquest_00060_set	None	YES	Nquest_00060	<$>52180</>	<$>52182</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	61	Nquest_00061_set	None	YES	Nquest_00061	<$>52180</>	<$>52183</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	62	Nquest_00062_set	None	YES	Nquest_00062	<$>52180</>	<$>47111</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	63	Nquest_00063_set	None	YES	Nquest_00063	<$>52185</>	<$>52184</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	4	MaxLv	YES	None	None	0
YES	None	64	Nquest_00064_set	None	YES	Nquest_00064	<$>52180</>	<$>47114</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	65	Nquest_00065_set	None	YES	Nquest_00065	<$>52186</>	<$>47115</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	2	MaxLv	YES	None	None	0
YES	None	66	Nquest_00066_set	None	YES	Nquest_00066	<$>52186</>	<$>52187</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	2	MaxLv	YES	None	None	0
YES	None	67	Nquest_00067_set	None	YES	Nquest_00067	<$>52180</>	<$>52188</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	1	MaxLv	YES	None	None	0
YES	None	68	Nquest_00068_set	None	YES	Nquest_00068	<$>52190</>	<$>52189</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	3	MaxLv	YES	None	None	0
YES	None	69	Nquest_00069_set	None	YES	Nquest_00069	<$>52190</>	<$>47116</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	3	MaxLv	YES	None	None	0
YES	None	70	Nquest_00070_set	None	YES	Nquest_00070	<$>52185</>	<$>47117</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	4	MaxLv	YES	None	None	0
YES	None	71	Nquest_00071_set	None	YES	Nquest_00071	<$>52185</>	<$>47118</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	4	MaxLv	YES	None	None	0
YES	None	72	Nquest_00072_set	None	YES	Nquest_00072	<$>52192</>	<$>52191</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	5	MaxLv	YES	None	None	0
YES	None	73	Nquest_00073_set	None	YES	Nquest_00073	<$>52193</>	<$>47122</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	12	MaxLv	YES	None	None	0
YES	None	74	Nquest_00074_set	None	YES	Nquest_00074	<$>52195</>	<$>52194</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	13	MaxLv	YES	None	None	0
YES	None	75	Nquest_00075_set	None	YES	Nquest_00075	<$>52197</>	<$>52196</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	14	MaxLv	YES	None	None	0
YES	None	76	Nquest_00076_set	None	YES	Nquest_00076	<$>52197</>	<$>52198</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	14	MaxLv	YES	None	None	0
YES	None	77	Nquest_00077_set	None	YES	Nquest_00077	<$>52200</>	<$>52199</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	15	MaxLv	YES	None	None	0
YES	None	78	Nquest_00078_set	None	YES	Nquest_00078	<$>52200</>	<$>52201</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	15	MaxLv	YES	None	None	0
YES	None	79	Nquest_00079_set	None	YES	Nquest_00079	<$>52200</>	<$>52202</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	15	MaxLv	YES	None	None	0
YES	None	80	Nquest_00080_set	None	YES	Nquest_00080	<$>52203</>	<$>47123</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	17	MaxLv	YES	None	None	0
YES	None	81	Nquest_00081_set	None	YES	Nquest_00081	<$>52205</>	<$>52204</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	18	MaxLv	YES	None	None	0
YES	None	82	Nquest_00082_set	None	YES	Nquest_00082	<$>52206</>	<$>47124</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	19	MaxLv	YES	None	None	0
YES	None	83	Nquest_00083_set	None	YES	Nquest_00083	<$>52208</>	<$>52207</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	20	MaxLv	YES	None	None	0
YES	None	84	Nquest_00084_set	None	YES	Nquest_00084	<$>52208</>	<$>47127</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	20	MaxLv	YES	None	None	0
YES	None	85	Nquest_00085_set	None	YES	Nquest_00085	<$>52208</>	<$>52209</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	20	MaxLv	YES	None	None	0
YES	None	86	Nquest_00086_set	None	YES	Nquest_00086	<$>52210</>	<$>47126</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	21	MaxLv	YES	None	None	0
YES	None	87	Nquest_00087_set	None	YES	Nquest_00087	<$>52210</>	<$>52211</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	21	MaxLv	YES	None	None	0
YES	None	88	Nquest_00088_set	None	YES	Nquest_00088	<$>52210</>	<$>52212</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	21	MaxLv	YES	None	None	0
YES	None	89	Nquest_00089_set	None	YES	Nquest_00089	<$>52214</>	<$>52213</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	24	MaxLv	YES	None	None	0
YES	None	90	Nquest_00090_set	None	YES	Nquest_00090	<$>52214</>	<$>52215</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	24	MaxLv	YES	None	None	0
YES	None	91	Nquest_00091_set	None	YES	Nquest_00091	<$>52216</>	<$>47128</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	25	MaxLv	YES	None	None	0
YES	None	92	Nquest_00092_set	None	YES	Nquest_00092	<$>52217</>	<$>47129</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	26	MaxLv	YES	None	None	0
YES	None	93	Nquest_00093_set	None	YES	Nquest_00093	<$>52217</>	<$>47130</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	26	MaxLv	YES	None	None	0
YES	None	94	Nquest_00094_set	None	YES	Nquest_00094	<$>52219</>	<$>52218</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	27	MaxLv	YES	None	None	0
YES	None	95	Nquest_00095_set	None	YES	Nquest_00095	<$>52221</>	<$>52220</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	28	MaxLv	YES	None	None	0
YES	None	96	Nquest_00096_set	None	YES	Nquest_00096	<$>52223</>	<$>52222</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	29	MaxLv	YES	None	None	0
YES	None	97	Nquest_00097_set	None	YES	Nquest_00097	<$>52223</>	<$>47131</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	29	MaxLv	YES	None	None	0
YES	None	98	Nquest_00098_set	None	YES	Nquest_00098	<$>52224</>	<$>47132</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	30	MaxLv	YES	None	None	0
YES	None	99	Nquest_00099_set	None	YES	Nquest_00099	<$>52226</>	<$>52225</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	31	MaxLv	YES	None	None	0
YES	None	100	Nquest_00100_set	None	YES	Nquest_00100	<$>52226</>	<$>47133</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	31	MaxLv	YES	None	None	0
YES	None	101	Nquest_00101_set	None	YES	Nquest_00101	<$>52227</>	<$>47136</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	32	MaxLv	YES	None	None	0
YES	None	102	Nquest_00102_set	None	YES	Nquest_00102	<$>52228</>	<$>47135</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	33	MaxLv	YES	None	None	0
YES	None	104	Nquest_00104_set	None	YES	Nquest_00104	<$>52229</>	<$>47140</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	42	MaxLv	YES	None	None	0
YES	None	105	Nquest_00105_set	None	YES	Nquest_00105	<$>52229</>	<$>47139</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	42	MaxLv	YES	None	None	0
YES	None	106	Nquest_00106_set	None	YES	Nquest_00106	<$>52229</>	<$>52230</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	42	MaxLv	YES	None	None	0
YES	None	107	Nquest_00107_set	None	YES	Nquest_00107	<$>52146</>	<$>52231</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	43	MaxLv	YES	None	None	0
YES	None	108	Nquest_00108_set	None	YES	Nquest_00108	<$>52232</>	<$>47141</>	Repetition	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	44	MaxLv	YES	None	None	0
YES	None	109	Nquest_00109_set	None	YES	Nquest_00109	<$>52232</>	<$>52233</>	Normal	NO	None	None	None	None	None	25	25	25	25	0	0	0	0	Normal	None	None	None	None	None	0	0	0	0	0	None	1	None	44	MaxLv	YES	None	None	0
