ChipCount	ChipType	ClassID	ClassName	Down	Grade	Rank	Stay	Up
0	21927 21926	177	Belt_g19r10	0	19	10	100	0
1	210060	178	Belt_g20r0	0	20	0	40	60
2	210060	179	Belt_g20r1	5	20	1	40	55
3	210060	180	Belt_g20r2	10	20	2	40	50
4	210060	181	Belt_g20r3	15	20	3	40	45
5	210060	182	Belt_g20r4	20	20	4	40	40
6	210060	183	Belt_g20r5	25	20	5	40	35
7	210060	184	Belt_g20r6	30	20	6	40	30
8	210060	185	Belt_g20r7	35	20	7	40	25
9	210060	186	Belt_g20r8	40	20	8	40	20
10	210060	187	Belt_g20r9	45	20	9	40	15
0	210060	188	Belt_g20r10	0	20	10	100	0
3	21927 21926	201	neck_g23r0	5	23	0	40	55
3	21927 21926	202	neck_g23r1	10	23	1	40	50
4	21927 21926	203	neck_g23r2	15	23	2	40	45
4	21927 21926	204	neck_g23r3	20	23	3	40	40
5	21927 21926	205	neck_g23r4	25	23	4	40	35
5	21927 21926	206	neck_g23r5	30	23	5	40	30
6	21927 21926	207	neck_g23r6	35	23	6	40	25
6	21927 21926	208	neck_g23r7	40	23	7	40	20
7	21927 21926	209	neck_g23r8	45	23	8	40	15
0	21927 21926	210	neck_g23r9	0	23	9	100	0
0	21927 21926	211	neck_g23r10	0	23	10	100	0
3	21931 21928	212	neck_g26r0	0	26	0	40	60
3	21931 21928	213	neck_g26r1	5	26	1	40	55
3	21931 21928	214	neck_g26r2	10	26	2	40	50
3	21931 21928	215	neck_g26r3	15	26	3	40	45
4	21931 21928	216	neck_g26r4	20	26	4	40	40
4	21931 21928	217	neck_g26r5	25	26	5	40	35
4	21931 21928	218	neck_g26r6	30	26	6	40	30
4	21931 21928	219	neck_g26r7	35	26	7	40	25
5	21931 21928	220	neck_g26r8	40	26	8	40	20
5	21931 21928	221	neck_g26r9	45	26	9	40	15
0	21931 21928	222	neck_g26r10	0	26	10	100	0
3	21927 21926	223	neck_g27r0	0	27	0	40	60
3	21927 21926	224	neck_g27r1	5	27	1	40	55
3	21927 21926	225	neck_g27r2	10	27	2	40	50
3	21927 21926	226	neck_g27r3	15	27	3	40	45
4	21927 21926	227	neck_g27r4	20	27	4	40	40
4	21927 21926	229	neck_g27r5	25	27	5	40	35
4	21927 21926	230	neck_g27r6	30	27	6	40	30
4	21927 21926	231	neck_g27r7	35	27	7	40	25
5	21927 21926	232	neck_g27r8	40	27	8	40	20
5	21927 21926	233	neck_g27r9	45	27	9	40	15
0	21927 21926	234	neck_g27r10	0	27	10	100	0
3	24110 24109	235	neck_g28r0	0	28	0	40	60
3	24110 24109	236	neck_g28r1	5	28	1	40	55
3	24110 24109	237	neck_g28r2	10	28	2	40	50
3	24110 24109	238	neck_g28r3	15	28	3	40	45
4	24110 24109	239	neck_g28r4	20	28	4	40	40
4	24110 24109	240	neck_g28r5	25	28	5	40	35
4	24110 24109	241	neck_g28r6	30	28	6	40	30
4	24110 24109	242	neck_g28r7	35	28	7	40	25
5	24110 24109	243	neck_g28r8	40	28	8	40	20
5	24110 24109	244	neck_g28r9	45	28	9	40	15
0	24110 24109	245	neck_g28r10	0	28	10	100	0
3	21927 21926	246	neck_g29r0	0	29	0	40	60
3	21927 21926	247	neck_g29r1	5	29	1	40	55
3	21927 21926	248	neck_g29r2	10	29	2	40	50
3	21927 21926	249	neck_g29r3	15	29	3	40	45
4	21927 21926	250	neck_g29r4	20	29	4	40	40
4	21927 21926	251	neck_g29r5	25	29	5	40	35
4	21927 21926	252	neck_g29r6	30	29	6	40	30
4	21927 21926	253	neck_g29r7	35	29	7	40	25
5	21927 21926	254	neck_g29r8	40	29	8	40	20
5	21927 21926	255	neck_g29r9	45	29	9	40	15
0	21927 21926	256	neck_g29r10	0	29	10	100	0
1	210060	257	neck_g30r0	0	30	0	40	60
2	210060	258	neck_g30r1	5	30	1	40	55
3	210060	259	neck_g30r2	10	30	2	40	50
4	210060	260	neck_g30r3	15	30	3	40	45
5	210060	261	neck_g30r4	20	30	4	40	40
6	210060	262	neck_g30r5	25	30	5	40	35
7	210060	263	neck_g30r6	30	30	6	40	30
8	210060	264	neck_g30r7	35	30	7	40	25
9	210060	265	neck_g30r8	40	30	8	40	20
10	210060	266	neck_g30r9	45	30	9	40	15
0	210060	267	neck_g30r10	0	30	10	100	0
3	21927 21926	301	Glove_g33r0	5	33	0	40	55
3	21927 21926	302	Glove_g33r1	10	33	1	40	50
4	21927 21926	303	Glove_g33r2	15	33	2	40	45
4	21927 21926	304	Glove_g33r3	20	33	3	40	40
5	21927 21926	305	Glove_g33r4	25	33	4	40	35
5	21927 21926	306	Glove_g33r5	30	33	5	40	30
6	21927 21926	307	Glove_g33r6	35	33	6	40	25
6	21927 21926	308	Glove_g33r7	40	33	7	40	20
7	21927 21926	309	Glove_g33r8	45	33	8	40	15
0	21927 21926	310	Glove_g33r9	0	33	9	100	0
3	21931 21928	311	Glove_g34r0	0	34	0	40	60
3	21931 21928	312	Glove_g34r1	5	34	1	40	55
3	21931 21928	313	Glove_g34r2	10	34	2	40	50
3	21931 21928	314	Glove_g34r3	15	34	3	40	45
4	21931 21928	315	Glove_g34r4	20	34	4	40	40
4	21931 21928	316	Glove_g34r5	25	34	5	40	35
4	21931 21928	317	Glove_g34r6	30	34	6	40	30
4	21931 21928	318	Glove_g34r7	35	34	7	40	25
5	21931 21928	319	Glove_g34r8	40	34	8	40	20
5	21931 21928	320	Glove_g34r9	45	34	9	40	15
0	21931 21928	321	Glove_g34r10	0	34	10	100	0
3	21927 21926	322	Glove_g35r0	0	35	0	40	60
3	21927 21926	323	Glove_g35r1	5	35	1	40	55
3	21927 21926	324	Glove_g35r2	10	35	2	40	50
3	21927 21926	325	Glove_g35r3	15	35	3	40	45
4	21927 21926	326	Glove_g35r4	20	35	4	40	40
4	21927 21926	327	Glove_g35r5	25	35	5	40	35
4	21927 21926	328	Glove_g35r6	30	35	6	40	30
4	21927 21926	329	Glove_g35r7	35	35	7	40	25
5	21927 21926	330	Glove_g35r8	40	35	8	40	20
5	21927 21926	331	Glove_g35r9	45	35	9	40	15
0	21927 21926	332	Glove_g35r10	0	35	10	100	0
3	24110 24109	333	Glove_g36r0	0	36	0	40	60
3	24110 24109	334	Glove_g36r1	5	36	1	40	55
3	24110 24109	335	Glove_g36r2	10	36	2	40	50
3	24110 24109	336	Glove_g36r3	15	36	3	40	45
4	24110 24109	337	Glove_g36r4	20	36	4	40	40
4	24110 24109	338	Glove_g36r5	25	36	5	40	35
4	24110 24109	339	Glove_g36r6	30	36	6	40	30
4	24110 24109	340	Glove_g36r7	35	36	7	40	25
5	24110 24109	341	Glove_g36r8	40	36	8	40	20
5	24110 24109	342	Glove_g36r9	45	36	9	40	15
0	24110 24109	343	Glove_g36r10	0	36	10	100	0
3	21927 21926	344	Glove_g37r0	0	37	0	40	60
3	21927 21926	345	Glove_g37r1	5	37	1	40	55
3	21927 21926	346	Glove_g37r2	10	37	2	40	50
3	21927 21926	347	Glove_g37r3	15	37	3	40	45
4	21927 21926	348	Glove_g37r4	20	37	4	40	40
4	21927 21926	349	Glove_g37r5	25	37	5	40	35
4	21927 21926	350	Glove_g37r6	30	37	6	40	30
4	21927 21926	351	Glove_g37r7	35	37	7	40	25
5	21927 21926	352	Glove_g37r8	40	37	8	40	20
5	21927 21926	353	Glove_g37r9	45	37	9	40	15
0	21927 21926	354	Glove_g37r10	0	37	10	100	0
1	210060	355	Glove_g38r0	0	38	0	40	60
2	210060	356	Glove_g38r1	5	38	1	40	55
3	210060	357	Glove_g38r2	10	38	2	40	50
4	210060	358	Glove_g38r3	15	38	3	40	45
5	210060	359	Glove_g38r4	20	38	4	40	40
6	210060	360	Glove_g38r5	25	38	5	40	35
7	210060	361	Glove_g38r6	30	38	6	40	30
8	210060	362	Glove_g38r7	35	38	7	40	25
9	210060	363	Glove_g38r8	40	38	8	40	20
10	210060	364	Glove_g38r9	45	38	9	40	15
0	210060	365	Glove_g38r10	0	38	10	100	0
3	21927 21926	401	Boots_g41r0	5	41	0	40	55
3	21927 21926	402	Boots_g41r1	10	41	1	40	50
4	21927 21926	403	Boots_g41r2	15	41	2	40	45
4	21927 21926	404	Boots_g41r3	20	41	3	40	40
5	21927 21926	405	Boots_g41r4	25	41	4	40	35
5	21927 21926	406	Boots_g41r5	30	41	5	40	30
6	21927 21926	407	Boots_g41r6	35	41	6	40	25
6	21927 21926	408	Boots_g41r7	40	41	7	40	20
7	21927 21926	409	Boots_g41r8	45	41	8	40	15
0	21927 21926	410	Boots_g41r9	0	41	9	100	0
3	21931 21928	411	Boots_g42r0	0	42	0	40	60
3	21931 21928	412	Boots_g42r1	5	42	1	40	55
3	21931 21928	413	Boots_g42r2	10	42	2	40	50
3	21931 21928	414	Boots_g42r3	15	42	3	40	45
4	21931 21928	415	Boots_g42r4	20	42	4	40	40
4	21931 21928	416	Boots_g42r5	25	42	5	40	35
4	21931 21928	417	Boots_g42r6	30	42	6	40	30
4	21931 21928	418	Boots_g42r7	35	42	7	40	25
5	21931 21928	419	Boots_g42r8	40	42	8	40	20
5	21931 21928	420	Boots_g42r9	45	42	9	40	15
0	21931 21928	421	Boots_g42r10	0	42	10	100	0
3	21927 21926	422	Boots_g43r0	0	43	0	40	60
3	21927 21926	423	Boots_g43r1	5	43	1	40	55
3	21927 21926	424	Boots_g43r2	10	43	2	40	50
3	21927 21926	425	Boots_g43r3	15	43	3	40	45
4	21927 21926	426	Boots_g43r4	20	43	4	40	40
4	21927 21926	427	Boots_g43r5	25	43	5	40	35
4	21927 21926	428	Boots_g43r6	30	43	6	40	30
4	21927 21926	429	Boots_g43r7	35	43	7	40	25
5	21927 21926	430	Boots_g43r8	40	43	8	40	20
5	21927 21926	431	Boots_g43r9	45	43	9	40	15
0	21927 21926	432	Boots_g43r10	0	43	10	100	0
3	24110 24109	433	Boots_g44r0	0	44	0	40	60
3	24110 24109	434	Boots_g44r1	5	44	1	40	55
3	24110 24109	435	Boots_g44r2	10	44	2	40	50
3	24110 24109	436	Boots_g44r3	15	44	3	40	45
4	24110 24109	437	Boots_g44r4	20	44	4	40	40
4	24110 24109	438	Boots_g44r5	25	44	5	40	35
4	24110 24109	439	Boots_g44r6	30	44	6	40	30
4	24110 24109	440	Boots_g44r7	35	44	7	40	25
5	24110 24109	441	Boots_g44r8	40	44	8	40	20
5	24110 24109	442	Boots_g44r9	45	44	9	40	15
0	24110 24109	443	Boots_g44r10	0	44	10	100	0
3	21927 21926	444	Boots_g45r0	0	45	0	40	60
3	21927 21926	445	Boots_g45r1	5	45	1	40	55
3	21927 21926	446	Boots_g45r2	10	45	2	40	50
3	21927 21926	447	Boots_g45r3	15	45	3	40	45
4	21927 21926	448	Boots_g45r4	20	45	4	40	40
4	21927 21926	449	Boots_g45r5	25	45	5	40	35
4	21927 21926	450	Boots_g45r6	30	45	6	40	30
4	21927 21926	451	Boots_g45r7	35	45	7	40	25
5	21927 21926	452	Boots_g45r8	40	45	8	40	20
5	21927 21926	453	Boots_g45r9	45	45	9	40	15
0	21927 21926	454	Boots_g45r10	0	45	10	100	0
1	210060	455	Glove_g46r0	0	46	0	40	60
2	210060	456	Glove_g46r1	5	46	1	40	55
3	210060	457	Glove_g46r2	10	46	2	40	50
4	210060	458	Glove_g46r3	15	46	3	40	45
5	210060	459	Glove_g46r4	20	46	4	40	40
6	210060	460	Glove_g46r5	25	46	5	40	35
7	210060	461	Glove_g46r6	30	46	6	40	30
8	210060	462	Glove_g46r7	35	46	7	40	25
9	210060	463	Glove_g46r8	40	46	8	40	20
10	210060	464	Glove_g46r9	45	46	9	40	15
0	210060	465	Glove_g46r10	0	46	10	100	0
3	21931 21928	500	Ring_g4r0	5	100	0	40	55
3	21931 21928	501	Ring_g4r1	5	100	1	40	55
3	21931 21928	502	Ring_g4r2	10	100	2	40	50
3	21931 21928	503	Ring_g4r3	15	100	3	40	45
4	21931 21928	504	Ring_g4r4	20	100	4	40	40
4	21931 21928	505	Ring_g4r5	25	100	5	40	35
4	21931 21928	506	Ring_g4r6	30	100	6	40	30
4	21931 21928	507	Ring_g4r7	35	100	7	40	25
5	21931 21928	508	Ring_g4r8	40	100	8	40	20
5	21931 21928	509	Ring_g4r9	45	100	9	40	15
0	21931 21928	510	Ring_g4r10	0	100	10	100	0
1	24110 24109	600	Ring_g5r0	5	101	0	40	55
2	24110 24109	601	Ring_g5r1	5	101	1	40	55
3	24110 24109	602	Ring_g5r2	10	101	2	40	50
4	24110 24109	603	Ring_g5r3	15	101	3	40	45
5	24110 24109	604	Ring_g5r4	20	101	4	40	40
6	24110 24109	605	Ring_g5r5	25	101	5	40	35
7	24110 24109	606	Ring_g5r6	30	101	6	40	30
8	24110 24109	607	Ring_g5r7	35	101	7	40	25
9	24110 24109	608	Ring_g5r8	40	101	8	40	20
10	24110 24109	609	Ring_g5r9	45	101	9	40	15
0	24110 24109	610	Ring_g5r10	0	101	10	100	0
20	192480	10000	Ear_g100r0	0	100	0	0	100
20	192480	10001	Ear_g100r1	0	100	1	0	100
20	192480	10002	Ear_g100r2	0	100	2	0	100
30	192480	10003	Ear_g100r3	0	100	3	0	100
30	192480	10004	Ear_g100r4	0	100	4	0	100
30	192480	10005	Ear_g100r5	0	100	5	0	100
40	192480	10006	Ear_g100r6	0	100	6	0	100
40	192480	10007	Ear_g100r7	0	100	7	0	100
40	192480	10008	Ear_g100r8	0	100	8	0	100
40	192480	10009	Ear_g100r9	0	100	9	0	100
0	192480	10010	Ear_g100r10	0	100	10	100	0
20	192480	10011	Belt_g101r0	0	101	0	0	100
20	192480	10012	Belt_g101r1	0	101	1	0	100
20	192480	10013	Belt_g101r2	0	101	2	0	100
30	192480	10014	Belt_g101r3	0	101	3	0	100
30	192480	10015	Belt_g101r4	0	101	4	0	100
30	192480	10016	Belt_g101r5	0	101	5	0	100
40	192480	10017	Belt_g101r6	0	101	6	0	100
40	192480	10018	Belt_g101r7	0	101	7	0	100
40	192480	10019	Belt_g101r8	0	101	8	0	100
40	192480	10020	Belt_g101r9	0	101	9	0	100
0	192480	10021	Belt_g101r10	0	101	10	100	0
20	192480	10022	neck_g102r0	0	102	0	0	100
20	192480	10023	neck_g102r1	0	102	1	0	100
20	192480	10024	neck_g102r2	0	102	2	0	100
30	192480	10025	neck_g102r3	0	102	3	0	100
30	192480	10026	neck_g102r4	0	102	4	0	100
30	192480	10027	neck_g102r5	0	102	5	0	100
40	192480	10028	neck_g102r6	0	102	6	0	100
40	192480	10029	neck_g102r7	0	102	7	0	100
40	192480	10030	neck_g102r8	0	102	8	0	100
40	192480	10031	neck_g102r9	0	102	9	0	100
0	192480	10032	neck_g102r10	0	102	10	100	0
20	192480	10033	Glove_g103r0	0	103	0	0	100
20	192480	10034	Glove_g103r1	0	103	1	0	100
20	192480	10035	Glove_g103r2	0	103	2	0	100
30	192480	10036	Glove_g103r3	0	103	3	0	100
30	192480	10037	Glove_g103r4	0	103	4	0	100
30	192480	10038	Glove_g103r5	0	103	5	0	100
40	192480	10039	Glove_g103r6	0	103	6	0	100
40	192480	10040	Glove_g103r7	0	103	7	0	100
40	192480	10041	Glove_g103r8	0	103	8	0	100
40	192480	10042	Glove_g103r9	0	103	9	0	100
0	192480	10043	Glove_g103r10	0	103	10	100	0
20	192480	10044	Boots_g104r0	0	104	0	0	100
20	192480	10045	Boots_g104r1	0	104	1	0	100
20	192480	10046	Boots_g104r2	0	104	2	0	100
30	192480	10047	Boots_g104r3	0	104	3	0	100
30	192480	10048	Boots_g104r4	0	104	4	0	100
30	192480	10049	Boots_g104r5	0	104	5	0	100
40	192480	10050	Boots_g104r6	0	104	6	0	100
40	192480	10051	Boots_g104r7	0	104	7	0	100
40	192480	10052	Boots_g104r8	0	104	8	0	100
40	192480	10053	Boots_g104r9	0	104	9	0	100
0	192480	10054	Boots_g104r10	0	104	10	100	0
20	192480	10055	Ring_g105r0	0	105	0	0	100
20	192480	10056	Ring_g105r1	0	105	1	0	100
20	192480	10057	Ring_g105r2	0	105	2	0	100
30	192480	10058	Ring_g105r3	0	105	3	0	100
30	192480	10059	Ring_g105r4	0	105	4	0	100
30	192480	10060	Ring_g105r5	0	105	5	0	100
40	192480	10061	Ring_g105r6	0	105	6	0	100
40	192480	10062	Ring_g105r7	0	105	7	0	100
40	192480	10063	Ring_g105r8	0	105	8	0	100
40	192480	10064	Ring_g105r9	0	105	9	0	100
0	192480	10065	Ring_g105r10	0	105	10	100	0
