BaseItem	BaseItemValue	ClassID	ClassName	DirectoryName	Item1	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item2	Item20	Item3	Item4	Item5	Item6	Item7	Item8	Item9	ItemRate1	ItemRate10	ItemRate11	ItemRate12	ItemRate13	ItemRate14	ItemRate15	ItemRate16	ItemRate17	ItemRate18	ItemRate19	ItemRate2	ItemRate20	ItemRate3	ItemRate4	ItemRate5	ItemRate6	ItemRate7	ItemRate8	ItemRate9	ItemValue1	ItemValue10	ItemValue11	ItemValue12	ItemValue13	ItemValue14	ItemValue15	ItemValue16	ItemValue17	ItemValue18	ItemValue19	ItemValue2	ItemValue20	ItemValue3	ItemValue4	ItemValue5	ItemValue6	ItemValue7	ItemValue8	ItemValue9
HealingAmpul	1	11	ItemBase_011	<$>39940</>	KnightSword	None	None	None	None	None	None	None	None	None	None	Karabela	None	Flamberge	Ranseur	Cinquedea	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	12	ItemBase_012	<$>39940</>	TemplarSword	None	None	None	None	None	None	None	None	None	None	Yellowbird	None	Sharktooth	Guisarme	ScramaSax	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	13	ItemBase_013	<$>39940</>	ViperBlade	None	None	None	None	None	None	None	None	None	None	Talwar	None	TwohandedSword	BillGuisarme	EaredDagger	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	14	ItemBase_014	<$>39940</>	Chrysaor	None	None	None	None	None	None	None	None	None	None	JadeSlicer	None	Bidenhander	Pike	Xiphos	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	15	ItemBase_015	<$>14228</>	MatchlockRifle28	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	16	ItemBase_016	<$>14228</>	MatchlockRifle30	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	17	ItemBase_017	<$>14228</>	MatchlockRifle32	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	18	ItemBase_018	<$>14228</>	MatchlockRifle34	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	19	ItemBase_019	<$>14228</>	Wheellocker28	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	20	ItemBase_020	<$>14228</>	Wheellocker30	None	None	None	None	None	None	None	None	None	None	Handgun	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	21	ItemBase_021	<$>14228</>	Wheellocker32	None	None	None	None	None	None	None	None	None	None	ShortMusket	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	22	ItemBase_022	<$>14228</>	Wheellocker34	None	None	None	None	None	None	None	None	None	None	Snaphance	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	23	ItemBase_023	<$>14228</>	BrownBess32	None	None	None	None	None	None	None	None	None	None	WheellockPistol	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	24	ItemBase_024	<$>14228</>	BrownBess34	None	None	None	None	None	None	None	None	None	None	Charioteer	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	25	ItemBase_025	<$>14228</>	BrownBess36	None	None	None	None	None	None	None	None	None	None	Chassepot	None	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	26	ItemBase_026	<$>14228</>	BrownBess38	None	None	None	None	None	None	None	None	None	None	Revolver	None	Shotgun	HandCannon	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	27	ItemBase_027	<$>14228</>	Dreyse32	None	None	None	None	None	None	None	None	None	None	GoldenRevolver	None	Buckshot	ShoulderCannon	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	28	ItemBase_028	<$>39941</>	Rod	None	None	None	None	None	None	None	None	None	None	FireBracelet1	None	IceBracelet1	ShockBracelet1	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	29	ItemBase_029	<$>39941</>	MagicRod	None	None	None	None	None	None	None	None	None	None	FireBracelet2	None	IceBracelet2	ShockBracelet2	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	30	ItemBase_030	<$>39941</>	StickyRod	None	None	None	None	None	None	None	None	None	None	FireBracelet3	None	IceBracelet3	ShockBracelet3	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	31	ItemBase_031	<$>39941</>	AmberRod	None	None	None	None	None	None	None	None	None	None	FlameBracelet1	None	FrozenBracelet1	LightningBracelet1	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	32	ItemBase_032	<$>39941</>	CrystalRod	None	None	None	None	None	None	None	None	None	None	FlameBracelet2	None	FrozenBracelet2	LightningBracelet2	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	33	ItemBase_033	<$>39941</>	JewelRod	None	None	None	None	None	None	None	None	None	None	FlameBracelet3	None	FrozenBracelet3	LightningBracelet3	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	34	ItemBase_034	<$>39941</>	MageRod	None	None	None	None	None	None	None	None	None	None	InfernalBracelet1	None	BraceletofColdfear1	StormBracelet1	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	35	ItemBase_035	<$>39941</>	ElvenRod	None	None	None	None	None	None	None	None	None	None	InfernalBracelet2	None	BraceletofColdfear2	StormBracelet2	None	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	36	ItemBase_036	<$>39941</>	MagicianRod	None	None	None	None	None	None	None	None	None	None	InfernalBracelet3	None	BraceletofColdfear3	StormBracelet3	Staff	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	37	ItemBase_037	<$>39941</>	UnicornRod	None	None	None	None	None	None	None	None	None	None	BraceletofHell1	None	BraceletofTempest1	ThunderBracelet1	SpiritualStaff	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	38	ItemBase_038	<$>39941</>	WizardryRod	None	None	None	None	None	None	None	None	None	None	BraceletofHell2	None	BraceletofTempest2	ThunderBracelet2	MagicStaff	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	39	ItemBase_039	<$>39941</>	SageRod	None	None	None	None	None	None	None	None	None	None	BraceletofHell3	None	BraceletofTempest3	ThunderBracelet3	RuneStaff	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HealingAmpul	1	40	ItemBase_040	<$>39941</>	ConjurerRod	None	None	None	None	None	None	None	None	None	None	MuspellBracelet1	None	BraceletofAurora1	BraceletofZephyr1	StaffofConfusion	None	None	None	None	100	1	1	1	1	1	1	1	1	1	1	100	1	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
