ClassID	ClassName	USESCROLL
100	Manual_Innocentio	R 30170
101	Manual_BloodyFeast	R 12010
102	Manual_TronadaCruz	R 10550
103	Manual_EnhancedTactics2	R 30160 30190
104	Manual_Peltast	R 10560
105	Manual_ShadowSting	R 11730
106	Manual_Croisement	R 11060
107	Manual_Punisher	R 11800
108	Manual_Soulbringer	R 10570
109	Manual_UnlimitedShot	R 11080
110	Manual_SoulGuard	R 10580
111	Manual_Sharpshooter	R 11810
112	Manual_ShinySting	R 11820
113	Manual_Efreet	R 20550
114	Manual_Hermetisme	R 20560
115	Manual_BlitzAssault	R 10690
116	Manual_Wanted	R 11090
117	Manual_Frost	R 20570
118	Manual_Telekinesis	R 20190
119	Manual_PuppetLancer	R 30340
120	Manual_PuppetShooter	R 30350
121	Manual_PuppetMagician	R 30360
122	Manual_PuppetMaster	R 30370
123	Manual_Furious	R 10180
124	Manual_Tempest	R 20580
125	Manual_Cutlass	R 12020
126	Manual_Abyss	R 20200
127	Manual_Therapy	R 30380
128	Manual_SnipeShot	R 11530
129	Manual_Destroyer	R 30390
130	Manual_GuardianStructure	R 30400
131	Manual_Architecture	R 30410
132	Manual_Sabretooth	R 10590
133	Manual_LowGuardMI	R 10820
134	Manual_Sweeper	R 11260
135	Manual_Diable	R 10740
136	Manual_FleurGlacier	R 10750
137	Manual_TranceRobo	R 30420
138	Manual_DarkAvenger	R 10600
139	Manual_BattleMedicine	R 30130
140	Manual_RoyalGuard	R 10190
141	Manual_DIstortionCube	R 20630
142	Manual_Storytelling	R 20640
143	Manual_Trickinesys	R 20650
144	Manual_Cobra	R 30440
145	Manual_Rocking	R 20660
146	Manual_EnhancedTactics_E	R 30160 30190 30200 30240 30260 30660 30930 40704
147	Manual_Punisher_Event	R 11800
148	Manual_Innocentio_Event	R 30170
149	Manual_Soulbringer_Event	R 10570
150	Manual_HeavyStinger	R 11830
156	Manual_HeavyStinger_Event	R 11830
157	Manual_Pythonis	R 11790
158	Manual_Pythonis_Ev	R 11790
159	Manual_RapidaEspada_Ev	R 10350
160	Manual_MasterMartialArts_Ev	R 10070
161	Manual_Prelude_Ev	R 20620
162	Manual_Efreet_Ev	R 20550
163	Manual_Frost_Ev	R 20570
164	Manual_Furious_Ev	R 10180
165	Manual_Tempest_Ev	R 20580
166	Manual_Abyss_Ev	R 20200
167	Manual_SoulGuard_Ev	R 10580
168	Manual_Therapy_Ev	R 30380
169	Manual_Sweeper_Ev	R 11260
170	Manual_Croisement_Ev	R 11060
171	Manual_Hermetisme_Ev	R 20560
172	Manual_BlitzAssault_Ev	R 10690
173	Manual_PuppetLancer_Ev	R 30340
174	Manual_PuppetShooter_Ev	R 30350
175	Manual_PuppetMagician_Ev	R 30360
176	Manual_PuppetMaster_Ev	R 30370
177	Manual_Trickinesys_Ev	R 20650
178	Manual_Diable_Ev	R 10740
179	Manual_FleurGlacier_Ev	R 10750
180	Manual_RoyalGuard_Ev	R 10190
181	Manual_Arnis_Ev	R 10660
182	Manual_DeathChopping_Ev	R 10680
183	Manual_TheCrusader_Ev	R 10170
184	Manual_Equites_Ev	R 10360 14000
185	Manual_Peltast_Ev	R 10560
186	Manual_BloodyFeast_Ev	R 12010
187	Manual_Rapiere_Ev	R 10370
188	Manual_Rapiere2_Ev	R 10400
189	Manual_HangingGuard_Ev	R 10460
190	Manual_TestedGuard_Ev	R 10670
191	Manual_TronadaCruz_Ev	R 10550
192	Manual_Flintlock_Ev	R 11140 11150 11160
193	Manual_SuperiorBlaster_Ev	R 11240
194	Manual_DuelBlaster_Ev	R 11250
195	Manual_DemolitionBurst_Ev	R 11340
196	Manual_DemolitionBurst2_Ev	R 11350
197	Manual_ShadowSting_Ev	R 11730
198	Manual_ThePowerofDarkness_Ev	R 20170
199	Manual_Madness_Ev	R 20180
200	Manual_MagicofOccultism_Ev	R 20520
201	Manual_OccultismAssitance_Ev	R 20530 20540
204	Manual_UnlimitedShot_Ev	R 11080
205	Manual_Wanted_Ev	R 11090
206	Manual_Semilunar_Ev	R 10470
207	Manual_Gorgeous_Ev	R 10380
208	Manual_MoonGuard_Ev	R 10860
209	Manual_ShinySting_Ev	R 11820
210	Manual_Telekinesis_Ev	R 20190
211	Manual_Cutlass_Ev	R 12020
212	Manual_SnipeShot_Ev	R 11530
213	Manual_Destroyer_Ev	R 30390
214	Manual_GuardianStructure_Ev	R 30400
215	Manual_Architecture_Ev	R 30410
216	Manual_Sabretooth_Ev	R 10590
217	Manual_BattleMedicine_Ev	R 30130
218	Manual_HollyShielder	R 30510
219	Manual_HollyShielder_Ev	R 30510
220	Manual_SaintShot	R 11100
221	Manual_SaintShot_Ev	R 11100
222	Manual_Infierno	R 30600
223	Manual_Infierno_Ev	R 30600
224	Manual_Thanatos	R 30610
225	Manual_Thanatos_Ev	R 30610
226	Manual_Placidez	R 30630
227	Manual_Placidez_Ev	R 30630
228	Manual_Creacion	R 30640
229	Manual_Creacion_Ev	R 30640
230	Manual_RultimateJ	R 11170
231	Manual_RosaSecreta	R 30800 30810
232	Manual_RosaSecreta_Ev	R 30800 30810
233	Manual_RultimateJ_Ev	R 11170
234	Manual_Rodultimate	R 20670
235	Manual_Rodultimate_Ev	R 20670
236	Manual_Swordultimate	R 20671
237	Manual_Swordultimate_Ev	R 20671
238	Manual_Rosarioultimate	R 20672
239	Manual_Rosarioultimate_Ev	R 20672
240	Manual_Quasar	R 30860 30870
241	Manual_Quasar_Ev	R 30860 30870
242	Manual_ElementalMaster	R 30900
243	Manual_ElementalMaster_Ev	R 30900
244	Manual_Braceletultimate	R 20673
245	Manual_Flameofmoonlight	R 40050
246	Manual_Flameofmoonlight_Ev	R 40050
247	Manual_FlyingShadowYasha	R 40051
248	Manual_FlyingShadowYasha_Ev	R 40051
249	Manual_RosarioultimateJ2	R 20674
250	Manual_RosarioultimateJ2_Ev	R 20674
251	Manual_SoulSecreta	R 40052
252	Manual_SoulSecreta_Ev	R 40052
253	Manual_DeathErosion	R 40053
254	Manual_DeathErosion_Ev	R 40053
255	Manual_Braceletultimate_Ev	R 20673
256	Manual_CallofDark	R 40054
257	Manual_CallofDark_Ev	R 40054
258	Manual_MythologyOblivion	R 40055
259	Manual_MythologyOblivion_Ev	R 40055
260	Manual_MythologyForce	R 40056
261	Manual_MythologyForce_Ev	R 40056
262	Manual_MythologyTempest	R 40057
263	Manual_MythologyTempest_Ev	R 40057
264	Manual_VioletaPerro	R 40190
265	Manual_VioletaPerro_Ev	R 40190
266	Manual_EndofMagic	R 30007
267	Manual_EndofMagic_Ev	R 30007
268	Manual_Serpentis	R 30008
269	Manual_Serpentis_Ev	R 30008
270	Manual_HeavyStingerAnn	R 30009
271	Manual_HeavyStingerAnn_Ev	R 30009
272	Manual_Corsair	R 40300
273	Manual_Corsair_Ev	R 40300
274	Manual_Carrier	R 40400
275	Manual_Carrier_Ev	R 40400
276	Manual_Blastguard	R 30010
277	Manual_Blastguard_Ev	R 30010
278	Manual_Gehenna	R 30011
279	Manual_Gehenna_Ev	R 30011
280	Manual_Gravity	R 30012
281	Manual_Gravity_Ev	R 30012
282	Manual_Lunacy	R 30013
283	Manual_Lunacy_Ev	R 30013
284	Manual_Iciclegunner	R 30014
285	Manual_Iciclegunner_Ev	R 30014
286	Manual_SlayerUltimate	R 30015
287	Manual_SlayerUltimate_Ev	R 30015
288	Manual_Hasaraahab	R 30016
289	Manual_Hasaraahab_Ev	R 30016
290	Manual_GrimReaper	R 40730
291	Manual_GrimReaper_Ev	R 40730
292	Manual_Lama	R 40826
293	Manual_Lama_Ev	R 40826
600	Manual_Disablering	R 30017
601	Manual_Disablering_Ev	R 30017
602	Manual_Necrolegion	R 30018
603	Manual_Necrolegion_Ev	R 30018
604	Manual_Zeus	R 30019
605	Manual_Zeus_Ev	R 30019
606	Manual_Eliminator	R 30020
607	Manual_Eliminator_Ev	R 30020
