ClassID	ClassName	CommPoint	IsColonyOwner	KillCount	MinLevel	MonsterName	MonsterStage	RewardExp	RewardItem	RewardItemCount	RewardItemCount_2	RewardItem_2	RewardLocation	TargetMonster
24	KQuest_99524	9	KQuest_99524_Col	200	37	<$>47130</>	2	0	Monster_Imanon	1	0	None	btl_coim01	Monster_Imanon
25	KQuest_99525	10	KQuest_99525_Col	250	40	<$>47131</>	2	0	Monster_Nosiar	1	0	None	COIM_HUNT4	Monster_Nosiar
26	KQuest_99526	10	KQuest_99526_Col	200	41	<$>47132</>	2	0	Monster_DreadAnchor	1	0	None	COIM_HUNT4	Monster_DreadAnchor
27	KQuest_99527	10	KQuest_99527_Col	250	42	<$>47133</>	2	0	Monster_Pasiar	1	0	None	COIM_HUNT4	Monster_Pasiar
28	KQuest_99528	10	KQuest_99528_Col	500	42	<$>47134</>	2	0	Monster_Claw	1	0	None	COIM_HUNT3	Monster_AbyssalClaw
29	KQuest_99529	10	KQuest_99529_Col	200	44	<$>47135</>	2	0	Monster_Dumanon	1	0	None	COIM_HUNT3	Monster_Dumanon
30	KQuest_99530	10	KQuest_99530_Col	600	43	<$>47136</>	2	0	Monster_ZaviDiGavi	1	0	None	COIM_HUNT3	Monster_ZaviDiGavi
31	KQuest_99531	10	KQuest_99531_Col	200	47	<$>47137</>	2	0	Monster_Tortoise	1	0	None	btl_ptv01	Monster_Tortoise
32	KQuest_99532	10	KQuest_99532_Col	200	49	<$>47138</>	2	0	Monster_Monkey	1	0	None	btl_auch02	Monster_DandSwampMon
33	KQuest_99533	11	KQuest_99533_Col	300	53	<$>47139</>	2	0	Monster_WildDog	1	0	None	btl_auch02	Monster_WildDog
34	KQuest_99534	11	KQuest_99534_Col	300	53	<$>47140</>	2	0	Monster_Gehcos	1	0	None	btl_auch02	Monster_Gehcos
35	KQuest_99535	11	KQuest_99535_Col	700	55	<$>47141</>	2	0	Monster_Walter	1	0	None	TOR_HUNT1	Monster_Walter
36	KQuest_99536	11	KQuest_99536_Col	150	55	<$>47142</>	2	0	Monster_Lloyd	1	0	None	TOR_HUNT1	Monster_Lloyd
37	KQuest_99537	11	KQuest_99537_Col	300	57	<$>47143</>	2	0	Monster_Footman	1	0	None	TOR_HUNT2	Monster_HollowFootman
38	KQuest_99538	11	KQuest_99538_Col	150	57	<$>47144</>	2	0	Monster_Sasha	1	0	None	TOR_HUNT1	Monster_Sasha
39	KQuest_99539	11	KQuest_99539_Col	500	58	<$>47145</>	2	0	Monster_Helena	1	0	None	TOR_HUNT2	Monster_Helena
40	KQuest_99540	12	KQuest_99540_Col	200	61	<$>47146</>	2	0	Monster_DoggyPanzer	1	0	None	btl_jaq02	Monster_DoggyPanzer
41	KQuest_99541	12	KQuest_99541_Col	400	63	<$>47147</>	2	0	Monster_Comodo	1	0	None	btl_reb03	Monster_JaquinComodo
42	KQuest_99542	12	KQuest_99542_Col	200	63	<$>47148</>	2	0	Monster_Wolf	1	0	None	btl_reb03	Monster_Wolf
43	KQuest_99543	12	KQuest_99543_Col	250	64	<$>47149</>	2	0	Monster_Cockatries	1	0	None	btl_reb02	Monster_CockatriesFlame
44	KQuest_99544	12	KQuest_99544_Col	200	66	<$>47150</>	2	0	Monster_JaquinBear	1	0	None	btl_reb02	Monster_JacquinBear
45	KQuest_99545	13	KQuest_99545_Col	300	72	<$>47151</>	2	0	Monster_Musescargot	1	0	None	AUCH_HUNT1	Monster_MusescargotA
46	KQuest_99546	13	KQuest_99546_Col	300	71	<$>47152</>	2	0	Monster_Twinheaded	1	0	None	AUCH_HUNT1	Monster_TwinHeaded
47	KQuest_99547	13	KQuest_99547_Col	300	74	<$>47153</>	2	0	Monster_Ironmaiden	1	0	None	AUCH_HUNT1	Monster_Ironmaiden
48	KQuest_99548	13	KQuest_99548_Col	300	74	<$>47154</>	2	0	Monster_Jabberwock	1	0	None	AUCH_HUNT1	Monster_Jabberwock
49	KQuest_99549	13	KQuest_99549_Col	300	74	<$>47155</>	2	0	Monster_GhostlyFath	1	0	None	AUCH_HUNT2	Monster_GhostlyFather
50	KQuest_99550	14	KQuest_99550_Col	300	81	<$>47156</>	2	0	Monster_Eigleschival	1	0	None	AUCH_HUNT2	Monster_EigleschivarlierAttacker
51	KQuest_99551	14	KQuest_99551_Col	300	84	<$>47157</>	2	0	Monster_Arop	1	0	None	btl_ust01	Monster_arop
52	KQuest_99552	14	KQuest_99552_Col	700	85	<$>47158</>	2	0	Monster_VelociRaptor	1	0	None	btl_ust01	Monster_velocirapter1
53	KQuest_99553	14	KQuest_99553_Col	300	88	<$>47159</>	2	0	Monster_Eripmav	1	0	None	btl_ust02	Monster_eripmav
54	KQuest_99554	14	KQuest_99554_Col	200	89	<$>47160</>	2	0	Monster_Gahbirus	1	0	None	btl_ust02	Monster_gahbirus
55	KQuest_99555	15	KQuest_99555_Col	500	92	<$>47161</>	2	0	Monster_SkeletonK	1	0	None	UST_HUNT1	Monster_skeletonhg
56	KQuest_99556	15	KQuest_99556_Col	500	94	<$>47162</>	2	0	Monster_SkeletonExe	1	0	None	UST_HUNT1	Monster_skeletontb
57	KQuest_99557	15	KQuest_99557_Col	600	97	<$>47163</>	2	0	Monster_SkelRaptor	1	0	None	UST_HUNT1	Monster_velociskel
58	KQuest_99558	15	KQuest_99558_Col	200	99	<$>47164</>	2	0	Monster_Tyranno	1	0	None	UST_HUNT1	Monster_tyrannosaurus
59	KQuest_99559	14	KQuest_99559_Col	10	10	<$>47165</>	2	0	Monster_Cerbera	1	1	ShinyCrystal	REB_HUNT1	Monster_Cerbera
60	KQuest_99560	14	KQuest_99560_Col	10	12	<$>47166</>	2	0	Monster_Huganoid	1	1	ShinyCrystal	REB_HUNT2	Monster_NesthairHuganoid
61	KQuest_99561	16	KQuest_99561_Col	10	27	<$>47167</>	2	0	Monster_PhobitanCh	1	2	ShinyCrystal	btl_ttr01	Monster_PhobitanChieftain
62	KQuest_99562	16	KQuest_99562_Col	10	29	<$>47168</>	2	0	Monster_Pollux	1	2	ShinyCrystal	COIM_HUNT2	Monster_Pollux
63	KQuest_99563	18	KQuest_99563_Col	10	32	<$>47169</>	2	0	Monster_Castor	1	2	ShinyCrystal	COIM_HUNT2	Monster_Castor
64	KQuest_99564	20	KQuest_99564_Col	10	45	<$>47170</>	2	0	Monster_Wahlanche	1	3	ShinyCrystal	btl_ptv01	Monster_Wahlanche
65	KQuest_99565	18	KQuest_99565_Col	10	39	<$>47171</>	2	0	Monster_EscudoPecher	1	2	ShinyCrystal	COIM_HUNT4	Monster_EscudoPecher
66	KQuest_99566	26	KQuest_99566_Col	10	76	<$>47172</>	2	0	Monster_Vladimir	1	4	ShinyCrystal	AUCH_HUNT2	Monster_Vladimir
67	KQuest_99567	26	KQuest_99567_Col	10	77	<$>47173</>	2	0	Monster_WeirdKnight	1	4	ShinyCrystal	AUCH_HUNT2	Monster_WeirdKnight
68	KQuest_99568	22	KQuest_99568_Col	10	57	<$>47174</>	2	0	Monster_Victor	1	3	ShinyCrystal	TOR_HUNT2	Monster_Victor
69	KQuest_99569	28	KQuest_99569_Col	10	89	<$>47175</>	2	0	Monster_SabelTiger	1	5	ShinyCrystal	btl_ust02	Monster_sabertiger
70	KQuest_99570	30	KQuest_99570_Col	10	94	<$>47176</>	2	0	Monster_Thoracotomy	1	5	ShinyCrystal	UST_HUNT1	Monster_thoracotomy
71	KQuest_99571	30	KQuest_99571_Col	10	91	<$>47177</>	2	0	Monster_ZebraEaterE2	1	5	ShinyCrystal	btl_reb05	Monster_ZebraEaterElder2
72	KQuest_99572	14	KQuest_99572_Col	400	86	<$>47178</>	2	0	Monster_GaviDiGavi	1	0	None	btl_reb05	Monster_GaviDiFire
73	KQuest_99573	11	KQuest_99573_Col	300	54	<$>47179</>	2	0	Monster_Hound	1	0	None	btl_auch03	Monster_Demonische
74	KQuest_99574	11	KQuest_99574_Col	200	57	<$>47180</>	2	0	Monster_ZebraEaterE	1	0	None	btl_auch03	Monster_LightZebraEater
75	KQuest_99575	14	KQuest_99575_Col	500	86	<$>47181</>	2	0	Monster_PhobitanR	1	0	None	btl_alq02	Monster_IcePhobitan
76	KQuest_99576	30	KQuest_99576_Col	10	92	<$>47182</>	2	0	Monster_Giantcomodo	1	5	ShinyCrystal	btl_alq02	Monster_Giantcomodo
77	KQuest_99577	10	KQuest_99577_Col	600	49	<$>47183</>	2	0	Monster_Skeleton	1	0	None	btl_ptv02	Monster_iceskeletonbg
78	KQuest_99578	10	KQuest_99578_Col	100	45	<$>47184</>	2	0	Monster_CannTortoise	1	0	None	btl_ptv02	Monster_CannonTortoise
79	KQuest_99579	13	KQuest_99579_Col	200	77	<$>47185</>	2	0	Monster_Ghostbaron	1	0	None	btl_jaq03	Monster_Ghostbaron
80	KQuest_99580	14	KQuest_99580_Col	300	84	<$>47186</>	2	0	Monster_VedanobahR	1	0	None	btl_jaq03	Monster_BurningRogue
81	KQuest_99581	15	KQuest_99581_Col	500	90	<$>47187</>	2	0	Monster_Bandeliermag	1	0	None	btl_ttr03	Monster_Bandelier_mag
82	KQuest_99582	15	KQuest_99582_Col	500	90	<$>47188</>	2	0	Monster_Bandeliermas	1	0	None	btl_ttr03	Monster_Bandelier_mas
83	KQuest_99583	16	KQuest_99583_Col	200	100	<$>47189</>	2	0	Monster_Octopuss	1	0	None	btl_ktv01	Monster_Octopus
84	KQuest_99584	16	KQuest_99584_Col	200	100	<$>47190</>	2	0	Monster_Grimripper	1	0	None	btl_ktv01	Monster_GrimRipper
85	KQuest_99585	16	KQuest_99585_Col	200	100	<$>47191</>	2	0	Monster_Elcinos	1	0	None	btl_ktv03	Monster_Elcinos
86	KQuest_99586	16	KQuest_99586_Col	200	100	<$>47192</>	2	0	Monster_Eltetah	1	0	None	btl_ktv03	Monster_Eltetah
87	KQuest_99587	16	KQuest_99587_Col	200	100	<$>47193</>	2	0	Monster_Eliigo	1	0	None	btl_ktv03	Monster_Eliigo
88	KQuest_99588	16	KQuest_99588_Col	200	100	<$>47194</>	2	0	Monster_Bigfoot	1	0	None	btl_ktv03	Monster_Bigfoot
89	KQuest_99589	16	KQuest_99589_Col	200	100	<$>47195</>	2	0	Monster_elbiote	1	0	None	btl_ktv03	Monster_elbiote
90	KQuest_99590	16	KQuest_99590_Col	300	100	<$>47196</>	2	0	Monster_Skeletonmg	1	0	None	btl_coim02	Monster_Skeletonmg
91	KQuest_99591	16	KQuest_99591_Col	300	100	<$>47197</>	2	0	Monster_Skeletondfd	1	0	None	btl_coim02	Monster_Skeletondfd
92	KQuest_99592	16	KQuest_99592_Col	300	100	<$>47198</>	2	0	Monster_Skeletonsw	1	0	None	btl_coim02	Monster_Skeletonsw
93	KQuest_99593	16	KQuest_99593_Col	300	100	<$>47199</>	2	0	Monster_Skeletonstg	1	0	None	btl_coim02	Monster_Skeletonstg
94	KQuest_99594	16	KQuest_99594_Col	200	100	<$>47200</>	2	0	Monster_Tcapyleader	1	0	None	btl_tbk02	Monster_Tcapyleader
95	KQuest_99595	16	KQuest_99595_Col	200	100	<$>47201</>	2	0	Monster_Tcapyranger	1	0	None	btl_tbk02	Monster_Tcapyranger
96	KQuest_99596	16	KQuest_99596_Col	200	100	<$>47202</>	2	0	Monster_Tcapywarrior	1	0	None	btl_tbk02	Monster_Tcapywarrior
97	KQuest_99597	16	KQuest_99597_Col	200	100	<$>47203</>	2	0	Monster_Bearworker	1	0	None	btl_tbk02	Monster_Bearworker
98	KQuest_99598	16	KQuest_99598_Col	200	100	<$>19789</>	2	0	Monster_Anteater	1	0	None	btl_tbk01	Monster_Anteater
99	KQuest_99599	16	KQuest_99599_Col	200	100	<$>47204</>	2	0	Monster_Bladeantel	1	0	None	btl_tbk01	Monster_Bladeantelopes
100	KQuest_99600	16	KQuest_99600_Col	200	100	<$>47205</>	2	0	Monster_Celegrimworm	1	0	None	btl_tbk01	Monster_Celegrimworm
101	KQuest_99601	16	KQuest_99601_Col	200	100	<$>47206</>	2	0	Monster_Taurus	1	0	None	btl_bah04	Monster_Taurus
102	KQuest_99602	16	KQuest_99602_Col	200	100	<$>47207</>	2	0	Monster_Locke	1	0	None	btl_bah04	Monster_Locke
103	KQuest_99603	16	KQuest_99603_Col	200	100	<$>47208</>	2	0	Monster_Escudofrap	1	0	None	btl_bah04	Monster_Escudofrapper
104	KQuest_99604	9	KQuest_99604_Col	220	20	<$>47209</>	2	0	EXPCard_40_e	3	6	ShinyCrystal	EVENT_BATTLECOL_SOLDIER	Monster_SFVedanobah
105	KQuest_99605	9	KQuest_99605_Col	220	20	<$>47210</>	2	0	EXPCard_40_e	3	6	ShinyCrystal	EVENT_BATTLECOL_SOLDIER	Monster_SFZealot
106	KQuest_99610	12	KQuest_99610_Col	150	80	<$>47003</>	2	0	EXPCard_80_f	3	5	ShinyCrystal	EVENT_BATTLECOL_SOLDIER	Monster_RebSoldier
107	KQuest_99611	12	KQuest_99611_Col	170	80	<$>47211</>	2	0	EXPCard_80_f	3	5	ShinyCrystal	EVENT_BATTLECOL_SOLDIER	Monster_CoimSoldier
108	KQuest_99612	13	KQuest_99612_Col	100	100	<$>47212</>	2	0	EXPCard_90_f	3	5	ShinyCrystal	EVENT_POISONYARD_SOLDIER	Monster_NesthairHuganoid2
109	KQuest_99613	13	KQuest_99613_Col	150	100	<$>47213</>	2	0	EXPCard_90_f	3	5	ShinyCrystal	EVENT_POISONYARD_SOLDIER	Monster_SilkhatHuganoid2
110	KQuest_99614	14	KQuest_99614_Col	150	100	<$>47214</>	2	0	EXPCard_Veteran_b	3	5	ShinyCrystal	EVENT_TEMPLESEC_SOLDIER	Monster_PolluxofChaos
111	KQuest_99615	14	KQuest_99615_Col	120	100	<$>47215</>	2	0	EXPCard_Veteran_b	3	5	ShinyCrystal	EVENT_TEMPLESEC_SOLDIER	Monster_Castorofchaos
112	KQuest_99616	6	KQuest_99616_Col	1	10	<$>47216</>	2	0	EXPCard_20_e	6	10	Ingot	DIABOLIC_NPC_ALQ	Monster_Demoniac_DilosLatemn
113	KQuest_99617	7	KQuest_99617_Col	1	20	<$>47217</>	2	0	EXPCard_40_e	6	20	Ingot	DIABOLIC_NPC_TTR	Monster_Demoniac_TreasureGolem
114	KQuest_99618	8	KQuest_99618_Col	1	30	<$>47218</>	2	0	EXPCard_50_e	6	30	Ingot	DIABOLIC_NPC_PTV	Monster_Demoniac_Chimera
