ClassID	ClassName	Material1	Material10	Material2	Material3	Material4	Material5	Material6	Material7	Material8	Material9	MaterialCount1	MaterialCount10	MaterialCount2	MaterialCount3	MaterialCount4	MaterialCount5	MaterialCount6	MaterialCount7	MaterialCount8	MaterialCount9	MaterialName1	MaterialName10	MaterialName2	MaterialName3	MaterialName4	MaterialName5	MaterialName6	MaterialName7	MaterialName8	MaterialName9	ProductCount	ProductName
11	TorscheDress	TorscheOtiteChip	None	TorscheDressRag	None	None	None	None	None	None	None	30	0	100	0	0	0	0	0	0	0	<$>35183</>	None	<$>53481</>	None	None	None	None	None	None	None	1	<$>14277</>
12	MaidUniform	TorscheOtiteChip	None	MaidUniformRag	None	None	None	None	None	None	None	60	0	100	0	0	0	0	0	0	0	<$>35183</>	None	<$>53482</>	None	None	None	None	None	None	None	1	<$>14278</>
13	MaidHairband	TorscheOtiteChip	None	MaidUniformRag	None	None	None	None	None	None	None	60	0	25	0	0	0	0	0	0	0	<$>35183</>	None	<$>53482</>	None	None	None	None	None	None	None	1	<$>14279</>
14	MagicBroom	TorscheOtiteChip	None	MaidBroom	None	None	None	None	None	None	None	30	0	1	0	0	0	0	0	0	0	<$>35183</>	None	<$>43981</>	None	None	None	None	None	None	None	1	<$>53483</>
15	DragonSword1	TiranoFang	None	DinoHorn	DinoSkin	None	None	None	None	None	None	1	0	2	3	0	0	0	0	0	0	<$>27511</>	None	<$>27526</>	<$>27525</>	None	None	None	None	None	None	1	<$>22724</>
16	DragonSlayer1	TiranoFang	None	DinoHorn	DinoSkin	None	None	None	None	None	None	1	0	3	3	0	0	0	0	0	0	<$>27511</>	None	<$>27526</>	<$>27525</>	None	None	None	None	None	None	1	<$>22725</>
17	DragonLance1	TiranoFang	None	DinoHorn	BoneStick	None	None	None	None	None	None	1	0	4	2	0	0	0	0	0	0	<$>27511</>	None	<$>27526</>	<$>27520</>	None	None	None	None	None	None	1	<$>22726</>
18	DragonKiller1	TiranoFang	None	DinoHorn	BoneStick	None	None	None	None	None	None	1	0	4	2	0	0	0	0	0	0	<$>27511</>	None	<$>27526</>	<$>27520</>	None	None	None	None	None	None	1	<$>22727</>
19	DragoonCoat1	DinoHorn	None	DinoSkin	None	None	None	None	None	None	None	10	0	10	0	0	0	0	0	0	0	<$>27526</>	None	<$>27525</>	None	None	None	None	None	None	None	1	<$>22728</>
20	BoneFrameArmor1	BoneStick	None	BonePiece	None	None	None	None	None	None	None	10	0	10	0	0	0	0	0	0	0	<$>27520</>	None	<$>27521</>	None	None	None	None	None	None	None	1	<$>23908</>
21	SkullicEdge1	BoneStick	None	BonePiece	None	None	None	None	None	None	None	2	0	3	0	0	0	0	0	0	0	<$>27520</>	None	<$>27521</>	None	None	None	None	None	None	None	1	<$>23909</>
22	SkullicEpee1	BoneStick	None	BonePiece	None	None	None	None	None	None	None	3	0	2	0	0	0	0	0	0	0	<$>27520</>	None	<$>27521</>	None	None	None	None	None	None	None	1	<$>23910</>
23	SkullicGuard1	BoneStick	None	BonePiece	None	None	None	None	None	None	None	1	0	4	0	0	0	0	0	0	0	<$>27520</>	None	<$>27521</>	None	None	None	None	None	None	None	1	<$>23911</>
24	SkullicStaff1	BoneStick	None	BonePiece	None	None	None	None	None	None	None	5	0	2	0	0	0	0	0	0	0	<$>27520</>	None	<$>27521</>	None	None	None	None	None	None	None	1	<$>23912</>
25	SkullicBracer	BoneStick	None	BonePiece	None	None	None	None	None	None	None	3	0	2	0	0	0	0	0	0	0	<$>27520</>	None	<$>27521</>	None	None	None	None	None	None	None	1	<$>23913</>
26	GoldenStriker1	Corn	None	BoneStick	BonePiece	DinoHorn	DinoSkin	None	None	None	None	150	0	2	2	10	10	0	0	0	0	<$>27472</>	None	<$>27520</>	<$>27521</>	<$>27526</>	<$>27525</>	None	None	None	None	1	<$>22385</>
27	GoldenShotgun1	Corn	None	BoneStick	BonePiece	DinoHorn	DinoSkin	None	None	None	None	150	0	2	2	10	10	0	0	0	0	<$>27472</>	None	<$>27520</>	<$>27521</>	<$>27526</>	<$>27525</>	None	None	None	None	1	<$>22386</>
28	GoldenCannon1	Corn	None	BoneStick	BonePiece	DinoHorn	DinoSkin	None	None	None	None	150	0	3	3	10	10	0	0	0	0	<$>27472</>	None	<$>27520</>	<$>27521</>	<$>27526</>	<$>27525</>	None	None	None	None	1	<$>22387</>
