ClassID	ClassName	CommPoint	DBLDay	Desc	DropItem	Item_Enter	Item_Play	Map	MaxCount	Name	Npc	PreProperty1	PreProperty2	PreProperty3	Property	ReadyMsg	ReqAR	ReqDR	ReqPromotion	Rulletlist	Script	SuggestMax	SuggestMin	Tip	Type	Value
11	mission_masung_bah	0	0	None	None	None	None	guild_bounty	1	<$>29376</>	MASUNG_BAH	Masung_Bah	Masung_Bah_Diary	None	None	None	64	64	2	None	Check_Mission_Day	3	-2	<$>132062</>	Day Bnt Sqd Mcc3	0
12	mission_masung_sct	0	0	None	None	None	None	guild_bounty	1	<$>29378</>	MASUNG_SCT	Masung_Sct	Masung_Sct_Diary	None	None	None	66	66	2	None	Check_Mission_Day	2	-3	<$>132063</>	Day Bnt Sqd Mcc3	0
13	mission_masung_ktv	0	0	None	None	None	None	guild_bounty	1	<$>29381</>	MASUNG_KTV	Masung_Ktv	Masung_Ktv_Diary	None	None	None	68	68	3	None	Check_Mission_Day	3	-2	<$>132064</>	Day Bnt Sqd Mcc3	0
14	mission_masung_sed	0	0	None	None	None	None	guild_bounty	1	<$>29379</>	MASUNG_SED	Masung_Sed	Masung_Sed_Diary	None	None	None	67	67	2	None	Check_Mission_Day	2	-3	<$>132065</>	Day Bnt Sqd Mcc3	0
15	mission_masung_cas01	0	0	None	None	None	None	guild_bounty	1	<$>96347</>	MASUNG_CAS01	Masung_Cas01	Masung_Cas01_Diary	None	None	None	67	67	2	None	Check_Mission_Day	2	-3	<$>132066</>	Day Bnt Sqd Mcc3	0
16	mission_masung_erc	0	0	None	None	None	None	guild_bounty	1	<$>29382</>	MASUNG_ERC	Masung_Erc	Masung_Erc_Diary	None	None	None	69	69	3	None	Check_Mission_Day	3	-2	<$>132062</>	Day Bnt Sqd Mcc3	0
17	mission_masung_jaq	0	0	None	None	None	None	guild_bounty	1	<$>7189</>	MASUNG_JAQ	Masung_Jaq	Masung_Jaq_Diary	None	None	None	57	57	1	None	Check_Mission_Day	3	-4	<$>132063</>	Day Bnt Sqd Mcc3	0
18	mission_masung_tor	0	0	None	None	None	None	guild_bounty	2	<$>7188</>	MASUNG_TOR	Masung_Tor01	Masung_Tor02	None	None	None	44	44	0	None	Check_Mission_Day	8	-4	<$>132065</>	Day Bnt Sqd Mcc3	0
19	mission_masung_tbk	0	0	None	None	None	None	guild_bounty	1	<$>29375</>	MASUNG_TBK	Masung_Tbk	Masung_Tbk_Diary	None	None	None	63	63	1	None	Check_Mission_Day	3	-4	<$>132067</>	Day Bnt Sqd Mcc3	0
20	mission_masung_pot	0	0	None	None	None	None	guild_bounty	3	<$>7187</>	MASUNG_POT	Masung_Pot01	Masung_Pot02	None	None	None	34	34	0	None	Check_Mission_Day	8	-4	<$>132062</>	Day Bnt Sqd Mcc3	0
21	mission_masung_ust	0	0	None	None	None	None	guild_bounty	1	<$>7190</>	MASUNG_UST	Masung_Ust	Masung_Ust_Diary	None	None	None	62	62	1	None	Check_Mission_Day	3	-4	<$>132062</>	Day Bnt Sqd Mcc3	0
22	mission_nephthys	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47950</>	NPC_TIMEPARADOX	Evil_Nephthys_Day	None	None	CommanderLv	None	76	71	3	None	Check_Mission_Day	-4	-7	<$>132068</>	Day Sqd Mcc3	20
23	mission_dw	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47961</>	NPC_TIMEPARADOX	Evil_Dw_Day	None	None	CommanderLv	None	74	74	3	None	Check_Mission_Day	-2	-5	<$>132069</>	Day Sqd Mcc3 	20
24	mission_rose	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47936</>	NPC_TIMEPARADOX	Evil_Rose_Day	None	None	CommanderLv	None	80	74	3	None	Check_Mission_Day	-8	-11	<$>132070</>	Day Sqd Mcc3 	20
25	mission_masu	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47973</>	NPC_TIMEPARADOX	Evil_Masu_Day	None	None	CommanderLv	None	77	73	3	None	Check_Mission_Day	-5	-8	<$>132070</>	Day Sqd Mcc3 	20
26	mission_sauterelle	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47945</>	NPC_TIMEPARADOX	Evil_Sauterelle_Day	None	None	CommanderLv	None	78	74	3	None	Check_Mission_Day	-6	-9	<$>132070</>	Day Sqd Mcc3 	20
27	mission_arbremon	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47942</>	NPC_TIMEPARADOX	Evil_Arbremon_Day	None	None	CommanderLv	None	79	74	3	None	Check_Mission_Day	-7	-10	<$>132070</>	Day Sqd Mcc3 	20
28	mission_cortes	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47959</>	NPC_TIMEPARADOX	Evil_Cortes_Day	None	None	CommanderLv	None	77	73	3	None	Check_Mission_Day	-5	-8	<$>132071</>	Day Sqd Mcc3 	20
29	mission_palace_02	0	0	<$>132053</>	None	None	None	reb_basic	1	<$>47849</>	C1_CASTLE_SOLM	Mission_Trump_02	None	None	AQ_AuchAide	None	69	69	3	None	Check_Mission_Day	4	0	<$>134627</>	Day Sqd Mcc1	90
30	mission_nephthys_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47958</>	NPC_TIMEPARADOX	Evil_Nephthys_Day	None	None	CommanderLv	None	72	67	3	None	Check_Mission_Day	-2	-5	<$>132073</>	Day Sqd Mcc3 	20
31	mission_dw_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47962</>	NPC_TIMEPARADOX	Evil_Dw_Day	None	None	CommanderLv	None	70	65	3	None	Check_Mission_Day	0	-3	<$>132074</>	Day Sqd Mcc3 	20
32	mission_rose_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47955</>	NPC_TIMEPARADOX	Evil_Rose_Day	None	None	CommanderLv	None	75	69	3	None	Check_Mission_Day	-5	-8	<$>132075</>	Day Sqd Mcc3 	20
33	mission_masu_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47974</>	NPC_TIMEPARADOX	Evil_Masu_Day	None	None	CommanderLv	None	70	66	3	None	Check_Mission_Day	0	-3	<$>132075</>	Day Sqd Mcc3 	20
34	mission_sauterelle_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47957</>	NPC_TIMEPARADOX	Evil_Sauterelle_Day	None	None	CommanderLv	None	74	70	3	None	Check_Mission_Day	-4	-7	<$>132075</>	Day Sqd Mcc3 	20
35	mission_arbremon_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47956</>	NPC_TIMEPARADOX	Evil_Arbremon_Day	None	None	CommanderLv	None	75	70	3	None	Check_Mission_Day	-5	-8	<$>132075</>	Day Sqd Mcc3 	20
36	mission_cortes_normal	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>47960</>	NPC_TIMEPARADOX	Evil_Cortes_Day	None	None	CommanderLv	None	73	69	3	None	Check_Mission_Day	-3	-6	<$>132076</>	Day Sqd Mcc3 	20
37	mission_btl_viron03	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>29393</>	C1_VIRON_FOREST_SOL	Viron_M2_Check	None	None	CommanderLv	None	72	62	3	None	Check_Mission_Day	3	-6	<$>132077</>	Day Sqd Mcc3	20
38	mission_btl_bah06	0	0	None	None	LumpOfSliver 3, ExpeditionMemo 30	None	btl_bah05	1	<$>110861</>	MISSION_BAH_01	Bah_Day	None	Bah_Day_Use	None	None	74	69	3	None	Check_Mission_Day	1	-8	<$>132078</>	Day Sqd Mcc3	0
39	mission_alca01	0	0	<$>132079</>	None	None	None	bst_basic	2	<$>101127</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	None	85	76	4	None	Check_Mission_Day	24	-17	<$>132080</>	Day Sqd Mcc3	119
40	mission_alca02	0	0	<$>132079</>	None	PrisonKey2 1	None	bst_basic	2	<$>101128</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	82	76	4	None	Check_Mission_Day	24	-14	<$>132081</>	Day Sqd Mcc3	119
41	mission_alca03	0	0	<$>132079</>	None	PrisonKey3 1	None	bst_basic	2	<$>101129</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	81	79	4	None	Check_Mission_Day	21	-13	<$>132082</>	Day Sqd Mcc3	119
42	mission_alca04	0	0	<$>132079</>	None	PrisonKey4 1	None	bst_basic	2	<$>101130</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	80	81	4	None	Check_Mission_Day	20	-12	<$>132082</>	Day Sqd Mcc3	119
43	mission_alca05	0	0	<$>132079</>	None	PrisonKey5 1	None	bst_basic	2	<$>101131</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	85	87	4	None	Check_Mission_Day	15	-16	<$>132082</>	Day Sqd Mcc3	119
44	mission_alca06	0	0	<$>132079</>	None	PrisonKey6 1	None	bst_basic	2	<$>101132</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	81	82	4	None	Check_Mission_Day	19	-11	<$>132083</>	Day Sqd Mcc3	119
45	mission_alca07	0	0	<$>132079</>	None	PrisonKey7 1	None	bst_basic	2	<$>101133</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	84	84	4	None	Check_Mission_Day	16	-13	<$>132082</>	Day Sqd Mcc3	119
46	mission_alca08	0	0	<$>132079</>	None	PrisonKey8 1	None	bst_basic	2	<$>101134</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	89	89	4	None	Check_Mission_Day	11	-18	<$>132084</>	Day Sqd Mcc3	119
47	mission_alca09	0	0	<$>132079</>	None	PrisonKey9 1	None	bst_basic	2	<$>101135</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	82	82	4	None	Check_Mission_Day	18	-11	<$>132082</>	Day Sqd Mcc3	119
48	mission_alca10	0	0	<$>132079</>	None	PrisonKey10 1	None	bst_basic	2	<$>103038</>	BST_1DAY_TIGRES	Mission_tigresdate	Mission_tigrescount	None	XQ_Kess	<$>132048</>	82	80	4	None	Check_Mission_Day	20	-9	<$>132082</>	Day Sqd Mcc3	119
49	mission_arm_chaos	0	0	<$>141893</>	None	None	None	arm_dunbasic	1	<$>121329</>	arm_necrobible	AbyssKnight_Today	None	None	None	None	80	80	4	None	Check_Mission_Day	20	-8	<$>132086</>	Day Sqd Mcc3	0
50	mission_dragon	0	0	None	None	None	SymbolofJormongand 1	btl_reb06	1	<$>2170</>	CREATE_LOBBY_DRAGON	Dragon_Today	None	None	None	None	67	67	2	None	Check_Mission_Day	2	-3	<$>132087</>	Day Sqd Mcc3	0
51	mission_dun_jaq_under	0	0	None	None	None	None	dun_jaq05	1	<$>16310</>	JAQ_UNDER_GATE_OPEN	Jaq_Under	None	None	None	None	74	74	3	None	Check_Mission_Day	1	-8	<$>132054</>	Day Sqd	0
52	mission_thefortress_o_c	0	0	None	None	None	None	fld_coim	1	<$>8312</>	MISSION_JAQ	Fortressoc_Today	None	None	None	None	62	62	1	None	Check_Mission_Day	4	-2	<$>132086</>	Day Mer Mcc3 Sqd 	0
53	mission_thefortress_d_c	0	0	None	None	None	None	fld_coim	1	<$>8313</>	MISSION_JAQ	Fortressdc_Today	None	None	None	None	57	57	1	None	Check_Mission_Day	6	0	None	Day Mer Mcc3 Sqd 	0
54	mission_bladeante	0	4	None	None	Key_ANTE 1	None	fld_coim	1	<$>8322</>	MISSION_JAQ	Today_Nightmare	None	Today_Nightmare_Use	None	None	59	59	1	None	Check_Mission_Day	6	0	<$>132078</>	Day Mer Mcc3 Sqd 	0
55	mission_swampangler	0	2	None	None	Key_BAH 1	None	fld_coim	1	<$>8320</>	MISSION_JAQ	Today_Swam	None	Today_Swam_Use	None	None	55	55	1	None	Check_Mission_Day	6	0	<$>132078</>	Day Mer Mcc3 Sqd 	0
56	mission_daily_gullfaxi	0	6	None	None	Key_GULLFAX 1	None	fld_coim	1	<$>29435</>	MISSION_JAQ	Today_Gullfaxi	None	Today_Gullfaxi_Use	None	None	53	56	1	None	Check_Mission_Day	9	0	<$>132086</>	Day Mer Mcc3 Sqd 	0
57	mission_dun_ust_boss	0	6	None	None	BossKey_UST 1	None	fld_coim	1	<$>8319</>	MISSION_JAQ	Mission_Dunustboss	None	Mission_ustboss_Use	None	None	52	52	1	None	Check_Mission_Day	13	0	<$>132086</>	Day Mer Mcc3 Sqd 	0
58	mission_leo	0	5	None	None	Key_LEO 1	None	fld_coim	1	<$>8323</>	MISSION_JAQ	Today_GlacialLeo	None	Today_Leo_Use	None	None	59	59	1	None	Check_Mission_Day	6	0	<$>132054</>	Day Mer Mcc3 Sqd 	0
59	mission_dun_jaq_boss_v	0	5	None	None	BossKey_JAQ 1	None	fld_coim	1	<$>8318</>	MISSION_JAQ	today_jaqboss	None	today_jaqboss_use	None	None	62	62	1	None	Check_Mission_Day	4	0	<$>132054</>	Day Mer Mcc3 Sqd 	0
60	mission_deadman	0	0	None	None	None	None	fld_coim	1	<$>8314</>	MISSION_JAQ	today_deadman	None	None	None	None	57	57	1	None	Check_Mission_Day	5	0	<$>132086</>	Day Mer Mcc3 Sqd 	0
61	mission_daily_mermaneater	0	3	None	None	Key_MERMAN 1	None	fld_coim	1	<$>8321</>	MISSION_JAQ	Today_Mermaneater	None	Today_Merm_Use	None	None	53	53	1	None	Check_Mission_Day	12	-3	<$>132078</>	Day Mer Mcc3 Sqd 	0
62	mission_dun_ptv_boss_v	0	4	None	None	BossKey_PTV 1	None	fld_coim	1	<$>48082</>	MISSION_JAQ	today_ptvboss	None	today_ptvboss_use	None	None	59	59	1	None	Check_Mission_Day	5	0	<$>132050</>	Day Mer Mcc3 Sqd 	0
63	mission_dun_ttr_boss_v	0	3	None	None	BossKey_TTR 1	None	fld_coim	1	<$>8316</>	MISSION_JAQ	today_ttrboss	None	today_ttrboss_use	None	None	57	57	1	None	Check_Mission_Day	5	0	<$>132050</>	Day Mer Mcc3 Sqd 	0
64	mission_rafflesia	0	0	None	None	Rafflesia_Leaf 1	None	fld_coim	1	<$>47396</>	MISSION_SINGLERAID	Raid_rafflesia	None	Raid_rafflesia_Use	None	None	57	57	2	None	Check_Mission_Day	7	0	<$>132078</>	Day Solo Mcc3	0
65	mission_sharffen	0	0	None	None	PlatinumMaul 1	None	fld_coim	1	<$>48352</>	MISSION_SINGLERAID	Raid_sharffen	None	Raid_sharffen_Use	None	None	59	59	2	None	Check_Mission_Day	3	0	<$>132054</>	Day Solo Mcc3	0
66	mission_dun_alq_boss_v	0	2	None	None	BossKey_ALQ 1	None	fld_coim	1	<$>29425</>	MISSION_JAQ	today_alqboss	None	today_alqboss_use	None	None	59	59	1	None	Check_Mission_Day	5	-2	<$>132054</>	Day Mer Mcc3 Sqd 	0
67	mission_dun_alq06	0	0	<$>132088</>	None	None	MoonStone 3, RedJewel4 1, BlueJewel4 1, GreenJewel4 1	dun_alq01	1	<$>29416</>	ALQ1_FOUNTAIN	Mission_Chamber	None	None	YQ_Andre	None	72	72	2	None	Check_Mission_Day	8	-5	<$>132089</>	Day Sqd Mcc3	40
68	mission_cas_mine	0	0	<$>132090</>	None	Ancient_Relic 1	None	cas_basic	0	<$>29411</>	TR_CAS_MINE	Date_Cas_Mine	None	None	QW_cas_basic	<$>132048</>	54	54	1	None	Check_Mission_Day	10	0	<$>132091</>	Etc Mcc3 Rep Sqd 	1
69	mission_cas_relic	0	0	<$>132090</>	None	Ancient_Gold_Relic 1	None	btl_cas01	0	<$>29414</>	TR_CAS_RELIC	Date_Cas_Relic	None	None	QW_cas_basic	<$>132048</>	64	64	2	None	Check_Mission_Day	4	-4	<$>132092</>	Etc Mcc3 Rep Sqd 	1
70	mission_tower_of_chaos	0	0	<$>132090</>	None	Ancient_Gold_Relic 1	None	btl_cas02	0	<$>29415</>	TR_TOWER_OF_CHAOS	Date_Cas_Tower	None	None	QW_cas_basic	<$>132048</>	67	67	3	None	Check_Mission_Day	8	0	<$>132093</>	Etc Mcc3 Rep Sqd 	1
71	mission_clocktower_01	0	0	<$>132094</>	None	SpellKey 1	None	viron_basic	0	<$>47882</>	NPC_CLOCK_GATE	None	None	Lock_ClockKey	YQ_Fahrel	<$>132048</>	77	67	3	None	Check_Mission_Day	13	-17	<$>132050</>	Etc Mcc1 Rep Sqd 	20
72	mission_clocktower_02	0	0	<$>132094</>	None	ClockTowerKey2 1	None	viron_basic	0	<$>47883</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	68	63	3	None	Check_Mission_Day	17	-5	<$>132050</>	Etc Mcc1 Rep Sqd 	20
73	mission_clocktower_03	0	0	<$>132094</>	None	ClockTowerKey3 1	None	viron_basic	0	<$>47884</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	70	65	3	None	Check_Mission_Day	15	-7	<$>132050</>	Etc Mcc1 Rep Sqd 	20
74	mission_clocktower_04	0	0	<$>132094</>	None	ClockTowerKey4 1	None	viron_basic	0	<$>47885</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	71	66	3	None	Check_Mission_Day	14	-8	<$>132050</>	Etc Mcc1 Rep Sqd 	20
75	mission_clocktower_05	0	0	<$>132094</>	None	ClockTowerKey5 1	None	viron_basic	0	<$>47886</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	73	71	3	None	Check_Mission_Day	9	-10	<$>132050</>	Etc Mcc1 Rep Sqd 	20
76	mission_clocktower_06	0	0	<$>132094</>	None	ClockTowerKey6 1	None	viron_basic	0	<$>47887</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	72	67	3	None	Check_Mission_Day	13	-6	<$>132050</>	Etc Mcc1 Rep Sqd 	20
77	mission_clocktower_07	0	0	<$>132094</>	None	ClockTowerKey7 1	None	viron_basic	0	<$>47888</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	78	69	3	None	Check_Mission_Day	11	-8	<$>132050</>	Etc Mcc1 Rep Sqd 	20
78	mission_clocktower_08	0	0	<$>132094</>	None	ClockTowerKey8 1	None	viron_basic	0	<$>47889</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	74	69	3	None	Check_Mission_Day	11	-5	<$>132050</>	Etc Mcc1 Rep Sqd 	20
79	mission_clocktower_09	0	0	<$>132094</>	None	ClockTowerKey9 1	None	viron_basic	0	<$>47890</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	79	69	3	None	Check_Mission_Day	11	-9	<$>132050</>	Etc Mcc1 Rep Sqd 	20
80	mission_clocktower_10	0	0	<$>132094</>	None	ClockTowerKey10 1	None	viron_basic	0	<$>47891</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	77	72	3	None	Check_Mission_Day	8	-7	<$>132050</>	Etc Mcc1 Rep Sqd 	20
81	mission_clocktower_11	0	0	<$>132094</>	None	ClockTowerKey11 1	None	viron_basic	0	<$>47892</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	76	71	3	None	Check_Mission_Day	9	-6	<$>132050</>	Etc Mcc1 Rep Sqd 	20
82	mission_clocktower_12	0	0	<$>132094</>	None	ClockTowerKey12 1	None	viron_basic	0	<$>47893</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	77	72	3	None	Check_Mission_Day	8	-7	<$>132050</>	Etc Mcc1 Rep Sqd 	20
83	mission_clocktower_boss	0	0	<$>132094</>	None	ClockTowerKey13 1	None	viron_basic	0	<$>47881</>	NPC_CLOCK_GATE	None	None	None	YQ_Fahrel	<$>132048</>	77	72	3	None	Check_Mission_Day	8	-7	<$>132050</>	Etc Mcc1 Rep Sqd 	20
84	mission_griffon	0	0	None	None	TearsOfGriffon 1	None	fld_coim	1	<$>10005</>	MISSION_SINGLERAID	Raid_griffon	None	Raid_griffon_Use	None	<$>132048</>	69	69	3	None	Check_Mission_ETC	6	-1	<$>156748</>	Etc Solo Mcc3	0
85	mission_uraeus	0	0	None	None	Scale_uraeus 1	None	fld_coim	1	<$>29453</>	MISSION_SINGLERAID	Raid_uraeus	None	Raid_uraeus_Use	None	<$>132048</>	62	62	2	None	Check_Mission_ETC	12	4	<$>156749</>	Etc Solo Mcc3	0
86	raid_hellvally	0	0	None	None	None	None	fld_coim	1	<$>49995</>	MISSION_SINGLERAID	Hellgate_Today	None	None	None	<$>132048</>	70	70	3	None	Check_Mission_ETC	5	-2	<$>132097</>	Etc Solo Mcc3	0
87	mission_montorofinal	0	0	<$>132098</>	None	None	None	dun_caslucifer02	1	<$>47954</>	LUCIFER_1_3_CON	Mission_Montoro_Day	None	None	Lock_Dun_Caslucifer	<$>132048</>	83	78	3	None	Check_Mission_Week	-8	-15	<$>132099</>	Week Mcc3 Sqd	2
88	mission_bah_week	5000	0	None	None	SnailShell 10, CommPoint 5000	None	btl_bah05	1	<$>110692</>	MISSION_BAH_01	Bah_Week	None	Bah_Week_Use	None	<$>132048</>	87	77	3	None	Check_Mission_Week	-12	-19	<$>132050</>	Week Mcc3 Sqd	0
89	mission_sed_boss	2500	7	None	None	MysticCrystal02 10, CommPoint 2500	None	fld_coim	1	<$>47536</>	MISSION_TEAMRAID	Mission_Argus_Day	None	Mission_Argus_Use	None	<$>132048</>	67	67	2	None	Check_Mission_Week	5	-1	<$>132100</>	Week Sqd Mcc3	0
90	mission_daily_bahexpert	5000	1	None	None	Key_bahexpert 1, CommPoint 5000	None	fld_coim	1	<$>5992</>	MISSION_TEAMRAID	Mission_EXPBAH_Day	None	Mission_EXPBAH_Use	None	<$>132048</>	71	70	3	None	Check_Mission_Week	4	-6	<$>132086</>	Week Sqd Mcc3	0
91	mission_jaq_underpass	5000	1	None	None	Key_JAQUNDER 1, CommPoint 5000	None	fld_coim	1	<$>29451</>	MISSION_TEAMRAID	Mission_Jaqpass_Day	None	Mission_Jaqpass_Use	None	<$>132048</>	72	72	3	None	Check_Mission_Week	3	-7	<$>132054</>	Week Sqd Mcc3	0
92	mission_weekly_sekhmet	5000	7	None	None	CommPoint 5000	None	fld_coim	1	<$>47531</>	MISSION_TEAMRAID	Mission_Sekhmet_Day	None	Mission_Sekhmet_Use	None	<$>132048</>	64	64	2	None	Check_Mission_Week	8	0	<$>132050</>	Week Sqd Mcc3	0
93	mission_dun_sil01	5000	0	None	None	ShinyCrystal -1	None	fld_coim	0	<$>10241</>	MISSION_TEAMRAID	Mission_Elec_Day	Mission_Elec_Try	Mission_Elec_Use	None	<$>132048</>	59	59	1	None	Check_Mission_Day	10	0	<$>171722</>	Etc Sqd Mcc3 Rep Rank4	0
94	mission_expert_avernus	5000	1	None	None	Key_ttrexpert 1, CommPoint 5000	None	fld_coim	1	<$>29448</>	MISSION_TEAMRAID	Mission_Avernus_Day	None	Mission_Avernus_Use	None	<$>132048</>	70	70	3	None	Check_Mission_Week	5	-5	<$>132100</>	Week Sqd Mcc3	0
95	mission_abyss	5000	1	None	None	Key_losexpert 1, CommPoint 5000	None	fld_coim	1	<$>29446</>	MISSION_TEAMRAID	Mission_Trinity_Day	None	Mission_Trinity_Use	None	<$>132048</>	70	70	3	None	Check_Mission_Week	0	-4	<$>132086</>	Week Sqd Mcc3	0
96	mission_dun_ktv	2500	0	None	None	ShinyCrystal -1	None	fld_coim	0	<$>47965</>	MISSION_TEAMRAID	Mission_Novia_Day	Mission_Novia_Try	Mission_Novia_Use	None	<$>132048</>	66	66	3	None	Check_Mission_Day	4	0	<$>171723</>	Etc Sqd Mcc3 Rep Rank4	0
97	mission_challenge_01	0	0	None	None	None	None	guild_bounty	5	<$>117909</>	INFINITO	Challenge_Day	Challenge_Try	None	None	None	52	52	1	None	Check_Mission_Day	48	0	<$>132101</>	Day Bnt Solo Mcc3	0
98	mission_darkpriest	0	0	<$>141893</>	None	None	None	arm_dunbasic	1	<$>127223</>	arm_necrobible	DarkPriest_Today	None	None	None	None	74	74	4	None	Check_Mission_Day	26	-2	<$>132100</>	Day Sqd Mcc3	0
99	mission_bst_night	0	0	<$>132056</>	None	None	None	bst_basic	1	<$>88236</>	bst_mission	Bst_Night	None	None	CommanderLv	None	74	54	3	None	Check_Mission_Day	-4	-8	<$>132054</>	Day Sqd Mcc3	30
100	mission_hostage	0	0	<$>132102</>	None	None	None	bst_basic	1	<$>92928</>	C1_BST_KAIN	Bst_HostDate	None	None	CommanderLv	None	70	70	3	None	Check_Mission_Day	0	-6	<$>132103</>	Day Sqd Mcc3	30
