ClassID	ClassName	ConditionCheckScp	ConsumePoint	GroupName	Img	LimitCount	MinimumCost	Name	TooltipScp	UIPosition
100	CM_AttackUp2	None	5	Defence	cm_AttackUp4.bmp	1	0	<$>210338</>	TIP_CM_AttackUp2	R 26 65
101	CM_ASPDUp2	CheckOkSkill2	10	Defence	cm_ASPDUp2.bmp	1	0	<$>88165</>	TIP_CM_ASPDUp2	R 26 205
102	CM_SoftAtkDam1	CheckOkSkill2	15	Defence	CM_SoftAtkDam1.bmp	1	0	<$>210339</>	TIP_CM_SoftAtkDam1	R 26 345
103	CM_MagicCon	CheckOkSkill2	10	Defence	CM_MagicCon.bmp	1	0	<$>210340</>	TIP_CM_MagicCon	R 26 485
104	CM_SklDamUp	CheckOkSkill2	5	Defence	CM_SklDamUp.bmp	1	0	<$>210341</>	TIP_CM_SklDamUp	R 99 135
105	CM_PcDef	CheckOkSkill2	10	Defence	cm_PcDef.bmp	1	0	<$>58878</>	TIP_CM_PcDef	R 99 275
106	CM_DefIPUp	CheckOkSkill2	20	Defence	cm_DefIPUp.bmp	1	0	<$>88167</>	TIP_CM_DefIPUp	R 99 415
107	CM_MediummAtkDam1	CheckOkSkill2	15	Defence	CM_MediummAtkDam1.bmp	1	0	<$>210342</>	TIP_CM_MediummAtkDam1	R 172 345
108	CM_MagicDes	CheckOkSkill2	10	Defence	CM_MagicDes.bmp	1	0	<$>210220</>	TIP_CM_MagicDes	R 172 485
109	CM_NolDamUp	CheckOkSkill2	5	Defence	CM_NolDamUp.bmp	1	0	<$>210343</>	TIP_CM_NolDamUp	R 245 135
110	CM_MonDef2	CheckOkSkill2	10	Defence	cm_MonDef3.bmp	1	0	<$>210344</>	TIP_CM_MonDef2	R 245 275
111	CM_IMPUP1	CheckOkSkill2	20	Defence	cm_IMPUP1.bmp	1	0	<$>88184</>	TIP_CM_IMPUP1	R 245 415
112	CM_MaxHpUp4	None	5	Defence	cm_MaxHpUp4.bmp	1	0	<$>88178</>	TIP_CM_MaxHpUp4	R 318 65
113	CM_HPDrain	CheckOkSkill2	10	Defence	cm_HPDrain.bmp	1	0	<$>88199</>	TIP_CM_HPDrain	R 318 205
114	CM_MetalDam1	CheckOkSkill2	15	Defence	CM_MetalDam1.bmp	1	0	<$>210345</>	TIP_CM_MetalDam1	R 318 345
115	CM_Endurence	CheckOkSkill2	5	Defence	CM_Endurence.bmp	1	0	<$>210346</>	TIP_CM_Endurence	R 318 485
200	CM_MonAtk3	None	1	Utility	cm_MonAtk4.bmp	5	0	<$>88171</>	TIP_CM_MonAtk3	R 318 65
201	CM_AttackUp3	CheckOkSkill3	2	Utility	cm_AttackUp4.bmp	5	0	<$>88161</>	TIP_CM_AttackUp3	R 318 205
202	CM_ShootRud	CheckOkSkill3	5	Utility	CM_ShootRud.bmp	1	0	<$>44685</>	TIP_CM_ShootRud	R 99 135
203	CM_MagicRud	CheckOkSkill3	5	Utility	CM_MagicRud.bmp	1	0	<$>210347</>	TIP_CM_MagicRud	R 172 135
204	CM_MeleeRud	CheckOkSkill3	5	Utility	CM_MeleeRud.bmp	1	0	<$>151746</>	TIP_CM_MeleeRud	R 245 135
205	CM_MaxHpUp6	None	1	Utility	cm_MaxHpUp8.bmp	5	0	<$>88179</>	TIP_CM_MaxHpUp6	R 26 65
206	CM_MonDef3	CheckOkSkill3	2	Utility	cm_MonDef4.bmp	5	0	<$>88188</>	TIP_CM_MonDef3	R 26 205
207	CM_DefenceUp3	CheckOkSkill3	10	Utility	cm_DefenceUp2.bmp	1	0	<$>88182</>	TIP_CM_DefenceUp3	R 99 275
208	CM_RangeDam	CheckOkSkill3	10	Utility	CM_RangeDam.bmp	1	0	<$>210348</>	TIP_CM_RangeDam	R 172 275
209	CM_SPReduce	CheckOkSkill3	10	Utility	CM_SPReduce.bmp	1	0	<$>210349</>	TIP_CM_SPReduce	R 245 275
210	CM_MeleeDam	CheckOkSkill3	15	Utility	CM_MeleeDam.bmp	1	0	<$>210350</>	TIP_CM_MeleeDam	R 99 345
211	CM_ShooTDam	CheckOkSkill3	15	Utility	CM_ShooTDam.bmp	1	0	<$>210351</>	TIP_CM_ShooTDam	R 172 345
212	CM_MagicDam	CheckOkSkill3	15	Utility	CM_MagicDam.bmp	1	0	<$>210352</>	TIP_CM_MagicDam	R 245 345
213	CM_StrUp	CheckOkSkill3	20	Utility	CM_StrUp.bmp	1	0	<$>27277</>	TIP_CM_StrUp	R 99 415
214	CM_DexUp	CheckOkSkill3	20	Utility	CM_DexUp.bmp	1	0	<$>27279</>	TIP_CM_DexUp	R 172 415
215	CM_IntUp	CheckOkSkill3	20	Utility	CM_IntUp.bmp	1	0	<$>27280</>	TIP_CM_IntUp	R 245 415
216	CM_Evasion	CheckOkSkill3	5	Utility	cm_Evasion.bmp	1	0	<$>210353</>	TIP_CM_Evasion	R 99 485
217	CM_CrtDam	CheckOkSkill3	5	Utility	CM_CrtDam.bmp	1	0	<$>210354</>	TIP_CM_CrtDam	R 172 485
218	CM_HealDam	CheckOkSkill3	5	Utility	CM_HealDam.bmp	1	0	<$>210355</>	TIP_CM_HealDam	R 245 485
