ActionCamDist	ActionCamFreq	AtkLayer	Buff	BuffAlarmOnBoth	BuffAlarmOnEnemy	BuffAlarmOnMCC	BuffAlarmOnMe	BuffFreq	BuffID	BuffType	CastDist	CastSkill	CastTime	ChargeAddR	ChargeGauge	ChargeType	ChaseTime	CheckBuff	CheckBuffLevel	ClassID	ClassName	ClassType	ComboSkill	CoolDown	CurStackSkillCount	DamageType	Desc	DmgTarget	DownTime	Drain	EngName	FileName	FlyingTime	HandType	HateAmnt	HitDist	HitTime	Hits	HoldTarget	HoldTime	IgnoreCastHIT	IgnoreDEF	InitCastTime	KBDist	KBTime	KDRank	KDownHAngle	KDownPower	KDownType	KDownVAngle	MaxPlacement	MaxR	MaxStackSkillCount	MinR	MoveDist	Name	OnAll	OnCorpse	OnEnemy	OnEqpShld	OnOthers	OnParty	OnSquad	OnSummon	OnTeam	OnTrigger	PerentSkillID	Placement	PvPFix	RefreshTime	RemBuff1	RemBuff2	RemBuff3	RemBuff4	RemBuff5	Script	SkillEndScript	SklATK	SklEXP	SklLv	SklLv_BM	SklMedium	SklMetal	SklRank	SklSoft	SpecDesc0	SpecDesc1	SpecDesc10	SpecDesc11	SpecDesc12	SpecDesc13	SpecDesc14	SpecDesc15	SpecDesc2	SpecDesc3	SpecDesc4	SpecDesc5	SpecDesc6	SpecDesc7	SpecDesc8	SpecDesc9	SpecialType	SpendCatal	SpendHP	SpendItemCount	SpendItemID	SpendSP	SplDam	SplLimit	SplType	SplashAngle	SplashRange	StackSkillChargeTime	StackSkillType	Target	TargetDesc	Uni	UseCheck	UseType	ValueType	ViewAllyCast	ViewEnemyCastName	WaveLength	XPType	kdDist
500	0	2	None	None	None	None	Destruido	0	0	Normal	0	TRUE	0	0	0	None	0	None	0	10555	Levantar	MELEE	None	25000	0	None	<$>59739</>	HP	1500	None	Levantar	tor_levantar	2210	RH	180	0	470	1	BOTH	2970	YES	170	0	0	3500	30	0	180	leftspin	89	0	300	0	1	170	<$>59738</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	384	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	15	0	1	0	100	100	5	100	<$>184583</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	<$>185481</>	ShieldBreak	0	0	0	0	440	1	3	Circle	0	300	0	None	Enemy	<$>185480</>	TRUE	FALSE	SPLASH_MELEE	Attack	0	1	0	20005	50
500	0	2	BrokenWeapon	None	None	None	Lightflow	100	845	FORCE	0	TRUE	600	0	0	None	0	None	0	10561	RapidShot	MELEE	None	8000	0	None	<$>59742</>	HP	1100	None	Rapid Shot	plt_rapidshot	608	RH	72	0	170	1	BOTH	800	YES	75	600	300	830	30	0	93	normal	30	0	1200	0	1	90	<$>59741</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	140	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	9.75	0	1	0	100	100	1	100	<$>184584</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	<$>146376</>	ShieldBreak	0	0	0	0	240	0	0	None	0	0	0	None	Enemy	<$>59953</>	TRUE	FALSE	MELEE	Attack	0	1	0	20001	300
500	0	1	KingSpirit	None	None	None	None	0	98	FORCE	0	TRUE	1000	0	0	None	0	None	0	10571	Kingspirit	BUFF	None	20000	0	None	<$>59775</>	HP	0	None	King spirit	sbg_kingspirit	0	RH	0	0	0	0	SELF	1900	YES	0	1000	0	0	0	0	0	normal	30	0	100	0	0	0	<$>59774</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	290	none	none	none	none	none	SCR_SKILL_BUFF	None	0	0	1	0	100	100	1	100	<$>184589</>	<$>82079</>	<$>82088</>	<$>82089</>	<$>82090</>	<$>82091</>	<$>82092</>	<$>82093</>	<$>82080</>	<$>82081</>	<$>82082</>	<$>82083</>	<$>82084</>	<$>82085</>	<$>82086</>	<$>82087</>	none	0	0	0	0	500	0	0	None	0	0	0	None	None	<$>58026</>	TRUE	FALSE	SELF	Buff	0	1	0	20001	300
500	0	1	None	None	CriticalWound	None	None	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	10572	Crescendo	MELEE	None	12000	0	None	<$>59793</>	HP	1200	None	Crescendo	sbg_crescendo	1209	DH	239	250	2870	7	BOTH	3970	YES	150	0	400	1500	30	0	180	rightspin	75	0	125	0	1	300	<$>59792</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	397	none	none	none	none	none	SCR_SKILL_ATTACK	None	27.5	0	1	0	100	100	2	100	<$>184590</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	<$>185482</>	Ignoreparry	0	0	0	0	450	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	1	0	20002	200
500	0	2	None	None	CriticalWound	None	None	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	10574	Windblow	MELEE	None	15000	0	None	<$>59802</>	HP	900	None	Wind blow	sbg_windblow	873	DH	193	400	1800	7	BOTH	3000	YES	130	0	300	2330	30	0	180	normal	75	0	400	0	1	600	<$>59801</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	333	none	none	none	none	none	SCR_SKILL_ATTACK	None	22.5	0	1	0	100	100	4	100	<$>184592</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	<$>185484</>	Ignoreparry	0	0	0	0	500	1	8	Circle	0	500	0	None	Enemy	<$>59803</>	TRUE	FALSE	SPLASH_MELEE	Attack	0	1	0	20004	100
500	0	2	CriticalWound	None	None	None	None	50	24	Normal	80	TRUE	1533	0	0	None	0	None	0	10575	Soulcrash	MELEE	None	15000	0	None	<$>59807</>	HP	1400	None	Soulcrash	sbg_soulcrash	770	DH	172	0	370	1	BOTH	1770	YES	120	1533	500	2600	30	0	120	normal	30	0	1500	0	100	100	<$>59806</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	350	none	none	none	none	none	SCR_SKILL_ATTACK	None	25	0	1	0	100	100	5	100	<$>184593</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	<$>185485</>	Ignoreparry	0	0	0	0	600	1	15	Square	0	400	0	None	Wave	<$>208853</>	TRUE	FALSE	AREA	Attack	0	1	1500	20005	500
1200	0	2	Venom	None	None	None	Destruido	50	476	Normal	0	TRUE	500	0	0	None	0	None	0	10602	ThrowWeapons	SHOOT	None	18000	0	None	<$>81323</>	HP	1200	None	Throw Weapons	dve_thweapons	899	DH	130	0	1000	2	BOTH	1630	YES	90	500	0	1300	30	0	87	normal	45	0	1200	0	200	250	<$>81322</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	363	none	none	none	none	none	SCR_SKILL_PLACEATTACK	SCR_SKILL_REMOVEBUFF	5	0	1	0	100	100	2	100	<$>184605</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	<$>182241</>	DistanceFire	0	0	0	0	250	0	0	None	0	0	0	None	Enemy	<$>81324</>	TRUE	FALSE	MISSILE	Attack	0	1	0	20002	300
500	0	1	Blockade	None	None	None	Hightide	50	478	Normal	0	FALSE	0	0	0	None	0	None	0	10684	DanceofDeath	MELEE	None	12000	0	None	<$>60004</>	HP	1000	None	Dance of Death	dch_danceofdeath	614	DH	185	720	5000	7	BOTH	6000	YES	130	0	150	1800	30	0	82	leftspin	35	0	150	0	0	720	<$>60003</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	600	none	none	none	none	none	SCR_SKILL_ROIDATTACK	SCR_SKILL_REMOVEBUFF	31	0	1	0	150	95	4	120	<$>184641</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	<$>109977</>	Hightide	0	0	0	0	540	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	0	0	20004	250
500	0	1	Prophecy	None	None	None	Hightide	60	479	Normal	0	FALSE	0	0	0	None	0	None	0	10685	Chopping	MELEE	None	15000	0	None	<$>60008</>	HP	1100	None	Chopping	dch_chopping	663	DH	266	620	4000	8	BOTH	5430	YES	120	0	200	2430	30	0	89	rightspin	35	0	350	0	0	680	<$>60007</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	543	none	none	none	none	none	SCR_SKILL_ROIDATTACK	SCR_SKILL_REMOVEBUFF	47	0	1	0	150	90	5	120	<$>184642</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	<$>109978</>	Hightide	0	0	0	0	640	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	0	0	20005	300
500	0	2	Paralysis	None	None	None	None	10	266	Normal	0	TRUE	1033	0	0	None	0	None	0	10693	MiserableFantasma	SHOOT	None	20000	0	None	<$>60052</>	HP	1000	None	Miserable Fantasma	bas_miserablefantasma	788	DH	111	0	830	1	BOTH	2170	YES	80	1033	200	1940	30	0	87	normal	45	0	800	0	100	0	<$>60051</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	320	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_END_LIB	5.13	0	1	0	100	100	3	100	<$>184645</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	<$>60055</>	none	0	0	0	0	440	1	8	Circle	0	500	0	None	Ground	<$>151831</>	TRUE	FALSE	AREA	Attack	0	1	0	20003	300
500	0	1	None	None	Paralysis Paralysis2	None	Revenge	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	10694	BackStab	MELEE	None	20000	0	None	<$>103917</>	HP	600	None	Back Stab	bas_backstab	474	DH	238	0	1730	3	BOTH	2700	YES	120	0	100	1770	30	0	50	stomachhit	45	0	150	0	0	491	<$>60056</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	270	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	11.67	0	1	0	100	100	4	100	<$>184646</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	<$>60059</>	BackStab	0	0	0	0	440	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	1	0	20004	100
1200	0	1	None	None	Paralysis Paralysis2	None	Revenge	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	10695	FatalMove	MELEE	None	25000	0	None	<$>103918</>	HP	1100	None	Fatal Move	bas_fatalmove	663	DH	307	420	3330	8	BOTH	5300	YES	130	0	1000	2970	30	0	89	rightspin	35	0	150	0	0	410	<$>60060</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	530	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	14.9	0	1	0	100	100	5	100	<$>184647</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	<$>103919</>	BackStab	0	0	0	0	540	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	1	0	20005	300
1200	0	1	Counter	None	None	None	None	100	0	FORCE	0	FALSE	0	0	0	None	0	None	0	10701	Counter	BUFF	None	10000	0	None	<$>99433</>	HP	0	None	Counter	cbs_counter	0	RH	0	0	0	0	SELF	1033	YES	0	0	0	0	0	0	0	normal	0	0	100	0	0	0	<$>3190</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	100	none	none	none	none	none	SCR_SKILL_BUFF	None	0	0	1	0	100	100	1	100	<$>184648</>	<$>111791</>	<$>111791</>	<$>111792</>	<$>111792</>	<$>111792</>	<$>111792</>	<$>111792</>	<$>111791</>	<$>111791</>	<$>111791</>	<$>111791</>	<$>111791</>	<$>111791</>	<$>111791</>	<$>111791</>	none	0	0	0	0	300	0	0	None	0	0	0	None	None	<$>58026</>	TRUE	FALSE	SELF	Buff	0	0	0	20001	0
500	0	1	Stun	None	None	None	Counter	50	0	Normal	0	FALSE	0	0	0	None	0	None	0	10703	ShootingBlow	MELEE	None	30000	0	None	<$>99443</>	HP	1000	None	Shooting Blow	cbs_oneinchblow	1000	DH	132	0	900	1	BOTH	1900	YES	130	0	0	1000	30	0	50	normal	89	0	700	0	1	680	<$>99442</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	220	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	14	0	1	0	100	100	5	100	<$>184650</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	<$>99446</>	ShieldBreak	0	0	0	0	500	0	0	None	0	0	0	None	Enemy	<$>99444</>	TRUE	FALSE	MELEE	Attack	0	0	0	20005	10
500	0	1	Confusion	None	None	None	Counter	50	18	Normal	0	TRUE	1033	0	0	None	0	None	0	10704	Voltexpear	MELEE	None	16000	0	None	<$>99448</>	HP	1000	None	Voltexpear	cbs_voltexpear	1000	DH	178	0	830	2	BOTH	1666	YES	100	1033	0	1500	30	0	110	normal	45	0	700	0	1	700	<$>99447</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	150	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	24	0	1	0	100	100	4	100	<$>184651</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	<$>99451</>	none	0	0	0	0	400	1	8	Circle	0	400	0	None	Wave	<$>99449</>	TRUE	FALSE	AREA	Attack	0	1	400	20004	300
500	0	1	None	None	None	None	Counter	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	10705	CutUpper	MELEE	None	20000	0	None	<$>99453</>	HP	0	None	CutUpper	cbs_crossattack	0	DH	210	0	1300	4	BOTH	1900	YES	120	0	0	866	30	0	187	normal	75	0	150	0	1	0	<$>99452</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	270	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	27.5	0	1	0	100	100	3	100	<$>184652</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	<$>99455</>	ShieldBreak	0	0	0	0	300	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	1	0	20003	200
