AGI	AnimType	AttachEffectIndex	AttachEffectIndexBattle	BodyType	BoneType	BuffMidOffset	BuffTopOffset	CHA	CON	Cache	Category	CharacterBuff	CharacterBuffLv	ClassID	ClassName	ClassType	ClothType	CollectCard	CommPoint	CostumeListFemale	CostumeListMale	Create	CreationCard	DEAD	DEX	DamageOffset	DefaultArmor	DefaultArmorName	DefaultInvenItem	DefaultInvenItemCount	DefaultLWeapon	DefaultRWeapon	DefaultStance	Dummy_N_LH	Dummy_N_RH	EdgeColor	EngName	EqpAchieveSet	EqpArmorSet	EqpArtifactSet	EqpAssistSet	EqpBackSet	EqpBeltSet	EqpBootsSet	EqpBreastSet	EqpCostumeSet	EqpEarSet	EqpFaceSet	EqpGloveSet	EqpHeadSet	EqpNeckSet	EqpRingSet	EqpShoulderSet	EqpWeaponSet	EquipTown	EventCard	ExpeditionTag	ExpertStance	Gender	HairType	HeadType	HitDummy	HitOffset	Home	IDL	INT	IconClass	JobDesc	JobSkill	JobSklName	KillVoice	LODDist	Mass	Name	OriginalDEADAni	PICK	PINCH	PoseType	RUN	RootNode	Rotation	RuneWordPercentage	STD	STR	STUN	ScaleF	ScaleM	SelfHitEffect	Size	TopDummy	UniqueHit	Value	VeteranStance	WLK	WeaponScale	WeightRatio	initLv
50	FGT	None	None	PC_SET_COOK_BODY	PC_SET_COOK	134	195	50	75	TRUE	Cityzen	ChaMSATK	1	17	Panfilo	COOK	Normal	29010	0	None	None	Hire	22012	None	40	154	15001	CrecementoLeather	0	0	10000	7201	Bareknuckle,BackGuard,HackandSlash,FlameGuard,MiddleGuard	None	None	FFFFFF00	Panfilo	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosCook,CosCookAll	None,Ear	None,	None,Glove,LGlove	None,HatCook,HatCookAll	None,Necklace	None,Ring	None,Shoulder	1700,1701,1702,1703,1704,1705,1706	TRUE	22510	26,74,41	None	Male	PC_SET_COOK_HAIR	PC_SET_COOK_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_FGT	70	fighter	<$>91743</>	2009	BattleCook	None	1200	1	<$>11192</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	70	PC_STUN_FGT	0	0.913	HIT_Blood_Human	S	Dummy_State	NO	315	LowGuard	PC_WLK_FGT	None	1	40
50	MUS	None	None	PC_SET_ART_BODY	PC_SET_ART	134	196	40	50	TRUE	Soldier	ChaIncDEX	1	18	Jose	ART	Normal	29011	0	None	None	Hire	22013	None	85	154	15002	CrecementoMetal	0	0	10000	7214	Bareknuckle,BlandirCruz,SiegeBurst,PenetrarCruz	None	None	FFFFFF00	Cortasar	None,Achieve	None,Leather,Metal	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosInvisible,CosJose	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatJose	None,Necklace	None,Ring	None,Shoulder	1800,1801,1802	TRUE	22511	27,41,6	None	Male	PC_SET_ART_HAIR	PC_SET_ART_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_ART	50	musketeer	<$>91744</>	2007	SiegeMode	None	1200	1.1	<$>11136</>	NO	PC_PICK_MUS	PC_PINCH_MUS	FISH	PC_RUN_MUS	Bip01	TRUE	0	PC_STD_ART	50	PC_STUN_MUS	0	0.852	HIT_Blood_Human	S	Dummy_State	NO	325	MightyCruz,GiganticMarksmanship	PC_WLK_ART	None	2	60
80	PIR	None	None	PC_SET_PIR_BODY	PC_SET_PIR	128	187	50	60	TRUE	Cityzen	ChaASPD	2	19	Adelina	PIR	Normal	29012	0	None	None	Hire	22014	None	60	147	4103	SettlerLeather_Normal	0	0	10000	308	Bareknuckle,MiddleGuard,FreestyleShot,BackGuard,TwinBlades,HeavenorHell,DoublegunsShot	None	None	FFFFFF00	Adelina	None,Achieve	None,Leather	None,Artifact	None,Pistol	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosPirate,CosAdel2,CosAven	None,Ear,EarAdel	None,	None,Glove,LGlove	None,HatPirate,HatAdel2,HatAven	None,Necklace	None,Ring	None,Shoulder	1900,1901,1902,1903,1904,1905	TRUE	22512	27,55,68	None	Female	PC_SET_PIR_HAIR	PC_SET_PIR_HEAD	Bip01 Spine1	128	GranadoEspada	PC_IDL_PIR	30	fighter	<$>47013</>	2004	SwordCraft	None	1200	1	<$>11182</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_PIR	Bip01	TRUE	0	PC_STD_PIR	90	PC_STUN_FGT	0.944	0	HIT_Blood_Human	S	Dummy_State	NO	370	LowGuard	PC_WLK_PIR	None	1	40
30	WIZ	None	None	PC_SET_SHAM_BODY	PC_SET_SHAM	142	207	70	60	TRUE	Cityzen	ChaMHP	1	20	MBoma	SHAM	Normal	29013	0	None	None	Hire	22015	None	40	163	15003	CrecementoCoat	21114	10	10000	7221	PhantomIllusion,PossessionFire,EvocationFire,Levitation	None	None	FFFFFF00	M'Boma	None,Achieve	None,Coat,Robe	None,Artifact	None	None,Back	None,Belt	None,Boots	None,Breast	None,CosInvisible,CosMbo	None,Ear	None,FaceMbo	None,Glove	None,HatMbo,HatRab	None,Necklace	None,Ring	None,Shoulder	2000,2001,2003,2004,2005,100110,100111	TRUE	22513	22,74,46	None	Male	PC_SET_SHAM_HAIR	PC_SET_SHAM_HEAD	Bip01 Spine1	142	GranadoEspada	PC_IDL_WIZ	70	wizard	<$>91746</>	2005	Powerabsinia	None	1200	1	<$>5153</>	NO	PC_PICK_WIZ	PC_PINCH_WIZ	WIZ	PC_RUN_WIZ	Bip01	TRUE	0	PC_STD_WIZ	30	PC_STUN_WIZ	0	0.984	HIT_Blood_Human	S	Dummy_State	NO	300	Anathema,DominationFire	PC_WLK_WIZ	None	1	60
70	SCT	None	None	PC_SET_SOHO_BODY	PC_SET_SOHO	136	199	50	50	TRUE	Cityzen	ChaCRTATK	1	21	Soho	SOHO	Normal	29014	0	None	None	Hire	22016	None	60	156	15001	CrecementoLeather	0	0	10000	7208	Bareknuckle,Fortitudo,Escrima	None	None	FFFFFF00	Soho	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosSoho,CosSohoAll	None,Ear	None,	None,Glove,LGlove	None,HatSoho,HatSohoAll	None,Necklace	None,Ring	None,Shoulder	2100,2101,2102	TRUE	22514	27,63,55	None	Male	PC_SET_SOHO_HAIR	PC_SET_SOHO_HEAD	Bip01 Spine1	136	GranadoEspada	PC_IDL_SCT	30	scout	<$>95011</>	1065	WindSpirits	None	1200	1	<$>11144</>	NO	PC_PICK_SCT	PC_PINCH_SCT	SCT	PC_RUN_SCT	Bip01	TRUE	0	PC_STD_SCT	60	PC_STUN_SCT	0	0.928	HIT_Blood_Human	S	Dummy_State	NO	320	TacticalAssistance	PC_WLK_SCT	None	1	20
90	WAIT	None	None	PC_SET_WAIT_BODY	PC_SET_WAIT	126	184	40	70	TRUE	Cityzen	ChaPCATK	1	23	Lisa	WAIT	Normal	29016	0	None	None	Hire	22018	None	60	145	15001	CrecementoLeather	0	0	10000	7208	Bareknuckle,Escrima,DobaladaCorte	None	None	FFFFFF00	Lisa	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosWait,CosFemme	None,Ear	None,	None,Glove,LGlove	None,HatWait	None,Necklace	None,Ring	None,Shoulder	2300,2301,2302	TRUE	22516	10,63,55	None	Female	PC_SET_WAIT_HAIR	PC_SET_WAIT_HEAD	Bip01 Spine1	126	GranadoEspada	PC_IDL_WAIT	40	fighter	<$>91749</>	1026	Grinding	None	1200	0.9	<$>11196</>	NO	PC_PICK_FGT	PC_PINCH_FGT	WAIT	PC_RUN_WAIT	Bip01	TRUE	0	PC_STD_WAIT	70	PC_STUN_FGT	0.988	0	HIT_Blood_Human	S	Dummy_State	NO	370	RaidAssault	PC_WLK_WAIT	None	1	40
50	ITEM	None	None	PC_SET_ITEM_BODY	PC_SET_ITEM	125	182	60	40	TRUE	Cityzen	ChaEvasion	1	24	Emilia	ITEM	Normal	29017	0	None	None	Hire	22019	None	50	144	15003	CrecementoCoat	21100	3	10000	7220	FirstAid,ESP,Fortitudo	None	None	FFFFFF00	Emilia	None,Achieve	None,Coat	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosItem,CosSage	None,Ear	None,	None,Glove,LGlove	None,HatEmilia	None,Necklace	None,Ring	None,Shoulder	2400,2401,2404	TRUE	22517	55,7,9	None	Female	PC_SET_ITEM_HAIR	PC_SET_ITEM_HEAD	Bip01 Spine1	125	GranadoEspada	PC_IDL_SCT	60	scout	<$>99213</>	1003	HealingAuto	None	1200	1	<$>2420</>	NO	PC_PICK_SCT	PC_PINCH_SCT	EMILIA	PC_RUN_ITEM	Bip01	TRUE	0	PC_STD_ITEM	40	PC_STUN_SCT	0.949	0	HIT_Blood_Human	S	Dummy_State	NO	300	Incantation,TacticalAssistance	PC_WLK_ITEM	None	1	40
55	FGT	None	None	PC_SET_GRUT_BODY	PC_SET_GRUT	146	213	50	90	TRUE	Detective	ChaIncCON	1	27	Gurtrude	GRUT	Normal	29020	0	None	None	Hire	22022	None	50	168	15001	CrecementoLeather	0	0	10000	7216	Bareknuckle,MartialArtsG	None	None	FFFFFF00	Gurtrude	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosGrut	None,Ear	None,	None,Glove,LGlove	None,HatGrut	None,Necklace	None,Ring	None,Shoulder	2700,2701,2702	TRUE	22520	28,38,43	None	Male	PC_SET_GRUT_HAIR	PC_SET_GRUT_HEAD	Bip01 Spine1	146	GranadoEspada	PC_IDL_FGT	30	fighter	<$>91753</>	1012	ChapterofEarth	None	1200	1.1	<$>87</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	75	PC_STUN_FGT	0	1.032	HIT_Blood_Human	S	Dummy_State	NO	350	None	PC_WLK_FGT	None	1	40
70	FGT	None	None	PC_SET_MI_BODY	PC_SET_MI	122	179	50	75	TRUE	Designer	ChaREle	1	29	Karjalainen	MI	Normal	29022	0	None	None	Hire	22024	None	50	140	4104	SettlerLeather_High	0	0	10000	206	Bareknuckle,EpeeGarde,SabreGarde,EpeeGlacier,SabreGlacier	None	None	FFFFFF00	Mi Karjalainen	None,Achieve	None,Leather,Robe	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosMi	None,Ear	None,	None,Glove,LGlove	None,HatMi	None,Necklace	None,Ring	None,Shoulder	2900,2901,2902,2903	TRUE	22522	28,63,72	None	Female	PC_SET_MI_HAIR	PC_SET_MI_HEAD	Bip01 Spine1	122	GranadoEspada	PC_IDL_FGT	75	fighter	<$>47024</>	2010	MiscCraft	None	1200	1.1	<$>88</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	TRUE	0	PC_STD_FGT	60	PC_STUN_FGT	0.906	0	HIT_Blood_Human	S	Dummy_State	NO	380	None	PC_WLK_FGT	None	1	60
70	SCT	None	None	PC_SET_GRACIELO_BODY	PC_SET_GRACIELO	134	195	50	80	TRUE	Cityzen	ChaIncAGI	2	30	Gracielo	GRACIELO	Normal	29023	0	None	None	Hire	22025	None	50	154	15001	CrecementoLeather	0	0	10000	7216	BareknuckleG,MartialArtsS	None	None	FFFFFF00	Gracielo	None,Achieve	None,Leather	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosInvisible,CosGra	None,Ear	None,FaceGra	None,Glove,LGlove	None,HatGra	None,Necklace	None,Ring	None,Shoulder	3000,3001,3002,3003	TRUE	22523	27,3,43	None	Male	PC_SET_GRACIELO_HAIR	PC_SET_GRACIELO_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_SCT	30	fighter	<$>91755</>	1011	ChapterofWind	None	1200	1.1	<$>11213</>	NO	PC_PICK_SCT	PC_PINCH_SCT	SCT	PC_RUN_SCT	Bip01	TRUE	0	PC_STD_SCT	80	PC_STUN_SCT	0	0.947	HIT_Blood_Human	S	Dummy_State	NO	360	None	PC_WLK_SCT	None	1	40
