ApplyTag1	ApplyTag2	ApplyTag3	ClassID	ClassName	DefRewardCount	DefRewardItem	Name	PerPix	PerRewardCount	PerRewardItem	Rank	Stat	Tag1	Tag2	Tag3	Time	UseItem	UseItemCount
UseItem	UseItem	Time	68	Expedition68	10	75330	<$>29611</>	0.1	1	129642	4	AGI	85	71	17	1920	21804	20
UseItem	UseItem	Percent	69	Expedition69	10	75330	<$>36879</>	0.05	1	129644	4	CON	77	88	65	960	21804	20
UseItem	UseItem	UseItem	70	Expedition70	10	75330	<$>14546</>	0.1	1	129645	4	DEX	79	84	65	960	21804	40
Time	Percent	UseItem	71	Expedition71	10	75330	<$>91298</>	0.05	1	129646	4	INT	84	81	33	2160	21804	14
Time	Time	Time	72	Expedition72	10	75330	<$>92859</>	0.1	1	129647	4	CHA	75	80	36	8640	21804	7
Time	Time	Percent	73	Expedition73	10	75330	<$>222633</>	0.05	1	129650	4	STR	41	89	92	4320	21804	7
Time	Time	UseItem	74	Expedition74	10	75330	<$>222634</>	0.1	1	129651	4	AGI	79	33	10	4320	21804	14
Percent	Percent	Time	75	Expedition75	10	75330	<$>99274</>	0.025	1	129652	4	CON	90	76	59	2160	21804	7
Percent	Percent	Percent	76	Expedition76	10	75330	<$>222635</>	0.0125	1	129653	4	DEX	85	38	35	1080	21804	7
Percent	Percent	UseItem	77	Expedition77	10	75330	<$>103045</>	0.025	1	190082	4	INT	83	19	69	1080	21804	14
UseItem	UseItem	Time	78	Expedition78	10	75330	<$>222636</>	0.1	1	190084	4	CHA	12	80	82	2160	21804	28
UseItem	UseItem	Percent	79	Expedition79	10	75330	<$>115061</>	0.05	1	190083	4	STR	85	73	77	1080	21804	28
UseItem	UseItem	UseItem	80	Expedition80	10	75330	<$>103046</>	0.1	1	190085	4	AGI	89	70	71	1080	21804	56
Time	Percent	UseItem	81	Expedition81	10	75330	<$>222637</>	0.025	1	192503	5	CON	74	92	87	2400	21804	20
Time	Time	Time	82	Expedition82	10	75330	<$>222638</>	0.05	1	192504	5	DEX	88	72	81	9600	21804	10
Time	Time	Percent	83	Expedition83	10	75330	<$>222639</>	0.025	1	192505	5	INT	17	87	57	4800	21804	10
Time	Time	UseItem	84	Expedition84	10	75330	<$>222640</>	0.05	1	192506	5	CHA	91	69	70	4800	21804	20
Percent	Percent	Time	85	Expedition85	10	75330	<$>222641</>	0.0125	1	169022	5	STR	77	56	60	2400	21804	10
Percent	Percent	Percent	86	Expedition86	10	75330	<$>222642</>	0.00625	1	120192	5	AGI	82	14	83	1200	21804	10
Percent	Percent	UseItem	87	Expedition87	10	75330	<$>222643</>	0.0125	1	120194	5	CON	93	52	68	1200	21804	20
UseItem	UseItem	Time	88	Expedition88	10	75330	<$>222644</>	0.05	1	120200	5	DEX	81	85	34	2400	21804	40
UseItem	UseItem	Percent	89	Expedition89	10	75330	<$>199519</>	0.025	1	120202	5	INT	92	70	88	1200	21804	40
UseItem	UseItem	UseItem	90	Expedition90	10	75330	<$>222645</>	0.05	1	120208	5	CHA	75	92	20	1200	21804	80
Time	Percent	UseItem	91	Expedition91	10	75330	<$>222646</>	0.025	1	120204	5	STR	39	71	11	2880	21804	24
Time	Time	Time	92	Expedition92	10	75330	<$>222647</>	0.05	1	120198	5	AGI	76	45	69	11520	21804	12
Time	Time	Percent	93	Expedition93	10	75330	<$>222648</>	0.025	1	120210	5	CON	83	73	91	5760	21804	12
Time	Time	UseItem	94	Expedition94	10	75330	<$>222649</>	0.05	1	120196	5	DEX	40	78	74	5760	21804	24
Percent	Percent	Time	95	Expedition95	10	75330	<$>160043</>	0.0125	1	120212	5	INT	85	20	93	2880	21804	12
Percent	Percent	Percent	96	Expedition96	10	75330	<$>222650</>	0.00625	1	140022	5	CHA	34	91	75	1440	21804	12
Percent	Percent	UseItem	97	Expedition97	10	75330	<$>222651</>	0.0125	1	500115	5	STR	77	84	32	1440	21804	24
UseItem	UseItem	Time	98	Expedition98	10	75330	<$>222652</>	0.05	1	465017	5	AGI	85	79	40	2880	21804	48
UseItem	UseItem	Percent	99	Expedition99	10	75330	<$>222653</>	0.025	1	19162	5	CON	11	82	81	1440	21804	48
UseItem	UseItem	UseItem	100	Expedition100	10	75330	<$>212210</>	0.05	1	19554	5	DEX	93	10	83	1440	21804	96
